GloveManager recording started on 10/20/16 at 17:49:50

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017560,0.017560,1588,1930,1147,2246,3224,1324,1998,2336,2971,1104,2972,2891,1470,2296,,0.674970,0.166524,0.073357,0.591351,0.775918,0.123543,0.186175,0.252271,0.870829,0.091964,0.366899,0.687241,0.126298,0.216049
0.018000,0.035561,1588,1929,1147,2244,3223,1325,1998,2335,2971,1104,2971,2891,1471,2295,,0.674970,0.165670,0.073357,0.589189,0.775274,0.124126,0.186175,0.251572,0.870829,0.091964,0.365902,0.687241,0.127163,0.215364
0.017996,0.053557,1589,1929,1147,2246,3222,1326,1998,2335,2971,1104,2972,2891,1470,2296,,0.675563,0.165670,0.073357,0.591351,0.774630,0.124709,0.186175,0.251572,0.870829,0.091964,0.366899,0.687241,0.126298,0.216049
0.017976,0.071533,1589,1929,1147,2246,3221,1327,1996,2336,2970,1104,2973,2891,1471,2296,,0.675563,0.165670,0.073357,0.591351,0.773986,0.125291,0.184332,0.252271,0.869752,0.091964,0.367896,0.687241,0.127163,0.216049
0.018050,0.089584,1588,1928,1147,2245,3219,1329,1995,2336,2971,1104,2973,2891,1471,2294,,0.674970,0.164816,0.073357,0.590270,0.772698,0.126457,0.183410,0.252271,0.870829,0.091964,0.367896,0.687241,0.127163,0.214678
0.018008,0.107591,1588,1927,1146,2244,3218,1331,1995,2335,2971,1104,2973,2890,1472,2295,,0.674970,0.163962,0.072770,0.589189,0.772054,0.127622,0.183410,0.251572,0.870829,0.091964,0.367896,0.686722,0.128028,0.215364
0.018019,0.125610,1588,1927,1146,2244,3218,1333,1995,2336,2972,1105,2973,2890,1471,2295,,0.674970,0.163962,0.072770,0.589189,0.772054,0.128788,0.183410,0.252271,0.871905,0.092857,0.367896,0.686722,0.127163,0.215364
0.017984,0.143594,1588,1927,1147,2245,3217,1334,1995,2337,2972,1106,2973,2890,1471,2294,,0.674970,0.163962,0.073357,0.590270,0.771410,0.129371,0.183410,0.252970,0.871905,0.093750,0.367896,0.686722,0.127163,0.214678
0.017992,0.161586,1588,1927,1147,2245,3218,1335,1995,2336,2972,1105,2973,2890,1472,2294,,0.674970,0.163962,0.073357,0.590270,0.772054,0.129953,0.183410,0.252271,0.871905,0.092857,0.367896,0.686722,0.128028,0.214678
0.018001,0.179588,1588,1926,1146,2244,3216,1335,1993,2336,2972,1105,2974,2890,1471,2294,,0.674970,0.163108,0.072770,0.589189,0.770766,0.129953,0.181567,0.252271,0.871905,0.092857,0.368893,0.686722,0.127163,0.214678
0.018001,0.197589,1587,1926,1146,2243,3216,1338,1994,2335,2973,1105,2974,2890,1470,2295,,0.674377,0.163108,0.072770,0.588108,0.770766,0.131702,0.182488,0.251572,0.872982,0.092857,0.368893,0.686722,0.126298,0.215364
0.017974,0.215564,1588,1926,1147,2244,3217,1338,1994,2335,2973,1105,2974,2890,1471,2295,,0.674970,0.163108,0.073357,0.589189,0.771410,0.131702,0.182488,0.251572,0.872982,0.092857,0.368893,0.686722,0.127163,0.215364
0.018030,0.233593,1588,1926,1147,2243,3216,1338,1993,2336,2972,1105,2974,2890,1471,2296,,0.674970,0.163108,0.073357,0.588108,0.770766,0.131702,0.181567,0.252271,0.871905,0.092857,0.368893,0.686722,0.127163,0.216049
0.018010,0.251603,1588,1926,1147,2243,3216,1338,1994,2336,2972,1105,2974,2890,1471,2296,,0.674970,0.163108,0.073357,0.588108,0.770766,0.131702,0.182488,0.252271,0.871905,0.092857,0.368893,0.686722,0.127163,0.216049
0.017988,0.269591,1587,1926,1147,2242,3217,1339,1994,2336,2972,1105,2974,2890,1470,2295,,0.674377,0.163108,0.073357,0.587027,0.771410,0.132284,0.182488,0.252271,0.871905,0.092857,0.368893,0.686722,0.126298,0.215364
0.018003,0.287594,1587,1926,1147,2242,3217,1339,1994,2336,2972,1105,2974,2890,1470,2295,,0.674377,0.163108,0.073357,0.587027,0.771410,0.132284,0.182488,0.252271,0.871905,0.092857,0.368893,0.686722,0.126298,0.215364
0.018011,0.305605,1588,1926,1147,2243,3217,1340,1993,2336,2973,1105,2975,2890,1470,2296,,0.674970,0.163108,0.073357,0.588108,0.771410,0.132867,0.181567,0.252271,0.872982,0.092857,0.369890,0.686722,0.126298,0.216049
0.017967,0.323572,1588,1926,1147,2243,3217,1340,1993,2336,2973,1105,2975,2890,1470,2296,,0.674970,0.163108,0.073357,0.588108,0.771410,0.132867,0.181567,0.252271,0.872982,0.092857,0.369890,0.686722,0.126298,0.216049
0.018027,0.341598,1587,1925,1147,2243,3217,1342,1994,2337,2973,1106,2975,2889,1471,2295,,0.674377,0.162254,0.073357,0.588108,0.771410,0.134033,0.182488,0.252970,0.872982,0.093750,0.369890,0.686203,0.127163,0.215364
0.017994,0.359593,1587,1925,1148,2243,3217,1343,1993,2336,2973,1105,2974,2890,1471,2295,,0.674377,0.162254,0.073944,0.588108,0.771410,0.134615,0.181567,0.252271,0.872982,0.092857,0.368893,0.686722,0.127163,0.215364
0.018001,0.377594,1587,1925,1148,2243,3217,1343,1993,2337,2973,1105,2974,2890,1470,2295,,0.674377,0.162254,0.073944,0.588108,0.771410,0.134615,0.181567,0.252970,0.872982,0.092857,0.368893,0.686722,0.126298,0.215364
0.018020,0.395614,1587,1925,1147,2243,3217,1344,1994,2337,2972,1106,2974,2890,1470,2295,,0.674377,0.162254,0.073357,0.588108,0.771410,0.135198,0.182488,0.252970,0.871905,0.093750,0.368893,0.686722,0.126298,0.215364
0.017962,0.413576,1587,1926,1147,2242,3217,1345,1993,2337,2972,1106,2974,2890,1470,2295,,0.674377,0.163108,0.073357,0.587027,0.771410,0.135781,0.181567,0.252970,0.871905,0.093750,0.368893,0.686722,0.126298,0.215364
0.018022,0.431598,1587,1924,1148,2242,3217,1345,1993,2337,2972,1106,2974,2889,1471,2296,,0.674377,0.161401,0.073944,0.587027,0.771410,0.135781,0.181567,0.252970,0.871905,0.093750,0.368893,0.686203,0.127163,0.216049
0.018014,0.449611,1587,1925,1148,2242,3218,1347,1994,2337,2972,1106,2974,2889,1471,2295,,0.674377,0.162254,0.073944,0.587027,0.772054,0.136946,0.182488,0.252970,0.871905,0.093750,0.368893,0.686203,0.127163,0.215364
0.018007,0.467618,1588,1925,1149,2242,3218,1346,1993,2338,2972,1106,2975,2889,1470,2295,,0.674970,0.162254,0.074531,0.587027,0.772054,0.136364,0.181567,0.253669,0.871905,0.093750,0.369890,0.686203,0.126298,0.215364
0.017994,0.485613,1587,1925,1148,2241,3219,1347,1993,2338,2972,1107,2975,2888,1471,2295,,0.674377,0.162254,0.073944,0.585946,0.772698,0.136946,0.181567,0.253669,0.871905,0.094643,0.369890,0.685685,0.127163,0.215364
0.017996,0.503609,1588,1925,1148,2241,3219,1348,1992,2338,2972,1107,2975,2889,1471,2296,,0.674970,0.162254,0.073944,0.585946,0.772698,0.137529,0.180645,0.253669,0.871905,0.094643,0.369890,0.686203,0.127163,0.216049
0.017997,0.521607,1587,1925,1149,2241,3219,1349,1993,2339,2973,1107,2976,2888,1471,2295,,0.674377,0.162254,0.074531,0.585946,0.772698,0.138112,0.181567,0.254368,0.872982,0.094643,0.370887,0.685685,0.127163,0.215364
0.018014,0.539620,1587,1924,1150,2241,3218,1351,1993,2340,2972,1108,2977,2888,1471,2297,,0.674377,0.161401,0.075117,0.585946,0.772054,0.139277,0.181567,0.255066,0.871905,0.095536,0.371884,0.685685,0.127163,0.216735
0.017986,0.557607,1587,1924,1149,2240,3218,1351,1992,2340,2973,1108,2977,2888,1470,2297,,0.674377,0.161401,0.074531,0.584865,0.772054,0.139277,0.180645,0.255066,0.872982,0.095536,0.371884,0.685685,0.126298,0.216735
0.017998,0.575604,1587,1924,1149,2240,3218,1352,1992,2340,2973,1107,2976,2888,1471,2296,,0.674377,0.161401,0.074531,0.584865,0.772054,0.139860,0.180645,0.255066,0.872982,0.094643,0.370887,0.685685,0.127163,0.216049
0.018013,0.593618,1587,1924,1149,2240,3218,1352,1992,2340,2973,1107,2976,2888,1471,2296,,0.674377,0.161401,0.074531,0.584865,0.772054,0.139860,0.180645,0.255066,0.872982,0.094643,0.370887,0.685685,0.127163,0.216049
0.018001,0.611619,1586,1923,1151,2240,3218,1355,1993,2340,2973,1108,2976,2888,1472,2296,,0.673784,0.160547,0.075704,0.584865,0.772054,0.141608,0.181567,0.255066,0.872982,0.095536,0.370887,0.685685,0.128028,0.216049
0.017995,0.629614,1586,1924,1150,2240,3217,1355,1993,2340,2973,1107,2976,2888,1472,2295,,0.673784,0.161401,0.075117,0.584865,0.771410,0.141608,0.181567,0.255066,0.872982,0.094643,0.370887,0.685685,0.128028,0.215364
0.017999,0.647612,1587,1923,1149,2240,3217,1356,1992,2340,2973,1108,2975,2888,1470,2295,,0.674377,0.160547,0.074531,0.584865,0.771410,0.142191,0.180645,0.255066,0.872982,0.095536,0.369890,0.685685,0.126298,0.215364
0.017999,0.665611,1585,1922,1149,2240,3216,1356,1992,2339,2973,1107,2976,2888,1471,2295,,0.673191,0.159693,0.074531,0.584865,0.770766,0.142191,0.180645,0.254368,0.872982,0.094643,0.370887,0.685685,0.127163,0.215364
0.018017,0.683628,1586,1922,1150,2240,3217,1356,1992,2339,2972,1109,2976,2888,1471,2295,,0.673784,0.159693,0.075117,0.584865,0.771410,0.142191,0.180645,0.254368,0.871905,0.096429,0.370887,0.685685,0.127163,0.215364
0.017994,0.701622,1586,1922,1150,2239,3216,1357,1992,2340,2972,1108,2976,2889,1470,2295,,0.673784,0.159693,0.075117,0.583784,0.770766,0.142774,0.180645,0.255066,0.871905,0.095536,0.370887,0.686203,0.126298,0.215364
0.017988,0.719611,1586,1922,1150,2239,3217,1358,1992,2340,2971,1109,2976,2888,1471,2295,,0.673784,0.159693,0.075117,0.583784,0.771410,0.143357,0.180645,0.255066,0.870829,0.096429,0.370887,0.685685,0.127163,0.215364
0.018002,0.737612,1586,1923,1151,2238,3217,1359,1992,2341,2972,1108,2976,2887,1470,2295,,0.673784,0.160547,0.075704,0.582703,0.771410,0.143939,0.180645,0.255765,0.871905,0.095536,0.370887,0.685166,0.126298,0.215364
0.018001,0.755614,1586,1922,1152,2238,3216,1361,1992,2341,2972,1109,2978,2887,1471,2295,,0.673784,0.159693,0.076291,0.582703,0.770766,0.145105,0.180645,0.255765,0.871905,0.096429,0.372881,0.685166,0.127163,0.215364
0.018007,0.773621,1586,1922,1151,2237,3216,1363,1991,2342,2973,1109,2978,2886,1472,2296,,0.673784,0.159693,0.075704,0.581622,0.770766,0.146270,0.179724,0.256464,0.872982,0.096429,0.372881,0.684647,0.128028,0.216049
0.017971,0.791592,1585,1921,1151,2236,3216,1363,1990,2341,2974,1109,2978,2886,1470,2296,,0.673191,0.158839,0.075704,0.580541,0.770766,0.146270,0.178802,0.255765,0.874058,0.096429,0.372881,0.684647,0.126298,0.216049
0.018006,0.809598,1585,1921,1150,2236,3216,1365,1990,2342,2975,1109,2978,2885,1471,2296,,0.673191,0.158839,0.075117,0.580541,0.770766,0.147436,0.178802,0.256464,0.875135,0.096429,0.372881,0.684129,0.127163,0.216049
0.018020,0.827617,1585,1921,1150,2236,3216,1365,1990,2342,2975,1109,2978,2885,1471,2296,,0.673191,0.158839,0.075117,0.580541,0.770766,0.147436,0.178802,0.256464,0.875135,0.096429,0.372881,0.684129,0.127163,0.216049
0.018003,0.845620,1584,1920,1151,2235,3216,1368,1990,2343,2977,1110,2979,2884,1472,2296,,0.672598,0.157985,0.075704,0.579459,0.770766,0.149184,0.178802,0.257163,0.877287,0.097321,0.373878,0.683610,0.128028,0.216049
0.018012,0.863633,1584,1921,1151,2236,3216,1369,1990,2344,2976,1110,2979,2884,1471,2296,,0.672598,0.158839,0.075704,0.580541,0.770766,0.149767,0.178802,0.257862,0.876211,0.097321,0.373878,0.683610,0.127163,0.216049
0.017991,0.881623,1585,1921,1151,2235,3216,1370,1990,2344,2977,1110,2980,2884,1473,2296,,0.673191,0.158839,0.075704,0.579459,0.770766,0.150350,0.178802,0.257862,0.877287,0.097321,0.374875,0.683610,0.128893,0.216049
0.017989,0.899612,1585,1921,1151,2235,3216,1370,1990,2344,2977,1110,2980,2884,1473,2296,,0.673191,0.158839,0.075704,0.579459,0.770766,0.150350,0.178802,0.257862,0.877287,0.097321,0.374875,0.683610,0.128893,0.216049
0.018000,0.917612,1584,1921,1151,2234,3216,1372,1990,2344,2978,1109,2981,2883,1472,2297,,0.672598,0.158839,0.075704,0.578378,0.770766,0.151515,0.178802,0.257862,0.878364,0.096429,0.375872,0.683091,0.128028,0.216735
0.018014,0.935626,1585,1922,1151,2234,3216,1371,1990,2344,2978,1110,2980,2884,1472,2297,,0.673191,0.159693,0.075704,0.578378,0.770766,0.150932,0.178802,0.257862,0.878364,0.097321,0.374875,0.683610,0.128028,0.216735
0.017975,0.953601,1584,1922,1152,2234,3217,1373,1990,2344,2977,1109,2980,2883,1472,2297,,0.672598,0.159693,0.076291,0.578378,0.771410,0.152098,0.178802,0.257862,0.877287,0.096429,0.374875,0.683091,0.128028,0.216735
0.017996,0.971598,1585,1921,1151,2234,3215,1373,1991,2345,2978,1111,2981,2883,1473,2298,,0.673191,0.158839,0.075704,0.578378,0.770122,0.152098,0.179724,0.258560,0.878364,0.098214,0.375872,0.683091,0.128893,0.217421
0.018042,0.989639,1584,1921,1151,2232,3215,1372,1990,2345,2978,1110,2981,2883,1473,2296,,0.672598,0.158839,0.075704,0.576216,0.770122,0.151515,0.178802,0.258560,0.878364,0.097321,0.375872,0.683091,0.128893,0.216049
0.017984,1.007624,1585,1922,1151,2233,3216,1373,1991,2345,2978,1110,2980,2883,1474,2297,,0.673191,0.159693,0.075704,0.577297,0.770766,0.152098,0.179724,0.258560,0.878364,0.097321,0.374875,0.683091,0.129758,0.216735
0.018009,1.025632,1584,1922,1152,2233,3217,1373,1990,2344,2977,1110,2980,2882,1473,2296,,0.672598,0.159693,0.076291,0.577297,0.771410,0.152098,0.178802,0.257862,0.877287,0.097321,0.374875,0.682573,0.128893,0.216049
