GloveManager recording started on 10/20/16 at 17:50:03

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017291,0.017291,1438,2105,1528,2237,2482,2361,2265,3160,2941,1342,3398,2927,1885,2801,,0.586002,0.315969,0.296948,0.581622,0.298133,0.727856,0.432258,0.828092,0.838536,0.304464,0.791625,0.705913,0.485294,0.562414
0.017998,0.035289,1438,2105,1527,2235,2481,2362,2266,3160,2941,1343,3398,2927,1885,2801,,0.586002,0.315969,0.296362,0.579459,0.297489,0.728438,0.433180,0.828092,0.838536,0.305357,0.791625,0.705913,0.485294,0.562414
0.018029,0.053318,1437,2104,1527,2235,2482,2361,2267,3161,2940,1344,3398,2927,1886,2801,,0.585409,0.315115,0.296362,0.579459,0.298133,0.727856,0.434101,0.828791,0.837460,0.306250,0.791625,0.705913,0.486159,0.562414
0.018004,0.071322,1437,2104,1526,2235,2483,2361,2269,3161,2940,1345,3399,2927,1887,2802,,0.585409,0.315115,0.295775,0.579459,0.298777,0.727856,0.435945,0.828791,0.837460,0.307143,0.792622,0.705913,0.487024,0.563100
0.018000,0.089322,1436,2103,1524,2234,2482,2361,2272,3163,2941,1346,3399,2928,1888,2801,,0.584816,0.314261,0.294601,0.578378,0.298133,0.727856,0.438710,0.830189,0.838536,0.308036,0.792622,0.706432,0.487889,0.562414
0.017982,0.107304,1436,2104,1521,2233,2483,2363,2276,3163,2941,1348,3399,2928,1889,2801,,0.584816,0.315115,0.292840,0.577297,0.298777,0.729021,0.442396,0.830189,0.838536,0.309821,0.792622,0.706432,0.488754,0.562414
0.018018,0.125322,1436,2106,1517,2231,2483,2365,2281,3166,2941,1351,3399,2929,1891,2801,,0.584816,0.316823,0.290493,0.575135,0.298777,0.730186,0.447005,0.832285,0.838536,0.312500,0.792622,0.706950,0.490484,0.562414
0.018002,0.143324,1436,2106,1517,2231,2483,2365,2281,3166,2941,1351,3399,2929,1891,2801,,0.584816,0.316823,0.290493,0.575135,0.298777,0.730186,0.447005,0.832285,0.838536,0.312500,0.792622,0.706950,0.490484,0.562414
0.018000,0.161325,1437,2106,1517,2231,2485,2368,2283,3169,2941,1352,3401,2928,1892,2802,,0.585409,0.316823,0.290493,0.575135,0.300064,0.731935,0.448848,0.834382,0.838536,0.313393,0.794616,0.706432,0.491349,0.563100
0.018000,0.179325,1437,2106,1514,2230,2484,2370,2286,3170,2941,1353,3401,2928,1892,2802,,0.585409,0.316823,0.288732,0.574054,0.299420,0.733100,0.451613,0.835080,0.838536,0.314286,0.794616,0.706432,0.491349,0.563100
0.018002,0.197327,1437,2107,1513,2230,2486,2372,2288,3170,2941,1356,3402,2928,1893,2802,,0.585409,0.317677,0.288146,0.574054,0.300708,0.734266,0.453456,0.835080,0.838536,0.316964,0.795613,0.706432,0.492215,0.563100
