GloveManager recording started on 10/20/16 at 17:50:14

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017971,0.017971,1394,2101,1475,2264,2485,2298,2520,3192,2929,1579,3430,2991,2225,2846,,0.559905,0.312553,0.265845,0.610811,0.300064,0.691142,0.667281,0.850454,0.825619,0.516071,0.823529,0.739108,0.779412,0.593278
0.017992,0.035963,1394,2102,1475,2265,2485,2297,2520,3192,2929,1579,3429,2991,2226,2847,,0.559905,0.313407,0.265845,0.611892,0.300064,0.690559,0.667281,0.850454,0.825619,0.516071,0.822532,0.739108,0.780277,0.593964
0.017998,0.053961,1394,2102,1475,2265,2484,2296,2520,3192,2929,1579,3429,2991,2226,2847,,0.559905,0.313407,0.265845,0.611892,0.299420,0.689977,0.667281,0.850454,0.825619,0.516071,0.822532,0.739108,0.780277,0.593964
0.018009,0.071970,1394,2102,1476,2265,2484,2296,2520,3193,2930,1579,3429,2990,2227,2847,,0.559905,0.313407,0.266432,0.611892,0.299420,0.689977,0.667281,0.851153,0.826695,0.516071,0.822532,0.738589,0.781142,0.593964
0.017992,0.089962,1394,2102,1476,2264,2485,2296,2520,3192,2929,1579,3430,2991,2227,2846,,0.559905,0.313407,0.266432,0.610811,0.300064,0.689977,0.667281,0.850454,0.825619,0.516071,0.823529,0.739108,0.781142,0.593278
0.018014,0.107976,1395,2102,1476,2264,2485,2295,2520,3193,2929,1579,3430,2991,2227,2847,,0.560498,0.313407,0.266432,0.610811,0.300064,0.689394,0.667281,0.851153,0.825619,0.516071,0.823529,0.739108,0.781142,0.593964
0.018013,0.125989,1394,2102,1476,2265,2484,2295,2520,3193,2929,1579,3429,2990,2227,2847,,0.559905,0.313407,0.266432,0.611892,0.299420,0.689394,0.667281,0.851153,0.825619,0.516071,0.822532,0.738589,0.781142,0.593964
0.017978,0.143967,1394,2103,1477,2265,2484,2296,2520,3193,2929,1580,3429,2991,2227,2846,,0.559905,0.314261,0.267019,0.611892,0.299420,0.689977,0.667281,0.851153,0.825619,0.516964,0.822532,0.739108,0.781142,0.593278
0.018028,0.161995,1394,2103,1477,2265,2484,2296,2520,3193,2929,1580,3429,2991,2227,2846,,0.559905,0.314261,0.267019,0.611892,0.299420,0.689977,0.667281,0.851153,0.825619,0.516964,0.822532,0.739108,0.781142,0.593278
0.017999,0.179994,1394,2103,1475,2265,2484,2296,2520,3193,2929,1580,3430,2991,2227,2846,,0.559905,0.314261,0.265845,0.611892,0.299420,0.689977,0.667281,0.851153,0.825619,0.516964,0.823529,0.739108,0.781142,0.593278
0.017984,0.197979,1394,2102,1477,2265,2484,2296,2520,3193,2929,1579,3430,2991,2228,2847,,0.559905,0.313407,0.267019,0.611892,0.299420,0.689977,0.667281,0.851153,0.825619,0.516071,0.823529,0.739108,0.782007,0.593964
0.018013,0.215992,1394,2103,1476,2266,2485,2296,2519,3193,2929,1580,3430,2991,2228,2847,,0.559905,0.314261,0.266432,0.612973,0.300064,0.689977,0.666359,0.851153,0.825619,0.516964,0.823529,0.739108,0.782007,0.593964
0.018005,0.233997,1393,2103,1476,2265,2484,2297,2520,3194,2930,1580,3430,2990,2229,2847,,0.559312,0.314261,0.266432,0.611892,0.299420,0.690559,0.667281,0.851852,0.826695,0.516964,0.823529,0.738589,0.782872,0.593964
0.017998,0.251996,1393,2103,1476,2265,2484,2297,2520,3194,2930,1580,3430,2990,2229,2847,,0.559312,0.314261,0.266432,0.611892,0.299420,0.690559,0.667281,0.851852,0.826695,0.516964,0.823529,0.738589,0.782872,0.593964
0.018004,0.270000,1394,2103,1477,2266,2485,2297,2521,3194,2929,1581,3430,2991,2229,2848,,0.559905,0.314261,0.267019,0.612973,0.300064,0.690559,0.668203,0.851852,0.825619,0.517857,0.823529,0.739108,0.782872,0.594650
0.017988,0.287988,1394,2103,1475,2266,2483,2298,2521,3194,2929,1580,3429,2991,2229,2847,,0.559905,0.314261,0.265845,0.612973,0.298777,0.691142,0.668203,0.851852,0.825619,0.516964,0.822532,0.739108,0.782872,0.593964
0.018006,0.305994,1395,2102,1475,2266,2484,2298,2520,3194,2930,1581,3430,2991,2230,2847,,0.560498,0.313407,0.265845,0.612973,0.299420,0.691142,0.667281,0.851852,0.826695,0.517857,0.823529,0.739108,0.783737,0.593964
