GloveManager recording started on 10/20/16 at 17:50:21

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017527,0.017527,1462,2173,1394,1920,2529,2411,1938,2511,2733,1297,3443,2949,1904,2822,,0.600237,0.374039,0.218310,0.238919,0.328397,0.756993,0.130876,0.374563,0.614639,0.264286,0.836491,0.717324,0.501730,0.576818
0.017991,0.035517,1464,2173,1394,1920,2529,2411,1939,2511,2733,1297,3443,2948,1904,2823,,0.601424,0.374039,0.218310,0.238919,0.328397,0.756993,0.131797,0.374563,0.614639,0.264286,0.836491,0.716805,0.501730,0.577503
0.018007,0.053525,1463,2173,1395,1921,2530,2411,1939,2510,2733,1298,3443,2948,1903,2822,,0.600830,0.374039,0.218897,0.240000,0.329041,0.756993,0.131797,0.373864,0.614639,0.265179,0.836491,0.716805,0.500865,0.576818
0.018004,0.071529,1463,2173,1392,1919,2530,2410,1939,2510,2733,1296,3443,2949,1904,2823,,0.600830,0.374039,0.217136,0.237838,0.329041,0.756410,0.131797,0.373864,0.614639,0.263393,0.836491,0.717324,0.501730,0.577503
0.018009,0.089538,1463,2173,1393,1920,2530,2411,1939,2510,2733,1298,3443,2949,1903,2822,,0.600830,0.374039,0.217723,0.238919,0.329041,0.756993,0.131797,0.373864,0.614639,0.265179,0.836491,0.717324,0.500865,0.576818
0.017993,0.107531,1463,2173,1393,1920,2530,2411,1939,2510,2733,1298,3443,2949,1903,2822,,0.600830,0.374039,0.217723,0.238919,0.329041,0.756993,0.131797,0.373864,0.614639,0.265179,0.836491,0.717324,0.500865,0.576818
0.017998,0.125529,1464,2174,1392,1919,2530,2410,1939,2509,2733,1296,3442,2949,1903,2821,,0.601424,0.374893,0.217136,0.237838,0.329041,0.756410,0.131797,0.373166,0.614639,0.263393,0.835494,0.717324,0.500865,0.576132
0.018003,0.143532,1463,2173,1393,1919,2530,2411,1939,2509,2733,1297,3443,2948,1903,2822,,0.600830,0.374039,0.217723,0.237838,0.329041,0.756993,0.131797,0.373166,0.614639,0.264286,0.836491,0.716805,0.500865,0.576818
0.018000,0.161532,1463,2173,1393,1919,2530,2410,1939,2509,2733,1296,3443,2948,1902,2822,,0.600830,0.374039,0.217723,0.237838,0.329041,0.756410,0.131797,0.373166,0.614639,0.263393,0.836491,0.716805,0.500000,0.576818
0.018001,0.179533,1464,2173,1394,1920,2529,2410,1938,2509,2733,1297,3443,2948,1903,2822,,0.601424,0.374039,0.218310,0.238919,0.328397,0.756410,0.130876,0.373166,0.614639,0.264286,0.836491,0.716805,0.500865,0.576818
0.018003,0.197536,1465,2173,1394,1920,2530,2410,1939,2509,2734,1297,3443,2949,1903,2822,,0.602017,0.374039,0.218310,0.238919,0.329041,0.756410,0.131797,0.373166,0.615716,0.264286,0.836491,0.717324,0.500865,0.576818
0.017976,0.215512,1464,2173,1392,1920,2530,2410,1939,2509,2734,1296,3443,2948,1903,2822,,0.601424,0.374039,0.217136,0.238919,0.329041,0.756410,0.131797,0.373166,0.615716,0.263393,0.836491,0.716805,0.500865,0.576818
0.018023,0.233535,1465,2173,1392,1919,2530,2410,1938,2508,2733,1295,3442,2948,1902,2822,,0.602017,0.374039,0.217136,0.237838,0.329041,0.756410,0.130876,0.372467,0.614639,0.262500,0.835494,0.716805,0.500000,0.576818
0.018016,0.251551,1465,2173,1391,1919,2530,2410,1939,2508,2734,1296,3442,2948,1901,2822,,0.602017,0.374039,0.216549,0.237838,0.329041,0.756410,0.131797,0.372467,0.615716,0.263393,0.835494,0.716805,0.499135,0.576818
0.018016,0.269566,1465,2173,1391,1919,2530,2410,1939,2508,2734,1296,3442,2948,1901,2822,,0.602017,0.374039,0.216549,0.237838,0.329041,0.756410,0.131797,0.372467,0.615716,0.263393,0.835494,0.716805,0.499135,0.576818
0.017994,0.287561,1465,2173,1392,1919,2531,2410,1939,2507,2733,1293,3443,2946,1900,2820,,0.602017,0.374039,0.217136,0.237838,0.329684,0.756410,0.131797,0.371768,0.614639,0.260714,0.836491,0.715768,0.498270,0.575446
0.017989,0.305550,1465,2173,1392,1919,2531,2410,1939,2507,2733,1294,3443,2946,1899,2821,,0.602017,0.374039,0.217136,0.237838,0.329684,0.756410,0.131797,0.371768,0.614639,0.261607,0.836491,0.715768,0.497405,0.576132
0.018024,0.323574,1465,2173,1391,1919,2530,2410,1938,2506,2733,1293,3442,2946,1899,2821,,0.602017,0.374039,0.216549,0.237838,0.329041,0.756410,0.130876,0.371069,0.614639,0.260714,0.835494,0.715768,0.497405,0.576132
0.017998,0.341572,1465,2173,1391,1919,2530,2410,1939,2506,2734,1294,3443,2946,1905,2820,,0.602017,0.374039,0.216549,0.237838,0.329041,0.756410,0.131797,0.371069,0.615716,0.261607,0.836491,0.715768,0.502595,0.575446
