GloveManager recording started on 10/20/16 at 17:50:34

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017375,0.017375,1471,2193,1387,1937,2499,2372,1931,2505,2734,1378,3467,2968,1945,2851,,0.605575,0.391119,0.214202,0.257297,0.309079,0.734266,0.124424,0.370370,0.615716,0.336607,0.860419,0.727178,0.537197,0.596708
0.018005,0.035380,1469,2188,1395,1942,2498,2372,1930,2505,2734,1378,3467,2968,1944,2853,,0.604389,0.386849,0.218897,0.262703,0.308435,0.734266,0.123502,0.370370,0.615716,0.336607,0.860419,0.727178,0.536332,0.598080
0.018004,0.053384,1468,2188,1395,1943,2498,2371,1930,2504,2735,1378,3466,2968,1945,2852,,0.603796,0.386849,0.218897,0.263784,0.308435,0.733683,0.123502,0.369672,0.616792,0.336607,0.859422,0.727178,0.537197,0.597394
0.017972,0.071355,1469,2187,1393,1942,2498,2372,1931,2505,2735,1378,3467,2969,1946,2852,,0.604389,0.385995,0.217723,0.262703,0.308435,0.734266,0.124424,0.370370,0.616792,0.336607,0.860419,0.727697,0.538062,0.597394
0.018028,0.089383,1469,2187,1393,1942,2498,2372,1931,2505,2735,1378,3467,2969,1946,2852,,0.604389,0.385995,0.217723,0.262703,0.308435,0.734266,0.124424,0.370370,0.616792,0.336607,0.860419,0.727697,0.538062,0.597394
0.017994,0.107378,1470,2188,1391,1940,2498,2372,1931,2504,2735,1379,3467,2968,1947,2852,,0.604982,0.386849,0.216549,0.260541,0.308435,0.734266,0.124424,0.369672,0.616792,0.337500,0.860419,0.727178,0.538927,0.597394
0.018011,0.125389,1471,2189,1389,1939,2498,2372,1931,2504,2734,1380,3466,2968,1947,2851,,0.605575,0.387703,0.215376,0.259459,0.308435,0.734266,0.124424,0.369672,0.615716,0.338393,0.859422,0.727178,0.538927,0.596708
0.018006,0.143395,1473,2190,1388,1940,2498,2373,1932,2504,2735,1380,3467,2969,1947,2851,,0.606762,0.388557,0.214789,0.260541,0.308435,0.734848,0.125346,0.369672,0.616792,0.338393,0.860419,0.727697,0.538927,0.596708
0.018000,0.161395,1474,2192,1390,1939,2498,2374,1932,2505,2734,1382,3467,2970,1948,2850,,0.607355,0.390265,0.215962,0.259459,0.308435,0.735431,0.125346,0.370370,0.615716,0.340179,0.860419,0.728216,0.539792,0.596022
0.017990,0.179385,1474,2192,1391,1940,2498,2374,1932,2504,2735,1382,3466,2970,1948,2851,,0.607355,0.390265,0.216549,0.260541,0.308435,0.735431,0.125346,0.369672,0.616792,0.340179,0.859422,0.728216,0.539792,0.596708
0.018019,0.197404,1474,2192,1391,1940,2498,2374,1932,2504,2735,1382,3466,2970,1948,2851,,0.607355,0.390265,0.216549,0.260541,0.308435,0.735431,0.125346,0.369672,0.616792,0.340179,0.859422,0.728216,0.539792,0.596708
0.017982,0.215386,1475,2193,1391,1940,2499,2374,1932,2503,2734,1382,3466,2970,1948,2850,,0.607948,0.391119,0.216549,0.260541,0.309079,0.735431,0.125346,0.368973,0.615716,0.340179,0.859422,0.728216,0.539792,0.596022
0.017980,0.233366,1475,2194,1391,1939,2498,2374,1932,2505,2734,1381,3467,2970,1947,2851,,0.607948,0.391973,0.216549,0.259459,0.308435,0.735431,0.125346,0.370370,0.615716,0.339286,0.860419,0.728216,0.538927,0.596708
0.018001,0.251366,1476,2194,1391,1938,2498,2375,1932,2504,2734,1382,3467,2971,1948,2851,,0.608541,0.391973,0.216549,0.258378,0.308435,0.736014,0.125346,0.369672,0.615716,0.340179,0.860419,0.728734,0.539792,0.596708
0.018022,0.269389,1476,2194,1390,1938,2498,2375,1932,2505,2734,1383,3466,2970,1948,2849,,0.608541,0.391973,0.215962,0.258378,0.308435,0.736014,0.125346,0.370370,0.615716,0.341071,0.859422,0.728216,0.539792,0.595336
0.018001,0.287390,1476,2194,1390,1938,2498,2375,1932,2505,2734,1383,3466,2970,1948,2849,,0.608541,0.391973,0.215962,0.258378,0.308435,0.736014,0.125346,0.370370,0.615716,0.341071,0.859422,0.728216,0.539792,0.595336
