GloveManager recording started on 10/20/16 at 17:50:45

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017781,0.017781,1597,2066,1161,2477,3314,2408,2276,3090,2966,1500,3418,2304,1626,2208,,0.680308,0.282664,0.081573,0.841081,0.833870,0.755245,0.442396,0.779175,0.865447,0.445536,0.811565,0.382780,0.261246,0.155693
0.018000,0.035781,1596,2065,1160,2477,3314,2408,2274,3090,2966,1502,3419,2304,1625,2207,,0.679715,0.281810,0.080986,0.841081,0.833870,0.755245,0.440553,0.779175,0.865447,0.447321,0.812562,0.382780,0.260381,0.155007
0.018002,0.053783,1596,2066,1160,2477,3314,2408,2275,3090,2966,1500,3418,2303,1626,2207,,0.679715,0.282664,0.080986,0.841081,0.833870,0.755245,0.441475,0.779175,0.865447,0.445536,0.811565,0.382261,0.261246,0.155007
0.018001,0.071784,1596,2066,1160,2477,3314,2408,2275,3090,2966,1500,3418,2303,1626,2207,,0.679715,0.282664,0.080986,0.841081,0.833870,0.755245,0.441475,0.779175,0.865447,0.445536,0.811565,0.382261,0.261246,0.155007
0.018000,0.089784,1596,2065,1159,2476,3314,2407,2274,3089,2966,1499,3418,2299,1628,2205,,0.679715,0.281810,0.080399,0.840000,0.833870,0.754662,0.440553,0.778477,0.865447,0.444643,0.811565,0.380187,0.262976,0.153635
0.018001,0.107785,1596,2065,1159,2476,3314,2407,2274,3089,2966,1499,3418,2299,1628,2205,,0.679715,0.281810,0.080399,0.840000,0.833870,0.754662,0.440553,0.778477,0.865447,0.444643,0.811565,0.380187,0.262976,0.153635
0.018002,0.125787,1596,2065,1160,2476,3314,2408,2275,3089,2966,1498,3419,2289,1632,2205,,0.679715,0.281810,0.080986,0.840000,0.833870,0.755245,0.441475,0.778477,0.865447,0.443750,0.812562,0.375000,0.266436,0.153635
0.018000,0.143787,1596,2065,1160,2476,3314,2408,2274,3090,2967,1498,3418,2285,1632,2206,,0.679715,0.281810,0.080986,0.840000,0.833870,0.755245,0.440553,0.779175,0.866523,0.443750,0.811565,0.372925,0.266436,0.154321
0.018002,0.161789,1595,2064,1159,2475,3313,2407,2273,3090,2966,1499,3418,2289,1632,2205,,0.679122,0.280956,0.080399,0.838919,0.833226,0.754662,0.439631,0.779175,0.865447,0.444643,0.811565,0.375000,0.266436,0.153635
0.018002,0.179791,1594,2064,1160,2475,3314,2408,2274,3090,2967,1499,3418,2293,1631,2206,,0.678529,0.280956,0.080986,0.838919,0.833870,0.755245,0.440553,0.779175,0.866523,0.444643,0.811565,0.377075,0.265571,0.154321
0.018006,0.197798,1594,2064,1160,2475,3313,2408,2275,3090,2966,1498,3418,2293,1632,2206,,0.678529,0.280956,0.080986,0.838919,0.833226,0.755245,0.441475,0.779175,0.865447,0.443750,0.811565,0.377075,0.266436,0.154321
0.017992,0.215789,1595,2063,1160,2475,3314,2408,2275,3090,2966,1498,3418,2294,1633,2205,,0.679122,0.280102,0.080986,0.838919,0.833870,0.755245,0.441475,0.779175,0.865447,0.443750,0.811565,0.377593,0.267301,0.153635
0.018001,0.233790,1595,2063,1159,2475,3314,2408,2274,3090,2966,1498,3418,2293,1633,2206,,0.679122,0.280102,0.080399,0.838919,0.833870,0.755245,0.440553,0.779175,0.865447,0.443750,0.811565,0.377075,0.267301,0.154321
0.018001,0.251791,1594,2062,1159,2475,3314,2408,2272,3090,2967,1497,3418,2292,1633,2205,,0.678529,0.279249,0.080399,0.838919,0.833870,0.755245,0.438710,0.779175,0.866523,0.442857,0.811565,0.376556,0.267301,0.153635
0.018001,0.269792,1595,2062,1160,2475,3314,2407,2272,3090,2966,1498,3418,2294,1633,2205,,0.679122,0.279249,0.080986,0.838919,0.833870,0.754662,0.438710,0.779175,0.865447,0.443750,0.811565,0.377593,0.267301,0.153635
0.018002,0.287794,1595,2063,1159,2475,3314,2407,2272,3090,2966,1497,3418,2295,1632,2206,,0.679122,0.280102,0.080399,0.838919,0.833870,0.754662,0.438710,0.779175,0.865447,0.442857,0.811565,0.378112,0.266436,0.154321
0.018031,0.305825,1595,2062,1160,2474,3313,2407,2272,3091,2967,1497,3419,2296,1633,2205,,0.679122,0.279249,0.080986,0.837838,0.833226,0.754662,0.438710,0.779874,0.866523,0.442857,0.812562,0.378631,0.267301,0.153635
0.018012,0.323837,1594,2061,1159,2474,3314,2408,2271,3090,2966,1497,3418,2295,1632,2205,,0.678529,0.278395,0.080399,0.837838,0.833870,0.755245,0.437788,0.779175,0.865447,0.442857,0.811565,0.378112,0.266436,0.153635
0.017961,0.341797,1595,2062,1160,2473,3314,2407,2272,3090,2967,1497,3418,2296,1631,2205,,0.679122,0.279249,0.080986,0.836757,0.833870,0.754662,0.438710,0.779175,0.866523,0.442857,0.811565,0.378631,0.265571,0.153635
0.017999,0.359797,1595,2061,1159,2474,3314,2407,2272,3090,2966,1499,3419,2299,1631,2205,,0.679122,0.278395,0.080399,0.837838,0.833870,0.754662,0.438710,0.779175,0.865447,0.444643,0.812562,0.380187,0.265571,0.153635
0.018014,0.377811,1594,2062,1159,2474,3314,2407,2271,3090,2966,1499,3419,2302,1630,2204,,0.678529,0.279249,0.080399,0.837838,0.833870,0.754662,0.437788,0.779175,0.865447,0.444643,0.812562,0.381743,0.264706,0.152949
0.018005,0.395816,1593,2062,1159,2475,3313,2407,2272,3091,2966,1500,3419,2308,1629,2204,,0.677936,0.279249,0.080399,0.838919,0.833226,0.754662,0.438710,0.779874,0.865447,0.445536,0.812562,0.384855,0.263841,0.152949
0.017990,0.413805,1593,2062,1159,2475,3313,2407,2272,3091,2966,1500,3419,2308,1629,2204,,0.677936,0.279249,0.080399,0.838919,0.833226,0.754662,0.438710,0.779874,0.865447,0.445536,0.812562,0.384855,0.263841,0.152949
0.018034,0.431839,1594,2061,1159,2474,3313,2407,2272,3092,2965,1500,3418,2307,1628,2203,,0.678529,0.278395,0.080399,0.837838,0.833226,0.754662,0.438710,0.780573,0.864370,0.445536,0.811565,0.384336,0.262976,0.152263
