GloveManager recording started on 10/20/16 at 17:50:50

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017190,0.017190,1586,2093,1148,2521,3373,2415,2386,3137,2931,1617,3437,2627,1691,2266,,0.673784,0.305722,0.073944,0.888649,0.871861,0.759324,0.543779,0.812020,0.827772,0.550000,0.830508,0.550311,0.317474,0.195473
0.018001,0.035190,1586,2096,1148,2522,3373,2414,2386,3138,2931,1619,3436,2628,1691,2272,,0.673784,0.308284,0.073944,0.889730,0.871861,0.758741,0.543779,0.812718,0.827772,0.551786,0.829511,0.550830,0.317474,0.199588
0.018025,0.053215,1586,2096,1148,2522,3372,2414,2387,3139,2931,1620,3438,2625,1688,2285,,0.673784,0.308284,0.073944,0.889730,0.871217,0.758741,0.544700,0.813417,0.827772,0.552679,0.831505,0.549274,0.314879,0.208505
0.017975,0.071190,1587,2097,1148,2520,3372,2414,2384,3138,2932,1617,3439,2599,1685,2335,,0.674377,0.309137,0.073944,0.887568,0.871217,0.758741,0.541936,0.812718,0.828848,0.550000,0.832502,0.535788,0.312284,0.242798
0.018030,0.089220,1587,2097,1148,2520,3372,2414,2384,3138,2932,1617,3439,2599,1685,2335,,0.674377,0.309137,0.073944,0.887568,0.871217,0.758741,0.541936,0.812718,0.828848,0.550000,0.832502,0.535788,0.312284,0.242798
0.017964,0.107184,1586,2097,1148,2520,3373,2414,2381,3140,2932,1617,3439,2582,1684,2361,,0.673784,0.309137,0.073944,0.887568,0.871861,0.758741,0.539171,0.814116,0.828848,0.550000,0.832502,0.526971,0.311419,0.260631
0.018029,0.125213,1586,2097,1148,2520,3373,2414,2381,3140,2932,1617,3439,2582,1684,2361,,0.673784,0.309137,0.073944,0.887568,0.871861,0.758741,0.539171,0.814116,0.828848,0.550000,0.832502,0.526971,0.311419,0.260631
0.018022,0.143235,1586,2098,1148,2520,3372,2415,2385,3139,2932,1619,3441,2580,1684,2363,,0.673784,0.309991,0.073944,0.887568,0.871217,0.759324,0.542857,0.813417,0.828848,0.551786,0.834496,0.525934,0.311419,0.262003
0.017996,0.161232,1586,2097,1148,2521,3373,2415,2385,3140,2933,1619,3440,2568,1684,2362,,0.673784,0.309137,0.073944,0.888649,0.871861,0.759324,0.542857,0.814116,0.829925,0.551786,0.833499,0.519710,0.311419,0.261317
