GloveManager recording started on 10/20/16 at 17:52:26

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017650,0.017650,1569,2081,1175,2542,3401,2386,2355,3171,2992,1571,3408,2113,1697,2223,,0.663701,0.295474,0.089789,0.911351,0.889891,0.742424,0.515207,0.835779,0.893434,0.508929,0.801595,0.283714,0.322664,0.165981
0.017988,0.035638,1569,2082,1175,2543,3401,2386,2355,3171,2992,1571,3407,2113,1697,2223,,0.663701,0.296328,0.089789,0.912432,0.889891,0.742424,0.515207,0.835779,0.893434,0.508929,0.800598,0.283714,0.322664,0.165981
0.018003,0.053640,1569,2081,1175,2543,3401,2385,2355,3171,2992,1571,3408,2114,1697,2223,,0.663701,0.295474,0.089789,0.912432,0.889891,0.741841,0.515207,0.835779,0.893434,0.508929,0.801595,0.284232,0.322664,0.165981
0.018000,0.071640,1569,2082,1174,2542,3401,2385,2355,3171,2992,1571,3408,2113,1697,2223,,0.663701,0.296328,0.089202,0.911351,0.889891,0.741841,0.515207,0.835779,0.893434,0.508929,0.801595,0.283714,0.322664,0.165981
0.018008,0.089649,1568,2081,1175,2543,3402,2385,2356,3171,2993,1571,3407,2113,1697,2223,,0.663108,0.295474,0.089789,0.912432,0.890534,0.741841,0.516129,0.835779,0.894510,0.508929,0.800598,0.283714,0.322664,0.165981
0.017985,0.107633,1568,2083,1175,2544,3401,2385,2355,3172,2992,1571,3407,2112,1697,2223,,0.663108,0.297182,0.089789,0.913514,0.889891,0.741841,0.515207,0.836478,0.893434,0.508929,0.800598,0.283195,0.322664,0.165981
0.018015,0.125648,1569,2082,1175,2543,3403,2385,2356,3171,2992,1571,3408,2112,1696,2223,,0.663701,0.296328,0.089789,0.912432,0.891178,0.741841,0.516129,0.835779,0.893434,0.508929,0.801595,0.283195,0.321799,0.165981
0.017997,0.143646,1569,2083,1175,2543,3402,2386,2355,3172,2992,1571,3408,2112,1697,2222,,0.663701,0.297182,0.089789,0.912432,0.890534,0.742424,0.515207,0.836478,0.893434,0.508929,0.801595,0.283195,0.322664,0.165295
0.018002,0.161648,1569,2083,1176,2544,3402,2385,2356,3171,2992,1571,3407,2111,1697,2222,,0.663701,0.297182,0.090376,0.913514,0.890534,0.741841,0.516129,0.835779,0.893434,0.508929,0.800598,0.282676,0.322664,0.165295
0.017978,0.179626,1569,2083,1175,2543,3402,2385,2356,3172,2992,1571,3408,2111,1697,2223,,0.663701,0.297182,0.089789,0.912432,0.890534,0.741841,0.516129,0.836478,0.893434,0.508929,0.801595,0.282676,0.322664,0.165981
0.018024,0.197650,1568,2083,1175,2543,3402,2386,2356,3171,2992,1570,3408,2113,1697,2222,,0.663108,0.297182,0.089789,0.912432,0.890534,0.742424,0.516129,0.835779,0.893434,0.508036,0.801595,0.283714,0.322664,0.165295
0.017977,0.215627,1568,2082,1175,2543,3402,2385,2356,3172,2992,1570,3408,2113,1697,2223,,0.663108,0.296328,0.089789,0.912432,0.890534,0.741841,0.516129,0.836478,0.893434,0.508036,0.801595,0.283714,0.322664,0.165981
0.018030,0.233657,1569,2083,1175,2543,3402,2386,2356,3172,2992,1571,3408,2113,1697,2223,,0.663701,0.297182,0.089789,0.912432,0.890534,0.742424,0.516129,0.836478,0.893434,0.508929,0.801595,0.283714,0.322664,0.165981
0.017994,0.251652,1569,2082,1174,2543,3402,2386,2356,3171,2992,1569,3408,2113,1697,2223,,0.663701,0.296328,0.089202,0.912432,0.890534,0.742424,0.516129,0.835779,0.893434,0.507143,0.801595,0.283714,0.322664,0.165981
0.018001,0.269653,1569,2082,1174,2543,3402,2386,2356,3171,2992,1569,3408,2113,1697,2223,,0.663701,0.296328,0.089202,0.912432,0.890534,0.742424,0.516129,0.835779,0.893434,0.507143,0.801595,0.283714,0.322664,0.165981
0.019026,0.288679,1569,2081,1175,2542,3401,2385,2356,3170,2991,1570,3408,2113,1697,2223,,0.663701,0.295474,0.089789,0.911351,0.889891,0.741841,0.516129,0.835080,0.892357,0.508036,0.801595,0.283714,0.322664,0.165981
0.017929,0.306608,1569,2081,1174,2542,3401,2385,2355,3171,2992,1570,3408,2114,1697,2223,,0.663701,0.295474,0.089202,0.911351,0.889891,0.741841,0.515207,0.835779,0.893434,0.508036,0.801595,0.284232,0.322664,0.165981
0.018026,0.324634,1568,2081,1174,2543,3401,2386,2355,3171,2991,1570,3408,2114,1697,2223,,0.663108,0.295474,0.089202,0.912432,0.889891,0.742424,0.515207,0.835779,0.892357,0.508036,0.801595,0.284232,0.322664,0.165981
0.018022,0.342656,1569,2081,1174,2543,3402,2386,2355,3171,2993,1571,3408,2114,1697,2223,,0.663701,0.295474,0.089202,0.912432,0.890534,0.742424,0.515207,0.835779,0.894510,0.508929,0.801595,0.284232,0.322664,0.165981
0.018014,0.360671,1569,2082,1175,2543,3402,2386,2355,3172,2993,1570,3408,2114,1696,2222,,0.663701,0.296328,0.089789,0.912432,0.890534,0.742424,0.515207,0.836478,0.894510,0.508036,0.801595,0.284232,0.321799,0.165295
0.017991,0.378662,1569,2081,1175,2543,3403,2386,2355,3172,2991,1570,3408,2115,1696,2223,,0.663701,0.295474,0.089789,0.912432,0.891178,0.742424,0.515207,0.836478,0.892357,0.508036,0.801595,0.284751,0.321799,0.165981
