GloveManager recording started on 10/20/16 at 17:52:52

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017536,0.017536,1607,2089,1164,2458,3340,2380,2304,3227,2974,1494,3422,2098,1703,2220,,0.686240,0.302306,0.083333,0.820541,0.850612,0.738928,0.468203,0.874913,0.874058,0.440179,0.815553,0.275934,0.327855,0.163923
0.017998,0.035534,1606,2089,1163,2458,3340,2381,2305,3228,2974,1493,3421,2099,1703,2220,,0.685646,0.302306,0.082746,0.820541,0.850612,0.739510,0.469124,0.875611,0.874058,0.439286,0.814556,0.276452,0.327855,0.163923
0.018003,0.053537,1606,2089,1163,2457,3340,2380,2305,3228,2974,1494,3420,2099,1704,2220,,0.685646,0.302306,0.082746,0.819459,0.850612,0.738928,0.469124,0.875611,0.874058,0.440179,0.813559,0.276452,0.328720,0.163923
0.017999,0.071536,1606,2088,1164,2457,3341,2380,2304,3227,2974,1493,3421,2099,1704,2220,,0.685646,0.301452,0.083333,0.819459,0.851256,0.738928,0.468203,0.874913,0.874058,0.439286,0.814556,0.276452,0.328720,0.163923
0.018003,0.089539,1606,2088,1164,2457,3340,2381,2304,3228,2975,1493,3421,2099,1703,2219,,0.685646,0.301452,0.083333,0.819459,0.850612,0.739510,0.468203,0.875611,0.875135,0.439286,0.814556,0.276452,0.327855,0.163237
0.017998,0.107537,1606,2088,1163,2457,3340,2379,2304,3227,2974,1493,3420,2099,1703,2220,,0.685646,0.301452,0.082746,0.819459,0.850612,0.738345,0.468203,0.874913,0.874058,0.439286,0.813559,0.276452,0.327855,0.163923
0.017980,0.125516,1606,2089,1163,2457,3341,2380,2304,3227,2974,1492,3421,2099,1703,2220,,0.685646,0.302306,0.082746,0.819459,0.851256,0.738928,0.468203,0.874913,0.874058,0.438393,0.814556,0.276452,0.327855,0.163923
0.018023,0.143539,1606,2088,1163,2457,3340,2380,2304,3228,2974,1493,3421,2100,1703,2219,,0.685646,0.301452,0.082746,0.819459,0.850612,0.738928,0.468203,0.875611,0.874058,0.439286,0.814556,0.276971,0.327855,0.163237
0.018005,0.161545,1606,2089,1164,2458,3340,2380,2303,3228,2975,1494,3421,2099,1703,2219,,0.685646,0.302306,0.083333,0.820541,0.850612,0.738928,0.467281,0.875611,0.875135,0.440179,0.814556,0.276452,0.327855,0.163237
