GloveManager recording started on 10/20/16 at 17:53:08

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017218,0.017218,1352,1990,1685,2141,2403,1915,2239,2481,2656,1657,3541,3014,1979,2934,,0.534994,0.217763,0.389085,0.477838,0.247263,0.467949,0.408295,0.353599,0.531755,0.585714,0.934197,0.751037,0.566609,0.653635
0.018012,0.035229,1351,1987,1682,2142,2404,1914,2243,2478,2655,1655,3541,3014,1979,2935,,0.534401,0.215201,0.387324,0.478919,0.247907,0.467366,0.411982,0.351502,0.530678,0.583929,0.934197,0.751037,0.566609,0.654321
0.017999,0.053229,1352,1986,1682,2142,2403,1915,2245,2477,2656,1656,3541,3014,1980,2936,,0.534994,0.214347,0.387324,0.478919,0.247263,0.467949,0.413825,0.350804,0.531755,0.584821,0.934197,0.751037,0.567474,0.655007
0.018003,0.071232,1352,1985,1681,2141,2403,1915,2245,2477,2656,1655,3540,3014,1979,2936,,0.534994,0.213493,0.386737,0.477838,0.247263,0.467949,0.413825,0.350804,0.531755,0.583929,0.933200,0.751037,0.566609,0.655007
0.017990,0.089222,1352,1985,1681,2141,2403,1915,2246,2476,2656,1657,3541,3015,1980,2936,,0.534994,0.213493,0.386737,0.477838,0.247263,0.467949,0.414747,0.350105,0.531755,0.585714,0.934197,0.751556,0.567474,0.655007
0.018002,0.107224,1352,1985,1681,2141,2403,1915,2247,2475,2657,1654,3540,3014,1979,2935,,0.534994,0.213493,0.386737,0.477838,0.247263,0.467949,0.415668,0.349406,0.532831,0.583036,0.933200,0.751037,0.566609,0.654321
0.017988,0.125212,1352,1985,1682,2141,2404,1914,2245,2475,2657,1655,3541,3014,1979,2936,,0.534994,0.213493,0.387324,0.477838,0.247907,0.467366,0.413825,0.349406,0.532831,0.583929,0.934197,0.751037,0.566609,0.655007
0.018021,0.143233,1352,1985,1682,2142,2403,1914,2244,2474,2657,1654,3541,3014,1979,2936,,0.534994,0.213493,0.387324,0.478919,0.247263,0.467366,0.412903,0.348707,0.532831,0.583036,0.934197,0.751037,0.566609,0.655007
0.018001,0.161234,1353,1985,1682,2142,2403,1913,2245,2474,2658,1653,3541,3014,1978,2936,,0.535587,0.213493,0.387324,0.478919,0.247263,0.466783,0.413825,0.348707,0.533907,0.582143,0.934197,0.751037,0.565744,0.655007
