GloveManager recording started on 10/20/16 at 17:53:22

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017428,0.017428,1354,2010,1573,2248,2398,2014,2518,2443,2724,1773,3531,3051,2066,2903,,0.536180,0.234842,0.323357,0.593513,0.244044,0.525641,0.665438,0.327044,0.604952,0.689286,0.924227,0.770228,0.641869,0.632373
0.017995,0.035423,1354,2010,1573,2248,2398,2014,2518,2443,2724,1773,3531,3051,2066,2903,,0.536180,0.234842,0.323357,0.593513,0.244044,0.525641,0.665438,0.327044,0.604952,0.689286,0.924227,0.770228,0.641869,0.632373
0.017998,0.053421,1354,2008,1573,2248,2398,2028,2507,2446,2726,1770,3530,3050,2064,2902,,0.536180,0.233134,0.323357,0.593513,0.244044,0.533800,0.655300,0.329140,0.607104,0.686607,0.923230,0.769710,0.640138,0.631687
0.018000,0.071422,1354,2008,1574,2248,2398,2046,2497,2450,2731,1768,3530,3050,2062,2903,,0.536180,0.233134,0.323944,0.593513,0.244044,0.544289,0.646083,0.331936,0.612487,0.684821,0.923230,0.769710,0.638408,0.632373
0.017999,0.089421,1354,2007,1578,2246,2398,2078,2473,2454,2737,1764,3531,3049,2061,2902,,0.536180,0.232280,0.326291,0.591351,0.244044,0.562937,0.623963,0.334731,0.618945,0.681250,0.924227,0.769191,0.637543,0.631687
0.018005,0.107426,1354,2006,1579,2246,2397,2087,2465,2455,2737,1764,3530,3050,2060,2902,,0.536180,0.231426,0.326878,0.591351,0.243400,0.568182,0.616590,0.335430,0.618945,0.681250,0.923230,0.769710,0.636678,0.631687
0.018000,0.125426,1354,2006,1579,2246,2396,2087,2464,2452,2739,1764,3530,3050,2060,2901,,0.536180,0.231426,0.326878,0.591351,0.242756,0.568182,0.615668,0.333333,0.621098,0.681250,0.923230,0.769710,0.636678,0.631001
0.018027,0.143453,1353,2006,1580,2246,2397,2088,2465,2450,2738,1764,3529,3050,2060,2902,,0.535587,0.231426,0.327465,0.591351,0.243400,0.568765,0.616590,0.331936,0.620022,0.681250,0.922233,0.769710,0.636678,0.631687
0.017971,0.161424,1354,2006,1580,2246,2396,2088,2465,2448,2739,1765,3530,3050,2060,2901,,0.536180,0.231426,0.327465,0.591351,0.242756,0.568765,0.616590,0.330538,0.621098,0.682143,0.923230,0.769710,0.636678,0.631001
