GloveManager recording started on 10/20/16 at 17:53:31

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017530,0.017530,1403,1889,1225,1967,2494,2023,2589,3218,2925,1645,3497,2978,2069,3001,,0.565243,0.131512,0.119131,0.289730,0.305860,0.530886,0.730876,0.868623,0.821313,0.575000,0.890329,0.732365,0.644464,0.699588
0.017942,0.035472,1402,1889,1225,1967,2494,2023,2590,3218,2924,1645,3498,2978,2068,3001,,0.564650,0.131512,0.119131,0.289730,0.305860,0.530886,0.731797,0.868623,0.820237,0.575000,0.891326,0.732365,0.643599,0.699588
0.018037,0.053509,1403,1889,1225,1968,2493,2022,2591,3218,2924,1646,3498,2978,2069,3002,,0.565243,0.131512,0.119131,0.290811,0.305216,0.530303,0.732719,0.868623,0.820237,0.575893,0.891326,0.732365,0.644464,0.700274
0.018014,0.071522,1403,1889,1225,1968,2493,2022,2591,3218,2924,1646,3498,2978,2069,3002,,0.565243,0.131512,0.119131,0.290811,0.305216,0.530303,0.732719,0.868623,0.820237,0.575893,0.891326,0.732365,0.644464,0.700274
0.017999,0.089521,1402,1889,1224,1969,2492,2023,2592,3219,2924,1648,3497,2978,2070,3003,,0.564650,0.131512,0.118545,0.291892,0.304572,0.530886,0.733641,0.869322,0.820237,0.577679,0.890329,0.732365,0.645329,0.700960
0.017990,0.107511,1402,1888,1224,1967,2492,2023,2593,3218,2924,1649,3498,2978,2070,3002,,0.564650,0.130658,0.118545,0.289730,0.304572,0.530886,0.734562,0.868623,0.820237,0.578571,0.891326,0.732365,0.645329,0.700274
0.017967,0.125478,1401,1888,1224,1968,2491,2023,2593,3218,2924,1649,3498,2978,2069,3002,,0.564057,0.130658,0.118545,0.290811,0.303928,0.530886,0.734562,0.868623,0.820237,0.578571,0.891326,0.732365,0.644464,0.700274
0.018042,0.143519,1401,1888,1224,1969,2492,2023,2593,3218,2924,1649,3498,2978,2070,3002,,0.564057,0.130658,0.118545,0.291892,0.304572,0.530886,0.734562,0.868623,0.820237,0.578571,0.891326,0.732365,0.645329,0.700274
0.018001,0.161521,1401,1888,1225,1968,2491,2023,2593,3218,2923,1649,3498,2978,2069,3003,,0.564057,0.130658,0.119131,0.290811,0.303928,0.530886,0.734562,0.868623,0.819160,0.578571,0.891326,0.732365,0.644464,0.700960
0.018009,0.179530,1401,1889,1224,1969,2491,2023,2593,3218,2923,1650,3497,2978,2070,3004,,0.564057,0.131512,0.118545,0.291892,0.303928,0.530886,0.734562,0.868623,0.819160,0.579464,0.890329,0.732365,0.645329,0.701646
0.018009,0.197539,1402,1888,1224,1969,2491,2023,2592,3218,2924,1649,3498,2977,2070,3003,,0.564650,0.130658,0.118545,0.291892,0.303928,0.530886,0.733641,0.868623,0.820237,0.578571,0.891326,0.731846,0.645329,0.700960
0.017948,0.215487,1401,1888,1223,1970,2491,2022,2593,3218,2924,1649,3498,2978,2070,3002,,0.564057,0.130658,0.117958,0.292973,0.303928,0.530303,0.734562,0.868623,0.820237,0.578571,0.891326,0.732365,0.645329,0.700274
0.018064,0.233551,1400,1888,1223,1970,2491,2023,2593,3218,2923,1649,3498,2979,2072,3002,,0.563464,0.130658,0.117958,0.292973,0.303928,0.530886,0.734562,0.868623,0.819160,0.578571,0.891326,0.732884,0.647059,0.700274
0.017962,0.251513,1402,1889,1224,1970,2491,2023,2594,3218,2923,1652,3498,2978,2072,3004,,0.564650,0.131512,0.118545,0.292973,0.303928,0.530886,0.735484,0.868623,0.819160,0.581250,0.891326,0.732365,0.647059,0.701646
0.018025,0.269539,1401,1888,1224,1970,2490,2023,2594,3218,2924,1652,3498,2978,2071,3004,,0.564057,0.130658,0.118545,0.292973,0.303284,0.530886,0.735484,0.868623,0.820237,0.581250,0.891326,0.732365,0.646194,0.701646
0.017994,0.287533,1401,1889,1224,1970,2490,2022,2595,3218,2923,1651,3499,2978,2071,3004,,0.564057,0.131512,0.118545,0.292973,0.303284,0.530303,0.736406,0.868623,0.819160,0.580357,0.892323,0.732365,0.646194,0.701646
