GloveManager recording started on 10/20/16 at 17:53:50

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017458,0.017458,1422,1920,1215,1964,2513,2067,2616,3241,2898,1722,3482,2991,2117,3044,,0.576512,0.157985,0.113263,0.286486,0.318094,0.556527,0.755760,0.884696,0.792250,0.643750,0.875374,0.739108,0.685986,0.729081
0.018001,0.035459,1423,1920,1215,1965,2513,2067,2617,3241,2898,1723,3482,2990,2117,3043,,0.577106,0.157985,0.113263,0.287568,0.318094,0.556527,0.756682,0.884696,0.792250,0.644643,0.875374,0.738589,0.685986,0.728395
0.018028,0.053487,1422,1920,1215,1964,2513,2068,2617,3241,2899,1724,3483,2991,2118,3044,,0.576512,0.157985,0.113263,0.286486,0.318094,0.557110,0.756682,0.884696,0.793326,0.645536,0.876371,0.739108,0.686851,0.729081
0.018003,0.071490,1422,1920,1215,1965,2512,2068,2618,3240,2898,1723,3482,2991,2118,3043,,0.576512,0.157985,0.113263,0.287568,0.317450,0.557110,0.757604,0.883997,0.792250,0.644643,0.875374,0.739108,0.686851,0.728395
0.018010,0.089500,1423,1921,1215,1965,2513,2068,2618,3241,2899,1724,3482,2991,2118,3044,,0.577106,0.158839,0.113263,0.287568,0.318094,0.557110,0.757604,0.884696,0.793326,0.645536,0.875374,0.739108,0.686851,0.729081
0.017979,0.107479,1423,1921,1214,1965,2512,2068,2618,3241,2898,1723,3483,2991,2117,3043,,0.577106,0.158839,0.112676,0.287568,0.317450,0.557110,0.757604,0.884696,0.792250,0.644643,0.876371,0.739108,0.685986,0.728395
0.018008,0.125487,1423,1921,1215,1965,2512,2069,2618,3241,2898,1724,3483,2991,2118,3044,,0.577106,0.158839,0.113263,0.287568,0.317450,0.557692,0.757604,0.884696,0.792250,0.645536,0.876371,0.739108,0.686851,0.729081
0.018008,0.143495,1423,1921,1215,1965,2512,2069,2618,3241,2898,1724,3483,2991,2118,3044,,0.577106,0.158839,0.113263,0.287568,0.317450,0.557692,0.757604,0.884696,0.792250,0.645536,0.876371,0.739108,0.686851,0.729081
0.018000,0.161494,1423,1921,1215,1965,2511,2068,2618,3241,2898,1724,3483,2991,2119,3043,,0.577106,0.158839,0.113263,0.287568,0.316806,0.557110,0.757604,0.884696,0.792250,0.645536,0.876371,0.739108,0.687716,0.728395
