GloveManager recording started on 10/20/16 at 17:54:04

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017469,0.017469,1808,2320,1601,2459,3128,2400,2381,2986,2984,1428,3427,2703,2049,2988,,0.805457,0.499573,0.339789,0.821622,0.714102,0.750583,0.539171,0.706499,0.884822,0.381250,0.820538,0.589730,0.627163,0.690672
0.018028,0.035496,1807,2319,1600,2459,3128,2400,2381,2986,2982,1428,3426,2704,2050,2988,,0.804864,0.498719,0.339202,0.821622,0.714102,0.750583,0.539171,0.706499,0.882670,0.381250,0.819541,0.590249,0.628028,0.690672
0.018001,0.053497,1807,2319,1600,2460,3127,2399,2381,2985,2983,1428,3425,2703,2049,2987,,0.804864,0.498719,0.339202,0.822703,0.713458,0.750000,0.539171,0.705800,0.883746,0.381250,0.818544,0.589730,0.627163,0.689986
0.017979,0.071476,1807,2319,1600,2460,3127,2399,2381,2985,2983,1428,3425,2703,2049,2987,,0.804864,0.498719,0.339202,0.822703,0.713458,0.750000,0.539171,0.705800,0.883746,0.381250,0.818544,0.589730,0.627163,0.689986
0.018022,0.089498,1806,2319,1600,2460,3127,2399,2381,2986,2983,1429,3427,2704,2050,2988,,0.804270,0.498719,0.339202,0.822703,0.713458,0.750000,0.539171,0.706499,0.883746,0.382143,0.820538,0.590249,0.628028,0.690672
0.018000,0.107499,1806,2319,1600,2460,3127,2399,2381,2986,2983,1429,3427,2704,2050,2988,,0.804270,0.498719,0.339202,0.822703,0.713458,0.750000,0.539171,0.706499,0.883746,0.382143,0.820538,0.590249,0.628028,0.690672
0.017993,0.125492,1805,2319,1599,2459,3127,2399,2380,2986,2982,1427,3427,2702,2049,2986,,0.803677,0.498719,0.338615,0.821622,0.713458,0.750000,0.538249,0.706499,0.882670,0.380357,0.820538,0.589212,0.627163,0.689300
0.017989,0.143481,1805,2319,1599,2460,3127,2399,2381,2986,2983,1428,3427,2703,2049,2986,,0.803677,0.498719,0.338615,0.822703,0.713458,0.750000,0.539171,0.706499,0.883746,0.381250,0.820538,0.589730,0.627163,0.689300
0.018020,0.161501,1805,2319,1599,2460,3126,2399,2380,2985,2982,1427,3427,2703,2049,2986,,0.803677,0.498719,0.338615,0.822703,0.712814,0.750000,0.538249,0.705800,0.882670,0.380357,0.820538,0.589730,0.627163,0.689300
0.018002,0.179503,1804,2319,1598,2459,3126,2400,2381,2985,2983,1427,3426,2702,2049,2984,,0.803084,0.498719,0.338028,0.821622,0.712814,0.750583,0.539171,0.705800,0.883746,0.380357,0.819541,0.589212,0.627163,0.687929
0.017992,0.197496,1804,2319,1598,2459,3126,2400,2381,2986,2983,1428,3426,2703,2049,2984,,0.803084,0.498719,0.338028,0.821622,0.712814,0.750583,0.539171,0.706499,0.883746,0.381250,0.819541,0.589730,0.627163,0.687929
0.017978,0.215474,1804,2319,1598,2459,3126,2400,2381,2986,2983,1428,3426,2703,2049,2984,,0.803084,0.498719,0.338028,0.821622,0.712814,0.750583,0.539171,0.706499,0.883746,0.381250,0.819541,0.589730,0.627163,0.687929
0.018026,0.233500,1803,2320,1598,2460,3126,2399,2381,2985,2983,1427,3427,2703,2049,2985,,0.802491,0.499573,0.338028,0.822703,0.712814,0.750000,0.539171,0.705800,0.883746,0.380357,0.820538,0.589730,0.627163,0.688615
0.018007,0.251507,1804,2320,1598,2459,3125,2399,2380,2985,2983,1428,3426,2703,2049,2984,,0.803084,0.499573,0.338028,0.821622,0.712170,0.750000,0.538249,0.705800,0.883746,0.381250,0.819541,0.589730,0.627163,0.687929
0.017979,0.269485,1803,2319,1598,2459,3126,2399,2381,2985,2983,1428,3426,2703,2049,2983,,0.802491,0.498719,0.338028,0.821622,0.712814,0.750000,0.539171,0.705800,0.883746,0.381250,0.819541,0.589730,0.627163,0.687243
0.018013,0.287498,1803,2319,1598,2460,3126,2399,2381,2985,2982,1428,3426,2703,2049,2984,,0.802491,0.498719,0.338028,0.822703,0.712814,0.750000,0.539171,0.705800,0.882670,0.381250,0.819541,0.589730,0.627163,0.687929
0.018010,0.305508,1804,2319,1598,2460,3125,2399,2381,2985,2983,1427,3426,2703,2050,2984,,0.803084,0.498719,0.338028,0.822703,0.712170,0.750000,0.539171,0.705800,0.883746,0.380357,0.819541,0.589730,0.628028,0.687929
0.018001,0.323509,1802,2319,1598,2460,3126,2400,2381,2985,2983,1427,3426,2704,2050,2984,,0.801898,0.498719,0.338028,0.822703,0.712814,0.750583,0.539171,0.705800,0.883746,0.380357,0.819541,0.590249,0.628028,0.687929
0.017991,0.341500,1801,2319,1598,2460,3125,2399,2381,2985,2982,1428,3427,2704,2050,2985,,0.801305,0.498719,0.338028,0.822703,0.712170,0.750000,0.539171,0.705800,0.882670,0.381250,0.820538,0.590249,0.628028,0.688615
0.018003,0.359503,1802,2320,1597,2460,3126,2399,2381,2984,2982,1428,3426,2703,2049,2985,,0.801898,0.499573,0.337441,0.822703,0.712814,0.750000,0.539171,0.705101,0.882670,0.381250,0.819541,0.589730,0.627163,0.688615
0.018031,0.377534,1802,2320,1598,2461,3126,2399,2382,2984,2983,1428,3427,2703,2050,2985,,0.801898,0.499573,0.338028,0.823784,0.712814,0.750000,0.540092,0.705101,0.883746,0.381250,0.820538,0.589730,0.628028,0.688615
0.017971,0.395505,1803,2320,1598,2460,3126,2399,2382,2984,2983,1429,3426,2704,2050,2985,,0.802491,0.499573,0.338028,0.822703,0.712814,0.750000,0.540092,0.705101,0.883746,0.382143,0.819541,0.590249,0.628028,0.688615
0.017998,0.413503,1802,2320,1598,2460,3126,2399,2381,2985,2983,1429,3426,2704,2050,2986,,0.801898,0.499573,0.338028,0.822703,0.712814,0.750000,0.539171,0.705800,0.883746,0.382143,0.819541,0.590249,0.628028,0.689300
0.018036,0.431538,1803,2321,1597,2460,3127,2399,2381,2985,2983,1428,3426,2705,2049,2986,,0.802491,0.500427,0.337441,0.822703,0.713458,0.750000,0.539171,0.705800,0.883746,0.381250,0.819541,0.590768,0.627163,0.689300
0.017968,0.449506,1803,2320,1597,2460,3126,2399,2380,2985,2983,1426,3427,2704,2049,2986,,0.802491,0.499573,0.337441,0.822703,0.712814,0.750000,0.538249,0.705800,0.883746,0.379464,0.820538,0.590249,0.627163,0.689300
0.018017,0.467524,1803,2320,1596,2460,3127,2399,2380,2986,2983,1428,3427,2705,2049,2987,,0.802491,0.499573,0.336854,0.822703,0.713458,0.750000,0.538249,0.706499,0.883746,0.381250,0.820538,0.590768,0.627163,0.689986
0.018007,0.485531,1804,2320,1596,2459,3127,2399,2380,2986,2983,1427,3426,2705,2048,2986,,0.803084,0.499573,0.336854,0.821622,0.713458,0.750000,0.538249,0.706499,0.883746,0.380357,0.819541,0.590768,0.626298,0.689300
0.017988,0.503519,1803,2321,1595,2459,3127,2399,2380,2985,2982,1427,3427,2705,2048,2987,,0.802491,0.500427,0.336268,0.821622,0.713458,0.750000,0.538249,0.705800,0.882670,0.380357,0.820538,0.590768,0.626298,0.689986
0.018008,0.521527,1804,2321,1596,2460,3128,2399,2380,2985,2983,1427,3427,2705,2049,2987,,0.803084,0.500427,0.336854,0.822703,0.714102,0.750000,0.538249,0.705800,0.883746,0.380357,0.820538,0.590768,0.627163,0.689986
0.017993,0.539520,1805,2321,1595,2459,3128,2399,2380,2986,2982,1427,3427,2705,2048,2986,,0.803677,0.500427,0.336268,0.821622,0.714102,0.750000,0.538249,0.706499,0.882670,0.380357,0.820538,0.590768,0.626298,0.689300
0.018001,0.557522,1805,2321,1595,2459,3128,2399,2380,2986,2982,1427,3427,2705,2048,2986,,0.803677,0.500427,0.336268,0.821622,0.714102,0.750000,0.538249,0.706499,0.882670,0.380357,0.820538,0.590768,0.626298,0.689300
0.017991,0.575513,1804,2320,1595,2459,3128,2399,2379,2986,2982,1426,3426,2704,2048,2986,,0.803084,0.499573,0.336268,0.821622,0.714102,0.750000,0.537327,0.706499,0.882670,0.379464,0.819541,0.590249,0.626298,0.689300
0.018046,0.593559,1804,2320,1595,2459,3128,2399,2379,2986,2982,1426,3426,2704,2048,2986,,0.803084,0.499573,0.336268,0.821622,0.714102,0.750000,0.537327,0.706499,0.882670,0.379464,0.819541,0.590249,0.626298,0.689300
0.017956,0.611515,1804,2320,1597,2460,3128,2400,2380,2987,2983,1427,3426,2704,2049,2986,,0.803084,0.499573,0.337441,0.822703,0.714102,0.750583,0.538249,0.707198,0.883746,0.380357,0.819541,0.590249,0.627163,0.689300
0.018013,0.629528,1804,2321,1597,2460,3127,2399,2379,2986,2983,1427,3427,2704,2049,2986,,0.803084,0.500427,0.337441,0.822703,0.713458,0.750000,0.537327,0.706499,0.883746,0.380357,0.820538,0.590249,0.627163,0.689300
0.018000,0.647528,1804,2320,1596,2459,3127,2399,2378,2985,2983,1427,3427,2704,2049,2985,,0.803084,0.499573,0.336854,0.821622,0.713458,0.750000,0.536406,0.705800,0.883746,0.380357,0.820538,0.590249,0.627163,0.688615
0.017989,0.665517,1804,2320,1596,2459,3127,2399,2379,2986,2983,1426,3427,2704,2050,2986,,0.803084,0.499573,0.336854,0.821622,0.713458,0.750000,0.537327,0.706499,0.883746,0.379464,0.820538,0.590249,0.628028,0.689300
0.017979,0.683496,1803,2320,1596,2460,3127,2399,2379,2986,2982,1426,3427,2704,2048,2985,,0.802491,0.499573,0.336854,0.822703,0.713458,0.750000,0.537327,0.706499,0.882670,0.379464,0.820538,0.590249,0.626298,0.688615
0.018056,0.701552,1804,2320,1596,2460,3127,2398,2379,2985,2982,1426,3426,2704,2050,2985,,0.803084,0.499573,0.336854,0.822703,0.713458,0.749417,0.537327,0.705800,0.882670,0.379464,0.819541,0.590249,0.628028,0.688615
0.017980,0.719531,1803,2321,1596,2460,3127,2399,2379,2986,2983,1427,3427,2704,2049,2986,,0.802491,0.500427,0.336854,0.822703,0.713458,0.750000,0.537327,0.706499,0.883746,0.380357,0.820538,0.590249,0.627163,0.689300
0.017969,0.737500,1803,2320,1596,2459,3127,2399,2378,2986,2983,1427,3426,2703,2049,2985,,0.802491,0.499573,0.336854,0.821622,0.713458,0.750000,0.536406,0.706499,0.883746,0.380357,0.819541,0.589730,0.627163,0.688615
0.018025,0.755525,1804,2320,1597,2460,3127,2399,2378,2985,2983,1427,3427,2704,2049,2985,,0.803084,0.499573,0.337441,0.822703,0.713458,0.750000,0.536406,0.705800,0.883746,0.380357,0.820538,0.590249,0.627163,0.688615
0.018013,0.773538,1803,2320,1597,2460,3127,2399,2379,2985,2983,1426,3427,2704,2048,2985,,0.802491,0.499573,0.337441,0.822703,0.713458,0.750000,0.537327,0.705800,0.883746,0.379464,0.820538,0.590249,0.626298,0.688615
