GloveManager recording started on 10/20/16 at 17:54:16

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017376,0.017376,1738,2270,1510,2495,3113,2504,2522,3096,2801,1650,3484,2994,2041,2983,,0.763938,0.456874,0.286385,0.860541,0.704443,0.811189,0.669124,0.783368,0.687836,0.579464,0.877368,0.740664,0.620242,0.687243
0.018004,0.035380,1738,2270,1511,2494,3114,2504,2522,3096,2801,1650,3484,2995,2040,2983,,0.763938,0.456874,0.286972,0.859459,0.705087,0.811189,0.669124,0.783368,0.687836,0.579464,0.877368,0.741183,0.619377,0.687243
0.018002,0.053382,1738,2270,1512,2494,3114,2504,2522,3096,2800,1649,3484,2994,2041,2984,,0.763938,0.456874,0.287559,0.859459,0.705087,0.811189,0.669124,0.783368,0.686760,0.578571,0.877368,0.740664,0.620242,0.687929
0.018000,0.071382,1739,2270,1511,2494,3114,2503,2522,3096,2801,1650,3484,2996,2041,2984,,0.764531,0.456874,0.286972,0.859459,0.705087,0.810606,0.669124,0.783368,0.687836,0.579464,0.877368,0.741701,0.620242,0.687929
0.018000,0.089382,1739,2270,1510,2494,3114,2504,2522,3096,2801,1650,3485,2995,2041,2984,,0.764531,0.456874,0.286385,0.859459,0.705087,0.811189,0.669124,0.783368,0.687836,0.579464,0.878365,0.741183,0.620242,0.687929
0.017997,0.107380,1738,2271,1511,2494,3113,2504,2523,3096,2801,1651,3485,2996,2043,2984,,0.763938,0.457728,0.286972,0.859459,0.704443,0.811189,0.670046,0.783368,0.687836,0.580357,0.878365,0.741701,0.621972,0.687929
0.018073,0.125453,1738,2271,1512,2494,3114,2503,2523,3096,2800,1651,3485,2995,2042,2985,,0.763938,0.457728,0.287559,0.859459,0.705087,0.810606,0.670046,0.783368,0.686760,0.580357,0.878365,0.741183,0.621107,0.688615
0.017956,0.143409,1738,2272,1511,2495,3113,2503,2523,3096,2801,1651,3485,2994,2043,2985,,0.763938,0.458582,0.286972,0.860541,0.704443,0.810606,0.670046,0.783368,0.687836,0.580357,0.878365,0.740664,0.621972,0.688615
0.018001,0.161409,1738,2271,1511,2495,3113,2503,2524,3096,2801,1652,3485,2994,2043,2986,,0.763938,0.457728,0.286972,0.860541,0.704443,0.810606,0.670968,0.783368,0.687836,0.581250,0.878365,0.740664,0.621972,0.689300
0.017999,0.179408,1738,2271,1511,2495,3113,2503,2524,3096,2801,1652,3485,2994,2043,2986,,0.763938,0.457728,0.286972,0.860541,0.704443,0.810606,0.670968,0.783368,0.687836,0.581250,0.878365,0.740664,0.621972,0.689300
0.018021,0.197429,1738,2272,1511,2495,3113,2503,2524,3096,2801,1653,3485,2995,2043,2986,,0.763938,0.458582,0.286972,0.860541,0.704443,0.810606,0.670968,0.783368,0.687836,0.582143,0.878365,0.741183,0.621972,0.689300
0.017997,0.215426,1738,2272,1511,2495,3113,2503,2524,3096,2801,1653,3485,2995,2043,2986,,0.763938,0.458582,0.286972,0.860541,0.704443,0.810606,0.670968,0.783368,0.687836,0.582143,0.878365,0.741183,0.621972,0.689300
0.017989,0.233415,1737,2271,1510,2495,3113,2503,2524,3096,2801,1654,3486,2995,2043,2987,,0.763345,0.457728,0.286385,0.860541,0.704443,0.810606,0.670968,0.783368,0.687836,0.583036,0.879362,0.741183,0.621972,0.689986
0.017953,0.251367,1738,2271,1511,2496,3113,2503,2522,3096,2801,1653,3486,2995,2044,2986,,0.763938,0.457728,0.286972,0.861622,0.704443,0.810606,0.669124,0.783368,0.687836,0.582143,0.879362,0.741183,0.622837,0.689300
0.018047,0.269415,1737,2271,1511,2495,3112,2503,2524,3097,2800,1654,3486,2994,2044,2987,,0.763345,0.457728,0.286972,0.860541,0.703799,0.810606,0.670968,0.784067,0.686760,0.583036,0.879362,0.740664,0.622837,0.689986
