GloveManager recording started on 10/20/16 at 17:54:31

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017618,0.017618,1695,2218,1562,2447,3190,2526,2441,3158,2846,1617,3513,3008,1963,3081,,0.738434,0.412468,0.316901,0.808649,0.754024,0.824009,0.594470,0.826695,0.736276,0.550000,0.906281,0.747925,0.552768,0.754458
0.017993,0.035611,1694,2217,1562,2446,3189,2525,2440,3158,2845,1618,3512,3008,1955,3081,,0.737841,0.411614,0.316901,0.807568,0.753381,0.823427,0.593548,0.826695,0.735199,0.550893,0.905284,0.747925,0.545848,0.754458
0.018013,0.053624,1695,2219,1562,2447,3189,2525,2441,3158,2846,1618,3513,3008,1956,3081,,0.738434,0.413322,0.316901,0.808649,0.753381,0.823427,0.594470,0.826695,0.736276,0.550893,0.906281,0.747925,0.546713,0.754458
0.017992,0.071616,1695,2219,1563,2447,3189,2526,2441,3158,2846,1618,3513,3008,1956,3082,,0.738434,0.413322,0.317488,0.808649,0.753381,0.824009,0.594470,0.826695,0.736276,0.550893,0.906281,0.747925,0.546713,0.755144
0.018003,0.089619,1695,2218,1562,2447,3189,2525,2441,3158,2845,1617,3513,3008,1956,3082,,0.738434,0.412468,0.316901,0.808649,0.753381,0.823427,0.594470,0.826695,0.735199,0.550000,0.906281,0.747925,0.546713,0.755144
0.017995,0.107614,1694,2218,1562,2447,3190,2525,2440,3158,2846,1618,3512,3008,1956,3082,,0.737841,0.412468,0.316901,0.808649,0.754024,0.823427,0.593548,0.826695,0.736276,0.550893,0.905284,0.747925,0.546713,0.755144
0.017991,0.125605,1695,2218,1561,2446,3189,2525,2440,3158,2846,1617,3513,3008,1955,3081,,0.738434,0.412468,0.316315,0.807568,0.753381,0.823427,0.593548,0.826695,0.736276,0.550000,0.906281,0.747925,0.545848,0.754458
0.018012,0.143617,1694,2218,1562,2447,3189,2525,2441,3158,2846,1616,3512,3008,1955,3082,,0.737841,0.412468,0.316901,0.808649,0.753381,0.823427,0.594470,0.826695,0.736276,0.549107,0.905284,0.747925,0.545848,0.755144
0.018021,0.161639,1695,2218,1562,2447,3190,2525,2441,3157,2846,1617,3512,3008,1956,3081,,0.738434,0.412468,0.316901,0.808649,0.754024,0.823427,0.594470,0.825996,0.736276,0.550000,0.905284,0.747925,0.546713,0.754458
