GloveManager recording started on 10/20/16 at 17:54:45

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017728,0.017728,1636,1934,1110,2373,2975,2383,2288,2894,2929,1340,3316,2941,1712,2640,,0.703440,0.169940,0.051643,0.728649,0.615583,0.740676,0.453456,0.642208,0.825619,0.302679,0.709870,0.713174,0.335640,0.451989
0.018004,0.035731,1636,1935,1110,2373,2975,2383,2288,2895,2929,1340,3316,2942,1713,2640,,0.703440,0.170794,0.051643,0.728649,0.615583,0.740676,0.453456,0.642907,0.825619,0.302679,0.709870,0.713693,0.336505,0.451989
0.018015,0.053746,1636,1935,1110,2373,2975,2383,2288,2895,2929,1340,3316,2942,1713,2640,,0.703440,0.170794,0.051643,0.728649,0.615583,0.740676,0.453456,0.642907,0.825619,0.302679,0.709870,0.713693,0.336505,0.451989
0.017987,0.071733,1635,1935,1111,2373,2975,2383,2288,2895,2929,1340,3316,2941,1712,2641,,0.702847,0.170794,0.052230,0.728649,0.615583,0.740676,0.453456,0.642907,0.825619,0.302679,0.709870,0.713174,0.335640,0.452675
0.018000,0.089733,1636,1936,1110,2373,2974,2383,2289,2895,2928,1340,3316,2941,1712,2641,,0.703440,0.171648,0.051643,0.728649,0.614939,0.740676,0.454378,0.642907,0.824543,0.302679,0.709870,0.713174,0.335640,0.452675
0.018001,0.107734,1636,1935,1110,2373,2975,2383,2289,2896,2929,1339,3316,2941,1712,2640,,0.703440,0.170794,0.051643,0.728649,0.615583,0.740676,0.454378,0.643606,0.825619,0.301786,0.709870,0.713174,0.335640,0.451989
0.018002,0.125736,1636,1935,1111,2373,2975,2383,2289,2895,2929,1339,3316,2941,1712,2640,,0.703440,0.170794,0.052230,0.728649,0.615583,0.740676,0.454378,0.642907,0.825619,0.301786,0.709870,0.713174,0.335640,0.451989
0.018011,0.143747,1635,1935,1110,2372,2975,2383,2289,2895,2930,1339,3315,2941,1712,2641,,0.702847,0.170794,0.051643,0.727568,0.615583,0.740676,0.454378,0.642907,0.826695,0.301786,0.708873,0.713174,0.335640,0.452675
0.017991,0.161738,1635,1935,1110,2373,2975,2383,2289,2895,2929,1339,3316,2941,1712,2641,,0.702847,0.170794,0.051643,0.728649,0.615583,0.740676,0.454378,0.642907,0.825619,0.301786,0.709870,0.713174,0.335640,0.452675
0.017977,0.179715,1635,1935,1110,2372,2975,2382,2289,2895,2928,1339,3315,2941,1712,2640,,0.702847,0.170794,0.051643,0.727568,0.615583,0.740093,0.454378,0.642907,0.824543,0.301786,0.708873,0.713174,0.335640,0.451989
0.018024,0.197738,1635,1935,1110,2372,2975,2384,2288,2895,2929,1339,3315,2941,1712,2641,,0.702847,0.170794,0.051643,0.727568,0.615583,0.741259,0.453456,0.642907,0.825619,0.301786,0.708873,0.713174,0.335640,0.452675
0.017998,0.215736,1635,1935,1110,2372,2975,2382,2288,2896,2929,1338,3315,2941,1712,2641,,0.702847,0.170794,0.051643,0.727568,0.615583,0.740093,0.453456,0.643606,0.825619,0.300893,0.708873,0.713174,0.335640,0.452675
0.018020,0.233756,1635,1935,1109,2372,2975,2383,2289,2895,2929,1339,3316,2941,1712,2641,,0.702847,0.170794,0.051056,0.727568,0.615583,0.740676,0.454378,0.642907,0.825619,0.301786,0.709870,0.713174,0.335640,0.452675
0.017983,0.251740,1634,1935,1110,2371,2975,2383,2290,2895,2929,1339,3316,2941,1712,2640,,0.702254,0.170794,0.051643,0.726487,0.615583,0.740676,0.455300,0.642907,0.825619,0.301786,0.709870,0.713174,0.335640,0.451989
0.018000,0.269740,1635,1935,1110,2372,2975,2383,2291,2895,2929,1339,3316,2941,1712,2640,,0.702847,0.170794,0.051643,0.727568,0.615583,0.740676,0.456221,0.642907,0.825619,0.301786,0.709870,0.713174,0.335640,0.451989
0.018003,0.287743,1635,1935,1110,2372,2975,2383,2291,2895,2928,1339,3316,2941,1712,2641,,0.702847,0.170794,0.051643,0.727568,0.615583,0.740676,0.456221,0.642907,0.824543,0.301786,0.709870,0.713174,0.335640,0.452675
0.017976,0.305719,1635,1935,1110,2372,2975,2383,2291,2895,2928,1339,3316,2940,1712,2640,,0.702847,0.170794,0.051643,0.727568,0.615583,0.740676,0.456221,0.642907,0.824543,0.301786,0.709870,0.712656,0.335640,0.451989
0.018057,0.323775,1635,1935,1111,2372,2975,2383,2291,2895,2929,1339,3316,2941,1712,2641,,0.702847,0.170794,0.052230,0.727568,0.615583,0.740676,0.456221,0.642907,0.825619,0.301786,0.709870,0.713174,0.335640,0.452675
0.017995,0.341770,1635,1935,1111,2372,2976,2382,2290,2895,2929,1339,3316,2940,1712,2640,,0.702847,0.170794,0.052230,0.727568,0.616227,0.740093,0.455300,0.642907,0.825619,0.301786,0.709870,0.712656,0.335640,0.451989
0.017977,0.359747,1635,1935,1110,2372,2975,2383,2291,2896,2929,1339,3316,2942,1712,2640,,0.702847,0.170794,0.051643,0.727568,0.615583,0.740676,0.456221,0.643606,0.825619,0.301786,0.709870,0.713693,0.335640,0.451989
0.018028,0.377775,1635,1935,1111,2371,2975,2384,2289,2896,2929,1339,3316,2941,1712,2641,,0.702847,0.170794,0.052230,0.726487,0.615583,0.741259,0.454378,0.643606,0.825619,0.301786,0.709870,0.713174,0.335640,0.452675
0.017996,0.395772,1635,1935,1110,2371,2976,2383,2289,2895,2930,1338,3315,2941,1712,2641,,0.702847,0.170794,0.051643,0.726487,0.616227,0.740676,0.454378,0.642907,0.826695,0.300893,0.708873,0.713174,0.335640,0.452675
0.018003,0.413775,1635,1935,1110,2371,2976,2383,2288,2896,2931,1338,3315,2941,1712,2641,,0.702847,0.170794,0.051643,0.726487,0.616227,0.740676,0.453456,0.643606,0.827772,0.300893,0.708873,0.713174,0.335640,0.452675
0.018016,0.431790,1635,1935,1111,2371,2976,2384,2288,2896,2929,1339,3315,2941,1712,2640,,0.702847,0.170794,0.052230,0.726487,0.616227,0.741259,0.453456,0.643606,0.825619,0.301786,0.708873,0.713174,0.335640,0.451989
0.017981,0.449772,1635,1935,1111,2371,2975,2384,2289,2896,2929,1339,3315,2942,1712,2641,,0.702847,0.170794,0.052230,0.726487,0.615583,0.741259,0.454378,0.643606,0.825619,0.301786,0.708873,0.713693,0.335640,0.452675
0.018011,0.467783,1634,1934,1111,2371,2976,2383,2288,2896,2930,1339,3315,2941,1712,2641,,0.702254,0.169940,0.052230,0.726487,0.616227,0.740676,0.453456,0.643606,0.826695,0.301786,0.708873,0.713174,0.335640,0.452675
0.017998,0.485780,1634,1935,1111,2371,2975,2383,2288,2895,2930,1339,3315,2942,1712,2640,,0.702254,0.170794,0.052230,0.726487,0.615583,0.740676,0.453456,0.642907,0.826695,0.301786,0.708873,0.713693,0.335640,0.451989
0.018015,0.503795,1634,1934,1111,2371,2975,2384,2288,2895,2930,1339,3315,2941,1713,2640,,0.702254,0.169940,0.052230,0.726487,0.615583,0.741259,0.453456,0.642907,0.826695,0.301786,0.708873,0.713174,0.336505,0.451989
0.017986,0.521781,1635,1935,1111,2370,2975,2383,2289,2896,2930,1338,3315,2941,1713,2641,,0.702847,0.170794,0.052230,0.725405,0.615583,0.740676,0.454378,0.643606,0.826695,0.300893,0.708873,0.713174,0.336505,0.452675
0.017999,0.539780,1635,1934,1111,2371,2976,2383,2289,2896,2930,1339,3315,2942,1712,2641,,0.702847,0.169940,0.052230,0.726487,0.616227,0.740676,0.454378,0.643606,0.826695,0.301786,0.708873,0.713693,0.335640,0.452675
0.017981,0.557762,1635,1935,1111,2370,2976,2384,2289,2896,2930,1340,3316,2942,1712,2641,,0.702847,0.170794,0.052230,0.725405,0.616227,0.741259,0.454378,0.643606,0.826695,0.302679,0.709870,0.713693,0.335640,0.452675
0.018023,0.575785,1635,1935,1111,2370,2976,2384,2289,2896,2930,1340,3316,2942,1712,2641,,0.702847,0.170794,0.052230,0.725405,0.616227,0.741259,0.454378,0.643606,0.826695,0.302679,0.709870,0.713693,0.335640,0.452675
0.017998,0.593782,1635,1934,1110,2370,2976,2384,2288,2896,2930,1339,3316,2941,1712,2640,,0.702847,0.169940,0.051643,0.725405,0.616227,0.741259,0.453456,0.643606,0.826695,0.301786,0.709870,0.713174,0.335640,0.451989
0.017975,0.611757,1635,1935,1111,2370,2976,2384,2288,2897,2931,1339,3316,2942,1713,2640,,0.702847,0.170794,0.052230,0.725405,0.616227,0.741259,0.453456,0.644305,0.827772,0.301786,0.709870,0.713693,0.336505,0.451989
0.018037,0.629794,1635,1934,1110,2370,2976,2383,2288,2897,2931,1339,3315,2941,1712,2640,,0.702847,0.169940,0.051643,0.725405,0.616227,0.740676,0.453456,0.644305,0.827772,0.301786,0.708873,0.713174,0.335640,0.451989
0.017991,0.647785,1635,1934,1110,2370,2976,2383,2288,2897,2931,1339,3315,2941,1712,2640,,0.702847,0.169940,0.051643,0.725405,0.616227,0.740676,0.453456,0.644305,0.827772,0.301786,0.708873,0.713174,0.335640,0.451989
0.018002,0.665786,1634,1935,1111,2370,2976,2383,2288,2897,2930,1339,3316,2942,1712,2640,,0.702254,0.170794,0.052230,0.725405,0.616227,0.740676,0.453456,0.644305,0.826695,0.301786,0.709870,0.713693,0.335640,0.451989
0.017998,0.683784,1634,1935,1110,2370,2976,2384,2288,2897,2931,1340,3315,2941,1712,2640,,0.702254,0.170794,0.051643,0.725405,0.616227,0.741259,0.453456,0.644305,0.827772,0.302679,0.708873,0.713174,0.335640,0.451989
0.018000,0.701784,1634,1935,1111,2370,2976,2384,2288,2897,2931,1339,3316,2942,1712,2641,,0.702254,0.170794,0.052230,0.725405,0.616227,0.741259,0.453456,0.644305,0.827772,0.301786,0.709870,0.713693,0.335640,0.452675
0.018004,0.719788,1634,1935,1111,2371,2976,2384,2289,2897,2931,1339,3316,2942,1714,2641,,0.702254,0.170794,0.052230,0.726487,0.616227,0.741259,0.454378,0.644305,0.827772,0.301786,0.709870,0.713693,0.337370,0.452675
0.017973,0.737760,1634,1935,1110,2370,2976,2384,2289,2896,2930,1339,3316,2942,1713,2641,,0.702254,0.170794,0.051643,0.725405,0.616227,0.741259,0.454378,0.643606,0.826695,0.301786,0.709870,0.713693,0.336505,0.452675
0.018043,0.755804,1635,1935,1112,2371,2976,2383,2289,2896,2930,1339,3316,2942,1713,2641,,0.702847,0.170794,0.052817,0.726487,0.616227,0.740676,0.454378,0.643606,0.826695,0.301786,0.709870,0.713693,0.336505,0.452675
0.017989,0.773793,1634,1935,1111,2370,2976,2383,2289,2896,2930,1339,3316,2942,1713,2640,,0.702254,0.170794,0.052230,0.725405,0.616227,0.740676,0.454378,0.643606,0.826695,0.301786,0.709870,0.713693,0.336505,0.451989
0.018002,0.791795,1634,1935,1111,2370,2976,2383,2289,2896,2930,1339,3316,2942,1713,2640,,0.702254,0.170794,0.052230,0.725405,0.616227,0.740676,0.454378,0.643606,0.826695,0.301786,0.709870,0.713693,0.336505,0.451989
0.017960,0.809754,1634,1935,1111,2370,2976,2384,2290,2896,2930,1340,3316,2941,1713,2640,,0.702254,0.170794,0.052230,0.725405,0.616227,0.741259,0.455300,0.643606,0.826695,0.302679,0.709870,0.713174,0.336505,0.451989
0.018051,0.827806,1633,1935,1111,2370,2976,2384,2288,2896,2930,1339,3315,2941,1713,2640,,0.701661,0.170794,0.052230,0.725405,0.616227,0.741259,0.453456,0.643606,0.826695,0.301786,0.708873,0.713174,0.336505,0.451989
0.017986,0.845791,1634,1936,1112,2370,2977,2384,2288,2897,2930,1339,3316,2942,1713,2640,,0.702254,0.171648,0.052817,0.725405,0.616871,0.741259,0.453456,0.644305,0.826695,0.301786,0.709870,0.713693,0.336505,0.451989
0.017979,0.863770,1634,1935,1111,2369,2976,2384,2288,2896,2932,1338,3316,2941,1713,2640,,0.702254,0.170794,0.052230,0.724324,0.616227,0.741259,0.453456,0.643606,0.828848,0.300893,0.709870,0.713174,0.336505,0.451989
0.018027,0.881798,1634,1935,1111,2369,2976,2384,2288,2896,2932,1338,3316,2941,1713,2640,,0.702254,0.170794,0.052230,0.724324,0.616227,0.741259,0.453456,0.643606,0.828848,0.300893,0.709870,0.713174,0.336505,0.451989
0.018003,0.899800,1633,1935,1112,2369,2976,2384,2286,2897,2932,1339,3316,2941,1712,2640,,0.701661,0.170794,0.052817,0.724324,0.616227,0.741259,0.451613,0.644305,0.828848,0.301786,0.709870,0.713174,0.335640,0.451989
