GloveManager recording started on 10/20/16 at 17:55:10

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017437,0.017437,1618,2072,1315,2030,2464,2121,2409,2689,2837,1472,3514,2943,1935,3039,,0.692764,0.287788,0.171948,0.357838,0.286542,0.587995,0.564977,0.498952,0.726588,0.420536,0.907278,0.714212,0.528547,0.725652
0.017980,0.035417,1618,2071,1315,2029,2464,2121,2409,2689,2838,1471,3513,2942,1935,3039,,0.692764,0.286934,0.171948,0.356757,0.286542,0.587995,0.564977,0.498952,0.727664,0.419643,0.906281,0.713693,0.528547,0.725652
0.017984,0.053400,1617,2071,1315,2028,2464,2121,2408,2688,2838,1469,3514,2943,1934,3039,,0.692171,0.286934,0.171948,0.355676,0.286542,0.587995,0.564055,0.498253,0.727664,0.417857,0.907278,0.714212,0.527682,0.725652
0.018022,0.071422,1617,2071,1315,2028,2464,2121,2408,2688,2838,1469,3514,2943,1934,3039,,0.692171,0.286934,0.171948,0.355676,0.286542,0.587995,0.564055,0.498253,0.727664,0.417857,0.907278,0.714212,0.527682,0.725652
0.017976,0.089398,1618,2071,1317,2027,2463,2121,2409,2688,2838,1469,3514,2943,1934,3039,,0.692764,0.286934,0.173122,0.354595,0.285898,0.587995,0.564977,0.498253,0.727664,0.417857,0.907278,0.714212,0.527682,0.725652
0.018020,0.107418,1618,2071,1316,2027,2463,2122,2409,2687,2838,1467,3513,2943,1933,3039,,0.692764,0.286934,0.172535,0.354595,0.285898,0.588578,0.564977,0.497554,0.727664,0.416071,0.906281,0.714212,0.526817,0.725652
0.017958,0.125376,1617,2071,1317,2028,2463,2122,2409,2687,2838,1467,3512,2942,1933,3039,,0.692171,0.286934,0.173122,0.355676,0.285898,0.588578,0.564977,0.497554,0.727664,0.416071,0.905284,0.713693,0.526817,0.725652
0.018068,0.143444,1617,2070,1317,2027,2463,2122,2408,2687,2838,1468,3512,2943,1934,3040,,0.692171,0.286080,0.173122,0.354595,0.285898,0.588578,0.564055,0.497554,0.727664,0.416964,0.905284,0.714212,0.527682,0.726337
0.017958,0.161402,1617,2070,1317,2027,2462,2122,2408,2686,2838,1467,3513,2942,1933,3040,,0.692171,0.286080,0.173122,0.354595,0.285254,0.588578,0.564055,0.496855,0.727664,0.416071,0.906281,0.713693,0.526817,0.726337
0.018040,0.179442,1617,2070,1317,2027,2462,2122,2408,2686,2838,1467,3513,2942,1933,3040,,0.692171,0.286080,0.173122,0.354595,0.285254,0.588578,0.564055,0.496855,0.727664,0.416071,0.906281,0.713693,0.526817,0.726337
0.017987,0.197428,1617,2070,1318,2027,2463,2122,2409,2686,2838,1467,3514,2942,1934,3040,,0.692171,0.286080,0.173709,0.354595,0.285898,0.588578,0.564977,0.496855,0.727664,0.416071,0.907278,0.713693,0.527682,0.726337
0.018000,0.215428,1617,2070,1319,2027,2462,2122,2408,2685,2839,1466,3513,2942,1934,3040,,0.692171,0.286080,0.174296,0.354595,0.285254,0.588578,0.564055,0.496157,0.728741,0.415179,0.906281,0.713693,0.527682,0.726337
0.018003,0.233431,1617,2070,1320,2026,2461,2123,2409,2686,2838,1467,3513,2942,1934,3041,,0.692171,0.286080,0.174883,0.353514,0.284610,0.589161,0.564977,0.496855,0.727664,0.416071,0.906281,0.713693,0.527682,0.727023
0.017985,0.251416,1617,2070,1320,2026,2463,2123,2408,2687,2838,1469,3513,2942,1934,3041,,0.692171,0.286080,0.174883,0.353514,0.285898,0.589161,0.564055,0.497554,0.727664,0.417857,0.906281,0.713693,0.527682,0.727023
0.018026,0.269441,1617,2070,1320,2026,2462,2123,2409,2686,2838,1468,3513,2942,1934,3041,,0.692171,0.286080,0.174883,0.353514,0.285254,0.589161,0.564977,0.496855,0.727664,0.416964,0.906281,0.713693,0.527682,0.727023
0.017980,0.287422,1617,2070,1321,2027,2462,2123,2409,2687,2839,1470,3514,2943,1934,3040,,0.692171,0.286080,0.175469,0.354595,0.285254,0.589161,0.564977,0.497554,0.728741,0.418750,0.907278,0.714212,0.527682,0.726337
0.018012,0.305434,1617,2070,1321,2027,2462,2123,2409,2687,2839,1470,3514,2943,1934,3040,,0.692171,0.286080,0.175469,0.354595,0.285254,0.589161,0.564977,0.497554,0.728741,0.418750,0.907278,0.714212,0.527682,0.726337
0.018006,0.323440,1617,2069,1321,2026,2462,2124,2409,2686,2839,1468,3514,2942,1934,3040,,0.692171,0.285226,0.175469,0.353514,0.285254,0.589744,0.564977,0.496855,0.728741,0.416964,0.907278,0.713693,0.527682,0.726337
0.017992,0.341432,1617,2070,1322,2026,2462,2124,2409,2686,2840,1468,3514,2943,1934,3040,,0.692171,0.286080,0.176056,0.353514,0.285254,0.589744,0.564977,0.496855,0.729817,0.416964,0.907278,0.714212,0.527682,0.726337
0.018000,0.359432,1616,2069,1323,2026,2462,2125,2409,2685,2839,1466,3514,2942,1938,3040,,0.691578,0.285226,0.176643,0.353514,0.285254,0.590326,0.564977,0.496157,0.728741,0.415179,0.907278,0.713693,0.531142,0.726337
0.017975,0.377407,1616,2069,1322,2026,2461,2125,2409,2684,2839,1463,3513,2942,1932,3040,,0.691578,0.285226,0.176056,0.353514,0.284610,0.590326,0.564977,0.495458,0.728741,0.412500,0.906281,0.713693,0.525952,0.726337
0.018026,0.395434,1617,2068,1322,2025,2461,2124,2408,2685,2839,1462,3512,2942,1932,3039,,0.692171,0.284372,0.176056,0.352432,0.284610,0.589744,0.564055,0.496157,0.728741,0.411607,0.905284,0.713693,0.525952,0.725652
0.017992,0.413426,1616,2069,1323,2026,2461,2125,2408,2685,2840,1462,3512,2942,1933,3039,,0.691578,0.285226,0.176643,0.353514,0.284610,0.590326,0.564055,0.496157,0.729817,0.411607,0.905284,0.713693,0.526817,0.725652
0.018014,0.431440,1616,2068,1324,2026,2461,2125,2405,2686,2841,1458,3512,2942,1931,3039,,0.691578,0.284372,0.177230,0.353514,0.284610,0.590326,0.561290,0.496855,0.730893,0.408036,0.905284,0.713693,0.525087,0.725652
0.018016,0.449456,1616,2068,1324,2026,2461,2125,2405,2686,2841,1458,3512,2942,1931,3039,,0.691578,0.284372,0.177230,0.353514,0.284610,0.590326,0.561290,0.496855,0.730893,0.408036,0.905284,0.713693,0.525087,0.725652
0.017982,0.467438,1616,2067,1326,2025,2460,2128,2401,2689,2843,1455,3511,2942,1929,3039,,0.691578,0.283518,0.178404,0.352432,0.283967,0.592075,0.557604,0.498952,0.733046,0.405357,0.904287,0.713693,0.523356,0.725652
0.017992,0.485430,1616,2067,1326,2025,2460,2128,2401,2689,2843,1455,3511,2942,1929,3039,,0.691578,0.283518,0.178404,0.352432,0.283967,0.592075,0.557604,0.498952,0.733046,0.405357,0.904287,0.713693,0.523356,0.725652
0.018015,0.503445,1615,2067,1328,2025,2460,2130,2395,2701,2846,1456,3511,2942,1929,3040,,0.690985,0.283518,0.179577,0.352432,0.283967,0.593240,0.552074,0.507338,0.736276,0.406250,0.904287,0.713693,0.523356,0.726337
0.017997,0.521443,1615,2067,1328,2024,2460,2131,2394,2702,2846,1455,3511,2942,1929,3040,,0.690985,0.283518,0.179577,0.351351,0.283967,0.593823,0.551152,0.508036,0.736276,0.405357,0.904287,0.713693,0.523356,0.726337
0.018003,0.539446,1614,2066,1329,2024,2460,2130,2396,2699,2845,1455,3511,2942,1930,3040,,0.690391,0.282664,0.180164,0.351351,0.283967,0.593240,0.552995,0.505940,0.735199,0.405357,0.904287,0.713693,0.524221,0.726337
