GloveManager recording started on 10/20/16 at 17:55:17

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017184,0.017184,1649,2126,1608,2001,2462,2143,2396,2777,2818,1451,3513,2924,1922,2853,,0.711151,0.333903,0.343897,0.326486,0.285254,0.600816,0.552995,0.560447,0.706136,0.401786,0.906281,0.704357,0.517301,0.598080
0.018020,0.035204,1648,2126,1606,2000,2461,2143,2396,2776,2820,1449,3513,2924,1923,2852,,0.710558,0.333903,0.342723,0.325405,0.284610,0.600816,0.552995,0.559748,0.708288,0.400000,0.906281,0.704357,0.518166,0.597394
0.018005,0.053209,1648,2125,1606,2001,2462,2143,2397,2776,2819,1450,3513,2924,1923,2852,,0.710558,0.333049,0.342723,0.326486,0.285254,0.600816,0.553917,0.559748,0.707212,0.400893,0.906281,0.704357,0.518166,0.597394
0.017955,0.071164,1647,2125,1606,2001,2461,2143,2397,2777,2820,1451,3513,2924,1923,2852,,0.709964,0.333049,0.342723,0.326486,0.284610,0.600816,0.553917,0.560447,0.708288,0.401786,0.906281,0.704357,0.518166,0.597394
0.018156,0.089320,1648,2125,1606,2001,2462,2143,2397,2777,2820,1451,3514,2924,1923,2852,,0.710558,0.333049,0.342723,0.326486,0.285254,0.600816,0.553917,0.560447,0.708288,0.401786,0.907278,0.704357,0.518166,0.597394
0.017885,0.107205,1647,2125,1606,2000,2461,2144,2396,2776,2819,1450,3513,2924,1923,2853,,0.709964,0.333049,0.342723,0.325405,0.284610,0.601399,0.552995,0.559748,0.707212,0.400893,0.906281,0.704357,0.518166,0.598080
0.017956,0.125161,1647,2125,1605,2001,2461,2143,2396,2776,2820,1450,3514,2924,1923,2852,,0.709964,0.333049,0.342136,0.326486,0.284610,0.600816,0.552995,0.559748,0.708288,0.400893,0.907278,0.704357,0.518166,0.597394
0.018051,0.143213,1647,2125,1605,2001,2461,2143,2396,2776,2820,1450,3514,2924,1923,2852,,0.709964,0.333049,0.342136,0.326486,0.284610,0.600816,0.552995,0.559748,0.708288,0.400893,0.907278,0.704357,0.518166,0.597394
0.018007,0.161219,1647,2124,1605,2000,2460,2144,2396,2777,2820,1451,3514,2924,1923,2852,,0.709964,0.332195,0.342136,0.325405,0.283967,0.601399,0.552995,0.560447,0.708288,0.401786,0.907278,0.704357,0.518166,0.597394
0.018002,0.179222,1647,2124,1605,2001,2461,2144,2396,2776,2820,1449,3513,2923,1923,2853,,0.709964,0.332195,0.342136,0.326486,0.284610,0.601399,0.552995,0.559748,0.708288,0.400000,0.906281,0.703838,0.518166,0.598080
0.017945,0.197167,1647,2124,1605,2001,2460,2144,2394,2776,2820,1450,3513,2923,1922,2852,,0.709964,0.332195,0.342136,0.326486,0.283967,0.601399,0.551152,0.559748,0.708288,0.400893,0.906281,0.703838,0.517301,0.597394
0.018055,0.215222,1646,2123,1605,2001,2460,2145,2395,2777,2821,1450,3512,2924,1922,2852,,0.709371,0.331341,0.342136,0.326486,0.283967,0.601981,0.552074,0.560447,0.709365,0.400893,0.905284,0.704357,0.517301,0.597394
0.017991,0.233213,1647,2123,1605,2001,2460,2146,2394,2777,2821,1451,3513,2924,1922,2852,,0.709964,0.331341,0.342136,0.326486,0.283967,0.602564,0.551152,0.560447,0.709365,0.401786,0.906281,0.704357,0.517301,0.597394
