GloveManager recording started on 10/20/16 at 17:55:44

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017189,0.017189,1374,1869,1193,2448,2406,2322,2429,3231,2945,1654,3515,2965,2057,3068,,0.548043,0.114432,0.100352,0.809730,0.249195,0.705128,0.583410,0.877708,0.842842,0.583036,0.908275,0.725622,0.634083,0.745542
0.018000,0.035189,1374,1869,1193,2448,2406,2322,2429,3231,2945,1654,3515,2965,2057,3068,,0.548043,0.114432,0.100352,0.809730,0.249195,0.705128,0.583410,0.877708,0.842842,0.583036,0.908275,0.725622,0.634083,0.745542
0.018049,0.053238,1373,1869,1191,2449,2406,2322,2430,3231,2945,1655,3514,2965,2056,3068,,0.547450,0.114432,0.099178,0.810811,0.249195,0.705128,0.584332,0.877708,0.842842,0.583929,0.907278,0.725622,0.633218,0.745542
0.017926,0.071164,1374,1869,1192,2449,2407,2322,2429,3231,2945,1655,3514,2965,2057,3068,,0.548043,0.114432,0.099765,0.810811,0.249839,0.705128,0.583410,0.877708,0.842842,0.583929,0.907278,0.725622,0.634083,0.745542
0.018033,0.089198,1374,1869,1192,2448,2406,2322,2430,3231,2945,1655,3514,2965,2057,3068,,0.548043,0.114432,0.099765,0.809730,0.249195,0.705128,0.584332,0.877708,0.842842,0.583929,0.907278,0.725622,0.634083,0.745542
0.017993,0.107191,1373,1869,1192,2449,2406,2322,2429,3231,2945,1655,3515,2965,2057,3068,,0.547450,0.114432,0.099765,0.810811,0.249195,0.705128,0.583410,0.877708,0.842842,0.583929,0.908275,0.725622,0.634083,0.745542
0.018001,0.125192,1373,1868,1192,2449,2406,2322,2430,3231,2945,1655,3514,2965,2056,3068,,0.547450,0.113578,0.099765,0.810811,0.249195,0.705128,0.584332,0.877708,0.842842,0.583929,0.907278,0.725622,0.633218,0.745542
0.018001,0.143193,1373,1869,1192,2449,2406,2322,2429,3231,2945,1655,3515,2965,2056,3068,,0.547450,0.114432,0.099765,0.810811,0.249195,0.705128,0.583410,0.877708,0.842842,0.583929,0.908275,0.725622,0.633218,0.745542
0.017995,0.161189,1373,1869,1192,2448,2406,2323,2429,3232,2945,1655,3515,2965,2056,3068,,0.547450,0.114432,0.099765,0.809730,0.249195,0.705711,0.583410,0.878407,0.842842,0.583929,0.908275,0.725622,0.633218,0.745542
0.018020,0.179209,1373,1869,1191,2448,2407,2324,2429,3230,2945,1654,3514,2965,2056,3068,,0.547450,0.114432,0.099178,0.809730,0.249839,0.706294,0.583410,0.877009,0.842842,0.583036,0.907278,0.725622,0.633218,0.745542
0.017991,0.197200,1374,1869,1192,2448,2407,2324,2428,3231,2945,1654,3514,2965,2056,3067,,0.548043,0.114432,0.099765,0.809730,0.249839,0.706294,0.582488,0.877708,0.842842,0.583036,0.907278,0.725622,0.633218,0.744856
0.017993,0.215193,1373,1869,1192,2448,2407,2324,2428,3231,2945,1653,3514,2966,2056,3068,,0.547450,0.114432,0.099765,0.809730,0.249839,0.706294,0.582488,0.877708,0.842842,0.582143,0.907278,0.726141,0.633218,0.745542
0.017959,0.233152,1373,1870,1192,2448,2408,2324,2427,3232,2945,1654,3514,2966,2062,3066,,0.547450,0.115286,0.099765,0.809730,0.250483,0.706294,0.581567,0.878407,0.842842,0.583036,0.907278,0.726141,0.638408,0.744170
0.018020,0.251171,1373,1869,1192,2448,2407,2325,2427,3231,2945,1654,3514,2965,2056,3068,,0.547450,0.114432,0.099765,0.809730,0.249839,0.706876,0.581567,0.877708,0.842842,0.583036,0.907278,0.725622,0.633218,0.745542
0.018001,0.269173,1373,1869,1192,2448,2408,2325,2427,3231,2945,1654,3514,2966,2056,3067,,0.547450,0.114432,0.099765,0.809730,0.250483,0.706876,0.581567,0.877708,0.842842,0.583036,0.907278,0.726141,0.633218,0.744856
0.018034,0.287206,1374,1869,1193,2448,2408,2325,2427,3231,2945,1653,3515,2966,2056,3067,,0.548043,0.114432,0.100352,0.809730,0.250483,0.706876,0.581567,0.877708,0.842842,0.582143,0.908275,0.726141,0.633218,0.744856
0.017994,0.305201,1373,1870,1193,2449,2408,2325,2426,3232,2945,1654,3514,2965,2056,3067,,0.547450,0.115286,0.100352,0.810811,0.250483,0.706876,0.580645,0.878407,0.842842,0.583036,0.907278,0.725622,0.633218,0.744856
0.017998,0.323199,1373,1870,1193,2449,2408,2324,2427,3232,2945,1655,3514,2966,2057,3068,,0.547450,0.115286,0.100352,0.810811,0.250483,0.706294,0.581567,0.878407,0.842842,0.583929,0.907278,0.726141,0.634083,0.745542
0.018011,0.341210,1372,1869,1194,2449,2408,2324,2427,3231,2944,1656,3515,2965,2057,3067,,0.546856,0.114432,0.100939,0.810811,0.250483,0.706294,0.581567,0.877708,0.841765,0.584821,0.908275,0.725622,0.634083,0.744856
0.018004,0.359214,1372,1870,1193,2449,2408,2324,2427,3231,2944,1655,3515,2965,2057,3068,,0.546856,0.115286,0.100352,0.810811,0.250483,0.706294,0.581567,0.877708,0.841765,0.583929,0.908275,0.725622,0.634083,0.745542
0.017976,0.377191,1372,1870,1192,2449,2408,2324,2426,3231,2944,1654,3515,2965,2056,3067,,0.546856,0.115286,0.099765,0.810811,0.250483,0.706294,0.580645,0.877708,0.841765,0.583036,0.908275,0.725622,0.633218,0.744856
0.017991,0.395182,1373,1870,1193,2449,2408,2324,2426,3231,2945,1653,3514,2965,2056,3067,,0.547450,0.115286,0.100352,0.810811,0.250483,0.706294,0.580645,0.877708,0.842842,0.582143,0.907278,0.725622,0.633218,0.744856
0.018021,0.413202,1373,1870,1193,2449,2408,2324,2426,3231,2945,1653,3514,2965,2056,3067,,0.547450,0.115286,0.100352,0.810811,0.250483,0.706294,0.580645,0.877708,0.842842,0.582143,0.907278,0.725622,0.633218,0.744856
0.018001,0.431203,1375,1870,1193,2447,2410,2326,2425,3231,2944,1652,3514,2965,2055,3066,,0.548636,0.115286,0.100352,0.808649,0.251771,0.707459,0.579723,0.877708,0.841765,0.581250,0.907278,0.725622,0.632353,0.744170
