GloveManager recording started on 10/20/16 at 17:56:02

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017797,0.017796,1582,2140,1559,2014,2424,2466,1907,2506,2761,1195,3536,2891,1806,2978,,0.671412,0.345858,0.315141,0.340541,0.260786,0.789044,0.102304,0.371069,0.644779,0.173214,0.929212,0.687241,0.416955,0.683813
0.017971,0.035767,1583,2139,1558,2012,2424,2466,1908,2506,2761,1195,3537,2891,1808,2971,,0.672005,0.345004,0.314554,0.338378,0.260786,0.789044,0.103226,0.371069,0.644779,0.173214,0.930209,0.687241,0.418685,0.679012
0.018033,0.053800,1583,2140,1558,2013,2424,2466,1908,2506,2761,1194,3537,2891,1808,2968,,0.672005,0.345858,0.314554,0.339459,0.260786,0.789044,0.103226,0.371069,0.644779,0.172321,0.930209,0.687241,0.418685,0.676955
0.017964,0.071764,1583,2140,1558,2012,2424,2466,1908,2506,2760,1195,3537,2891,1808,2968,,0.672005,0.345858,0.314554,0.338378,0.260786,0.789044,0.103226,0.371069,0.643703,0.173214,0.930209,0.687241,0.418685,0.676955
0.018065,0.089828,1583,2139,1557,2011,2423,2466,1907,2505,2761,1195,3537,2891,1814,2968,,0.672005,0.345004,0.313967,0.337297,0.260142,0.789044,0.102304,0.370370,0.644779,0.173214,0.930209,0.687241,0.423875,0.676955
0.017963,0.107792,1583,2139,1558,2012,2424,2466,1908,2505,2760,1195,3538,2891,1808,2968,,0.672005,0.345004,0.314554,0.338378,0.260786,0.789044,0.103226,0.370370,0.643703,0.173214,0.931206,0.687241,0.418685,0.676955
0.018014,0.125806,1584,2140,1557,2012,2425,2466,1908,2506,2760,1195,3537,2891,1808,2968,,0.672598,0.345858,0.313967,0.338378,0.261429,0.789044,0.103226,0.371069,0.643703,0.173214,0.930209,0.687241,0.418685,0.676955
0.017998,0.143804,1584,2140,1558,2012,2425,2465,1908,2506,2760,1195,3538,2891,1808,2970,,0.672598,0.345858,0.314554,0.338378,0.261429,0.788462,0.103226,0.371069,0.643703,0.173214,0.931206,0.687241,0.418685,0.678326
0.017966,0.161771,1584,2140,1558,2012,2425,2465,1908,2506,2760,1195,3538,2891,1808,2970,,0.672598,0.345858,0.314554,0.338378,0.261429,0.788462,0.103226,0.371069,0.643703,0.173214,0.931206,0.687241,0.418685,0.678326
0.018062,0.179833,1584,2140,1556,2012,2425,2466,1908,2506,2760,1197,3537,2890,1808,2970,,0.672598,0.345858,0.313380,0.338378,0.261429,0.789044,0.103226,0.371069,0.643703,0.175000,0.930209,0.686722,0.418685,0.678326
0.018020,0.197853,1585,2139,1557,2013,2426,2466,1909,2506,2761,1196,3537,2891,1808,2972,,0.673191,0.345004,0.313967,0.339459,0.262073,0.789044,0.104147,0.371069,0.644779,0.174107,0.930209,0.687241,0.418685,0.679698
0.017959,0.215812,1585,2140,1556,2013,2425,2465,1909,2506,2761,1196,3537,2890,1807,2972,,0.673191,0.345858,0.313380,0.339459,0.261429,0.788462,0.104147,0.371069,0.644779,0.174107,0.930209,0.686722,0.417820,0.679698
0.017984,0.233795,1585,2139,1555,2011,2425,2464,1908,2506,2761,1195,3538,2890,1807,2972,,0.673191,0.345004,0.312793,0.337297,0.261429,0.787879,0.103226,0.371069,0.644779,0.173214,0.931206,0.686722,0.417820,0.679698
0.018013,0.251808,1584,2139,1555,2012,2425,2464,1908,2506,2761,1196,3538,2890,1807,2972,,0.672598,0.345004,0.312793,0.338378,0.261429,0.787879,0.103226,0.371069,0.644779,0.174107,0.931206,0.686722,0.417820,0.679698
0.018002,0.269810,1584,2139,1556,2013,2425,2464,1908,2506,2761,1196,3537,2891,1808,2970,,0.672598,0.345004,0.313380,0.339459,0.261429,0.787879,0.103226,0.371069,0.644779,0.174107,0.930209,0.687241,0.418685,0.678326
0.017978,0.287788,1585,2139,1555,2013,2425,2463,1908,2506,2761,1197,3537,2890,1809,2971,,0.673191,0.345004,0.312793,0.339459,0.261429,0.787296,0.103226,0.371069,0.644779,0.175000,0.930209,0.686722,0.419550,0.679012
0.018030,0.305817,1585,2139,1555,2013,2425,2463,1908,2506,2761,1197,3537,2890,1809,2971,,0.673191,0.345004,0.312793,0.339459,0.261429,0.787296,0.103226,0.371069,0.644779,0.175000,0.930209,0.686722,0.419550,0.679012
0.017995,0.323812,1585,2140,1555,2013,2425,2463,1909,2506,2760,1198,3537,2891,1808,2971,,0.673191,0.345858,0.312793,0.339459,0.261429,0.787296,0.104147,0.371069,0.643703,0.175893,0.930209,0.687241,0.418685,0.679012
0.017999,0.341811,1585,2140,1555,2012,2425,2463,1908,2506,2761,1197,3537,2890,1808,2971,,0.673191,0.345858,0.312793,0.338378,0.261429,0.787296,0.103226,0.371069,0.644779,0.175000,0.930209,0.686722,0.418685,0.679012
0.018012,0.359823,1586,2140,1555,2013,2426,2463,1909,2506,2760,1197,3537,2890,1808,2971,,0.673784,0.345858,0.312793,0.339459,0.262073,0.787296,0.104147,0.371069,0.643703,0.175000,0.930209,0.686722,0.418685,0.679012
0.017982,0.377805,1585,2141,1555,2013,2426,2463,1908,2505,2760,1197,3537,2890,1809,2972,,0.673191,0.346712,0.312793,0.339459,0.262073,0.787296,0.103226,0.370370,0.643703,0.175000,0.930209,0.686722,0.419550,0.679698
0.018017,0.395822,1586,2140,1556,2012,2426,2464,1909,2506,2760,1197,3537,2889,1808,2970,,0.673784,0.345858,0.313380,0.338378,0.262073,0.787879,0.104147,0.371069,0.643703,0.175000,0.930209,0.686203,0.418685,0.678326
0.017984,0.413806,1587,2141,1556,2013,2427,2463,1908,2506,2761,1197,3537,2890,1808,2972,,0.674377,0.346712,0.313380,0.339459,0.262717,0.787296,0.103226,0.371069,0.644779,0.175000,0.930209,0.686722,0.418685,0.679698
0.018015,0.431821,1587,2140,1556,2013,2427,2463,1910,2506,2761,1197,3537,2889,1808,2973,,0.674377,0.345858,0.313380,0.339459,0.262717,0.787296,0.105069,0.371069,0.644779,0.175000,0.930209,0.686203,0.418685,0.680384
0.017963,0.449784,1586,2140,1555,2012,2426,2463,1910,2506,2760,1197,3537,2889,1807,2972,,0.673784,0.345858,0.312793,0.338378,0.262073,0.787296,0.105069,0.371069,0.643703,0.175000,0.930209,0.686203,0.417820,0.679698
0.018025,0.467809,1586,2140,1555,2012,2426,2463,1909,2505,2760,1198,3538,2890,1808,2973,,0.673784,0.345858,0.312793,0.338378,0.262073,0.787296,0.104147,0.370370,0.643703,0.175893,0.931206,0.686722,0.418685,0.680384
0.017978,0.485787,1587,2140,1555,2013,2427,2463,1909,2506,2761,1198,3537,2890,1808,2973,,0.674377,0.345858,0.312793,0.339459,0.262717,0.787296,0.104147,0.371069,0.644779,0.175893,0.930209,0.686722,0.418685,0.680384
0.018023,0.503810,1588,2141,1555,2013,2427,2462,1910,2506,2761,1198,3537,2890,1808,2974,,0.674970,0.346712,0.312793,0.339459,0.262717,0.786713,0.105069,0.371069,0.644779,0.175893,0.930209,0.686722,0.418685,0.681070
0.018008,0.521818,1587,2142,1554,2013,2427,2464,1909,2505,2760,1198,3538,2890,1808,2973,,0.674377,0.347566,0.312207,0.339459,0.262717,0.787879,0.104147,0.370370,0.643703,0.175893,0.931206,0.686722,0.418685,0.680384
0.018007,0.539825,1587,2142,1554,2013,2427,2464,1909,2505,2760,1198,3538,2890,1808,2973,,0.674377,0.347566,0.312207,0.339459,0.262717,0.787879,0.104147,0.370370,0.643703,0.175893,0.931206,0.686722,0.418685,0.680384
0.017992,0.557817,1588,2141,1553,2013,2426,2463,1909,2505,2760,1198,3537,2889,1808,2973,,0.674970,0.346712,0.311620,0.339459,0.262073,0.787296,0.104147,0.370370,0.643703,0.175893,0.930209,0.686203,0.418685,0.680384
0.017998,0.575815,1588,2141,1553,2013,2426,2463,1909,2505,2760,1198,3537,2889,1808,2973,,0.674970,0.346712,0.311620,0.339459,0.262073,0.787296,0.104147,0.370370,0.643703,0.175893,0.930209,0.686203,0.418685,0.680384
0.018013,0.593828,1589,2142,1552,2012,2426,2463,1909,2505,2760,1197,3538,2890,1808,2972,,0.675563,0.347566,0.311033,0.338378,0.262073,0.787296,0.104147,0.370370,0.643703,0.175000,0.931206,0.686722,0.418685,0.679698
0.018000,0.611827,1589,2142,1551,2012,2426,2463,1909,2505,2760,1197,3537,2889,1808,2973,,0.675563,0.347566,0.310446,0.338378,0.262073,0.787296,0.104147,0.370370,0.643703,0.175000,0.930209,0.686203,0.418685,0.680384
0.018000,0.629828,1588,2142,1552,2012,2426,2463,1909,2506,2760,1198,3537,2889,1808,2973,,0.674970,0.347566,0.311033,0.338378,0.262073,0.787296,0.104147,0.371069,0.643703,0.175893,0.930209,0.686203,0.418685,0.680384
0.018001,0.647829,1588,2140,1552,2012,2426,2463,1908,2506,2760,1198,3538,2889,1808,2973,,0.674970,0.345858,0.311033,0.338378,0.262073,0.787296,0.103226,0.371069,0.643703,0.175893,0.931206,0.686203,0.418685,0.680384
0.018002,0.665831,1589,2141,1553,2012,2426,2463,1909,2506,2760,1198,3537,2890,1808,2973,,0.675563,0.346712,0.311620,0.338378,0.262073,0.787296,0.104147,0.371069,0.643703,0.175893,0.930209,0.686722,0.418685,0.680384
0.018016,0.683847,1589,2141,1553,2012,2426,2463,1909,2505,2761,1198,3537,2889,1809,2973,,0.675563,0.346712,0.311620,0.338378,0.262073,0.787296,0.104147,0.370370,0.644779,0.175893,0.930209,0.686203,0.419550,0.680384
0.017947,0.701794,1589,2142,1553,2012,2426,2462,1909,2505,2761,1198,3538,2890,1809,2973,,0.675563,0.347566,0.311620,0.338378,0.262073,0.786713,0.104147,0.370370,0.644779,0.175893,0.931206,0.686722,0.419550,0.680384
0.018038,0.719832,1589,2142,1553,2013,2426,2463,1910,2505,2761,1198,3537,2890,1808,2973,,0.675563,0.347566,0.311620,0.339459,0.262073,0.787296,0.105069,0.370370,0.644779,0.175893,0.930209,0.686722,0.418685,0.680384
