GloveManager recording started on 10/20/16 at 17:56:19

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017499,0.017499,1619,2134,1400,2102,2430,2416,1942,2494,2762,1261,3541,2932,1848,3028,,0.693357,0.340734,0.221831,0.435676,0.264649,0.759907,0.134562,0.362683,0.645856,0.232143,0.934197,0.708506,0.453287,0.718107
0.017998,0.035497,1618,2134,1400,2102,2430,2415,1942,2493,2762,1261,3541,2933,1848,3028,,0.692764,0.340734,0.221831,0.435676,0.264649,0.759324,0.134562,0.361985,0.645856,0.232143,0.934197,0.709025,0.453287,0.718107
0.018019,0.053516,1618,2134,1400,2102,2430,2415,1942,2493,2762,1261,3541,2933,1848,3028,,0.692764,0.340734,0.221831,0.435676,0.264649,0.759324,0.134562,0.361985,0.645856,0.232143,0.934197,0.709025,0.453287,0.718107
0.017965,0.071481,1618,2134,1401,2102,2431,2416,1941,2493,2762,1261,3542,2933,1848,3028,,0.692764,0.340734,0.222418,0.435676,0.265293,0.759907,0.133641,0.361985,0.645856,0.232143,0.935194,0.709025,0.453287,0.718107
0.018036,0.089516,1618,2134,1402,2102,2431,2415,1942,2494,2763,1262,3543,2933,1848,3028,,0.692764,0.340734,0.223005,0.435676,0.265293,0.759324,0.134562,0.362683,0.646932,0.233036,0.936191,0.709025,0.453287,0.718107
0.018018,0.107535,1618,2135,1401,2102,2430,2416,1941,2493,2762,1262,3543,2933,1848,3028,,0.692764,0.341588,0.222418,0.435676,0.264649,0.759907,0.133641,0.361985,0.645856,0.233036,0.936191,0.709025,0.453287,0.718107
0.017969,0.125503,1618,2134,1401,2102,2430,2416,1941,2493,2762,1261,3542,2933,1848,3028,,0.692764,0.340734,0.222418,0.435676,0.264649,0.759907,0.133641,0.361985,0.645856,0.232143,0.935194,0.709025,0.453287,0.718107
0.018000,0.143504,1618,2134,1402,2101,2431,2416,1941,2493,2762,1262,3543,2932,1848,3028,,0.692764,0.340734,0.223005,0.434595,0.265293,0.759907,0.133641,0.361985,0.645856,0.233036,0.936191,0.708506,0.453287,0.718107
0.018008,0.161511,1618,2134,1401,2102,2431,2417,1941,2494,2763,1261,3542,2932,1848,3027,,0.692764,0.340734,0.222418,0.435676,0.265293,0.760490,0.133641,0.362683,0.646932,0.232143,0.935194,0.708506,0.453287,0.717421
0.017996,0.179507,1618,2134,1402,2101,2430,2416,1941,2493,2762,1261,3543,2932,1848,3028,,0.692764,0.340734,0.223005,0.434595,0.264649,0.759907,0.133641,0.361985,0.645856,0.232143,0.936191,0.708506,0.453287,0.718107
0.018011,0.197518,1618,2134,1402,2102,2431,2416,1942,2493,2762,1261,3542,2932,1848,3028,,0.692764,0.340734,0.223005,0.435676,0.265293,0.759907,0.134562,0.362683,0.645856,0.232143,0.935194,0.708506,0.454152,0.718107
0.017995,0.215514,1619,2134,1402,2101,2431,2416,1941,2494,2763,1262,3542,2932,1849,3027,,0.693357,0.340734,0.223005,0.434595,0.265293,0.759907,0.133641,0.362683,0.646932,0.233036,0.935194,0.708506,0.454152,0.717421
0.018011,0.233525,1619,2134,1402,2100,2431,2416,1942,2494,2763,1261,3543,2932,1848,3028,,0.693357,0.340734,0.223005,0.433514,0.265293,0.759907,0.134562,0.362683,0.646932,0.232143,0.936191,0.708506,0.453287,0.718107
0.017987,0.251512,1619,2134,1403,2101,2431,2416,1942,2494,2763,1261,3542,2933,1848,3028,,0.693357,0.340734,0.223592,0.434595,0.265293,0.759907,0.134562,0.362683,0.646932,0.232143,0.935194,0.709025,0.453287,0.718107
0.018013,0.269525,1618,2134,1402,2101,2431,2416,1942,2494,2762,1262,3542,2933,1848,3028,,0.692764,0.340734,0.223005,0.434595,0.265293,0.759907,0.134562,0.362683,0.645856,0.233036,0.935194,0.709025,0.453287,0.718107
0.017995,0.287520,1618,2134,1401,2100,2430,2417,1941,2493,2761,1261,3543,2932,1848,3028,,0.692764,0.340734,0.222418,0.433514,0.264649,0.760490,0.133641,0.361985,0.644779,0.232143,0.936191,0.708506,0.453287,0.718107
0.017969,0.305490,1618,2134,1402,2101,2431,2416,1941,2494,2762,1262,3543,2932,1848,3028,,0.692764,0.340734,0.223005,0.434595,0.265293,0.759907,0.133641,0.362683,0.645856,0.233036,0.936191,0.708506,0.453287,0.718107
0.018037,0.323526,1618,2134,1402,2100,2431,2416,1941,2492,2763,1261,3542,2932,1848,3028,,0.692764,0.340734,0.223005,0.433514,0.265293,0.759907,0.133641,0.361286,0.646932,0.232143,0.935194,0.708506,0.453287,0.718107
0.018017,0.341543,1619,2134,1402,2100,2431,2416,1942,2493,2762,1261,3542,2932,1848,3027,,0.693357,0.340734,0.223005,0.433514,0.265293,0.759907,0.134562,0.361985,0.645856,0.232143,0.935194,0.708506,0.453287,0.717421
0.017981,0.359524,1618,2133,1402,2099,2430,2416,1941,2493,2762,1261,3543,2933,1848,3028,,0.692764,0.339880,0.223005,0.432432,0.264649,0.759907,0.133641,0.361985,0.645856,0.232143,0.936191,0.709025,0.453287,0.718107
0.017997,0.377521,1618,2134,1401,2099,2431,2416,1941,2494,2762,1262,3543,2933,1848,3028,,0.692764,0.340734,0.222418,0.432432,0.265293,0.759907,0.133641,0.362683,0.645856,0.233036,0.936191,0.709025,0.453287,0.718107
0.018012,0.395533,1618,2134,1402,2099,2430,2416,1941,2493,2761,1262,3543,2933,1848,3028,,0.692764,0.340734,0.223005,0.432432,0.264649,0.759907,0.133641,0.361985,0.644779,0.233036,0.936191,0.709025,0.453287,0.718107
0.017989,0.413522,1617,2134,1401,2098,2431,2416,1941,2493,2762,1262,3543,2934,1848,3028,,0.692171,0.340734,0.222418,0.431351,0.265293,0.759907,0.133641,0.361985,0.645856,0.233036,0.936191,0.709544,0.453287,0.718107
0.017976,0.431498,1618,2134,1402,2099,2431,2417,1941,2494,2762,1261,3543,2932,1849,3028,,0.692764,0.340734,0.223005,0.432432,0.265293,0.760490,0.133641,0.362683,0.645856,0.232143,0.936191,0.708506,0.454152,0.718107
0.018025,0.449523,1618,2134,1402,2099,2431,2416,1942,2494,2763,1262,3542,2932,1848,3028,,0.692764,0.340734,0.223005,0.432432,0.265293,0.759907,0.134562,0.362683,0.646932,0.233036,0.935194,0.708506,0.453287,0.718107
0.017988,0.467510,1618,2134,1402,2099,2431,2416,1942,2494,2763,1262,3542,2932,1848,3028,,0.692764,0.340734,0.223005,0.432432,0.265293,0.759907,0.134562,0.362683,0.646932,0.233036,0.935194,0.708506,0.453287,0.718107
0.018014,0.485524,1618,2133,1402,2098,2430,2416,1941,2493,2762,1261,3542,2933,1847,3027,,0.692764,0.339880,0.223005,0.431351,0.264649,0.759907,0.133641,0.361985,0.645856,0.232143,0.935194,0.709025,0.452422,0.717421
0.018027,0.503551,1617,2134,1402,2099,2430,2416,1941,2494,2762,1261,3542,2933,1848,3028,,0.692171,0.340734,0.223005,0.432432,0.264649,0.759907,0.133641,0.362683,0.645856,0.232143,0.935194,0.709025,0.453287,0.718107
0.017985,0.521536,1619,2134,1402,2099,2431,2416,1941,2494,2762,1261,3544,2932,1849,3028,,0.693357,0.340734,0.223005,0.432432,0.265293,0.759907,0.133641,0.362683,0.645856,0.232143,0.937188,0.708506,0.454152,0.718107
0.018002,0.539538,1619,2134,1402,2099,2431,2416,1941,2494,2762,1261,3544,2932,1849,3028,,0.693357,0.340734,0.223005,0.432432,0.265293,0.759907,0.133641,0.362683,0.645856,0.232143,0.937188,0.708506,0.454152,0.718107
0.017995,0.557534,1618,2133,1401,2099,2431,2416,1941,2494,2762,1262,3543,2932,1848,3028,,0.692764,0.339880,0.222418,0.432432,0.265293,0.759907,0.133641,0.362683,0.645856,0.233036,0.936191,0.708506,0.453287,0.718107
0.018001,0.575535,1618,2133,1401,2099,2431,2416,1941,2494,2762,1262,3543,2932,1848,3028,,0.692764,0.339880,0.222418,0.432432,0.265293,0.759907,0.133641,0.362683,0.645856,0.233036,0.936191,0.708506,0.453287,0.718107
0.017948,0.593482,1618,2134,1401,2097,2430,2416,1940,2494,2762,1262,3543,2933,1848,3028,,0.692764,0.340734,0.222418,0.430270,0.264649,0.759907,0.132719,0.362683,0.645856,0.233036,0.936191,0.709025,0.453287,0.718107
0.018050,0.611532,1618,2134,1401,2097,2430,2416,1940,2494,2762,1262,3543,2933,1848,3028,,0.692764,0.340734,0.222418,0.430270,0.264649,0.759907,0.132719,0.362683,0.645856,0.233036,0.936191,0.709025,0.453287,0.718107
0.017976,0.629508,1618,2134,1402,2099,2431,2415,1941,2494,2762,1262,3544,2933,1849,3029,,0.692764,0.340734,0.223005,0.432432,0.265293,0.759324,0.133641,0.362683,0.645856,0.233036,0.937188,0.709025,0.454152,0.718793
0.018024,0.647532,1618,2134,1401,2097,2430,2415,1941,2493,2762,1261,3543,2933,1848,3030,,0.692764,0.340734,0.222418,0.430270,0.264649,0.759324,0.133641,0.361985,0.645856,0.232143,0.936191,0.709025,0.453287,0.719479
0.018004,0.665536,1618,2134,1401,2097,2430,2415,1941,2493,2762,1261,3543,2933,1848,3030,,0.692764,0.340734,0.222418,0.430270,0.264649,0.759324,0.133641,0.361985,0.645856,0.232143,0.936191,0.709025,0.453287,0.719479
0.018000,0.683536,1619,2135,1402,2096,2431,2415,1941,2494,2762,1261,3543,2932,1847,3029,,0.693357,0.341588,0.223005,0.429189,0.265293,0.759324,0.133641,0.362683,0.645856,0.232143,0.936191,0.708506,0.452422,0.718793
0.018000,0.701535,1619,2136,1403,2097,2431,2416,1941,2493,2762,1261,3544,2932,1847,3030,,0.693357,0.342442,0.223592,0.430270,0.265293,0.759907,0.133641,0.361985,0.645856,0.232143,0.937188,0.708506,0.452422,0.719479
0.018014,0.719549,1618,2136,1402,2096,2430,2415,1941,2494,2761,1261,3544,2933,1847,3030,,0.692764,0.342442,0.223005,0.429189,0.264649,0.759324,0.133641,0.362683,0.644779,0.232143,0.937188,0.709025,0.452422,0.719479
0.017984,0.737533,1619,2136,1403,2095,2429,2415,1940,2493,2762,1260,3544,2933,1848,3030,,0.693357,0.342442,0.223592,0.428108,0.264005,0.759324,0.132719,0.361985,0.645856,0.231250,0.937188,0.709025,0.453287,0.719479
0.018017,0.755550,1619,2136,1403,2096,2430,2415,1941,2493,2762,1261,3543,2932,1848,3029,,0.693357,0.342442,0.223592,0.429189,0.264649,0.759324,0.133641,0.361985,0.645856,0.232143,0.936191,0.708506,0.453287,0.718793
0.018005,0.773555,1618,2136,1403,2096,2430,2415,1940,2493,2762,1260,3543,2932,1847,3029,,0.692764,0.342442,0.223592,0.429189,0.264649,0.759324,0.132719,0.361985,0.645856,0.231250,0.936191,0.708506,0.452422,0.718793
0.018011,0.791566,1619,2136,1405,2095,2430,2415,1941,2494,2762,1260,3543,2932,1848,3030,,0.693357,0.342442,0.224765,0.428108,0.264649,0.759324,0.133641,0.362683,0.645856,0.231250,0.936191,0.708506,0.453287,0.719479
0.017977,0.809543,1619,2136,1405,2095,2430,2415,1941,2494,2762,1260,3543,2932,1848,3030,,0.693357,0.342442,0.224765,0.428108,0.264649,0.759324,0.133641,0.362683,0.645856,0.231250,0.936191,0.708506,0.453287,0.719479
0.017976,0.827519,1618,2136,1405,2095,2430,2415,1941,2493,2762,1260,3543,2932,1848,3031,,0.692764,0.342442,0.224765,0.428108,0.264649,0.759324,0.133641,0.361985,0.645856,0.231250,0.936191,0.708506,0.453287,0.720165
0.018023,0.845542,1618,2136,1405,2095,2430,2415,1941,2493,2761,1260,3544,2933,1848,3030,,0.692764,0.342442,0.224765,0.428108,0.264649,0.759324,0.133641,0.361985,0.644779,0.231250,0.937188,0.709025,0.453287,0.719479
0.018004,0.863546,1618,2137,1405,2095,2430,2415,1940,2494,2762,1261,3544,2932,1847,3031,,0.692764,0.343296,0.224765,0.428108,0.264649,0.759324,0.132719,0.362683,0.645856,0.232143,0.937188,0.708506,0.452422,0.720165
0.017998,0.881544,1618,2136,1404,2095,2430,2415,1940,2493,2761,1261,3544,2933,1847,3030,,0.692764,0.342442,0.224178,0.428108,0.264649,0.759324,0.132719,0.361985,0.644779,0.232143,0.937188,0.709025,0.452422,0.719479
0.018013,0.899557,1618,2137,1404,2094,2430,2416,1941,2493,2761,1260,3544,2933,1848,3031,,0.692764,0.343296,0.224178,0.427027,0.264649,0.759907,0.133641,0.361985,0.644779,0.231250,0.937188,0.709025,0.453287,0.720165
0.017991,0.917549,1618,2137,1405,2094,2430,2415,1941,2494,2761,1262,3544,2932,1848,3031,,0.692764,0.343296,0.224765,0.427027,0.264649,0.759324,0.133641,0.362683,0.644779,0.233036,0.937188,0.708506,0.453287,0.720165
0.017997,0.935546,1619,2137,1405,2094,2430,2416,1941,2494,2762,1261,3544,2932,1848,3030,,0.693357,0.343296,0.224765,0.427027,0.264649,0.759907,0.133641,0.362683,0.645856,0.232143,0.937188,0.708506,0.453287,0.719479
0.018006,0.953552,1618,2137,1405,2095,2430,2416,1940,2494,2762,1261,3544,2933,1849,3031,,0.692764,0.343296,0.224765,0.428108,0.264649,0.759907,0.132719,0.362683,0.645856,0.232143,0.937188,0.709025,0.454152,0.720165
0.017995,0.971547,1618,2137,1405,2094,2430,2416,1940,2494,2762,1261,3544,2932,1848,3031,,0.692764,0.343296,0.224765,0.427027,0.264649,0.759907,0.132719,0.362683,0.645856,0.232143,0.937188,0.708506,0.453287,0.720165
0.018006,0.989554,1618,2137,1406,2093,2430,2417,1941,2494,2762,1261,3544,2932,1847,3030,,0.692764,0.343296,0.225352,0.425946,0.264649,0.760490,0.133641,0.362683,0.645856,0.232143,0.937188,0.708506,0.452422,0.719479
0.017997,1.007551,1618,2137,1405,2093,2430,2416,1940,2494,2762,1261,3543,2933,1847,3031,,0.692764,0.343296,0.224765,0.425946,0.264649,0.759907,0.132719,0.362683,0.645856,0.232143,0.936191,0.709025,0.452422,0.720165
0.018002,1.025553,1618,2137,1405,2093,2430,2416,1940,2494,2762,1261,3543,2933,1847,3031,,0.692764,0.343296,0.224765,0.425946,0.264649,0.759907,0.132719,0.362683,0.645856,0.232143,0.936191,0.709025,0.452422,0.720165
0.018000,1.043553,1618,2137,1406,2092,2430,2416,1941,2494,2762,1262,3544,2933,1848,3031,,0.692764,0.343296,0.225352,0.424865,0.264649,0.759907,0.133641,0.362683,0.645856,0.233036,0.937188,0.709025,0.453287,0.720165
0.017985,1.061538,1618,2137,1406,2093,2430,2416,1940,2493,2761,1260,3543,2932,1848,3031,,0.692764,0.343296,0.225352,0.425946,0.264649,0.759907,0.132719,0.361985,0.644779,0.231250,0.936191,0.708506,0.453287,0.720165
0.018012,1.079550,1619,2137,1405,2093,2430,2416,1941,2493,2762,1260,3543,2932,1848,3031,,0.693357,0.343296,0.224765,0.425946,0.264649,0.759907,0.133641,0.361985,0.645856,0.231250,0.936191,0.708506,0.453287,0.720165
0.018010,1.097561,1619,2137,1405,2092,2430,2416,1941,2494,2761,1262,3544,2933,1848,3032,,0.693357,0.343296,0.224765,0.424865,0.264649,0.759907,0.133641,0.362683,0.644779,0.233036,0.937188,0.709025,0.453287,0.720850
0.017995,1.115556,1619,2136,1405,2092,2430,2417,1941,2494,2762,1262,3545,2931,1849,3032,,0.693357,0.342442,0.224765,0.424865,0.264649,0.760490,0.133641,0.362683,0.645856,0.233036,0.938185,0.707988,0.454152,0.720850
0.018011,1.133567,1619,2137,1405,2092,2430,2416,1941,2494,2761,1262,3545,2932,1848,3030,,0.693357,0.343296,0.224765,0.424865,0.264649,0.759907,0.133641,0.362683,0.644779,0.233036,0.938185,0.708506,0.453287,0.719479
0.018000,1.151566,1618,2138,1405,2092,2430,2416,1941,2494,2762,1261,3543,2932,1849,3031,,0.692764,0.344150,0.224765,0.424865,0.264649,0.759907,0.133641,0.362683,0.645856,0.232143,0.936191,0.708506,0.454152,0.720165
0.017994,1.169561,1618,2137,1405,2092,2431,2416,1941,2494,2762,1261,3543,2932,1848,3031,,0.692764,0.343296,0.224765,0.424865,0.265293,0.759907,0.133641,0.362683,0.645856,0.232143,0.936191,0.708506,0.453287,0.720165
