GloveManager recording started on 10/20/16 at 17:56:27

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017342,0.017342,1593,2089,1135,2583,3298,2347,2540,3228,2887,1716,3509,2958,2019,3106,,0.677936,0.302306,0.066315,0.955676,0.823567,0.719697,0.685714,0.875611,0.780409,0.638393,0.902293,0.721992,0.601211,0.771605
0.018001,0.035343,1594,2089,1136,2583,3297,2346,2541,3228,2887,1716,3508,2957,2019,3106,,0.678529,0.302306,0.066901,0.955676,0.822923,0.719114,0.686636,0.875611,0.780409,0.638393,0.901296,0.721473,0.601211,0.771605
0.018001,0.053343,1594,2089,1135,2583,3297,2347,2540,3227,2887,1716,3509,2957,2020,3106,,0.678529,0.302306,0.066315,0.955676,0.822923,0.719697,0.685714,0.874913,0.780409,0.638393,0.902293,0.721473,0.602076,0.771605
0.017978,0.071321,1594,2089,1135,2583,3297,2347,2540,3228,2887,1715,3509,2957,2019,3106,,0.678529,0.302306,0.066315,0.955676,0.822923,0.719697,0.685714,0.875611,0.780409,0.637500,0.902293,0.721473,0.601211,0.771605
0.018019,0.089340,1593,2088,1135,2584,3297,2347,2539,3227,2887,1715,3510,2958,2019,3106,,0.677936,0.301452,0.066315,0.956757,0.822923,0.719697,0.684793,0.874913,0.780409,0.637500,0.903290,0.721992,0.601211,0.771605
0.018004,0.107344,1593,2089,1135,2584,3297,2347,2540,3227,2887,1716,3509,2957,2019,3106,,0.677936,0.302306,0.066315,0.956757,0.822923,0.719697,0.685714,0.874913,0.780409,0.638393,0.902293,0.721473,0.601211,0.771605
0.018004,0.125348,1594,2087,1135,2584,3298,2346,2540,3227,2887,1716,3509,2958,2019,3107,,0.678529,0.300598,0.066315,0.956757,0.823567,0.719114,0.685714,0.874913,0.780409,0.638393,0.902293,0.721992,0.601211,0.772291
0.018000,0.143348,1593,2087,1135,2584,3298,2347,2539,3227,2887,1715,3509,2957,2019,3106,,0.677936,0.300598,0.066315,0.956757,0.823567,0.719697,0.684793,0.874913,0.780409,0.637500,0.902293,0.721473,0.601211,0.771605
0.018002,0.161350,1593,2087,1134,2583,3297,2347,2540,3227,2887,1715,3509,2957,2019,3106,,0.677936,0.300598,0.065728,0.955676,0.822923,0.719697,0.685714,0.874913,0.780409,0.637500,0.902293,0.721473,0.601211,0.771605
