GloveManager recording started on 10/20/16 at 17:56:33

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017214,0.017213,1593,2082,1135,2577,3307,2348,2532,3232,2894,1709,3509,2958,2017,3108,,0.677936,0.296328,0.066315,0.949189,0.829363,0.720280,0.678341,0.878407,0.787944,0.632143,0.902293,0.721992,0.599481,0.772977
0.018004,0.035218,1593,2081,1135,2577,3308,2349,2532,3232,2894,1709,3509,2958,2016,3108,,0.677936,0.295474,0.066315,0.949189,0.830006,0.720862,0.678341,0.878407,0.787944,0.632143,0.902293,0.721992,0.598616,0.772977
0.017994,0.053212,1593,2081,1135,2576,3307,2349,2532,3232,2894,1709,3509,2959,2016,3108,,0.677936,0.295474,0.066315,0.948108,0.829363,0.720862,0.678341,0.878407,0.787944,0.632143,0.902293,0.722510,0.598616,0.772977
0.018006,0.071219,1593,2081,1135,2577,3308,2349,2532,3232,2894,1709,3509,2959,2017,3108,,0.677936,0.295474,0.066315,0.949189,0.830006,0.720862,0.678341,0.878407,0.787944,0.632143,0.902293,0.722510,0.599481,0.772977
0.017995,0.089214,1593,2082,1135,2576,3308,2349,2532,3232,2895,1709,3509,2959,2017,3109,,0.677936,0.296328,0.066315,0.948108,0.830006,0.720862,0.678341,0.878407,0.789020,0.632143,0.902293,0.722510,0.599481,0.773663
0.018001,0.107215,1594,2081,1135,2576,3307,2348,2533,3232,2895,1709,3509,2959,2016,3109,,0.678529,0.295474,0.066315,0.948108,0.829363,0.720280,0.679263,0.878407,0.789020,0.632143,0.902293,0.722510,0.598616,0.773663
0.018003,0.125218,1593,2081,1134,2576,3307,2348,2532,3232,2894,1709,3508,2958,2015,3108,,0.677936,0.295474,0.065728,0.948108,0.829363,0.720280,0.678341,0.878407,0.787944,0.632143,0.901296,0.721992,0.597751,0.772977
0.017999,0.143217,1593,2081,1134,2577,3308,2348,2532,3232,2895,1708,3508,2958,2015,3108,,0.677936,0.295474,0.065728,0.949189,0.830006,0.720280,0.678341,0.878407,0.789020,0.631250,0.901296,0.721992,0.597751,0.772977
0.018030,0.161247,1593,2081,1134,2576,3308,2348,2532,3231,2894,1709,3508,2958,2016,3108,,0.677936,0.295474,0.065728,0.948108,0.830006,0.720280,0.678341,0.877708,0.787944,0.632143,0.901296,0.721992,0.598616,0.772977
0.018004,0.179251,1593,2081,1135,2575,3308,2348,2531,3231,2895,1709,3509,2959,2016,3108,,0.677936,0.295474,0.066315,0.947027,0.830006,0.720280,0.677419,0.877708,0.789020,0.632143,0.902293,0.722510,0.598616,0.772977
0.017992,0.197243,1593,2081,1134,2575,3308,2348,2531,3231,2895,1708,3509,2959,2015,3108,,0.677936,0.295474,0.065728,0.947027,0.830006,0.720280,0.677419,0.877708,0.789020,0.631250,0.902293,0.722510,0.597751,0.772977
0.018000,0.215243,1593,2081,1135,2575,3308,2347,2530,3231,2895,1707,3509,2958,2015,3107,,0.677936,0.295474,0.066315,0.947027,0.830006,0.719697,0.676498,0.877708,0.789020,0.630357,0.902293,0.721992,0.597751,0.772291
0.018006,0.233250,1593,2079,1134,2575,3308,2347,2529,3230,2894,1706,3508,2959,2014,3107,,0.677936,0.293766,0.065728,0.947027,0.830006,0.719697,0.675576,0.877009,0.787944,0.629464,0.901296,0.722510,0.596886,0.772291
0.018002,0.251252,1593,2079,1134,2574,3309,2347,2529,3230,2895,1706,3509,2958,2013,3107,,0.677936,0.293766,0.065728,0.945946,0.830650,0.719697,0.675576,0.877009,0.789020,0.629464,0.902293,0.721992,0.596021,0.772291
0.017972,0.269225,1593,2079,1134,2573,3308,2347,2528,3229,2895,1705,3507,2959,2013,3106,,0.677936,0.293766,0.065728,0.944865,0.830006,0.719697,0.674654,0.876310,0.789020,0.628571,0.900299,0.722510,0.596021,0.771605
0.018031,0.287255,1593,2078,1135,2572,3309,2347,2527,3229,2895,1704,3508,2958,2013,3105,,0.677936,0.292912,0.066315,0.943784,0.830650,0.719697,0.673733,0.876310,0.789020,0.627679,0.901296,0.721992,0.596021,0.770919
0.017992,0.305248,1593,2078,1135,2572,3309,2346,2526,3229,2896,1702,3508,2958,2012,3104,,0.677936,0.292912,0.066315,0.943784,0.830650,0.719114,0.672811,0.876310,0.790097,0.625893,0.901296,0.721992,0.595156,0.770233
0.018003,0.323251,1593,2075,1134,2569,3310,2345,2523,3228,2897,1699,3509,2958,2010,3104,,0.677936,0.290350,0.065728,0.940541,0.831294,0.718531,0.670046,0.875611,0.791173,0.623214,0.902293,0.721992,0.593426,0.770233
0.017978,0.341229,1593,2076,1134,2569,3309,2347,2521,3228,2896,1698,3508,2958,2010,3103,,0.677936,0.291204,0.065728,0.940541,0.830650,0.719697,0.668203,0.875611,0.790097,0.622321,0.901296,0.721992,0.593426,0.769547
0.018023,0.359252,1593,2075,1134,2568,3310,2345,2522,3227,2897,1698,3508,2957,2010,3103,,0.677936,0.290350,0.065728,0.939459,0.831294,0.718531,0.669124,0.874913,0.791173,0.622321,0.901296,0.721473,0.593426,0.769547
0.018008,0.377260,1593,2075,1134,2569,3310,2345,2521,3228,2897,1698,3508,2958,2010,3102,,0.677936,0.290350,0.065728,0.940541,0.831294,0.718531,0.668203,0.875611,0.791173,0.622321,0.901296,0.721992,0.593426,0.768861
0.018030,0.395290,1593,2074,1134,2569,3310,2346,2520,3228,2897,1698,3509,2958,2010,3102,,0.677936,0.289496,0.065728,0.940541,0.831294,0.719114,0.667281,0.875611,0.791173,0.622321,0.902293,0.721992,0.593426,0.768861
0.017965,0.413256,1593,2074,1135,2568,3309,2346,2520,3227,2898,1697,3508,2958,2008,3101,,0.677936,0.289496,0.066315,0.939459,0.830650,0.719114,0.667281,0.874913,0.792250,0.621429,0.901296,0.721992,0.591695,0.768176
0.018001,0.431256,1593,2074,1135,2568,3309,2346,2520,3227,2898,1697,3508,2958,2008,3101,,0.677936,0.289496,0.066315,0.939459,0.830650,0.719114,0.667281,0.874913,0.792250,0.621429,0.901296,0.721992,0.591695,0.768176
0.018001,0.449257,1593,2075,1135,2569,3310,2345,2520,3228,2897,1697,3509,2958,2010,3102,,0.677936,0.290350,0.066315,0.940541,0.831294,0.718531,0.667281,0.875611,0.791173,0.621429,0.902293,0.721992,0.593426,0.768861
0.017979,0.467236,1593,2075,1134,2569,3310,2346,2521,3228,2897,1697,3508,2958,2010,3102,,0.677936,0.290350,0.065728,0.940541,0.831294,0.719114,0.668203,0.875611,0.791173,0.621429,0.901296,0.721992,0.593426,0.768861
0.018044,0.485281,1593,2075,1134,2568,3310,2345,2520,3228,2897,1697,3509,2958,2010,3102,,0.677936,0.290350,0.065728,0.939459,0.831294,0.718531,0.667281,0.875611,0.791173,0.621429,0.902293,0.721992,0.593426,0.768861
0.017977,0.503257,1593,2075,1134,2569,3309,2346,2520,3228,2898,1697,3508,2958,2010,3102,,0.677936,0.290350,0.065728,0.940541,0.830650,0.719114,0.667281,0.875611,0.792250,0.621429,0.901296,0.721992,0.593426,0.768861
0.018009,0.521266,1593,2075,1134,2569,3310,2346,2520,3228,2898,1697,3508,2958,2010,3102,,0.677936,0.290350,0.065728,0.940541,0.831294,0.719114,0.667281,0.875611,0.792250,0.621429,0.901296,0.721992,0.593426,0.768861
0.017996,0.539263,1593,2075,1134,2569,3310,2346,2521,3229,2898,1697,3508,2958,2010,3102,,0.677936,0.290350,0.065728,0.940541,0.831294,0.719114,0.668203,0.876310,0.792250,0.621429,0.901296,0.721992,0.593426,0.768861
