GloveManager recording started on 10/20/16 at 17:57:35

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017276,0.017276,1583,2199,1514,2038,2510,2376,1954,2528,2792,1214,3543,2831,1956,3209,,0.672005,0.396243,0.288732,0.366486,0.316162,0.736597,0.145622,0.386443,0.678149,0.190179,0.936191,0.656120,0.546713,0.842250
0.017978,0.035254,1583,2199,1514,2038,2510,2376,1954,2529,2792,1213,3543,2831,1956,3208,,0.672005,0.396243,0.288732,0.366486,0.316162,0.736597,0.145622,0.387142,0.678149,0.189286,0.936191,0.656120,0.546713,0.841564
0.017999,0.053253,1583,2199,1514,2038,2510,2376,1954,2529,2792,1213,3543,2831,1956,3208,,0.672005,0.396243,0.288732,0.366486,0.316162,0.736597,0.145622,0.387142,0.678149,0.189286,0.936191,0.656120,0.546713,0.841564
0.018025,0.071278,1583,2200,1512,2038,2511,2375,1954,2529,2789,1216,3544,2834,1957,3207,,0.672005,0.397096,0.287559,0.366486,0.316806,0.736014,0.145622,0.387142,0.674919,0.191964,0.937188,0.657676,0.547578,0.840878
0.017999,0.089277,1583,2202,1510,2039,2511,2376,1955,2528,2787,1217,3543,2835,1955,3206,,0.672005,0.398804,0.286385,0.367568,0.316806,0.736597,0.146544,0.386443,0.672766,0.192857,0.936191,0.658195,0.545848,0.840192
0.018000,0.107277,1582,2201,1510,2038,2511,2375,1954,2528,2788,1215,3544,2835,1954,3206,,0.671412,0.397950,0.286385,0.366486,0.316806,0.736014,0.145622,0.386443,0.673843,0.191071,0.937188,0.658195,0.544983,0.840192
0.018002,0.125279,1583,2201,1510,2039,2511,2375,1954,2528,2789,1216,3543,2836,1953,3205,,0.672005,0.397950,0.286385,0.367568,0.316806,0.736014,0.145622,0.386443,0.674919,0.191964,0.936191,0.658714,0.544118,0.839506
0.018003,0.143283,1583,2201,1510,2039,2511,2375,1954,2528,2789,1216,3543,2836,1953,3205,,0.672005,0.397950,0.286385,0.367568,0.316806,0.736014,0.145622,0.386443,0.674919,0.191964,0.936191,0.658714,0.544118,0.839506
0.018001,0.161284,1583,2203,1511,2039,2512,2376,1955,2529,2787,1217,3544,2837,1954,3206,,0.672005,0.399658,0.286972,0.367568,0.317450,0.736597,0.146544,0.387142,0.672766,0.192857,0.937188,0.659232,0.544983,0.840192
