GloveManager recording started on 10/20/16 at 17:58:09

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017551,0.017551,1593,2175,1525,2019,2418,2086,1924,2460,2765,1296,3551,2934,1904,3011,,0.677936,0.375747,0.295188,0.345946,0.256922,0.567599,0.117972,0.338924,0.649085,0.263393,0.944167,0.709544,0.501730,0.706447
0.018011,0.035562,1593,2175,1525,2018,2417,2085,1924,2459,2763,1295,3551,2934,1903,3011,,0.677936,0.375747,0.295188,0.344865,0.256278,0.567016,0.117972,0.338225,0.646932,0.262500,0.944167,0.709544,0.500865,0.706447
0.018026,0.053588,1592,2175,1525,2018,2417,2085,1923,2460,2765,1295,3550,2934,1903,3010,,0.677343,0.375747,0.295188,0.344865,0.256278,0.567016,0.117051,0.338924,0.649085,0.262500,0.943170,0.709544,0.500865,0.705761
0.017945,0.071533,1592,2174,1526,2018,2417,2085,1924,2459,2764,1294,3551,2933,1902,3010,,0.677343,0.374893,0.295775,0.344865,0.256278,0.567016,0.117972,0.338225,0.648009,0.261607,0.944167,0.709025,0.500000,0.705761
0.018028,0.089561,1591,2173,1525,2018,2417,2085,1923,2459,2763,1295,3551,2934,1903,3011,,0.676750,0.374039,0.295188,0.344865,0.256278,0.567016,0.117051,0.338225,0.646932,0.262500,0.944167,0.709544,0.500865,0.706447
0.018019,0.107579,1592,2174,1525,2018,2416,2085,1924,2459,2763,1295,3552,2933,1903,3010,,0.677343,0.374893,0.295188,0.344865,0.255634,0.567016,0.117972,0.338225,0.646932,0.262500,0.945165,0.709025,0.500865,0.705761
0.017982,0.125562,1592,2174,1525,2018,2416,2085,1924,2459,2763,1295,3552,2933,1903,3010,,0.677343,0.374893,0.295188,0.344865,0.255634,0.567016,0.117972,0.338225,0.646932,0.262500,0.945165,0.709025,0.500865,0.705761
0.018008,0.143569,1591,2173,1525,2018,2417,2085,1924,2460,2764,1295,3551,2934,1903,3010,,0.676750,0.374039,0.295188,0.344865,0.256278,0.567016,0.117972,0.338924,0.648009,0.262500,0.944167,0.709544,0.500865,0.705761
0.017999,0.161569,1591,2173,1525,2018,2417,2085,1924,2460,2764,1295,3551,2934,1903,3010,,0.676750,0.374039,0.295188,0.344865,0.256278,0.567016,0.117972,0.338924,0.648009,0.262500,0.944167,0.709544,0.500865,0.705761
0.018004,0.179573,1592,2174,1524,2018,2417,2085,1925,2459,2764,1294,3551,2933,1904,3010,,0.677343,0.374893,0.294601,0.344865,0.256278,0.567016,0.118894,0.338225,0.648009,0.261607,0.944167,0.709025,0.501730,0.705761
0.017948,0.197521,1592,2173,1525,2018,2418,2085,1924,2459,2764,1294,3550,2934,1904,3010,,0.677343,0.374039,0.295188,0.344865,0.256922,0.567016,0.117972,0.338225,0.648009,0.261607,0.943170,0.709544,0.501730,0.705761
0.018045,0.215567,1592,2174,1525,2019,2417,2085,1924,2460,2764,1295,3552,2933,1903,3011,,0.677343,0.374893,0.295188,0.345946,0.256278,0.567016,0.117972,0.338924,0.648009,0.262500,0.945165,0.709025,0.500865,0.706447
0.018039,0.233605,1592,2174,1525,2018,2417,2085,1925,2459,2763,1294,3551,2934,1903,3011,,0.677343,0.374893,0.295188,0.344865,0.256278,0.567016,0.118894,0.338225,0.646932,0.261607,0.944167,0.709544,0.500865,0.706447
0.017946,0.251552,1592,2174,1526,2019,2418,2085,1925,2459,2764,1295,3552,2934,1904,3011,,0.677343,0.374893,0.295775,0.345946,0.256922,0.567016,0.118894,0.338225,0.648009,0.262500,0.945165,0.709544,0.501730,0.706447
0.018013,0.269565,1592,2174,1526,2018,2417,2085,1924,2459,2764,1295,3551,2933,1903,3011,,0.677343,0.374893,0.295775,0.344865,0.256278,0.567016,0.117972,0.338225,0.648009,0.262500,0.944167,0.709025,0.500865,0.706447
0.018010,0.287575,1592,2174,1526,2018,2417,2085,1925,2458,2764,1295,3552,2934,1904,3011,,0.677343,0.374893,0.295775,0.344865,0.256278,0.567016,0.118894,0.337526,0.648009,0.262500,0.945165,0.709544,0.501730,0.706447
0.018015,0.305590,1592,2173,1524,2018,2417,2085,1924,2458,2764,1294,3552,2934,1903,3011,,0.677343,0.374039,0.294601,0.344865,0.256278,0.567016,0.117972,0.337526,0.648009,0.261607,0.945165,0.709544,0.500865,0.706447
0.017978,0.323568,1592,2173,1526,2019,2418,2085,1923,2458,2765,1295,3552,2933,1902,3011,,0.677343,0.374039,0.295775,0.345946,0.256922,0.567016,0.117051,0.337526,0.649085,0.262500,0.945165,0.709025,0.500000,0.706447
0.017987,0.341555,1592,2174,1526,2018,2417,2085,1924,2460,2764,1295,3551,2934,1903,3011,,0.677343,0.374893,0.295775,0.344865,0.256278,0.567016,0.117972,0.338924,0.648009,0.262500,0.944167,0.709544,0.500865,0.706447
0.018014,0.359569,1591,2174,1526,2018,2417,2084,1923,2459,2764,1295,3552,2933,1903,3010,,0.676750,0.374893,0.295775,0.344865,0.256278,0.566434,0.117051,0.338225,0.648009,0.262500,0.945165,0.709025,0.500865,0.705761
