GloveManager recording started on 10/20/16 at 17:58:29

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017565,0.017565,1666,2243,1169,2027,2386,2153,1921,2394,2853,1145,3028,2695,1863,2791,,0.721234,0.433817,0.086268,0.354595,0.236317,0.606643,0.115207,0.292802,0.743811,0.128571,0.422732,0.585581,0.466263,0.555556
0.017999,0.035564,1666,2243,1169,2026,2385,2153,1920,2394,2854,1144,3028,2695,1864,2790,,0.721234,0.433817,0.086268,0.353514,0.235673,0.606643,0.114286,0.292802,0.744887,0.127679,0.422732,0.585581,0.467128,0.554870
0.018002,0.053566,1665,2243,1170,2026,2386,2154,1920,2395,2853,1145,3027,2695,1864,2791,,0.720641,0.433817,0.086854,0.353514,0.236317,0.607226,0.114286,0.293501,0.743811,0.128571,0.421735,0.585581,0.467128,0.555556
0.018005,0.071571,1665,2243,1169,2026,2385,2153,1920,2394,2853,1145,3028,2696,1864,2791,,0.720641,0.433817,0.086268,0.353514,0.235673,0.606643,0.114286,0.292802,0.743811,0.128571,0.422732,0.586100,0.467128,0.555556
0.018030,0.089601,1665,2243,1169,2027,2385,2153,1921,2394,2853,1145,3027,2695,1863,2791,,0.720641,0.433817,0.086268,0.354595,0.235673,0.606643,0.115207,0.292802,0.743811,0.128571,0.421735,0.585581,0.466263,0.555556
0.017944,0.107545,1665,2243,1170,2027,2385,2153,1920,2394,2853,1145,3028,2696,1863,2791,,0.720641,0.433817,0.086854,0.354595,0.235673,0.606643,0.114286,0.292802,0.743811,0.128571,0.422732,0.586100,0.466263,0.555556
0.018022,0.125566,1666,2243,1169,2027,2386,2153,1920,2394,2854,1145,3027,2695,1864,2790,,0.721234,0.433817,0.086268,0.354595,0.236317,0.606643,0.114286,0.292802,0.744887,0.128571,0.421735,0.585581,0.467128,0.554870
0.018003,0.143570,1666,2243,1169,2027,2386,2153,1920,2394,2854,1145,3027,2695,1864,2790,,0.721234,0.433817,0.086268,0.354595,0.236317,0.606643,0.114286,0.292802,0.744887,0.128571,0.421735,0.585581,0.467128,0.554870
0.017999,0.161569,1665,2243,1170,2026,2386,2153,1920,2394,2853,1145,3027,2696,1864,2790,,0.720641,0.433817,0.086854,0.353514,0.236317,0.606643,0.114286,0.292802,0.743811,0.128571,0.421735,0.586100,0.467128,0.554870
0.018009,0.179579,1665,2243,1170,2026,2385,2154,1920,2394,2854,1145,3027,2694,1864,2791,,0.720641,0.433817,0.086854,0.353514,0.235673,0.607226,0.114286,0.292802,0.744887,0.128571,0.421735,0.585062,0.467128,0.555556
0.017993,0.197572,1665,2243,1170,2027,2385,2153,1920,2393,2853,1145,3027,2695,1863,2790,,0.720641,0.433817,0.086854,0.354595,0.235673,0.606643,0.114286,0.292103,0.743811,0.128571,0.421735,0.585581,0.466263,0.554870
0.017999,0.215571,1665,2243,1170,2027,2385,2153,1920,2393,2853,1145,3027,2695,1863,2790,,0.720641,0.433817,0.086854,0.354595,0.235673,0.606643,0.114286,0.292103,0.743811,0.128571,0.421735,0.585581,0.466263,0.554870
0.018002,0.233573,1665,2242,1169,2026,2386,2153,1920,2393,2852,1144,3027,2695,1864,2790,,0.720641,0.432963,0.086268,0.353514,0.236317,0.606643,0.114286,0.292103,0.742734,0.127679,0.421735,0.585581,0.467128,0.554870
0.018001,0.251574,1665,2243,1170,2026,2386,2153,1920,2393,2852,1144,3027,2695,1863,2790,,0.720641,0.433817,0.086854,0.353514,0.236317,0.606643,0.114286,0.292103,0.742734,0.127679,0.421735,0.585581,0.466263,0.554870
0.018003,0.269577,1665,2243,1169,2026,2385,2153,1920,2394,2852,1145,3026,2696,1863,2790,,0.720641,0.433817,0.086268,0.353514,0.235673,0.606643,0.114286,0.292802,0.742734,0.128571,0.420738,0.586100,0.466263,0.554870
0.018006,0.287584,1665,2243,1169,2026,2385,2154,1920,2394,2852,1145,3026,2696,1864,2790,,0.720641,0.433817,0.086268,0.353514,0.235673,0.607226,0.114286,0.292802,0.742734,0.128571,0.420738,0.586100,0.467128,0.554870
0.017996,0.305580,1665,2243,1169,2026,2385,2154,1920,2394,2852,1145,3026,2696,1864,2790,,0.720641,0.433817,0.086268,0.353514,0.235673,0.607226,0.114286,0.292802,0.742734,0.128571,0.420738,0.586100,0.467128,0.554870
0.018006,0.323586,1665,2242,1169,2026,2385,2153,1920,2394,2852,1145,3026,2696,1865,2790,,0.720641,0.432963,0.086268,0.353514,0.235673,0.606643,0.114286,0.292802,0.742734,0.128571,0.420738,0.586100,0.467993,0.554870
0.017980,0.341566,1665,2242,1169,2025,2386,2153,1920,2394,2852,1144,3026,2696,1865,2789,,0.720641,0.432963,0.086268,0.352432,0.236317,0.606643,0.114286,0.292802,0.742734,0.127679,0.420738,0.586100,0.467993,0.554184
0.017993,0.359559,1665,2242,1169,2026,2385,2152,1920,2393,2853,1145,3026,2696,1864,2789,,0.720641,0.432963,0.086268,0.353514,0.235673,0.606061,0.114286,0.292103,0.743811,0.128571,0.420738,0.586100,0.467128,0.554184
0.018023,0.377582,1665,2243,1170,2026,2386,2153,1921,2394,2852,1145,3027,2696,1864,2791,,0.720641,0.433817,0.086854,0.353514,0.236317,0.606643,0.115207,0.292802,0.742734,0.128571,0.421735,0.586100,0.467128,0.555556
0.018001,0.395583,1666,2242,1170,2026,2386,2153,1921,2393,2853,1145,3026,2696,1864,2790,,0.721234,0.432963,0.086854,0.353514,0.236317,0.606643,0.115207,0.292103,0.743811,0.128571,0.420738,0.586100,0.467128,0.554870
0.018032,0.413615,1665,2242,1170,2026,2385,2153,1921,2393,2853,1145,3026,2696,1864,2790,,0.720641,0.432963,0.086854,0.353514,0.235673,0.606643,0.115207,0.292103,0.743811,0.128571,0.420738,0.586100,0.467128,0.554870
0.017970,0.431585,1665,2242,1170,2026,2385,2153,1920,2393,2853,1145,3026,2696,1864,2789,,0.720641,0.432963,0.086854,0.353514,0.235673,0.606643,0.114286,0.292103,0.743811,0.128571,0.420738,0.586100,0.467128,0.554184
0.018001,0.449586,1666,2242,1169,2026,2385,2153,1920,2394,2852,1145,3025,2696,1864,2789,,0.721234,0.432963,0.086268,0.353514,0.235673,0.606643,0.114286,0.292802,0.742734,0.128571,0.419741,0.586100,0.467128,0.554184
0.018000,0.467586,1665,2242,1169,2026,2386,2153,1920,2393,2852,1145,3025,2696,1865,2790,,0.720641,0.432963,0.086268,0.353514,0.236317,0.606643,0.114286,0.292103,0.742734,0.128571,0.419741,0.586100,0.467993,0.554870
0.018009,0.485595,1665,2243,1169,2026,2385,2153,1920,2393,2852,1144,3025,2695,1863,2790,,0.720641,0.433817,0.086268,0.353514,0.235673,0.606643,0.114286,0.292103,0.742734,0.127679,0.419741,0.585581,0.466263,0.554870
