GloveManager recording started on 10/20/16 at 17:58:45

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017273,0.017273,1719,2397,1566,2322,2892,2171,2586,3098,2816,1593,3464,2955,1974,3085,,0.752669,0.565329,0.319249,0.673514,0.562138,0.617133,0.728111,0.784766,0.703983,0.528571,0.857428,0.720436,0.562284,0.757202
0.017989,0.035262,1719,2398,1566,2322,2892,2171,2587,3099,2815,1593,3464,2954,1974,3085,,0.752669,0.566183,0.319249,0.673514,0.562138,0.617133,0.729032,0.785465,0.702906,0.528571,0.857428,0.719917,0.562284,0.757202
0.017976,0.053238,1719,2397,1566,2322,2891,2170,2588,3098,2815,1593,3464,2954,1974,3086,,0.752669,0.565329,0.319249,0.673514,0.561494,0.616550,0.729954,0.784766,0.702906,0.528571,0.857428,0.719917,0.562284,0.757888
0.018024,0.071263,1719,2397,1566,2322,2892,2171,2586,3099,2815,1594,3465,2954,1974,3085,,0.752669,0.565329,0.319249,0.673514,0.562138,0.617133,0.728111,0.785465,0.702906,0.529464,0.858425,0.719917,0.562284,0.757202
0.018022,0.089284,1719,2397,1566,2322,2891,2171,2587,3098,2815,1593,3464,2954,1974,3085,,0.752669,0.565329,0.319249,0.673514,0.561494,0.617133,0.729032,0.784766,0.702906,0.528571,0.857428,0.719917,0.562284,0.757202
0.017985,0.107270,1719,2398,1566,2322,2892,2170,2587,3099,2815,1593,3464,2954,1974,3086,,0.752669,0.566183,0.319249,0.673514,0.562138,0.616550,0.729032,0.785465,0.702906,0.528571,0.857428,0.719917,0.562284,0.757888
0.017999,0.125269,1719,2397,1566,2321,2892,2170,2587,3099,2814,1593,3465,2953,1974,3084,,0.752669,0.565329,0.319249,0.672432,0.562138,0.616550,0.729032,0.785465,0.701830,0.528571,0.858425,0.719398,0.562284,0.756516
0.018010,0.143279,1719,2397,1566,2322,2892,2171,2587,3099,2815,1593,3464,2954,1974,3085,,0.752669,0.565329,0.319249,0.673514,0.562138,0.617133,0.729032,0.785465,0.702906,0.528571,0.857428,0.719917,0.562284,0.757202
0.017997,0.161276,1719,2397,1566,2322,2892,2171,2587,3099,2815,1593,3464,2954,1974,3085,,0.752669,0.565329,0.319249,0.673514,0.562138,0.617133,0.729032,0.785465,0.702906,0.528571,0.857428,0.719917,0.562284,0.757202
0.017997,0.179274,1719,2397,1566,2323,2892,2171,2587,3099,2815,1594,3464,2954,1974,3085,,0.752669,0.565329,0.319249,0.674595,0.562138,0.617133,0.729032,0.785465,0.702906,0.529464,0.857428,0.719917,0.562284,0.757202
0.017999,0.197272,1719,2398,1566,2322,2892,2171,2587,3099,2815,1593,3464,2953,1975,3086,,0.752669,0.566183,0.319249,0.673514,0.562138,0.617133,0.729032,0.785465,0.702906,0.528571,0.857428,0.719398,0.563149,0.757888
0.017980,0.215253,1720,2398,1567,2323,2891,2171,2587,3099,2815,1593,3464,2954,1974,3086,,0.753262,0.566183,0.319836,0.674595,0.561494,0.617133,0.729032,0.785465,0.702906,0.528571,0.857428,0.719917,0.562284,0.757888
