GloveManager recording started on 10/20/16 at 17:58:57

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017181,0.017181,1769,2467,1615,2355,2857,2280,2592,3102,2807,1634,3456,2977,2019,3087,,0.782325,0.625107,0.348005,0.709189,0.539601,0.680653,0.733641,0.787561,0.694295,0.565179,0.849452,0.731846,0.601211,0.758573
0.018005,0.035186,1769,2467,1616,2356,2857,2280,2591,3102,2808,1634,3456,2976,2019,3086,,0.782325,0.625107,0.348592,0.710270,0.539601,0.680653,0.732719,0.787561,0.695371,0.565179,0.849452,0.731328,0.601211,0.757888
0.017998,0.053184,1769,2467,1615,2356,2857,2279,2592,3102,2808,1635,3456,2977,2019,3087,,0.782325,0.625107,0.348005,0.710270,0.539601,0.680070,0.733641,0.787561,0.695371,0.566071,0.849452,0.731846,0.601211,0.758573
0.018003,0.071188,1769,2467,1616,2355,2856,2279,2593,3103,2807,1635,3456,2976,2019,3087,,0.782325,0.625107,0.348592,0.709189,0.538957,0.680070,0.734562,0.788260,0.694295,0.566071,0.849452,0.731328,0.601211,0.758573
0.017998,0.089185,1769,2467,1616,2355,2856,2280,2593,3102,2807,1635,3456,2976,2019,3087,,0.782325,0.625107,0.348592,0.709189,0.538957,0.680653,0.734562,0.787561,0.694295,0.566071,0.849452,0.731328,0.601211,0.758573
0.018002,0.107187,1769,2467,1615,2355,2856,2279,2593,3102,2807,1635,3456,2977,2019,3087,,0.782325,0.625107,0.348005,0.709189,0.538957,0.680070,0.734562,0.787561,0.694295,0.566071,0.849452,0.731846,0.601211,0.758573
0.018001,0.125189,1768,2467,1615,2356,2856,2279,2593,3102,2807,1634,3456,2977,2019,3087,,0.781732,0.625107,0.348005,0.710270,0.538957,0.680070,0.734562,0.787561,0.694295,0.565179,0.849452,0.731846,0.601211,0.758573
0.018026,0.143215,1768,2467,1615,2356,2856,2279,2593,3102,2807,1634,3456,2977,2019,3087,,0.781732,0.625107,0.348005,0.710270,0.538957,0.680070,0.734562,0.787561,0.694295,0.565179,0.849452,0.731846,0.601211,0.758573
0.018008,0.161223,1769,2467,1615,2355,2855,2280,2593,3102,2807,1636,3456,2976,2019,3087,,0.782325,0.625107,0.348005,0.709189,0.538313,0.680653,0.734562,0.787561,0.694295,0.566964,0.849452,0.731328,0.601211,0.758573
0.017967,0.179190,1769,2467,1616,2355,2854,2279,2593,3101,2807,1635,3456,2976,2019,3088,,0.782325,0.625107,0.348592,0.709189,0.537669,0.680070,0.734562,0.786862,0.694295,0.566071,0.849452,0.731328,0.601211,0.759259
0.018031,0.197220,1769,2467,1616,2355,2853,2279,2593,3102,2807,1635,3456,2977,2019,3088,,0.782325,0.625107,0.348592,0.709189,0.537025,0.680070,0.734562,0.787561,0.694295,0.566071,0.849452,0.731846,0.601211,0.759259
0.017983,0.215203,1769,2467,1616,2355,2853,2279,2593,3102,2807,1635,3456,2977,2019,3088,,0.782325,0.625107,0.348592,0.709189,0.537025,0.680070,0.734562,0.787561,0.694295,0.566071,0.849452,0.731846,0.601211,0.759259
0.018035,0.233238,1770,2467,1615,2355,2853,2279,2593,3102,2807,1635,3456,2977,2019,3087,,0.782918,0.625107,0.348005,0.709189,0.537025,0.680070,0.734562,0.787561,0.694295,0.566071,0.849452,0.731846,0.601211,0.758573
0.017984,0.251222,1769,2467,1616,2356,2853,2279,2593,3102,2807,1635,3456,2976,2020,3087,,0.782325,0.625107,0.348592,0.710270,0.537025,0.680070,0.734562,0.787561,0.694295,0.566071,0.849452,0.731328,0.602076,0.758573
0.018010,0.269232,1769,2467,1616,2356,2853,2279,2593,3102,2807,1635,3457,2976,2019,3088,,0.782325,0.625107,0.348592,0.710270,0.537025,0.680070,0.734562,0.787561,0.694295,0.566071,0.850449,0.731328,0.601211,0.759259
0.018010,0.287242,1770,2467,1615,2355,2853,2279,2593,3102,2807,1635,3456,2976,2023,3088,,0.782918,0.625107,0.348005,0.709189,0.537025,0.680070,0.734562,0.787561,0.694295,0.566071,0.849452,0.731328,0.604671,0.759259
0.017990,0.305232,1769,2467,1616,2355,2852,2278,2593,3102,2806,1635,3456,2977,2019,3087,,0.782325,0.625107,0.348592,0.709189,0.536381,0.679487,0.734562,0.787561,0.693219,0.566071,0.849452,0.731846,0.601211,0.758573
0.018019,0.323251,1769,2467,1615,2354,2852,2277,2594,3102,2807,1635,3455,2976,2019,3088,,0.782325,0.625107,0.348005,0.708108,0.536381,0.678904,0.735484,0.787561,0.694295,0.566071,0.848455,0.731328,0.601211,0.759259
0.017986,0.341237,1769,2468,1615,2354,2852,2277,2593,3102,2807,1635,3457,2976,2020,3088,,0.782325,0.625961,0.348005,0.708108,0.536381,0.678904,0.734562,0.787561,0.694295,0.566071,0.850449,0.731328,0.602076,0.759259
0.018027,0.359263,1769,2469,1616,2354,2852,2277,2594,3102,2807,1636,3456,2977,2020,3088,,0.782325,0.626815,0.348592,0.708108,0.536381,0.678904,0.735484,0.787561,0.694295,0.566964,0.849452,0.731846,0.602076,0.759259
0.017965,0.377228,1769,2468,1615,2354,2852,2277,2594,3103,2806,1635,3456,2977,2020,3088,,0.782325,0.625961,0.348005,0.708108,0.536381,0.678904,0.735484,0.788260,0.693219,0.566071,0.849452,0.731846,0.602076,0.759259
0.018000,0.395228,1769,2468,1615,2355,2852,2277,2594,3103,2807,1636,3456,2976,2020,3088,,0.782325,0.625961,0.348005,0.709189,0.536381,0.678904,0.735484,0.788260,0.694295,0.566964,0.849452,0.731328,0.602076,0.759259
0.018007,0.413235,1769,2468,1615,2354,2851,2276,2594,3102,2807,1636,3458,2977,2019,3088,,0.782325,0.625961,0.348005,0.708108,0.535737,0.678322,0.735484,0.787561,0.694295,0.566964,0.851446,0.731846,0.601211,0.759259
0.017998,0.431233,1769,2468,1615,2354,2851,2276,2594,3102,2806,1636,3456,2977,2021,3087,,0.782325,0.625961,0.348005,0.708108,0.535737,0.678322,0.735484,0.787561,0.693219,0.566964,0.849452,0.731846,0.602941,0.758573
0.017974,0.449207,1769,2468,1615,2354,2851,2277,2594,3102,2806,1637,3456,2977,2019,3088,,0.782325,0.625961,0.348005,0.708108,0.535737,0.678904,0.735484,0.787561,0.693219,0.567857,0.849452,0.731846,0.601211,0.759259
0.018000,0.467208,1768,2468,1614,2354,2851,2276,2593,3103,2807,1636,3456,2977,2020,3088,,0.781732,0.625961,0.347418,0.708108,0.535737,0.678322,0.734562,0.788260,0.694295,0.566964,0.849452,0.731846,0.602076,0.759259
