GloveManager recording started on 10/20/16 at 17:59:05

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017520,0.017520,1505,1988,1253,2522,3160,2396,2470,3104,2956,1653,3443,2404,1736,2340,,0.625741,0.216055,0.135563,0.889730,0.734707,0.748252,0.621198,0.788959,0.854682,0.582143,0.836491,0.434647,0.356401,0.246228
0.017966,0.035485,1503,1988,1253,2522,3160,2396,2470,3104,2957,1653,3442,2405,1736,2340,,0.624555,0.216055,0.135563,0.889730,0.734707,0.748252,0.621198,0.788959,0.855759,0.582143,0.835494,0.435166,0.356401,0.246228
0.018017,0.053502,1502,1988,1253,2522,3160,2396,2470,3104,2957,1652,3443,2408,1737,2339,,0.623962,0.216055,0.135563,0.889730,0.734707,0.748252,0.621198,0.788959,0.855759,0.581250,0.836491,0.436722,0.357266,0.245542
0.017980,0.071482,1502,1988,1253,2522,3160,2396,2470,3104,2957,1652,3443,2408,1737,2339,,0.623962,0.216055,0.135563,0.889730,0.734707,0.748252,0.621198,0.788959,0.855759,0.581250,0.836491,0.436722,0.357266,0.245542
0.018021,0.089503,1503,1988,1253,2523,3161,2396,2470,3105,2957,1652,3443,2407,1736,2339,,0.624555,0.216055,0.135563,0.890811,0.735351,0.748252,0.621198,0.789658,0.855759,0.581250,0.836491,0.436203,0.356401,0.245542
0.017986,0.107489,1503,1988,1253,2522,3159,2396,2470,3104,2958,1652,3443,2408,1736,2340,,0.624555,0.216055,0.135563,0.889730,0.734063,0.748252,0.621198,0.788959,0.856835,0.581250,0.836491,0.436722,0.356401,0.246228
0.018019,0.125507,1502,1988,1254,2522,3160,2395,2469,3105,2957,1651,3443,2408,1736,2340,,0.623962,0.216055,0.136150,0.889730,0.734707,0.747669,0.620277,0.789658,0.855759,0.580357,0.836491,0.436722,0.356401,0.246228
0.017984,0.143492,1503,1988,1254,2522,3160,2396,2469,3104,2957,1650,3443,2409,1736,2339,,0.624555,0.216055,0.136150,0.889730,0.734707,0.748252,0.620277,0.788959,0.855759,0.579464,0.836491,0.437241,0.356401,0.245542
0.017961,0.161453,1503,1988,1254,2522,3160,2396,2469,3104,2957,1651,3443,2411,1737,2339,,0.624555,0.216055,0.136150,0.889730,0.734707,0.748252,0.620277,0.788959,0.855759,0.580357,0.836491,0.438278,0.357266,0.245542
0.018057,0.179510,1502,1989,1254,2522,3160,2396,2469,3104,2957,1650,3443,2412,1737,2339,,0.623962,0.216909,0.136150,0.889730,0.734707,0.748252,0.620277,0.788959,0.855759,0.579464,0.836491,0.438797,0.357266,0.245542
0.017993,0.197503,1500,1988,1253,2522,3161,2396,2469,3104,2957,1651,3444,2411,1737,2339,,0.622776,0.216055,0.135563,0.889730,0.735351,0.748252,0.620277,0.788959,0.855759,0.580357,0.837488,0.438278,0.357266,0.245542
0.017949,0.215452,1500,1988,1253,2522,3161,2396,2469,3104,2957,1651,3444,2411,1737,2339,,0.622776,0.216055,0.135563,0.889730,0.735351,0.748252,0.620277,0.788959,0.855759,0.580357,0.837488,0.438278,0.357266,0.245542
0.018043,0.233495,1502,1988,1253,2522,3161,2396,2469,3105,2958,1651,3443,2412,1736,2340,,0.623962,0.216055,0.135563,0.889730,0.735351,0.748252,0.620277,0.789658,0.856835,0.580357,0.836491,0.438797,0.356401,0.246228
