GloveManager recording started on 10/20/16 at 17:59:17

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017262,0.017262,1453,1976,1253,2533,3278,2340,2474,3102,2978,1597,3464,2138,1724,2325,,0.594899,0.205807,0.135563,0.901622,0.810689,0.715618,0.624885,0.787561,0.878364,0.532143,0.857428,0.296681,0.346021,0.235940
0.018012,0.035274,1454,1975,1254,2534,3279,2340,2474,3102,2979,1598,3464,2138,1723,2326,,0.595492,0.204953,0.136150,0.902703,0.811333,0.715618,0.624885,0.787561,0.879440,0.533036,0.857428,0.296681,0.345156,0.236626
0.018003,0.053278,1452,1975,1254,2533,3279,2340,2475,3102,2979,1598,3464,2138,1723,2326,,0.594306,0.204953,0.136150,0.901622,0.811333,0.715618,0.625806,0.787561,0.879440,0.533036,0.857428,0.296681,0.345156,0.236626
0.017984,0.071262,1453,1976,1253,2534,3279,2339,2476,3102,2979,1598,3463,2137,1724,2325,,0.594899,0.205807,0.135563,0.902703,0.811333,0.715035,0.626728,0.787561,0.879440,0.533036,0.856431,0.296162,0.346021,0.235940
0.018019,0.089281,1453,1976,1253,2533,3279,2340,2475,3103,2979,1599,3464,2137,1724,2325,,0.594899,0.205807,0.135563,0.901622,0.811333,0.715618,0.625806,0.788260,0.879440,0.533929,0.857428,0.296162,0.346021,0.235940
0.017990,0.107270,1452,1976,1254,2534,3279,2340,2476,3102,2979,1599,3464,2137,1725,2325,,0.594306,0.205807,0.136150,0.902703,0.811333,0.715618,0.626728,0.787561,0.879440,0.533929,0.857428,0.296162,0.346886,0.235940
0.017995,0.125266,1453,1976,1254,2534,3279,2339,2476,3102,2979,1600,3464,2138,1724,2324,,0.594899,0.205807,0.136150,0.902703,0.811333,0.715035,0.626728,0.787561,0.879440,0.534821,0.857428,0.296681,0.346021,0.235254
0.018029,0.143295,1453,1976,1254,2535,3279,2340,2476,3102,2978,1600,3463,2139,1725,2325,,0.594899,0.205807,0.136150,0.903784,0.811333,0.715618,0.626728,0.787561,0.878364,0.534821,0.856431,0.297199,0.346886,0.235940
0.017980,0.161275,1452,1977,1255,2535,3279,2340,2476,3103,2979,1600,3463,2139,1725,2325,,0.594306,0.206661,0.136737,0.903784,0.811333,0.715618,0.626728,0.788260,0.879440,0.534821,0.856431,0.297199,0.346886,0.235940
0.017996,0.179271,1452,1977,1254,2535,3279,2340,2476,3102,2979,1599,3463,2140,1725,2324,,0.594306,0.206661,0.136150,0.903784,0.811333,0.715618,0.626728,0.787561,0.879440,0.533929,0.856431,0.297718,0.346886,0.235254
0.018012,0.197283,1452,1976,1254,2533,3279,2340,2474,3102,2979,1599,3463,2141,1724,2325,,0.594306,0.205807,0.136150,0.901622,0.811333,0.715618,0.624885,0.787561,0.879440,0.533929,0.856431,0.298237,0.346021,0.235940
0.018001,0.215284,1452,1976,1254,2534,3279,2340,2474,3103,2979,1599,3465,2141,1725,2325,,0.594306,0.205807,0.136150,0.902703,0.811333,0.715618,0.624885,0.788260,0.879440,0.533929,0.858425,0.298237,0.346886,0.235940
0.017994,0.233279,1452,1976,1254,2534,3279,2340,2474,3103,2979,1599,3465,2141,1725,2325,,0.594306,0.205807,0.136150,0.902703,0.811333,0.715618,0.624885,0.788260,0.879440,0.533929,0.858425,0.298237,0.346886,0.235940
0.017974,0.251253,1452,1976,1253,2534,3279,2340,2475,3103,2978,1598,3463,2144,1723,2324,,0.594306,0.205807,0.135563,0.902703,0.811333,0.715618,0.625806,0.788260,0.878364,0.533036,0.856431,0.299793,0.345156,0.235254
0.018031,0.269283,1452,1976,1253,2533,3278,2340,2476,3102,2979,1599,3463,2144,1724,2324,,0.594306,0.205807,0.135563,0.901622,0.810689,0.715618,0.626728,0.787561,0.879440,0.533929,0.856431,0.299793,0.346021,0.235254
0.018000,0.287283,1452,1976,1253,2534,3279,2339,2477,3102,2979,1599,3464,2144,1725,2325,,0.594306,0.205807,0.135563,0.902703,0.811333,0.715035,0.627650,0.787561,0.879440,0.533929,0.857428,0.299793,0.346886,0.235940
0.018003,0.305286,1452,1977,1254,2534,3279,2340,2476,3103,2979,1599,3464,2145,1724,2325,,0.594306,0.206661,0.136150,0.902703,0.811333,0.715618,0.626728,0.788260,0.879440,0.533929,0.857428,0.300311,0.346021,0.235940
0.018015,0.323301,1451,1976,1254,2535,3280,2340,2476,3103,2979,1599,3464,2145,1724,2324,,0.593713,0.205807,0.136150,0.903784,0.811977,0.715618,0.626728,0.788260,0.879440,0.533929,0.857428,0.300311,0.346021,0.235254
0.017989,0.341290,1452,1977,1254,2534,3280,2339,2477,3102,2979,1599,3464,2145,1724,2324,,0.594306,0.206661,0.136150,0.902703,0.811977,0.715035,0.626728,0.787561,0.879440,0.533036,0.857428,0.300311,0.346886,0.235254
0.017991,0.359281,1451,1976,1254,2534,3280,2339,2476,3102,2979,1598,3464,2145,1725,2324,,0.593713,0.205807,0.136150,0.902703,0.811977,0.715035,0.626728,0.787561,0.879440,0.533036,0.857428,0.300311,0.346886,0.235254
0.018001,0.377282,1452,1977,1254,2535,3280,2340,2476,3103,2978,1598,3465,2145,1725,2324,,0.594306,0.206661,0.136150,0.903784,0.811977,0.715618,0.626728,0.788260,0.878364,0.533036,0.858425,0.300311,0.346886,0.235254
0.018009,0.395291,1452,1976,1254,2533,3279,2340,2476,3102,2979,1597,3463,2147,1725,2324,,0.594306,0.205807,0.136150,0.901622,0.811333,0.715618,0.626728,0.787561,0.879440,0.532143,0.856431,0.301349,0.346886,0.235254
0.017967,0.413259,1452,1977,1254,2532,3279,2339,2475,3101,2979,1597,3464,2148,1724,2324,,0.594306,0.206661,0.136150,0.900541,0.811333,0.715035,0.625806,0.786862,0.879440,0.532143,0.857428,0.301867,0.346021,0.235254
0.017999,0.431258,1452,1976,1254,2531,3278,2339,2474,3102,2978,1597,3464,2149,1724,2324,,0.594306,0.205807,0.136150,0.899459,0.810689,0.715035,0.624885,0.786862,0.878364,0.531250,0.857428,0.302905,0.346021,0.234568
0.018036,0.449294,1451,1976,1254,2530,3276,2340,2473,3101,2978,1595,3463,2151,1725,2324,,0.593713,0.205807,0.136150,0.898378,0.809401,0.715618,0.623963,0.786862,0.878364,0.530357,0.856431,0.303423,0.346886,0.235254
0.018002,0.467296,1451,1977,1254,2530,3275,2340,2473,3101,2979,1594,3464,2151,1725,2324,,0.593713,0.206661,0.136150,0.898378,0.808757,0.715618,0.623963,0.786862,0.879440,0.529464,0.857428,0.303423,0.346886,0.235254
0.018000,0.485296,1452,1976,1255,2530,3275,2340,2473,3099,2979,1594,3463,2152,1724,2325,,0.594306,0.205807,0.136737,0.898378,0.808757,0.715618,0.623963,0.785465,0.879440,0.529464,0.856431,0.303942,0.346021,0.235940
0.018000,0.503296,1451,1977,1254,2530,3275,2340,2472,3101,2978,1594,3463,2153,1724,2324,,0.593713,0.206661,0.136150,0.898378,0.808757,0.715618,0.623041,0.786862,0.878364,0.529464,0.856431,0.304461,0.346021,0.235254
0.017999,0.521296,1451,1977,1254,2530,3275,2340,2473,3101,2979,1593,3464,2153,1725,2324,,0.593713,0.206661,0.136150,0.898378,0.808757,0.715618,0.623963,0.786862,0.879440,0.528571,0.857428,0.304461,0.346886,0.235254
0.017999,0.539294,1450,1976,1254,2529,3274,2339,2473,3100,2978,1594,3463,2154,1724,2324,,0.593120,0.205807,0.136150,0.897297,0.808113,0.715035,0.623963,0.786164,0.878364,0.529464,0.856431,0.304979,0.346021,0.235254
0.017982,0.557277,1452,1977,1254,2530,3274,2340,2472,3100,2978,1593,3463,2156,1724,2325,,0.594306,0.206661,0.136150,0.898378,0.808113,0.715618,0.623041,0.786164,0.878364,0.528571,0.856431,0.306017,0.346021,0.235940
0.018026,0.575303,1452,1977,1254,2530,3274,2340,2472,3100,2978,1593,3463,2156,1724,2325,,0.594306,0.206661,0.136150,0.898378,0.808113,0.715618,0.623041,0.786164,0.878364,0.528571,0.856431,0.306017,0.346021,0.235940
0.017998,0.593301,1452,1977,1255,2530,3275,2340,2473,3100,2979,1594,3464,2154,1725,2325,,0.594306,0.206661,0.136737,0.898378,0.808757,0.715618,0.623963,0.786164,0.879440,0.529464,0.857428,0.304979,0.346886,0.235940
0.017992,0.611293,1453,1978,1255,2531,3276,2340,2474,3101,2979,1595,3464,2155,1724,2324,,0.594899,0.207515,0.136737,0.899459,0.809401,0.715618,0.624885,0.786862,0.879440,0.530357,0.857428,0.305498,0.346021,0.235254
0.018000,0.629293,1452,1978,1255,2531,3275,2340,2474,3100,2978,1595,3464,2156,1724,2324,,0.594306,0.207515,0.136737,0.899459,0.808757,0.715618,0.624885,0.786164,0.878364,0.530357,0.857428,0.306017,0.346021,0.235254
0.018011,0.647304,1452,1978,1256,2531,3276,2339,2474,3100,2978,1595,3464,2155,1724,2324,,0.594306,0.207515,0.137324,0.899459,0.809401,0.715035,0.624885,0.786164,0.878364,0.530357,0.857428,0.305498,0.346021,0.235254
0.017998,0.665302,1452,1978,1256,2531,3275,2340,2473,3101,2978,1595,3463,2156,1724,2324,,0.594306,0.207515,0.137324,0.899459,0.808757,0.715618,0.623963,0.786862,0.878364,0.530357,0.856431,0.306017,0.346021,0.235254
0.017992,0.683295,1451,1978,1256,2531,3275,2340,2473,3100,2978,1595,3464,2156,1724,2324,,0.593713,0.207515,0.137324,0.899459,0.808757,0.715618,0.623963,0.786164,0.878364,0.530357,0.857428,0.306017,0.346021,0.235254
0.018003,0.701298,1451,1977,1257,2531,3276,2340,2475,3100,2978,1594,3463,2159,1725,2324,,0.593713,0.206661,0.137911,0.899459,0.809401,0.715618,0.625806,0.786164,0.878364,0.529464,0.856431,0.307573,0.346886,0.235254
0.017989,0.719287,1451,1977,1257,2531,3276,2340,2475,3100,2978,1594,3463,2159,1725,2324,,0.593713,0.206661,0.137911,0.899459,0.809401,0.715618,0.625806,0.786164,0.878364,0.529464,0.856431,0.307573,0.346886,0.235254
0.017992,0.737279,1451,1977,1256,2531,3276,2340,2476,3100,2978,1593,3462,2159,1727,2324,,0.593713,0.206661,0.137324,0.899459,0.809401,0.715618,0.626728,0.786164,0.878364,0.528571,0.855434,0.307573,0.348616,0.235254
0.018030,0.755309,1451,1978,1257,2531,3275,2340,2477,3100,2978,1593,3463,2160,1727,2324,,0.593713,0.207515,0.137911,0.899459,0.808757,0.715618,0.627650,0.786164,0.878364,0.528571,0.856431,0.308091,0.348616,0.235254
0.017990,0.773298,1452,1978,1257,2531,3275,2340,2477,3100,2978,1593,3463,2160,1726,2323,,0.594306,0.207515,0.137911,0.899459,0.808757,0.715618,0.627650,0.786164,0.878364,0.528571,0.856431,0.308091,0.347751,0.234568
0.018011,0.791309,1451,1978,1257,2531,3275,2339,2476,3100,2977,1593,3464,2160,1726,2323,,0.593713,0.207515,0.137911,0.899459,0.808757,0.715035,0.626728,0.786164,0.877287,0.528571,0.857428,0.308091,0.347751,0.234568
0.017971,0.809280,1452,1978,1258,2532,3276,2340,2476,3100,2978,1593,3464,2161,1727,2323,,0.594306,0.207515,0.138498,0.900541,0.809401,0.715618,0.626728,0.786164,0.878364,0.528571,0.857428,0.308610,0.348616,0.234568
0.018032,0.827312,1452,1977,1257,2532,3276,2340,2476,3100,2978,1593,3464,2161,1726,2324,,0.594306,0.206661,0.137911,0.900541,0.809401,0.715618,0.626728,0.786164,0.878364,0.528571,0.857428,0.308610,0.347751,0.235254
0.018003,0.845314,1452,1978,1258,2531,3276,2340,2475,3100,2978,1593,3464,2161,1726,2323,,0.594306,0.207515,0.138498,0.899459,0.809401,0.715618,0.625806,0.786164,0.878364,0.528571,0.857428,0.308610,0.347751,0.234568
0.017999,0.863313,1452,1978,1258,2531,3276,2340,2475,3100,2978,1593,3464,2161,1726,2323,,0.594306,0.207515,0.138498,0.899459,0.809401,0.715618,0.625806,0.786164,0.878364,0.528571,0.857428,0.308610,0.347751,0.234568
0.018002,0.881316,1451,1978,1257,2531,3275,2340,2474,3100,2978,1592,3464,2161,1726,2324,,0.593713,0.207515,0.137911,0.899459,0.808757,0.715618,0.624885,0.786164,0.878364,0.527679,0.857428,0.308610,0.347751,0.235254
