GloveManager recording started on 10/20/16 at 17:59:32

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017617,0.017616,1557,2044,1161,2381,2422,2301,2400,3260,2886,1603,3468,2978,1951,3005,,0.656584,0.263877,0.081573,0.737297,0.259498,0.692890,0.556682,0.897973,0.779333,0.537500,0.861416,0.732365,0.542388,0.702332
0.018000,0.035617,1557,2045,1160,2381,2422,2302,2401,3260,2885,1604,3467,2978,1952,3006,,0.656584,0.264731,0.080986,0.737297,0.259498,0.693473,0.557604,0.897973,0.778256,0.538393,0.860419,0.732365,0.543253,0.703018
0.018001,0.053618,1555,2045,1161,2382,2423,2302,2402,3260,2884,1605,3468,2978,1954,3006,,0.655397,0.264731,0.081573,0.738378,0.260142,0.693473,0.558525,0.897973,0.777180,0.539286,0.861416,0.732365,0.544983,0.703018
0.018003,0.071621,1555,2045,1161,2382,2423,2302,2402,3260,2884,1605,3468,2978,1954,3006,,0.655397,0.264731,0.081573,0.738378,0.260142,0.693473,0.558525,0.897973,0.777180,0.539286,0.861416,0.732365,0.544983,0.703018
0.018000,0.089621,1555,2045,1160,2381,2422,2302,2401,3260,2885,1605,3467,2978,1954,3006,,0.655397,0.264731,0.080986,0.737297,0.259498,0.693473,0.557604,0.897973,0.778256,0.539286,0.860419,0.732365,0.544983,0.703018
0.018026,0.107647,1555,2045,1160,2381,2422,2302,2401,3260,2885,1605,3467,2978,1954,3006,,0.655397,0.264731,0.080986,0.737297,0.259498,0.693473,0.557604,0.897973,0.778256,0.539286,0.860419,0.732365,0.544983,0.703018
0.018019,0.125666,1555,2044,1161,2381,2422,2302,2401,3260,2885,1604,3468,2977,1954,3006,,0.655397,0.263877,0.081573,0.737297,0.259498,0.693473,0.557604,0.897973,0.778256,0.538393,0.861416,0.731846,0.544983,0.703018
0.017984,0.143650,1555,2044,1160,2380,2422,2302,2400,3261,2885,1604,3468,2978,1955,3006,,0.655397,0.263877,0.080986,0.736216,0.259498,0.693473,0.556682,0.898672,0.778256,0.538393,0.861416,0.732365,0.545848,0.703018
0.017973,0.161622,1556,2045,1161,2380,2421,2302,2399,3260,2886,1605,3468,2978,1955,3007,,0.655990,0.264731,0.081573,0.736216,0.258854,0.693473,0.555760,0.897973,0.779333,0.539286,0.861416,0.732365,0.545848,0.703704
0.018023,0.179645,1556,2044,1161,2381,2422,2303,2399,3261,2885,1604,3468,2978,1954,3006,,0.655990,0.263877,0.081573,0.737297,0.259498,0.694056,0.555760,0.898672,0.778256,0.538393,0.861416,0.732365,0.544983,0.703018
0.018006,0.197651,1555,2044,1160,2380,2421,2302,2399,3261,2884,1605,3468,2978,1954,3006,,0.655397,0.263877,0.080986,0.736216,0.258854,0.693473,0.555760,0.898672,0.777180,0.539286,0.861416,0.732365,0.544983,0.703018
0.018015,0.215667,1555,2044,1160,2380,2422,2302,2398,3261,2885,1604,3468,2978,1955,3007,,0.655397,0.263877,0.080986,0.736216,0.259498,0.693473,0.554839,0.898672,0.778256,0.538393,0.861416,0.732365,0.545848,0.703704
0.017989,0.233655,1555,2044,1160,2380,2421,2302,2399,3261,2885,1604,3468,2977,1954,3006,,0.655397,0.263877,0.080986,0.736216,0.258854,0.693473,0.555760,0.898672,0.778256,0.538393,0.861416,0.731846,0.544983,0.703018
0.017998,0.251653,1554,2044,1160,2380,2422,2302,2399,3261,2885,1604,3468,2977,1956,3006,,0.654804,0.263877,0.080986,0.736216,0.259498,0.693473,0.555760,0.898672,0.778256,0.538393,0.861416,0.731846,0.546713,0.703018
0.017996,0.269649,1555,2044,1161,2380,2422,2302,2399,3262,2885,1605,3468,2978,1955,3007,,0.655397,0.263877,0.081573,0.736216,0.259498,0.693473,0.555760,0.899371,0.778256,0.539286,0.861416,0.732365,0.545848,0.703704
0.018007,0.287656,1555,2044,1161,2380,2422,2302,2399,3262,2885,1605,3468,2978,1955,3007,,0.655397,0.263877,0.081573,0.736216,0.259498,0.693473,0.555760,0.899371,0.778256,0.539286,0.861416,0.732365,0.545848,0.703704
0.017976,0.305632,1555,2043,1160,2381,2422,2302,2398,3261,2885,1604,3469,2977,1956,3005,,0.655397,0.263023,0.080986,0.737297,0.259498,0.693473,0.554839,0.898672,0.778256,0.538393,0.862413,0.731846,0.546713,0.702332
0.018030,0.323661,1556,2044,1161,2380,2422,2301,2398,3261,2885,1604,3468,2977,1956,3006,,0.655990,0.263877,0.081573,0.736216,0.259498,0.692890,0.554839,0.898672,0.778256,0.538393,0.861416,0.731846,0.546713,0.703018
0.017992,0.341653,1555,2043,1160,2380,2422,2301,2399,3261,2885,1605,3467,2978,1956,3007,,0.655397,0.263023,0.080986,0.736216,0.259498,0.692890,0.555760,0.898672,0.778256,0.539286,0.860419,0.732365,0.546713,0.703704
0.018007,0.359660,1556,2044,1161,2380,2422,2301,2399,3261,2885,1604,3468,2978,1956,3007,,0.655990,0.263877,0.081573,0.736216,0.259498,0.692890,0.555760,0.898672,0.778256,0.538393,0.861416,0.732365,0.546713,0.703704
0.018000,0.377660,1556,2044,1161,2380,2422,2303,2398,3261,2886,1604,3468,2977,1956,3007,,0.655990,0.263877,0.081573,0.736216,0.259498,0.694056,0.554839,0.898672,0.779333,0.538393,0.861416,0.731846,0.546713,0.703704
0.018002,0.395663,1556,2044,1161,2380,2422,2302,2397,3261,2885,1604,3468,2978,1955,3007,,0.655990,0.263877,0.081573,0.736216,0.259498,0.693473,0.553917,0.898672,0.778256,0.538393,0.861416,0.732365,0.545848,0.703704
0.018001,0.413663,1555,2043,1160,2380,2422,2303,2397,3262,2885,1603,3468,2977,1955,3006,,0.655397,0.263023,0.080986,0.736216,0.259498,0.694056,0.553917,0.899371,0.778256,0.537500,0.861416,0.731846,0.545848,0.703018
0.018001,0.431665,1555,2044,1160,2379,2421,2302,2398,3261,2885,1604,3468,2977,1956,3006,,0.655397,0.263877,0.080986,0.735135,0.258854,0.693473,0.554839,0.898672,0.778256,0.538393,0.861416,0.731846,0.546713,0.703018
0.018008,0.449673,1555,2044,1160,2379,2423,2302,2397,3261,2885,1604,3468,2977,1957,3006,,0.655397,0.263877,0.080986,0.735135,0.260142,0.693473,0.553917,0.898672,0.778256,0.538393,0.861416,0.731846,0.547578,0.703018
0.017997,0.467670,1555,2044,1160,2379,2422,2302,2397,3261,2885,1604,3467,2977,1956,3006,,0.655397,0.263877,0.080986,0.735135,0.259498,0.693473,0.553917,0.898672,0.778256,0.538393,0.860419,0.731846,0.546713,0.703018
0.017946,0.485616,1554,2044,1160,2380,2421,2302,2397,3261,2885,1604,3468,2977,1956,3007,,0.654804,0.263877,0.080986,0.736216,0.258854,0.693473,0.553917,0.898672,0.778256,0.538393,0.861416,0.731846,0.546713,0.703704
0.018024,0.503640,1555,2044,1160,2379,2422,2303,2398,3261,2884,1604,3468,2977,1956,3006,,0.655397,0.263877,0.080986,0.735135,0.259498,0.694056,0.554839,0.898672,0.777180,0.538393,0.861416,0.731846,0.546713,0.703018
0.018000,0.521640,1555,2044,1160,2379,2421,2302,2398,3262,2885,1605,3467,2977,1956,3007,,0.655397,0.263877,0.080986,0.735135,0.258854,0.693473,0.554839,0.899371,0.778256,0.539286,0.860419,0.731846,0.546713,0.703704
0.018001,0.539640,1555,2043,1161,2379,2422,2302,2397,3261,2885,1605,3468,2977,1956,3006,,0.655397,0.263023,0.081573,0.735135,0.259498,0.693473,0.553917,0.898672,0.778256,0.539286,0.861416,0.731846,0.546713,0.703018
0.017986,0.557627,1555,2044,1161,2378,2422,2302,2397,3262,2884,1604,3468,2977,1957,3006,,0.655397,0.263877,0.081573,0.734054,0.259498,0.693473,0.553917,0.899371,0.777180,0.538393,0.861416,0.731846,0.547578,0.703018
