GloveManager recording started on 10/20/16 at 17:59:37

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017530,0.017530,1516,1982,1172,2307,2422,2354,2326,3154,2850,1490,3416,2999,1851,2907,,0.632266,0.210931,0.088028,0.657297,0.259498,0.723776,0.488479,0.823899,0.740581,0.436607,0.809571,0.743257,0.455882,0.635117
0.018002,0.035532,1515,1982,1171,2307,2423,2354,2325,3153,2851,1489,3417,2999,1851,2907,,0.631673,0.210931,0.087441,0.657297,0.260142,0.723776,0.487558,0.823201,0.741658,0.435714,0.810568,0.743257,0.455882,0.635117
0.018002,0.053534,1516,1982,1172,2307,2422,2354,2326,3153,2851,1488,3417,2999,1850,2908,,0.632266,0.210931,0.088028,0.657297,0.259498,0.723776,0.488479,0.823201,0.741658,0.434821,0.810568,0.743257,0.455017,0.635802
0.017978,0.071512,1515,1982,1171,2308,2422,2354,2325,3153,2850,1487,3416,2999,1851,2907,,0.631673,0.210931,0.087441,0.658378,0.259498,0.723776,0.487558,0.823201,0.740581,0.433929,0.809571,0.743257,0.455882,0.635117
0.018058,0.089570,1515,1982,1171,2308,2422,2354,2325,3153,2850,1487,3416,2999,1851,2907,,0.631673,0.210931,0.087441,0.658378,0.259498,0.723776,0.487558,0.823201,0.740581,0.433929,0.809571,0.743257,0.455882,0.635117
0.017994,0.107565,1515,1981,1173,2307,2422,2354,2325,3153,2851,1487,3416,2998,1850,2907,,0.631673,0.210077,0.088615,0.657297,0.259498,0.723776,0.487558,0.823201,0.741658,0.433929,0.809571,0.742739,0.455017,0.635117
0.018009,0.125574,1514,1981,1173,2307,2422,2354,2325,3153,2850,1487,3416,2999,1851,2906,,0.631079,0.210077,0.088615,0.657297,0.259498,0.723776,0.487558,0.823201,0.740581,0.433929,0.809571,0.743257,0.455882,0.634431
0.017988,0.143562,1513,1980,1172,2306,2422,2353,2325,3152,2850,1488,3417,2998,1851,2906,,0.630486,0.209223,0.088028,0.656216,0.259498,0.723193,0.487558,0.822502,0.740581,0.434821,0.810568,0.742739,0.455882,0.634431
0.018007,0.161568,1513,1981,1172,2306,2422,2354,2326,3153,2850,1488,3417,2999,1851,2906,,0.630486,0.210077,0.088028,0.656216,0.259498,0.723776,0.488479,0.823201,0.740581,0.434821,0.810568,0.743257,0.455882,0.634431
0.018005,0.179573,1513,1980,1172,2306,2422,2354,2325,3154,2849,1487,3417,2998,1852,2905,,0.630486,0.209223,0.088028,0.656216,0.259498,0.723776,0.487558,0.823899,0.739505,0.433929,0.810568,0.742739,0.456747,0.633745
0.017994,0.197567,1513,1981,1173,2306,2422,2353,2325,3154,2850,1488,3417,2999,1852,2906,,0.630486,0.210077,0.088615,0.656216,0.259498,0.723193,0.487558,0.823899,0.740581,0.434821,0.810568,0.743257,0.456747,0.634431
0.018008,0.215576,1513,1981,1173,2306,2422,2353,2325,3154,2850,1488,3417,2999,1852,2906,,0.630486,0.210077,0.088615,0.656216,0.259498,0.723193,0.487558,0.823899,0.740581,0.434821,0.810568,0.743257,0.456747,0.634431
0.017991,0.233567,1513,1980,1172,2306,2422,2354,2324,3154,2850,1488,3417,2998,1853,2905,,0.630486,0.209223,0.088028,0.656216,0.259498,0.723776,0.486636,0.823899,0.740581,0.434821,0.810568,0.742739,0.457612,0.633745
0.018018,0.251585,1513,1980,1172,2306,2422,2354,2324,3154,2850,1488,3417,2998,1853,2905,,0.630486,0.209223,0.088028,0.656216,0.259498,0.723776,0.486636,0.823899,0.740581,0.434821,0.810568,0.742739,0.457612,0.633745
0.017994,0.269578,1515,1981,1173,2306,2422,2353,2325,3154,2850,1488,3416,2998,1852,2905,,0.631673,0.210077,0.088615,0.656216,0.259498,0.723193,0.487558,0.823899,0.740581,0.434821,0.809571,0.742739,0.456747,0.633745
0.017995,0.287574,1514,1980,1172,2305,2422,2354,2324,3154,2849,1488,3417,2999,1853,2906,,0.631079,0.209223,0.088028,0.655135,0.259498,0.723776,0.486636,0.823899,0.739505,0.434821,0.810568,0.743257,0.457612,0.634431
0.017998,0.305572,1514,1981,1173,2306,2422,2354,2324,3154,2849,1488,3417,2999,1853,2905,,0.631079,0.210077,0.088615,0.656216,0.259498,0.723776,0.486636,0.823899,0.739505,0.434821,0.810568,0.743257,0.457612,0.633745
0.018002,0.323574,1514,1981,1172,2306,2421,2354,2324,3154,2850,1487,3418,2998,1852,2906,,0.631079,0.210077,0.088028,0.656216,0.258854,0.723776,0.486636,0.823899,0.740581,0.433929,0.811565,0.742739,0.456747,0.634431
0.018003,0.341577,1514,1980,1172,2305,2422,2354,2324,3154,2850,1487,3417,2998,1854,2905,,0.631079,0.209223,0.088028,0.655135,0.259498,0.723776,0.486636,0.823899,0.740581,0.433929,0.810568,0.742739,0.458477,0.633745
0.017980,0.359557,1513,1981,1172,2305,2422,2354,2324,3154,2849,1488,3418,2999,1854,2906,,0.630486,0.210077,0.088028,0.655135,0.259498,0.723776,0.486636,0.823899,0.739505,0.434821,0.811565,0.743257,0.458477,0.634431
0.018014,0.377571,1515,1981,1173,2305,2422,2354,2324,3154,2850,1488,3418,2998,1853,2905,,0.631673,0.210077,0.088615,0.655135,0.259498,0.723776,0.486636,0.823899,0.740581,0.434821,0.811565,0.742739,0.457612,0.633745
0.018024,0.395595,1512,1980,1173,2306,2422,2354,2324,3154,2850,1489,3416,2998,1854,2906,,0.629893,0.209223,0.088615,0.656216,0.259498,0.723776,0.486636,0.823899,0.740581,0.435714,0.809571,0.742739,0.458477,0.634431
0.017993,0.413589,1514,1980,1173,2306,2422,2354,2325,3154,2850,1489,3417,2998,1854,2905,,0.631079,0.209223,0.088615,0.656216,0.259498,0.723776,0.487558,0.823899,0.740581,0.435714,0.810568,0.742739,0.458477,0.633745
0.018000,0.431589,1514,1981,1173,2306,2422,2354,2324,3154,2850,1488,3417,2999,1854,2906,,0.631079,0.210077,0.088615,0.656216,0.259498,0.723776,0.486636,0.823899,0.740581,0.434821,0.810568,0.743257,0.458477,0.634431
0.017997,0.449586,1514,1981,1173,2306,2422,2354,2324,3154,2850,1488,3417,2999,1854,2906,,0.631079,0.210077,0.088615,0.656216,0.259498,0.723776,0.486636,0.823899,0.740581,0.434821,0.810568,0.743257,0.458477,0.634431
0.017997,0.467583,1514,1981,1173,2306,2422,2354,2324,3153,2850,1487,3418,2999,1851,2908,,0.631079,0.210077,0.088615,0.656216,0.259498,0.723776,0.486636,0.823201,0.740581,0.433929,0.811565,0.743257,0.455882,0.635802
0.018013,0.485597,1514,1981,1173,2306,2422,2354,2324,3153,2850,1487,3418,2999,1851,2908,,0.631079,0.210077,0.088615,0.656216,0.259498,0.723776,0.486636,0.823201,0.740581,0.433929,0.811565,0.743257,0.455882,0.635802
0.017987,0.503584,1514,1980,1173,2307,2422,2354,2323,3154,2851,1486,3417,2997,1850,2909,,0.631079,0.209223,0.088615,0.657297,0.259498,0.723776,0.485714,0.823899,0.741658,0.433036,0.810568,0.742220,0.455017,0.636488
0.017965,0.521549,1513,1981,1173,2307,2422,2353,2324,3154,2851,1486,3416,2999,1851,2910,,0.630486,0.210077,0.088615,0.657297,0.259498,0.723193,0.486636,0.823899,0.741658,0.433036,0.809571,0.743257,0.455882,0.637174
0.017990,0.539538,1515,1981,1173,2306,2422,2353,2323,3154,2851,1485,3416,2998,1851,2910,,0.631673,0.210077,0.088615,0.656216,0.259498,0.723193,0.485714,0.823899,0.741658,0.432143,0.809571,0.742739,0.455882,0.637174
0.018045,0.557583,1515,1981,1173,2306,2422,2353,2323,3154,2851,1485,3416,2998,1851,2910,,0.631673,0.210077,0.088615,0.656216,0.259498,0.723193,0.485714,0.823899,0.741658,0.432143,0.809571,0.742739,0.455882,0.637174
0.018003,0.575586,1514,1980,1171,2305,2422,2353,2322,3155,2852,1487,3416,2999,1851,2909,,0.631079,0.209223,0.087441,0.655135,0.259498,0.723193,0.484793,0.824598,0.742734,0.433929,0.809571,0.743257,0.455882,0.636488
0.018019,0.593605,1514,1980,1172,2305,2422,2353,2323,3154,2851,1487,3416,2998,1852,2908,,0.631079,0.209223,0.088028,0.655135,0.259498,0.723193,0.485714,0.823899,0.741658,0.433929,0.809571,0.742739,0.456747,0.635802
0.017993,0.611598,1513,1980,1172,2306,2422,2353,2324,3154,2851,1487,3416,2998,1852,2908,,0.630486,0.209223,0.088028,0.656216,0.259498,0.723193,0.486636,0.823899,0.741658,0.433929,0.809571,0.742739,0.456747,0.635802
0.017982,0.629579,1514,1980,1172,2306,2422,2353,2323,3154,2852,1487,3416,2998,1852,2909,,0.631079,0.209223,0.088028,0.656216,0.259498,0.723193,0.485714,0.823899,0.742734,0.433929,0.809571,0.742739,0.456747,0.636488
0.017979,0.647559,1514,1980,1173,2307,2422,2353,2324,3154,2851,1487,3417,2998,1853,2909,,0.631079,0.209223,0.088615,0.657297,0.259498,0.723193,0.486636,0.823899,0.741658,0.433929,0.810568,0.742739,0.457612,0.636488
0.018040,0.665598,1514,1980,1173,2307,2422,2353,2324,3154,2851,1487,3417,2998,1853,2909,,0.631079,0.209223,0.088615,0.657297,0.259498,0.723193,0.486636,0.823899,0.741658,0.433929,0.810568,0.742739,0.457612,0.636488
0.017990,0.683589,1513,1980,1172,2307,2422,2353,2322,3154,2851,1486,3416,2998,1852,2910,,0.630486,0.209223,0.088028,0.657297,0.259498,0.723193,0.484793,0.823899,0.741658,0.433036,0.809571,0.742739,0.456747,0.637174
0.018010,0.701599,1513,1980,1172,2306,2422,2352,2323,3154,2851,1486,3416,2997,1851,2908,,0.630486,0.209223,0.088028,0.656216,0.259498,0.722611,0.485714,0.823899,0.741658,0.433036,0.809571,0.742220,0.455882,0.635802
0.017993,0.719592,1512,1980,1172,2306,2422,2352,2324,3153,2850,1487,3416,2999,1851,2907,,0.629893,0.209223,0.088028,0.656216,0.259498,0.722611,0.486636,0.823201,0.740581,0.433929,0.809571,0.743257,0.455882,0.635117
0.018027,0.737619,1513,1980,1172,2307,2422,2353,2324,3154,2850,1487,3416,2999,1851,2907,,0.630486,0.209223,0.088028,0.657297,0.259498,0.723193,0.486636,0.823899,0.740581,0.433929,0.809571,0.743257,0.455882,0.635117
0.017971,0.755590,1512,1980,1173,2306,2422,2353,2324,3154,2850,1486,3417,2999,1851,2907,,0.629893,0.209223,0.088615,0.656216,0.259498,0.723193,0.486636,0.823899,0.740581,0.433036,0.810568,0.743257,0.455882,0.635117
0.018002,0.773592,1512,1980,1172,2306,2422,2353,2324,3154,2851,1487,3416,2999,1851,2908,,0.629893,0.209223,0.088028,0.656216,0.259498,0.723193,0.486636,0.823899,0.741658,0.433929,0.809571,0.743257,0.455882,0.635802
0.018009,0.791601,1512,1980,1172,2306,2422,2353,2324,3154,2851,1487,3416,2999,1851,2908,,0.629893,0.209223,0.088028,0.656216,0.259498,0.723193,0.486636,0.823899,0.741658,0.433929,0.809571,0.743257,0.455882,0.635802
0.017992,0.809593,1512,1980,1172,2307,2422,2353,2323,3155,2851,1488,3417,2999,1852,2908,,0.629893,0.209223,0.088028,0.657297,0.259498,0.723193,0.485714,0.824598,0.741658,0.434821,0.810568,0.743257,0.456747,0.635802
0.018010,0.827603,1512,1980,1172,2307,2422,2353,2323,3155,2851,1488,3417,2999,1852,2908,,0.629893,0.209223,0.088028,0.657297,0.259498,0.723193,0.485714,0.824598,0.741658,0.434821,0.810568,0.743257,0.456747,0.635802
