GloveManager recording started on 10/20/16 at 16:15:31

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017209,0.017209,1131,1967,1514,2470,3158,2293,2564,3197,2916,1536,3394,2879,2001,3088,,0.325427,0.188867,0.381818,0.860491,0.780137,0.676737,0.744868,0.914671,0.867133,0.472376,0.806186,0.839758,0.720213,0.794118
0.018056,0.035265,1131,1966,1514,2470,3158,2292,2564,3197,2917,1536,3394,2879,2001,3088,,0.325427,0.187873,0.381818,0.860491,0.780137,0.676133,0.744868,0.914671,0.868298,0.472376,0.806186,0.839758,0.720213,0.794118
0.018008,0.053274,1131,1966,1513,2470,3159,2292,2564,3197,2917,1537,3394,2880,2001,3088,,0.325427,0.187873,0.380909,0.860491,0.780822,0.676133,0.744868,0.914671,0.868298,0.473296,0.806186,0.840514,0.720213,0.794118
0.017992,0.071265,1131,1966,1514,2471,3158,2292,2564,3198,2917,1537,3394,2880,2001,3087,,0.325427,0.187873,0.381818,0.861607,0.780137,0.676133,0.744868,0.915419,0.868298,0.473296,0.806186,0.840514,0.720213,0.793400
0.017993,0.089259,1131,1966,1513,2470,3158,2293,2564,3198,2917,1536,3395,2880,2001,3088,,0.325427,0.187873,0.380909,0.860491,0.780137,0.676737,0.744868,0.915419,0.868298,0.472376,0.807216,0.840514,0.720213,0.794118
0.017996,0.107255,1131,1966,1514,2470,3159,2292,2564,3198,2917,1537,3393,2880,2001,3088,,0.325427,0.187873,0.381818,0.860491,0.780822,0.676133,0.744868,0.915419,0.868298,0.473296,0.805155,0.840514,0.720213,0.794118
0.018009,0.125264,1131,1966,1514,2469,3158,2292,2564,3198,2917,1537,3394,2880,2001,3088,,0.325427,0.187873,0.381818,0.859375,0.780137,0.676133,0.744868,0.915419,0.868298,0.473296,0.806186,0.840514,0.720213,0.794118
0.017997,0.143261,1131,1966,1512,2470,3159,2292,2564,3198,2917,1538,3394,2880,2001,3088,,0.325427,0.187873,0.380000,0.860491,0.780822,0.676133,0.744868,0.915419,0.868298,0.474217,0.806186,0.840514,0.720213,0.794118
0.018006,0.161267,1132,1966,1514,2470,3159,2293,2564,3198,2917,1537,3395,2880,2001,3088,,0.326376,0.187873,0.381818,0.860491,0.780822,0.676737,0.744868,0.915419,0.868298,0.473296,0.807216,0.840514,0.720213,0.794118
0.018005,0.179272,1130,1966,1514,2469,3159,2292,2563,3198,2917,1537,3394,2880,2001,3088,,0.324478,0.187873,0.381818,0.859375,0.780822,0.676133,0.743891,0.915419,0.868298,0.473296,0.806186,0.840514,0.720213,0.794118
0.018007,0.197279,1131,1966,1514,2470,3159,2292,2564,3198,2918,1538,3395,2879,2002,3088,,0.325427,0.187873,0.381818,0.860491,0.780822,0.676133,0.744868,0.915419,0.869464,0.474217,0.807216,0.839758,0.721277,0.794118
0.017986,0.215266,1131,1966,1514,2470,3159,2292,2564,3198,2918,1538,3395,2879,2002,3088,,0.325427,0.187873,0.381818,0.860491,0.780822,0.676133,0.744868,0.915419,0.869464,0.474217,0.807216,0.839758,0.721277,0.794118
0.017999,0.233265,1132,1966,1514,2469,3159,2292,2564,3198,2918,1538,3394,2879,2001,3088,,0.326376,0.187873,0.381818,0.859375,0.780822,0.676133,0.744868,0.915419,0.869464,0.474217,0.806186,0.839758,0.720213,0.794118
0.018008,0.251273,1131,1966,1513,2470,3159,2292,2564,3198,2917,1537,3394,2880,2000,3088,,0.325427,0.187873,0.380909,0.860491,0.780822,0.676133,0.744868,0.915419,0.868298,0.473296,0.806186,0.840514,0.719149,0.794118
0.017995,0.269269,1132,1965,1515,2469,3159,2292,2563,3198,2918,1536,3393,2879,2001,3088,,0.326376,0.186879,0.382727,0.859375,0.780822,0.676133,0.743891,0.915419,0.869464,0.472376,0.805155,0.839758,0.720213,0.794118
0.018010,0.287279,1131,1966,1514,2469,3159,2292,2563,3199,2917,1537,3394,2880,2000,3087,,0.325427,0.187873,0.381818,0.859375,0.780822,0.676133,0.743891,0.916168,0.868298,0.473296,0.806186,0.840514,0.719149,0.793400
0.017998,0.305277,1131,1965,1514,2469,3159,2292,2564,3198,2918,1537,3394,2880,2001,3088,,0.325427,0.186879,0.381818,0.859375,0.780822,0.676133,0.744868,0.915419,0.869464,0.473296,0.806186,0.840514,0.720213,0.794118
0.017996,0.323274,1130,1966,1514,2470,3159,2292,2564,3199,2917,1536,3393,2879,2001,3088,,0.324478,0.187873,0.381818,0.860491,0.780822,0.676133,0.744868,0.916168,0.868298,0.472376,0.805155,0.839758,0.720213,0.794118
0.018009,0.341282,1131,1966,1514,2470,3159,2292,2563,3199,2917,1538,3394,2880,2001,3087,,0.325427,0.187873,0.381818,0.860491,0.780822,0.676133,0.743891,0.916168,0.868298,0.474217,0.806186,0.840514,0.720213,0.793400
0.018003,0.359286,1132,1966,1514,2470,3159,2292,2564,3199,2918,1537,3394,2880,2001,3088,,0.326376,0.187873,0.381818,0.860491,0.780822,0.676133,0.744868,0.916168,0.869464,0.473296,0.806186,0.840514,0.720213,0.794118
0.017985,0.377270,1132,1966,1515,2469,3159,2293,2564,3199,2917,1537,3394,2880,2001,3088,,0.326376,0.187873,0.382727,0.859375,0.780822,0.676737,0.744868,0.916168,0.868298,0.473296,0.806186,0.840514,0.720213,0.794118
0.018006,0.395276,1133,1965,1513,2470,3159,2292,2563,3199,2917,1537,3394,2879,2001,3087,,0.327324,0.186879,0.380909,0.860491,0.780822,0.676133,0.743891,0.916168,0.868298,0.473296,0.806186,0.839758,0.720213,0.793400
0.018012,0.413288,1132,1965,1514,2470,3159,2292,2563,3199,2918,1538,3393,2880,2001,3088,,0.326376,0.186879,0.381818,0.860491,0.780822,0.676133,0.743891,0.916168,0.869464,0.474217,0.805155,0.840514,0.720213,0.794118
0.017960,0.431248,1132,1965,1514,2469,3160,2292,2564,3200,2918,1538,3394,2880,2002,3088,,0.326376,0.186879,0.381818,0.859375,0.781507,0.676133,0.744868,0.916916,0.869464,0.474217,0.806186,0.840514,0.721277,0.794118
0.018025,0.449273,1133,1965,1514,2469,3160,2292,2564,3199,2917,1537,3394,2879,2001,3087,,0.327324,0.186879,0.381818,0.859375,0.781507,0.676133,0.744868,0.916168,0.868298,0.473296,0.806186,0.839758,0.720213,0.793400
0.018002,0.467275,1132,1965,1515,2469,3159,2292,2564,3199,2918,1538,3395,2880,2000,3088,,0.326376,0.186879,0.382727,0.859375,0.780822,0.676133,0.744868,0.916168,0.869464,0.474217,0.807216,0.840514,0.719149,0.794118
0.018016,0.485291,1133,1965,1514,2470,3160,2292,2563,3199,2918,1537,3394,2879,2001,3088,,0.327324,0.186879,0.381818,0.860491,0.781507,0.676133,0.743891,0.916168,0.869464,0.473296,0.806186,0.839758,0.720213,0.794118
0.017962,0.503253,1132,1965,1514,2469,3160,2292,2563,3199,2918,1537,3393,2880,2001,3088,,0.326376,0.186879,0.381818,0.859375,0.781507,0.676133,0.743891,0.916168,0.869464,0.473296,0.805155,0.840514,0.720213,0.794118
0.018023,0.521276,1132,1966,1515,2469,3160,2292,2563,3199,2918,1538,3394,2880,2001,3087,,0.326376,0.187873,0.382727,0.859375,0.781507,0.676133,0.743891,0.916168,0.869464,0.474217,0.806186,0.840514,0.720213,0.793400
0.017984,0.539260,1132,1965,1514,2469,3159,2292,2563,3199,2918,1537,3394,2880,2001,3087,,0.326376,0.186879,0.381818,0.859375,0.780822,0.676133,0.743891,0.916168,0.869464,0.473296,0.806186,0.840514,0.720213,0.793400
0.018014,0.557274,1132,1965,1513,2468,3159,2292,2563,3199,2918,1537,3394,2880,2001,3086,,0.326376,0.186879,0.380909,0.858259,0.780822,0.676133,0.743891,0.916168,0.869464,0.473296,0.806186,0.840514,0.720213,0.792683
0.018021,0.575295,1132,1965,1513,2468,3159,2292,2563,3199,2918,1537,3394,2880,2001,3087,,0.326376,0.186879,0.380909,0.858259,0.780822,0.676133,0.743891,0.916168,0.869464,0.473296,0.806186,0.840514,0.720213,0.793400
