GloveManager recording started on 10/20/16 at 16:16:09

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017463,0.017463,1294,1921,1230,2029,2274,2059,2088,3014,2901,1125,3265,2878,1465,2670,,0.480076,0.143141,0.123636,0.368304,0.174658,0.535347,0.279570,0.777695,0.849650,0.093923,0.673196,0.839002,0.150000,0.494261
0.018004,0.035467,1294,1920,1230,2029,2274,2060,2088,3013,2901,1126,3265,2878,1464,2671,,0.480076,0.142147,0.123636,0.368304,0.174658,0.535952,0.279570,0.776946,0.849650,0.094843,0.673196,0.839002,0.148936,0.494978
0.018008,0.053476,1293,1920,1230,2029,2273,2059,2088,3013,2901,1125,3265,2878,1466,2671,,0.479127,0.142147,0.123636,0.368304,0.173973,0.535347,0.279570,0.776946,0.849650,0.093923,0.673196,0.839002,0.151064,0.494978
0.017997,0.071473,1293,1919,1231,2028,2273,2059,2088,3013,2901,1126,3264,2878,1465,2671,,0.479127,0.141153,0.124545,0.367188,0.173973,0.535347,0.279570,0.776946,0.849650,0.094843,0.672165,0.839002,0.150000,0.494978
0.018002,0.089474,1293,1919,1232,2029,2274,2057,2089,3012,2900,1126,3264,2877,1465,2671,,0.479127,0.141153,0.125455,0.368304,0.174658,0.534139,0.280547,0.776198,0.848485,0.094843,0.672165,0.838246,0.150000,0.494978
0.017995,0.107470,1293,1919,1232,2028,2274,2057,2089,3012,2900,1126,3263,2877,1465,2671,,0.479127,0.141153,0.125455,0.367188,0.174658,0.534139,0.280547,0.776198,0.848485,0.094843,0.671134,0.838246,0.150000,0.494978
0.017999,0.125469,1293,1919,1232,2028,2273,2056,2090,3011,2900,1126,3262,2876,1466,2671,,0.479127,0.141153,0.125455,0.367188,0.173973,0.533535,0.281525,0.775449,0.848485,0.094843,0.670103,0.837491,0.151064,0.494978
0.017969,0.143438,1294,1919,1233,2026,2273,2055,2090,3008,2899,1126,3260,2876,1467,2671,,0.480076,0.141153,0.126364,0.364955,0.173973,0.532930,0.281525,0.773204,0.847319,0.094843,0.668041,0.837491,0.152128,0.494978
0.018036,0.161474,1294,1918,1233,2026,2273,2055,2091,3008,2899,1126,3258,2876,1466,2672,,0.480076,0.140159,0.126364,0.364955,0.173973,0.532930,0.282502,0.773204,0.847319,0.094843,0.665979,0.837491,0.151064,0.495696
0.018020,0.179494,1293,1917,1233,2025,2273,2054,2092,3007,2898,1126,3259,2876,1467,2673,,0.479127,0.139165,0.126364,0.363839,0.173973,0.532326,0.283480,0.772455,0.846154,0.094843,0.667010,0.837491,0.152128,0.496413
0.017950,0.197443,1294,1919,1233,2025,2273,2053,2091,3008,2898,1127,3258,2876,1467,2674,,0.480076,0.141153,0.126364,0.363839,0.173973,0.531722,0.282502,0.773204,0.846154,0.095764,0.665979,0.837491,0.152128,0.497131
0.018041,0.215484,1294,1919,1233,2025,2273,2052,2093,3007,2898,1127,3257,2876,1467,2675,,0.480076,0.141153,0.126364,0.363839,0.173973,0.531118,0.284457,0.772455,0.846154,0.095764,0.664948,0.837491,0.152128,0.497848
