GloveManager recording started on 10/20/16 at 16:16:23

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017483,0.017483,1290,2155,1298,2255,2984,2283,2076,3072,2925,1117,3303,2927,1441,2878,,0.476281,0.375746,0.185455,0.620536,0.660959,0.670695,0.267840,0.821108,0.877622,0.086556,0.712371,0.876039,0.124468,0.643472
0.018050,0.035533,1289,2155,1298,2256,2984,2283,2076,3072,2925,1116,3304,2926,1441,2878,,0.475332,0.375746,0.185455,0.621652,0.660959,0.670695,0.267840,0.821108,0.877622,0.085635,0.713402,0.875283,0.124468,0.643472
0.017974,0.053507,1289,2155,1298,2256,2984,2283,2076,3072,2925,1116,3304,2926,1441,2878,,0.475332,0.375746,0.185455,0.621652,0.660959,0.670695,0.267840,0.821108,0.877622,0.085635,0.713402,0.875283,0.124468,0.643472
0.018014,0.071521,1290,2156,1297,2257,2983,2282,2077,3072,2925,1116,3302,2926,1441,2878,,0.476281,0.376740,0.184545,0.622768,0.660274,0.670091,0.268817,0.821108,0.877622,0.085635,0.711340,0.875283,0.124468,0.643472
0.018023,0.089544,1289,2155,1297,2257,2984,2283,2077,3072,2926,1116,3302,2926,1441,2878,,0.475332,0.375746,0.184545,0.622768,0.660959,0.670695,0.268817,0.821108,0.878788,0.085635,0.711340,0.875283,0.124468,0.643472
0.017960,0.107504,1290,2156,1298,2257,2984,2283,2076,3072,2925,1116,3304,2927,1442,2878,,0.476281,0.376740,0.185455,0.622768,0.660959,0.670695,0.267840,0.821108,0.877622,0.085635,0.713402,0.876039,0.125532,0.643472
0.018020,0.125524,1290,2156,1298,2257,2984,2283,2076,3072,2925,1116,3304,2927,1442,2878,,0.476281,0.376740,0.185455,0.622768,0.660959,0.670695,0.267840,0.821108,0.877622,0.085635,0.713402,0.876039,0.125532,0.643472
0.018015,0.143538,1290,2156,1298,2257,2985,2283,2076,3072,2925,1116,3303,2926,1441,2877,,0.476281,0.376740,0.185455,0.622768,0.661644,0.670695,0.267840,0.821108,0.877622,0.085635,0.712371,0.875283,0.124468,0.642755
0.018007,0.161546,1290,2155,1299,2257,2984,2283,2076,3072,2926,1116,3304,2926,1442,2876,,0.476281,0.375746,0.186364,0.622768,0.660959,0.670695,0.267840,0.821108,0.878788,0.085635,0.713402,0.875283,0.125532,0.642037
