GloveManager recording started on 10/20/16 at 16:16:38

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017527,0.017527,1221,2075,1610,2127,2319,1964,2687,3181,2825,1601,3334,2918,1838,3021,,0.410816,0.296223,0.469091,0.477679,0.205479,0.477946,0.865103,0.902695,0.761072,0.532228,0.744330,0.869237,0.546808,0.746055
0.017967,0.035494,1221,2075,1611,2127,2321,1965,2688,3181,2825,1602,3333,2918,1838,3020,,0.410816,0.296223,0.470000,0.477679,0.206849,0.478550,0.866080,0.902695,0.761072,0.533149,0.743299,0.869237,0.546808,0.745337
0.018025,0.053519,1222,2076,1611,2128,2321,1967,2690,3181,2825,1602,3334,2919,1839,3020,,0.411765,0.297217,0.470000,0.478795,0.206849,0.479758,0.868035,0.902695,0.761072,0.533149,0.744330,0.869992,0.547872,0.745337
0.018009,0.071528,1222,2075,1610,2128,2320,1968,2690,3181,2825,1602,3335,2919,1840,3021,,0.411765,0.296223,0.469091,0.478795,0.206164,0.480363,0.868035,0.902695,0.761072,0.533149,0.745361,0.869992,0.548936,0.746055
0.018005,0.089533,1222,2075,1610,2128,2321,1967,2690,3182,2825,1601,3334,2918,1840,3020,,0.411765,0.296223,0.469091,0.478795,0.206849,0.479758,0.868035,0.903443,0.761072,0.532228,0.744330,0.869237,0.548936,0.745337
0.018025,0.107558,1221,2075,1610,2129,2321,1967,2691,3181,2825,1602,3334,2919,1840,3021,,0.410816,0.296223,0.469091,0.479911,0.206849,0.479758,0.869013,0.902695,0.761072,0.533149,0.744330,0.869992,0.548936,0.746055
0.017974,0.125531,1220,2075,1610,2129,2320,1966,2690,3181,2825,1601,3333,2918,1840,3021,,0.409867,0.296223,0.469091,0.479911,0.206164,0.479154,0.868035,0.902695,0.761072,0.532228,0.743299,0.869237,0.548936,0.746055
0.018002,0.143533,1220,2075,1610,2129,2320,1966,2690,3181,2825,1601,3333,2918,1840,3021,,0.409867,0.296223,0.469091,0.479911,0.206164,0.479154,0.868035,0.902695,0.761072,0.532228,0.743299,0.869237,0.548936,0.746055
0.017989,0.161522,1220,2074,1610,2131,2320,1967,2690,3180,2825,1602,3334,2918,1840,3021,,0.409867,0.295229,0.469091,0.482143,0.206164,0.479758,0.868035,0.901946,0.761072,0.533149,0.744330,0.869237,0.548936,0.746055
0.018002,0.179524,1220,2074,1609,2132,2320,1966,2691,3181,2825,1602,3334,2918,1841,3022,,0.409867,0.295229,0.468182,0.483259,0.206164,0.479154,0.869013,0.902695,0.761072,0.533149,0.744330,0.869237,0.550000,0.746772
0.018007,0.197531,1220,2075,1609,2133,2319,1965,2690,3180,2825,1601,3333,2918,1841,3022,,0.409867,0.296223,0.468182,0.484375,0.205479,0.478550,0.868035,0.901946,0.761072,0.532228,0.743299,0.869237,0.550000,0.746772
0.018003,0.215535,1220,2074,1609,2134,2319,1965,2690,3180,2825,1601,3334,2919,1842,3022,,0.409867,0.295229,0.468182,0.485491,0.205479,0.478550,0.868035,0.901946,0.761072,0.532228,0.744330,0.869992,0.551064,0.746772
0.017997,0.233532,1221,2074,1609,2134,2320,1965,2691,3180,2824,1601,3333,2919,1842,3022,,0.410816,0.295229,0.468182,0.485491,0.206164,0.478550,0.869013,0.901946,0.759907,0.532228,0.743299,0.869992,0.551064,0.746772
0.017996,0.251528,1220,2074,1608,2134,2319,1966,2690,3180,2825,1602,3334,2919,1842,3022,,0.409867,0.295229,0.467273,0.485491,0.205479,0.479154,0.868035,0.901946,0.761072,0.533149,0.744330,0.869992,0.551064,0.746772
0.017999,0.269526,1220,2074,1608,2135,2320,1964,2691,3181,2825,1602,3335,2918,1841,3022,,0.409867,0.295229,0.467273,0.486607,0.206164,0.477946,0.869013,0.902695,0.761072,0.533149,0.745361,0.869237,0.550000,0.746772
0.018012,0.287539,1220,2074,1608,2135,2320,1964,2691,3181,2825,1602,3335,2918,1841,3022,,0.409867,0.295229,0.467273,0.486607,0.206164,0.477946,0.869013,0.902695,0.761072,0.533149,0.745361,0.869237,0.550000,0.746772
0.017966,0.305505,1219,2074,1608,2135,2320,1965,2691,3181,2824,1602,3334,2918,1841,3022,,0.408918,0.295229,0.467273,0.486607,0.206164,0.478550,0.869013,0.902695,0.759907,0.533149,0.744330,0.869237,0.550000,0.746772
0.018025,0.323530,1219,2073,1608,2135,2319,1965,2690,3180,2824,1602,3334,2919,1842,3023,,0.408918,0.294235,0.467273,0.486607,0.205479,0.478550,0.868035,0.901946,0.759907,0.533149,0.744330,0.869992,0.551064,0.747489
0.018009,0.341539,1219,2073,1609,2135,2319,1965,2691,3181,2826,1602,3334,2919,1843,3022,,0.408918,0.294235,0.468182,0.486607,0.205479,0.478550,0.869013,0.902695,0.762238,0.533149,0.744330,0.869992,0.552128,0.746772
0.018000,0.359539,1219,2073,1608,2135,2319,1965,2691,3181,2824,1602,3334,2919,1843,3021,,0.408918,0.294235,0.467273,0.486607,0.205479,0.478550,0.869013,0.902695,0.759907,0.533149,0.744330,0.869992,0.552128,0.746055
0.018003,0.377542,1218,2073,1608,2135,2319,1964,2691,3180,2825,1603,3334,2918,1843,3021,,0.407970,0.294235,0.467273,0.486607,0.205479,0.477946,0.869013,0.901946,0.761072,0.534070,0.744330,0.869237,0.552128,0.746055
0.017977,0.395519,1219,2074,1608,2138,2318,1966,2692,3180,2824,1603,3334,2919,1844,3022,,0.408918,0.295229,0.467273,0.489955,0.204795,0.479154,0.869990,0.901946,0.759907,0.534070,0.744330,0.869992,0.553191,0.746772
0.018023,0.413542,1219,2074,1608,2138,2319,1965,2691,3181,2824,1602,3334,2919,1844,3021,,0.408918,0.295229,0.467273,0.489955,0.205479,0.478550,0.869013,0.902695,0.759907,0.533149,0.744330,0.869992,0.553191,0.746055
0.017993,0.431535,1219,2074,1608,2139,2319,1965,2691,3181,2824,1604,3334,2919,1845,3022,,0.408918,0.295229,0.467273,0.491071,0.205479,0.478550,0.869013,0.902695,0.759907,0.534991,0.744330,0.869992,0.554255,0.746772
0.018008,0.449543,1219,2074,1608,2139,2319,1965,2691,3180,2824,1603,3334,2919,1845,3021,,0.408918,0.295229,0.467273,0.491071,0.205479,0.478550,0.869013,0.901946,0.759907,0.534070,0.744330,0.869992,0.554255,0.746055
0.017995,0.467538,1219,2074,1609,2139,2319,1966,2692,3181,2825,1604,3334,2919,1845,3022,,0.408918,0.295229,0.468182,0.491071,0.205479,0.479154,0.869990,0.902695,0.761072,0.534991,0.744330,0.869992,0.554255,0.746772
0.018001,0.485539,1219,2075,1608,2139,2318,1965,2691,3181,2825,1604,3334,2919,1845,3022,,0.408918,0.296223,0.467273,0.491071,0.204795,0.478550,0.869013,0.902695,0.761072,0.534991,0.744330,0.869992,0.554255,0.746772
0.018000,0.503539,1218,2073,1608,2140,2318,1965,2691,3180,2825,1603,3334,2919,1844,3022,,0.407970,0.294235,0.467273,0.492188,0.204795,0.478550,0.869013,0.901946,0.761072,0.534070,0.744330,0.869992,0.553191,0.746772
0.018002,0.521541,1218,2073,1608,2140,2318,1965,2691,3180,2825,1603,3334,2919,1844,3022,,0.407970,0.294235,0.467273,0.492188,0.204795,0.478550,0.869013,0.901946,0.761072,0.534070,0.744330,0.869992,0.553191,0.746772
0.018000,0.539541,1217,2074,1610,2142,2319,1966,2692,3181,2826,1603,3334,2919,1844,3022,,0.407021,0.295229,0.469091,0.494420,0.205479,0.479154,0.869990,0.902695,0.762238,0.534070,0.744330,0.869992,0.553191,0.746772
0.018003,0.557544,1217,2074,1609,2142,2319,1967,2692,3180,2825,1603,3333,2919,1844,3022,,0.407021,0.295229,0.468182,0.494420,0.205479,0.479758,0.869990,0.901946,0.761072,0.534070,0.743299,0.869992,0.553191,0.746772
0.017977,0.575521,1216,2075,1610,2143,2319,1968,2692,3181,2825,1603,3334,2920,1844,3022,,0.406072,0.296223,0.469091,0.495536,0.205479,0.480363,0.869990,0.902695,0.761072,0.534070,0.744330,0.870748,0.553191,0.746772
0.018022,0.593544,1215,2074,1610,2144,2319,1968,2693,3180,2825,1603,3334,2919,1843,3022,,0.405123,0.295229,0.469091,0.496652,0.205479,0.480363,0.870968,0.901946,0.761072,0.534070,0.744330,0.869992,0.552128,0.746772
0.018002,0.611546,1215,2075,1611,2147,2320,1970,2693,3180,2826,1603,3334,2920,1843,3022,,0.405123,0.296223,0.470000,0.500000,0.206164,0.481571,0.870968,0.901946,0.762238,0.534070,0.744330,0.870748,0.552128,0.746772
0.018009,0.629555,1215,2075,1611,2147,2320,1970,2693,3180,2826,1603,3334,2920,1843,3022,,0.405123,0.296223,0.470000,0.500000,0.206164,0.481571,0.870968,0.901946,0.762238,0.534070,0.744330,0.870748,0.552128,0.746772
0.017973,0.647528,1214,2075,1611,2147,2320,1970,2692,3180,2825,1602,3334,2919,1843,3022,,0.404175,0.296223,0.470000,0.500000,0.206164,0.481571,0.869990,0.901946,0.761072,0.533149,0.744330,0.869992,0.552128,0.746772
0.018020,0.665548,1214,2074,1612,2147,2320,1970,2692,3179,2825,1603,3333,2920,1843,3021,,0.404175,0.295229,0.470909,0.500000,0.206164,0.481571,0.869990,0.901198,0.761072,0.534070,0.743299,0.870748,0.552128,0.746055
0.018001,0.683549,1214,2075,1611,2148,2320,1971,2692,3179,2825,1603,3334,2920,1843,3022,,0.404175,0.296223,0.470000,0.501116,0.206164,0.482175,0.869990,0.901198,0.761072,0.534070,0.744330,0.870748,0.552128,0.746772
0.017999,0.701548,1215,2075,1612,2149,2320,1972,2693,3180,2826,1603,3333,2920,1844,3022,,0.405123,0.296223,0.470909,0.502232,0.206164,0.482779,0.870968,0.901946,0.762238,0.534070,0.743299,0.870748,0.553191,0.746772
0.018002,0.719550,1213,2074,1611,2149,2320,1972,2693,3180,2825,1603,3334,2919,1844,3022,,0.403226,0.295229,0.470000,0.502232,0.206164,0.482779,0.870968,0.901946,0.761072,0.534070,0.744330,0.869992,0.553191,0.746772
0.018002,0.737552,1213,2074,1611,2149,2320,1972,2693,3180,2825,1603,3334,2919,1844,3022,,0.403226,0.295229,0.470000,0.502232,0.206164,0.482779,0.870968,0.901946,0.761072,0.534070,0.744330,0.869992,0.553191,0.746772
0.018013,0.755565,1214,2075,1610,2150,2320,1972,2693,3180,2825,1603,3334,2919,1843,3021,,0.404175,0.296223,0.469091,0.503348,0.206164,0.482779,0.870968,0.901946,0.761072,0.534070,0.744330,0.869992,0.552128,0.746055
0.017968,0.773533,1214,2075,1610,2150,2320,1972,2693,3180,2825,1603,3334,2919,1843,3021,,0.404175,0.296223,0.469091,0.503348,0.206164,0.482779,0.870968,0.901946,0.761072,0.534070,0.744330,0.869992,0.552128,0.746055
