GloveManager recording started on 10/20/16 at 16:16:44

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017323,0.017323,1214,2109,1630,2012,2251,2216,2098,2419,2623,1655,3326,2882,1814,2979,,0.404175,0.330020,0.487273,0.349330,0.158904,0.630211,0.289345,0.332335,0.525641,0.581952,0.736082,0.842026,0.521277,0.715925
0.017984,0.035307,1214,2109,1629,2012,2252,2216,2098,2419,2624,1655,3326,2881,1815,2978,,0.404175,0.330020,0.486364,0.349330,0.159589,0.630211,0.289345,0.332335,0.526807,0.581952,0.736082,0.841270,0.522340,0.715208
0.018000,0.053308,1213,2107,1629,2012,2251,2215,2099,2418,2624,1656,3327,2881,1816,2978,,0.403226,0.328032,0.486364,0.349330,0.158904,0.629607,0.290323,0.331587,0.526807,0.582873,0.737113,0.841270,0.523404,0.715208
0.018001,0.071308,1215,2107,1628,2011,2251,2214,2098,2418,2625,1656,3326,2881,1815,2977,,0.405123,0.328032,0.485455,0.348214,0.158904,0.629003,0.289345,0.331587,0.527972,0.582873,0.736082,0.841270,0.522340,0.714491
0.017986,0.089294,1215,2107,1628,2010,2251,2215,2098,2418,2625,1656,3326,2880,1815,2977,,0.405123,0.328032,0.485455,0.347098,0.158904,0.629607,0.289345,0.331587,0.527972,0.582873,0.736082,0.840514,0.522340,0.714491
0.018016,0.107310,1214,2106,1628,2009,2251,2214,2098,2416,2625,1657,3326,2881,1815,2976,,0.404175,0.327038,0.485455,0.345982,0.158904,0.629003,0.289345,0.330090,0.527972,0.583794,0.736082,0.841270,0.522340,0.713773
0.018023,0.125333,1214,2107,1629,2008,2250,2214,2098,2415,2625,1657,3327,2880,1816,2976,,0.404175,0.328032,0.486364,0.344866,0.158219,0.629003,0.289345,0.329341,0.527972,0.583794,0.737113,0.840514,0.523404,0.713773
0.018008,0.143341,1215,2106,1628,2008,2250,2214,2098,2415,2624,1657,3326,2880,1817,2975,,0.405123,0.327038,0.485455,0.344866,0.158219,0.629003,0.289345,0.329341,0.526807,0.583794,0.736082,0.840514,0.524468,0.713056
0.018003,0.161344,1215,2107,1628,2009,2251,2214,2098,2414,2624,1656,3326,2880,1818,2976,,0.405123,0.328032,0.485455,0.345982,0.158904,0.629003,0.289345,0.328593,0.526807,0.582873,0.736082,0.840514,0.525532,0.713773
0.017996,0.179340,1214,2106,1628,2008,2251,2214,2099,2413,2624,1657,3326,2880,1818,2976,,0.404175,0.327038,0.485455,0.344866,0.158904,0.629003,0.290323,0.327844,0.526807,0.583794,0.736082,0.840514,0.525532,0.713773
0.018000,0.197340,1214,2106,1628,2008,2251,2214,2099,2413,2624,1657,3326,2880,1818,2976,,0.404175,0.327038,0.485455,0.344866,0.158904,0.629003,0.290323,0.327844,0.526807,0.583794,0.736082,0.840514,0.525532,0.713773
0.018055,0.215395,1213,2106,1627,2008,2250,2214,2099,2413,2625,1659,3326,2880,1819,2976,,0.403226,0.327038,0.484545,0.344866,0.158219,0.629003,0.290323,0.327844,0.527972,0.585635,0.736082,0.840514,0.526596,0.713773
0.017946,0.233341,1214,2105,1628,2008,2250,2213,2099,2412,2626,1659,3326,2880,1819,2975,,0.404175,0.326044,0.485455,0.344866,0.158219,0.628399,0.290323,0.327096,0.529138,0.585635,0.736082,0.840514,0.526596,0.713056
0.017976,0.251317,1213,2106,1628,2009,2251,2213,2099,2411,2628,1658,3326,2878,1820,2975,,0.403226,0.327038,0.485455,0.345982,0.158904,0.628399,0.290323,0.326347,0.531469,0.584715,0.736082,0.839002,0.527660,0.713056
0.018028,0.269345,1213,2106,1628,2009,2251,2213,2099,2411,2628,1658,3326,2878,1820,2975,,0.403226,0.327038,0.485455,0.345982,0.158904,0.628399,0.290323,0.326347,0.531469,0.584715,0.736082,0.839002,0.527660,0.713056
0.017996,0.287342,1213,2106,1628,2009,2250,2213,2100,2409,2629,1660,3326,2879,1820,2975,,0.403226,0.327038,0.485455,0.345982,0.158219,0.628399,0.291300,0.324850,0.532634,0.586556,0.736082,0.839758,0.527660,0.713056
0.018014,0.305356,1213,2106,1628,2009,2250,2213,2100,2409,2629,1660,3326,2879,1820,2975,,0.403226,0.327038,0.485455,0.345982,0.158219,0.628399,0.291300,0.324850,0.532634,0.586556,0.736082,0.839758,0.527660,0.713056
0.017986,0.323342,1212,2105,1627,2009,2251,2212,2100,2408,2631,1661,3326,2879,1820,2974,,0.402277,0.326044,0.484545,0.345982,0.158904,0.627795,0.291300,0.324102,0.534965,0.587477,0.736082,0.839758,0.527660,0.712339
0.017994,0.341336,1214,2106,1626,2010,2250,2212,2100,2408,2631,1661,3327,2879,1821,2974,,0.404175,0.327038,0.483636,0.347098,0.158219,0.627795,0.291300,0.324102,0.534965,0.587477,0.737113,0.839758,0.528723,0.712339
0.018014,0.359349,1213,2106,1627,2010,2251,2211,2101,2406,2632,1661,3326,2880,1821,2974,,0.403226,0.327038,0.484545,0.347098,0.158904,0.627190,0.292278,0.322605,0.536131,0.587477,0.736082,0.840514,0.528723,0.712339
0.018001,0.377350,1212,2105,1627,2010,2249,2211,2101,2405,2633,1661,3325,2879,1821,2973,,0.402277,0.326044,0.484545,0.347098,0.157534,0.627190,0.292278,0.321856,0.537296,0.587477,0.735052,0.839758,0.528723,0.711621
0.018010,0.395360,1212,2105,1626,2010,2251,2210,2102,2403,2634,1661,3327,2879,1822,2974,,0.402277,0.326044,0.483636,0.347098,0.158904,0.626586,0.293255,0.320359,0.538462,0.587477,0.737113,0.839758,0.529787,0.712339
0.017993,0.413353,1212,2105,1627,2010,2251,2210,2103,2403,2635,1661,3326,2878,1823,2973,,0.402277,0.326044,0.484545,0.347098,0.158904,0.626586,0.294233,0.320359,0.539627,0.587477,0.736082,0.839002,0.530851,0.711621
0.018000,0.431353,1212,2105,1625,2010,2250,2209,2102,2402,2636,1662,3326,2879,1822,2973,,0.402277,0.326044,0.482727,0.347098,0.158219,0.625982,0.293255,0.319611,0.540793,0.588398,0.736082,0.839758,0.529787,0.711621
0.018002,0.449355,1213,2105,1625,2011,2250,2210,2102,2401,2636,1662,3326,2879,1823,2973,,0.403226,0.326044,0.482727,0.348214,0.158219,0.626586,0.293255,0.318862,0.540793,0.588398,0.736082,0.839758,0.530851,0.711621
0.018007,0.467363,1213,2105,1625,2011,2251,2210,2103,2402,2636,1662,3326,2878,1823,2972,,0.403226,0.326044,0.482727,0.348214,0.158904,0.626586,0.294233,0.319611,0.540793,0.588398,0.736082,0.839002,0.530851,0.710904
0.018001,0.485364,1213,2105,1625,2011,2251,2210,2103,2402,2636,1662,3326,2878,1823,2972,,0.403226,0.326044,0.482727,0.348214,0.158904,0.626586,0.294233,0.319611,0.540793,0.588398,0.736082,0.839002,0.530851,0.710904
0.017986,0.503350,1213,2104,1625,2012,2250,2209,2103,2400,2637,1660,3325,2879,1823,2972,,0.403226,0.325050,0.482727,0.349330,0.158219,0.625982,0.294233,0.318114,0.541958,0.586556,0.735052,0.839758,0.530851,0.710904
0.018010,0.521360,1213,2104,1625,2014,2251,2210,2103,2399,2637,1659,3326,2878,1823,2971,,0.403226,0.325050,0.482727,0.351563,0.158904,0.626586,0.294233,0.317365,0.541958,0.585635,0.736082,0.839002,0.530851,0.710187
0.017997,0.539357,1213,2104,1625,2014,2251,2210,2103,2399,2637,1659,3326,2878,1823,2971,,0.403226,0.325050,0.482727,0.351563,0.158904,0.626586,0.294233,0.317365,0.541958,0.585635,0.736082,0.839002,0.530851,0.710187
0.018006,0.557364,1213,2104,1625,2014,2249,2210,2103,2399,2638,1660,3326,2878,1823,2971,,0.403226,0.325050,0.482727,0.351563,0.157534,0.626586,0.294233,0.317365,0.543124,0.586556,0.736082,0.839002,0.530851,0.710187
0.017945,0.575309,1213,2104,1624,2013,2250,2210,2103,2399,2638,1661,3326,2878,1823,2971,,0.403226,0.325050,0.481818,0.350446,0.158219,0.626586,0.294233,0.317365,0.543124,0.587477,0.736082,0.839002,0.530851,0.710187
0.018050,0.593359,1214,2104,1623,2013,2250,2210,2104,2398,2639,1661,3326,2878,1825,2971,,0.404175,0.325050,0.480909,0.350446,0.158219,0.626586,0.295210,0.316617,0.544289,0.587477,0.736082,0.839002,0.532979,0.710187
0.018002,0.611361,1214,2104,1624,2014,2251,2209,2103,2398,2638,1660,3326,2878,1825,2971,,0.404175,0.325050,0.481818,0.351563,0.158904,0.625982,0.294233,0.316617,0.543124,0.586556,0.736082,0.839002,0.532979,0.710187
0.018007,0.629368,1214,2104,1623,2013,2250,2209,2103,2396,2637,1661,3325,2878,1824,2971,,0.404175,0.325050,0.480909,0.350446,0.158219,0.625982,0.294233,0.315120,0.541958,0.587477,0.735052,0.839002,0.531915,0.710187
0.018009,0.647377,1214,2104,1623,2013,2250,2209,2103,2396,2637,1661,3325,2878,1824,2971,,0.404175,0.325050,0.480909,0.350446,0.158219,0.625982,0.294233,0.315120,0.541958,0.587477,0.735052,0.839002,0.531915,0.710187
0.017990,0.665367,1214,2105,1624,2013,2250,2210,2104,2396,2637,1661,3325,2879,1824,2971,,0.404175,0.326044,0.481818,0.350446,0.158219,0.626586,0.295210,0.315120,0.541958,0.587477,0.735052,0.839758,0.531915,0.710187
0.018007,0.683374,1214,2105,1624,2013,2250,2210,2104,2396,2637,1661,3325,2879,1824,2971,,0.404175,0.326044,0.481818,0.350446,0.158219,0.626586,0.295210,0.315120,0.541958,0.587477,0.735052,0.839758,0.531915,0.710187
0.017991,0.701365,1214,2104,1624,2014,2251,2209,2105,2395,2639,1661,3326,2878,1825,2972,,0.404175,0.325050,0.481818,0.351563,0.158904,0.625982,0.296188,0.314371,0.544289,0.587477,0.736082,0.839002,0.532979,0.710904
0.017999,0.719365,1213,2103,1624,2014,2251,2210,2105,2394,2639,1661,3326,2878,1825,2970,,0.403226,0.324056,0.481818,0.351563,0.158904,0.626586,0.296188,0.313623,0.544289,0.587477,0.736082,0.839002,0.532979,0.709469
0.017976,0.737340,1212,2103,1624,2015,2250,2210,2105,2394,2639,1660,3325,2878,1824,2970,,0.402277,0.324056,0.481818,0.352679,0.158219,0.626586,0.296188,0.313623,0.544289,0.586556,0.735052,0.839002,0.531915,0.709469
0.018023,0.755363,1212,2104,1624,2015,2249,2209,2104,2393,2639,1660,3326,2878,1824,2970,,0.402277,0.325050,0.481818,0.352679,0.157534,0.625982,0.295210,0.312874,0.544289,0.586556,0.736082,0.839002,0.531915,0.709469
0.018000,0.773363,1211,2103,1625,2016,2250,2210,2105,2393,2639,1658,3326,2878,1823,2969,,0.401328,0.324056,0.482727,0.353795,0.158219,0.626586,0.296188,0.312874,0.544289,0.584715,0.736082,0.839002,0.530851,0.708752
0.018000,0.791364,1211,2103,1625,2016,2250,2210,2105,2393,2639,1658,3326,2878,1823,2969,,0.401328,0.324056,0.482727,0.353795,0.158219,0.626586,0.296188,0.312874,0.544289,0.584715,0.736082,0.839002,0.530851,0.708752
0.018003,0.809367,1211,2102,1625,2016,2250,2210,2106,2391,2640,1658,3326,2878,1824,2970,,0.401328,0.323062,0.482727,0.353795,0.158219,0.626586,0.297165,0.311377,0.545455,0.584715,0.736082,0.839002,0.531915,0.709469
0.017990,0.827356,1211,2101,1624,2017,2250,2210,2106,2391,2641,1658,3326,2877,1824,2969,,0.401328,0.322068,0.481818,0.354911,0.158219,0.626586,0.297165,0.311377,0.546620,0.584715,0.736082,0.838246,0.531915,0.708752
0.017992,0.845348,1209,2101,1624,2017,2249,2209,2107,2390,2642,1657,3326,2878,1824,2969,,0.399431,0.322068,0.481818,0.354911,0.157534,0.625982,0.298143,0.310629,0.547786,0.583794,0.736082,0.839002,0.531915,0.708752
0.018019,0.863367,1211,2100,1624,2017,2251,2209,2107,2390,2642,1657,3326,2877,1824,2969,,0.401328,0.321074,0.481818,0.354911,0.158904,0.625982,0.298143,0.310629,0.547786,0.583794,0.736082,0.838246,0.531915,0.708752
0.018003,0.881370,1210,2099,1623,2017,2250,2210,2106,2389,2643,1655,3325,2876,1823,2968,,0.400380,0.320080,0.480909,0.354911,0.158219,0.626586,0.297165,0.309880,0.548951,0.581952,0.735052,0.837491,0.530851,0.708034
0.018008,0.899379,1210,2098,1622,2017,2251,2211,2106,2388,2643,1655,3326,2877,1823,2968,,0.400380,0.319085,0.480000,0.354911,0.158904,0.627190,0.297165,0.309132,0.548951,0.581952,0.736082,0.838246,0.530851,0.708034
0.017995,0.917374,1210,2097,1622,2017,2249,2209,2105,2387,2643,1654,3326,2877,1824,2968,,0.400380,0.318091,0.480000,0.354911,0.157534,0.625982,0.296188,0.308383,0.548951,0.581031,0.736082,0.838246,0.531915,0.708034
0.017999,0.935374,1209,2096,1621,2017,2250,2210,2106,2386,2643,1653,3326,2875,1824,2967,,0.399431,0.317097,0.479091,0.354911,0.158219,0.626586,0.297165,0.307635,0.548951,0.580110,0.736082,0.836735,0.531915,0.707317
0.018001,0.953375,1209,2096,1621,2017,2249,2209,2106,2387,2643,1654,3325,2876,1824,2968,,0.399431,0.317097,0.479091,0.354911,0.157534,0.625982,0.297165,0.308383,0.548951,0.581031,0.735052,0.837491,0.531915,0.708034
0.018009,0.971384,1209,2096,1621,2017,2251,2210,2106,2386,2643,1654,3326,2876,1823,2967,,0.399431,0.317097,0.479091,0.354911,0.158904,0.626586,0.297165,0.307635,0.548951,0.581031,0.736082,0.837491,0.530851,0.707317
0.017999,0.989383,1209,2095,1621,2016,2251,2210,2104,2386,2643,1654,3325,2876,1823,2967,,0.399431,0.316103,0.479091,0.353795,0.158904,0.626586,0.295210,0.307635,0.548951,0.581031,0.735052,0.837491,0.530851,0.707317
0.018002,1.007385,1210,2095,1621,2016,2250,2210,2103,2385,2643,1653,3325,2876,1823,2967,,0.400380,0.316103,0.479091,0.353795,0.158219,0.626586,0.294233,0.306886,0.548951,0.580110,0.735052,0.837491,0.530851,0.707317
0.017993,1.025378,1210,2095,1621,2016,2250,2210,2103,2385,2643,1653,3325,2876,1823,2967,,0.400380,0.316103,0.479091,0.353795,0.158219,0.626586,0.294233,0.306886,0.548951,0.580110,0.735052,0.837491,0.530851,0.707317
0.018000,1.043378,1209,2095,1621,2016,2250,2210,2104,2386,2643,1653,3325,2875,1824,2967,,0.399431,0.316103,0.479091,0.353795,0.158219,0.626586,0.295210,0.307635,0.548951,0.580110,0.735052,0.836735,0.531915,0.707317
0.018003,1.061381,1209,2095,1620,2016,2250,2210,2103,2385,2642,1652,3325,2876,1824,2967,,0.399431,0.316103,0.478182,0.353795,0.158219,0.626586,0.294233,0.306886,0.547786,0.579190,0.735052,0.837491,0.531915,0.707317
0.017999,1.079380,1209,2094,1620,2016,2250,2210,2103,2385,2642,1651,3325,2876,1824,2966,,0.399431,0.315109,0.478182,0.353795,0.158219,0.626586,0.294233,0.306886,0.547786,0.578269,0.735052,0.837491,0.531915,0.706600
