GloveManager recording started on 10/20/16 at 16:17:46

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017291,0.017291,1099,2043,1755,2198,2306,1820,2298,2513,2562,1701,3281,2977,2023,2855,,0.295066,0.264414,0.600909,0.556920,0.196575,0.390937,0.484848,0.402695,0.454545,0.624309,0.689691,0.913832,0.743617,0.626973
0.018008,0.035299,1100,2042,1754,2198,2305,1821,2298,2512,2561,1700,3280,2976,2021,2856,,0.296015,0.263419,0.600000,0.556920,0.195890,0.391541,0.484848,0.401946,0.453380,0.623389,0.688660,0.913076,0.741489,0.627690
0.017998,0.053297,1099,2042,1754,2198,2306,1821,2298,2512,2562,1701,3282,2977,2022,2856,,0.295066,0.263419,0.600000,0.556920,0.196575,0.391541,0.484848,0.401946,0.454545,0.624309,0.690722,0.913832,0.742553,0.627690
0.017995,0.071293,1099,2042,1754,2198,2305,1821,2298,2511,2562,1700,3282,2976,2021,2856,,0.295066,0.263419,0.600000,0.556920,0.195890,0.391541,0.484848,0.401198,0.454545,0.623389,0.690722,0.913076,0.741489,0.627690
0.017979,0.089271,1100,2042,1753,2198,2305,1822,2299,2511,2562,1701,3281,2975,2021,2856,,0.296015,0.263419,0.599091,0.556920,0.195890,0.392145,0.485826,0.401198,0.454545,0.624309,0.689691,0.912320,0.741489,0.627690
0.018054,0.107325,1100,2041,1753,2199,2306,1822,2299,2511,2563,1700,3281,2976,2021,2856,,0.296015,0.262425,0.599091,0.558036,0.196575,0.392145,0.485826,0.401198,0.455711,0.623389,0.689691,0.913076,0.741489,0.627690
0.017974,0.125300,1100,2041,1753,2199,2306,1822,2299,2511,2563,1700,3281,2976,2021,2856,,0.296015,0.262425,0.599091,0.558036,0.196575,0.392145,0.485826,0.401198,0.455711,0.623389,0.689691,0.913076,0.741489,0.627690
0.018017,0.143316,1100,2041,1754,2200,2305,1822,2298,2510,2563,1700,3282,2976,2022,2855,,0.296015,0.262425,0.600000,0.559152,0.195890,0.392145,0.484848,0.400449,0.455711,0.623389,0.690722,0.913076,0.742553,0.626973
0.017997,0.161314,1100,2041,1753,2200,2305,1821,2298,2510,2563,1699,3281,2975,2021,2855,,0.296015,0.262425,0.599091,0.559152,0.195890,0.391541,0.484848,0.400449,0.455711,0.622468,0.689691,0.912320,0.741489,0.626973
