GloveManager recording started on 10/20/16 at 16:17:52

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017358,0.017358,1243,1902,1289,2215,2332,1850,2684,3206,2616,1514,3326,2902,1782,2990,,0.431689,0.124254,0.177273,0.575893,0.214384,0.409063,0.862170,0.921407,0.517483,0.452118,0.736082,0.857143,0.487234,0.723816
0.018005,0.035363,1243,1901,1290,2215,2332,1850,2684,3205,2616,1514,3327,2903,1783,2990,,0.431689,0.123260,0.178182,0.575893,0.214384,0.409063,0.862170,0.920659,0.517483,0.452118,0.737113,0.857899,0.488298,0.723816
0.018013,0.053376,1243,1901,1289,2215,2333,1850,2684,3206,2616,1513,3326,2902,1784,2990,,0.431689,0.123260,0.177273,0.575893,0.215068,0.409063,0.862170,0.921407,0.517483,0.451197,0.736082,0.857143,0.489362,0.723816
0.018029,0.071404,1244,1901,1290,2215,2332,1850,2684,3206,2616,1514,3326,2902,1785,2990,,0.432638,0.123260,0.178182,0.575893,0.214384,0.409063,0.862170,0.921407,0.517483,0.452118,0.736082,0.857143,0.490426,0.723816
0.017977,0.089381,1244,1901,1290,2214,2332,1849,2685,3206,2616,1514,3326,2902,1784,2990,,0.432638,0.123260,0.178182,0.574777,0.214384,0.408459,0.863148,0.921407,0.517483,0.452118,0.736082,0.857143,0.489362,0.723816
0.017976,0.107357,1244,1901,1291,2214,2333,1849,2685,3206,2616,1514,3325,2902,1783,2990,,0.432638,0.123260,0.179091,0.574777,0.215068,0.408459,0.863148,0.921407,0.517483,0.452118,0.735052,0.857143,0.488298,0.723816
0.018007,0.125364,1244,1900,1290,2214,2332,1850,2686,3207,2617,1514,3326,2902,1783,2990,,0.432638,0.122266,0.178182,0.574777,0.214384,0.409063,0.864125,0.922156,0.518648,0.452118,0.736082,0.857143,0.488298,0.723816
0.017996,0.143361,1245,1900,1290,2214,2333,1850,2685,3206,2616,1513,3326,2901,1784,2990,,0.433586,0.122266,0.178182,0.574777,0.215068,0.409063,0.863148,0.921407,0.517483,0.451197,0.736082,0.856387,0.489362,0.723816
0.018004,0.161365,1244,1900,1290,2214,2332,1850,2685,3207,2617,1513,3326,2902,1784,2990,,0.432638,0.122266,0.178182,0.574777,0.214384,0.409063,0.863148,0.922156,0.518648,0.451197,0.736082,0.857143,0.489362,0.723816
0.017976,0.179341,1245,1900,1291,2214,2332,1849,2683,3206,2616,1512,3326,2901,1787,2990,,0.433586,0.122266,0.179091,0.574777,0.214384,0.408459,0.861193,0.921407,0.517483,0.450276,0.736082,0.856387,0.492553,0.723816
0.018023,0.197364,1246,1900,1291,2214,2332,1850,2684,3207,2617,1513,3325,2902,1788,2990,,0.434535,0.122266,0.179091,0.574777,0.214384,0.409063,0.862170,0.922156,0.518648,0.451197,0.735052,0.857143,0.493617,0.723816
0.018013,0.215377,1244,1899,1291,2214,2332,1850,2684,3207,2617,1512,3325,2902,1787,2990,,0.432638,0.121272,0.179091,0.574777,0.214384,0.409063,0.862170,0.922156,0.518648,0.450276,0.735052,0.857143,0.492553,0.723816
0.017992,0.233369,1244,1899,1291,2214,2332,1850,2684,3207,2617,1512,3325,2902,1787,2990,,0.432638,0.121272,0.179091,0.574777,0.214384,0.409063,0.862170,0.922156,0.518648,0.450276,0.735052,0.857143,0.492553,0.723816
0.017999,0.251368,1244,1900,1290,2214,2331,1850,2684,3208,2618,1512,3325,2901,1787,2990,,0.432638,0.122266,0.178182,0.574777,0.213699,0.409063,0.862170,0.922904,0.519814,0.450276,0.735052,0.856387,0.492553,0.723816
0.017999,0.269367,1244,1900,1290,2214,2331,1850,2684,3208,2618,1512,3325,2901,1787,2990,,0.432638,0.122266,0.178182,0.574777,0.213699,0.409063,0.862170,0.922904,0.519814,0.450276,0.735052,0.856387,0.492553,0.723816
0.018000,0.287367,1244,1899,1291,2215,2332,1851,2684,3207,2618,1512,3326,2901,1786,2989,,0.432638,0.121272,0.179091,0.575893,0.214384,0.409668,0.862170,0.922156,0.519814,0.450276,0.736082,0.856387,0.491489,0.723099
0.018002,0.305369,1244,1899,1291,2215,2332,1851,2684,3207,2618,1512,3326,2901,1786,2989,,0.432638,0.121272,0.179091,0.575893,0.214384,0.409668,0.862170,0.922156,0.519814,0.450276,0.736082,0.856387,0.491489,0.723099
0.017981,0.323350,1245,1898,1290,2216,2331,1851,2685,3207,2618,1513,3325,2901,1786,2990,,0.433586,0.120278,0.178182,0.577009,0.213699,0.409668,0.863148,0.922156,0.519814,0.451197,0.735052,0.856387,0.491489,0.723816
0.018020,0.341370,1244,1898,1290,2217,2330,1851,2685,3207,2618,1513,3326,2901,1787,2990,,0.432638,0.120278,0.178182,0.578125,0.213014,0.409668,0.863148,0.922156,0.519814,0.451197,0.736082,0.856387,0.492553,0.723816
