GloveManager recording started on 10/20/16 at 16:18:07

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017525,0.017525,1364,2215,1666,2355,3009,2299,2368,3093,2764,1431,3261,2920,2001,2853,,0.546490,0.435388,0.520000,0.732143,0.678082,0.680363,0.553275,0.836826,0.689977,0.375691,0.669072,0.870748,0.720213,0.625538
0.018022,0.035547,1364,2215,1665,2356,3009,2299,2369,3093,2762,1431,3262,2920,2001,2852,,0.546490,0.435388,0.519091,0.733259,0.678082,0.680363,0.554252,0.836826,0.687646,0.375691,0.670103,0.870748,0.720213,0.624821
0.018000,0.053547,1364,2215,1665,2355,3009,2298,2369,3093,2763,1432,3261,2920,2001,2853,,0.546490,0.435388,0.519091,0.732143,0.678082,0.679758,0.554252,0.836826,0.688811,0.376611,0.669072,0.870748,0.720213,0.625538
0.017999,0.071546,1364,2216,1666,2356,3010,2298,2369,3093,2762,1432,3261,2920,2001,2853,,0.546490,0.436382,0.520000,0.733259,0.678767,0.679758,0.554252,0.836826,0.687646,0.376611,0.669072,0.870748,0.720213,0.625538
0.018001,0.089547,1366,2216,1665,2356,3009,2298,2371,3093,2762,1433,3261,2920,2003,2853,,0.548387,0.436382,0.519091,0.733259,0.678082,0.679758,0.556207,0.836826,0.687646,0.377532,0.669072,0.870748,0.722340,0.625538
0.018004,0.107550,1366,2218,1665,2356,3009,2298,2371,3093,2762,1434,3261,2920,2003,2853,,0.548387,0.438370,0.519091,0.733259,0.678082,0.679758,0.556207,0.836826,0.687646,0.378453,0.669072,0.870748,0.722340,0.625538
0.018000,0.125551,1368,2220,1666,2358,3010,2298,2373,3093,2761,1435,3262,2920,2005,2853,,0.550285,0.440358,0.520000,0.735491,0.678767,0.679758,0.558162,0.836826,0.686480,0.379374,0.670103,0.870748,0.724468,0.625538
0.018027,0.143578,1367,2222,1666,2357,3009,2298,2374,3093,2761,1436,3261,2920,2005,2853,,0.549336,0.442346,0.520000,0.734375,0.678082,0.679758,0.559140,0.836826,0.686480,0.380295,0.669072,0.870748,0.724468,0.625538
0.017976,0.161553,1369,2222,1667,2357,3010,2297,2375,3092,2761,1437,3262,2920,2006,2854,,0.551233,0.442346,0.520909,0.734375,0.678767,0.679154,0.560117,0.836078,0.686480,0.381215,0.670103,0.870748,0.725532,0.626255
0.017998,0.179552,1369,2223,1666,2357,3010,2297,2375,3093,2760,1436,3261,2920,2006,2854,,0.551233,0.443340,0.520000,0.734375,0.678767,0.679154,0.560117,0.836826,0.685315,0.380295,0.669072,0.870748,0.725532,0.626255
0.017984,0.197536,1369,2223,1666,2357,3010,2297,2376,3092,2760,1436,3261,2919,2006,2854,,0.551233,0.443340,0.520000,0.734375,0.678767,0.679154,0.561095,0.836078,0.685315,0.380295,0.669072,0.869992,0.725532,0.626255
0.018019,0.215555,1369,2223,1667,2357,3010,2296,2376,3093,2760,1438,3263,2920,2007,2854,,0.551233,0.443340,0.520909,0.734375,0.678767,0.678550,0.561095,0.836826,0.685315,0.382136,0.671134,0.870748,0.726596,0.626255
0.018000,0.233555,1369,2224,1666,2357,3011,2296,2376,3092,2759,1438,3261,2920,2006,2854,,0.551233,0.444334,0.520000,0.734375,0.679452,0.678550,0.561095,0.836078,0.684149,0.382136,0.669072,0.870748,0.725532,0.626255
0.018041,0.251596,1368,2224,1666,2357,3010,2296,2376,3093,2760,1436,3261,2920,2006,2855,,0.550285,0.444334,0.520000,0.734375,0.678767,0.678550,0.561095,0.836826,0.685315,0.380295,0.669072,0.870748,0.725532,0.626973
0.017939,0.269535,1369,2224,1665,2358,3011,2297,2377,3093,2760,1438,3262,2920,2006,2856,,0.551233,0.444334,0.519091,0.735491,0.679452,0.679154,0.562072,0.836826,0.685315,0.382136,0.670103,0.870748,0.725532,0.627690
0.018050,0.287585,1369,2225,1666,2358,3010,2296,2377,3092,2759,1437,3262,2920,2006,2857,,0.551233,0.445328,0.520000,0.735491,0.678767,0.678550,0.562072,0.836078,0.684149,0.381215,0.670103,0.870748,0.725532,0.628407
0.018000,0.305585,1369,2225,1666,2358,3010,2296,2377,3093,2760,1438,3263,2919,2006,2858,,0.551233,0.445328,0.520000,0.735491,0.678767,0.678550,0.562072,0.836826,0.685315,0.382136,0.671134,0.869992,0.725532,0.629125
0.017953,0.323538,1370,2226,1665,2358,3010,2295,2379,3092,2760,1438,3263,2920,2008,2859,,0.552182,0.446322,0.519091,0.735491,0.678767,0.677946,0.564027,0.836078,0.685315,0.382136,0.671134,0.870748,0.727660,0.629842
0.018049,0.341587,1370,2227,1666,2358,3010,2296,2379,3092,2760,1438,3263,2920,2007,2860,,0.552182,0.447316,0.520000,0.735491,0.678767,0.678550,0.564027,0.836078,0.685315,0.382136,0.671134,0.870748,0.726596,0.630560
0.017976,0.359563,1370,2227,1666,2358,3010,2296,2379,3092,2760,1438,3263,2920,2007,2860,,0.552182,0.447316,0.520000,0.735491,0.678767,0.678550,0.564027,0.836078,0.685315,0.382136,0.671134,0.870748,0.726596,0.630560
0.018029,0.377591,1370,2226,1666,2358,3011,2297,2379,3093,2760,1438,3263,2920,2007,2860,,0.552182,0.446322,0.520000,0.735491,0.679452,0.679154,0.564027,0.836826,0.685315,0.382136,0.671134,0.870748,0.726596,0.630560
0.017975,0.395566,1370,2227,1666,2358,3009,2296,2379,3093,2759,1439,3262,2920,2007,2861,,0.552182,0.447316,0.520000,0.735491,0.678082,0.678550,0.564027,0.836826,0.684149,0.383057,0.670103,0.870748,0.726596,0.631277
0.018023,0.413590,1370,2226,1667,2357,3011,2296,2379,3093,2760,1439,3263,2920,2007,2861,,0.552182,0.446322,0.520909,0.734375,0.679452,0.678550,0.564027,0.836826,0.685315,0.383057,0.671134,0.870748,0.726596,0.631277
0.018011,0.431601,1370,2227,1666,2357,3010,2296,2380,3092,2759,1439,3263,2920,2007,2862,,0.552182,0.447316,0.520000,0.734375,0.678767,0.678550,0.565005,0.836078,0.684149,0.383057,0.671134,0.870748,0.726596,0.631994
