GloveManager recording started on 10/20/16 at 16:18:16

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017445,0.017445,1368,1983,1182,2275,2748,2204,2148,2977,2843,1161,3147,2936,1600,2460,,0.550285,0.204771,0.080000,0.642857,0.499315,0.622961,0.338221,0.750000,0.782051,0.127072,0.551546,0.882842,0.293617,0.343616
0.018001,0.035445,1367,1983,1182,2274,2747,2204,2148,2978,2843,1161,3148,2936,1600,2460,,0.549336,0.204771,0.080000,0.641741,0.498630,0.622961,0.338221,0.750749,0.782051,0.127072,0.552577,0.882842,0.293617,0.343616
0.018001,0.053446,1367,1983,1182,2274,2747,2204,2148,2978,2843,1161,3148,2936,1600,2460,,0.549336,0.204771,0.080000,0.641741,0.498630,0.622961,0.338221,0.750749,0.782051,0.127072,0.552577,0.882842,0.293617,0.343616
0.017997,0.071443,1368,1983,1183,2275,2747,2204,2147,2977,2843,1162,3148,2935,1601,2460,,0.550285,0.204771,0.080909,0.642857,0.498630,0.622961,0.337243,0.750000,0.782051,0.127993,0.552577,0.882086,0.294681,0.343616
0.018033,0.089476,1368,1984,1183,2275,2747,2204,2148,2977,2843,1162,3148,2936,1601,2460,,0.550285,0.205765,0.080909,0.642857,0.498630,0.622961,0.338221,0.750000,0.782051,0.127993,0.552577,0.882842,0.294681,0.343616
0.017947,0.107424,1368,1984,1183,2275,2747,2204,2148,2977,2843,1161,3148,2935,1601,2460,,0.550285,0.205765,0.080909,0.642857,0.498630,0.622961,0.338221,0.750000,0.782051,0.127072,0.552577,0.882086,0.294681,0.343616
0.018045,0.125469,1369,1984,1182,2274,2747,2205,2148,2977,2843,1162,3149,2935,1600,2459,,0.551233,0.205765,0.080000,0.641741,0.498630,0.623565,0.338221,0.750000,0.782051,0.127993,0.553608,0.882086,0.293617,0.342898
0.018009,0.143478,1368,1984,1183,2274,2747,2204,2147,2976,2843,1162,3148,2936,1601,2459,,0.550285,0.205765,0.080909,0.641741,0.498630,0.622961,0.337243,0.749251,0.782051,0.127993,0.552577,0.882842,0.294681,0.342898
0.017996,0.161475,1368,1984,1183,2274,2747,2205,2149,2976,2843,1162,3148,2936,1601,2460,,0.550285,0.205765,0.080909,0.641741,0.498630,0.623565,0.339198,0.749251,0.782051,0.127993,0.552577,0.882842,0.294681,0.343616
0.018004,0.179478,1368,1984,1183,2274,2747,2205,2149,2976,2843,1162,3148,2936,1601,2460,,0.550285,0.205765,0.080909,0.641741,0.498630,0.623565,0.339198,0.749251,0.782051,0.127993,0.552577,0.882842,0.294681,0.343616
0.018015,0.197494,1368,1984,1183,2274,2747,2205,2147,2976,2843,1161,3147,2935,1601,2459,,0.550285,0.205765,0.080909,0.641741,0.498630,0.623565,0.337243,0.749251,0.782051,0.127072,0.551546,0.882086,0.294681,0.342898
0.017989,0.215482,1368,1984,1183,2274,2746,2205,2148,2976,2843,1162,3148,2935,1601,2459,,0.550285,0.205765,0.080909,0.641741,0.497945,0.623565,0.338221,0.749251,0.782051,0.127993,0.552577,0.882086,0.294681,0.342898
0.017998,0.233481,1368,1985,1183,2275,2747,2205,2148,2975,2843,1162,3148,2935,1601,2459,,0.550285,0.206759,0.080909,0.642857,0.498630,0.623565,0.338221,0.748503,0.782051,0.127993,0.552577,0.882086,0.294681,0.342898
0.018010,0.251491,1369,1984,1183,2274,2747,2205,2147,2976,2843,1162,3147,2935,1601,2459,,0.551233,0.205765,0.080909,0.641741,0.498630,0.623565,0.337243,0.749251,0.782051,0.127993,0.551546,0.882086,0.294681,0.342898
0.017993,0.269483,1368,1985,1183,2273,2746,2205,2147,2976,2844,1162,3147,2935,1601,2459,,0.550285,0.206759,0.080909,0.640625,0.497945,0.623565,0.337243,0.749251,0.783217,0.127993,0.551546,0.882086,0.294681,0.342898
0.017976,0.287459,1368,1984,1183,2274,2747,2206,2148,2976,2843,1162,3148,2935,1602,2459,,0.550285,0.205765,0.080909,0.641741,0.498630,0.624169,0.338221,0.749251,0.782051,0.127993,0.552577,0.882086,0.295745,0.342898
0.017995,0.305455,1369,1984,1183,2274,2746,2205,2148,2975,2844,1162,3147,2935,1602,2459,,0.551233,0.205765,0.080909,0.641741,0.497945,0.623565,0.338221,0.748503,0.783217,0.127993,0.551546,0.882086,0.295745,0.342898
0.018044,0.323499,1368,1985,1182,2275,2746,2206,2148,2975,2843,1163,3147,2935,1601,2459,,0.550285,0.206759,0.080000,0.642857,0.497945,0.624169,0.338221,0.748503,0.782051,0.128913,0.551546,0.882086,0.294681,0.342898
0.017986,0.341485,1369,1985,1182,2274,2746,2205,2148,2976,2843,1163,3147,2935,1601,2459,,0.551233,0.206759,0.080000,0.641741,0.497945,0.623565,0.338221,0.749251,0.782051,0.128913,0.551546,0.882086,0.294681,0.342898
0.018009,0.359494,1368,1985,1183,2274,2746,2205,2148,2975,2843,1163,3148,2936,1601,2459,,0.550285,0.206759,0.080909,0.641741,0.497945,0.623565,0.338221,0.748503,0.782051,0.128913,0.552577,0.882842,0.294681,0.342898
0.017996,0.377490,1368,1985,1183,2275,2746,2205,2149,2975,2843,1162,3147,2935,1601,2460,,0.550285,0.206759,0.080909,0.642857,0.497945,0.623565,0.339198,0.748503,0.782051,0.127993,0.551546,0.882086,0.294681,0.343616
0.018001,0.395491,1368,1985,1183,2275,2746,2205,2149,2975,2843,1162,3147,2935,1601,2460,,0.550285,0.206759,0.080909,0.642857,0.497945,0.623565,0.339198,0.748503,0.782051,0.127993,0.551546,0.882086,0.294681,0.343616
0.017997,0.413489,1368,1985,1183,2275,2747,2205,2149,2974,2843,1162,3146,2936,1601,2459,,0.550285,0.206759,0.080909,0.642857,0.498630,0.623565,0.339198,0.747755,0.782051,0.127993,0.550515,0.882842,0.294681,0.342898
0.017981,0.431470,1368,1985,1183,2274,2746,2205,2149,2974,2843,1162,3147,2935,1601,2459,,0.550285,0.206759,0.080909,0.641741,0.497945,0.623565,0.339198,0.747755,0.782051,0.127993,0.551546,0.882086,0.294681,0.342898
0.018021,0.449491,1368,1986,1182,2274,2747,2205,2149,2974,2843,1162,3147,2935,1601,2459,,0.550285,0.207753,0.080000,0.641741,0.498630,0.623565,0.339198,0.747755,0.782051,0.127993,0.551546,0.882086,0.294681,0.342898
0.018008,0.467499,1368,1985,1183,2273,2746,2205,2150,2974,2843,1162,3146,2935,1601,2460,,0.550285,0.206759,0.080909,0.640625,0.497945,0.623565,0.340176,0.747755,0.782051,0.127993,0.550515,0.882086,0.294681,0.343616
0.017993,0.485492,1369,1985,1182,2274,2746,2205,2150,2974,2842,1162,3147,2936,1601,2459,,0.551233,0.206759,0.080000,0.641741,0.497945,0.623565,0.340176,0.747755,0.780886,0.127993,0.551546,0.882842,0.294681,0.342898
