GloveManager recording started on 10/20/16 at 16:18:27

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017549,0.017549,1341,2027,1293,1954,2327,1751,2356,2573,2772,1329,3134,2901,1737,2513,,0.524668,0.248509,0.180909,0.284598,0.210959,0.349245,0.541544,0.447605,0.699301,0.281768,0.538144,0.856387,0.439362,0.381636
0.018005,0.035554,1340,2028,1292,1953,2327,1751,2356,2574,2771,1329,3134,2901,1738,2513,,0.523719,0.249503,0.180000,0.283482,0.210959,0.349245,0.541544,0.448353,0.698135,0.281768,0.538144,0.856387,0.440426,0.381636
0.018000,0.053554,1340,2028,1292,1952,2327,1751,2356,2573,2771,1329,3134,2902,1737,2513,,0.523719,0.249503,0.180000,0.282366,0.210959,0.349245,0.541544,0.447605,0.698135,0.281768,0.538144,0.857143,0.439362,0.381636
0.017993,0.071547,1341,2029,1292,1953,2327,1752,2356,2573,2771,1328,3134,2902,1738,2513,,0.524668,0.250497,0.180000,0.283482,0.210959,0.349849,0.541544,0.447605,0.698135,0.280847,0.538144,0.857143,0.440426,0.381636
0.017974,0.089521,1341,2029,1292,1952,2327,1752,2357,2573,2771,1329,3133,2901,1737,2513,,0.524668,0.250497,0.180000,0.282366,0.210959,0.349849,0.542522,0.447605,0.698135,0.281768,0.537113,0.856387,0.439362,0.381636
0.018024,0.107545,1341,2029,1291,1952,2326,1752,2357,2572,2771,1328,3134,2902,1737,2513,,0.524668,0.250497,0.179091,0.282366,0.210274,0.349849,0.542522,0.446856,0.698135,0.280847,0.538144,0.857143,0.439362,0.381636
0.017977,0.125522,1341,2029,1290,1951,2327,1752,2356,2572,2771,1328,3133,2902,1737,2513,,0.524668,0.250497,0.178182,0.281250,0.210959,0.349849,0.541544,0.446856,0.698135,0.280847,0.537113,0.857143,0.439362,0.381636
0.018028,0.143549,1340,2029,1289,1952,2326,1752,2356,2573,2771,1329,3134,2901,1737,2513,,0.523719,0.250497,0.177273,0.282366,0.210274,0.349849,0.541544,0.447605,0.698135,0.281768,0.538144,0.856387,0.439362,0.381636
0.018015,0.161564,1340,2029,1289,1951,2326,1752,2356,2573,2771,1328,3134,2902,1737,2513,,0.523719,0.250497,0.177273,0.281250,0.210274,0.349849,0.541544,0.447605,0.698135,0.280847,0.538144,0.857143,0.439362,0.381636
