GloveManager recording started on 10/20/16 at 16:18:35

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017277,0.017277,1304,1869,1313,2288,2280,2283,2357,3147,2945,1381,3356,2880,1790,2967,,0.489564,0.091451,0.199091,0.657366,0.178767,0.670695,0.542522,0.877245,0.900932,0.329650,0.767010,0.840514,0.495745,0.707317
0.017991,0.035268,1304,1869,1313,2288,2280,2283,2357,3147,2945,1381,3356,2880,1790,2967,,0.489564,0.091451,0.199091,0.657366,0.178767,0.670695,0.542522,0.877245,0.900932,0.329650,0.767010,0.840514,0.495745,0.707317
0.017975,0.053243,1305,1868,1315,2287,2278,2282,2357,3147,2944,1380,3356,2880,1790,2967,,0.490512,0.090457,0.200909,0.656250,0.177397,0.670091,0.542522,0.877245,0.899767,0.328729,0.767010,0.840514,0.495745,0.707317
0.018028,0.071271,1304,1868,1316,2286,2279,2282,2356,3147,2945,1380,3356,2880,1790,2967,,0.489564,0.090457,0.201818,0.655134,0.178082,0.670091,0.541544,0.877245,0.900932,0.328729,0.767010,0.840514,0.495745,0.707317
0.017999,0.089270,1304,1867,1317,2287,2277,2281,2358,3147,2944,1381,3356,2879,1789,2967,,0.489564,0.089463,0.202727,0.656250,0.176712,0.669486,0.543500,0.877245,0.899767,0.329650,0.767010,0.839758,0.494681,0.707317
0.018000,0.107270,1304,1867,1318,2287,2278,2282,2356,3147,2945,1382,3356,2880,1790,2968,,0.489564,0.089463,0.203636,0.656250,0.177397,0.670091,0.541544,0.877245,0.900932,0.330571,0.767010,0.840514,0.495745,0.708034
0.018011,0.125281,1304,1868,1319,2286,2278,2282,2357,3147,2945,1381,3356,2880,1790,2968,,0.489564,0.090457,0.204545,0.655134,0.177397,0.670091,0.542522,0.877245,0.900932,0.329650,0.767010,0.840514,0.495745,0.708034
0.017969,0.143249,1304,1868,1320,2286,2277,2282,2356,3146,2945,1381,3356,2880,1789,2969,,0.489564,0.090457,0.205455,0.655134,0.176712,0.670091,0.541544,0.876497,0.900932,0.329650,0.767010,0.840514,0.494681,0.708752
0.017997,0.161247,1305,1869,1322,2287,2278,2283,2356,3148,2945,1382,3356,2879,1790,2970,,0.490512,0.091451,0.207273,0.656250,0.177397,0.670695,0.541544,0.877994,0.900932,0.330571,0.767010,0.839758,0.495745,0.709469
0.018028,0.179275,1305,1870,1323,2287,2278,2282,2356,3147,2945,1383,3356,2881,1789,2970,,0.490512,0.092445,0.208182,0.656250,0.177397,0.670091,0.541544,0.877245,0.900932,0.331492,0.767010,0.841270,0.494681,0.709469
0.018015,0.197290,1305,1870,1323,2287,2278,2282,2356,3147,2945,1383,3356,2881,1789,2970,,0.490512,0.092445,0.208182,0.656250,0.177397,0.670091,0.541544,0.877245,0.900932,0.331492,0.767010,0.841270,0.494681,0.709469
0.017988,0.215278,1305,1869,1324,2287,2278,2283,2356,3148,2945,1384,3355,2881,1790,2970,,0.490512,0.091451,0.209091,0.656250,0.177397,0.670695,0.541544,0.877994,0.900932,0.332413,0.765979,0.841270,0.495745,0.709469
0.018004,0.233282,1305,1869,1325,2286,2278,2282,2355,3147,2945,1383,3355,2880,1790,2971,,0.490512,0.091451,0.210000,0.655134,0.177397,0.670091,0.540567,0.877245,0.900932,0.331492,0.765979,0.840514,0.495745,0.710187
0.017995,0.251277,1304,1869,1325,2286,2278,2283,2355,3148,2945,1383,3355,2880,1789,2972,,0.489564,0.091451,0.210000,0.655134,0.177397,0.670695,0.540567,0.877994,0.900932,0.331492,0.765979,0.840514,0.494681,0.710904
0.017999,0.269276,1305,1869,1324,2286,2277,2283,2355,3148,2945,1384,3356,2881,1790,2972,,0.490512,0.091451,0.209091,0.655134,0.176712,0.670695,0.540567,0.877994,0.900932,0.332413,0.767010,0.841270,0.495745,0.710904
0.017999,0.287275,1305,1870,1324,2287,2278,2282,2356,3148,2945,1383,3356,2881,1789,2972,,0.490512,0.092445,0.209091,0.656250,0.177397,0.670091,0.541544,0.877994,0.900932,0.331492,0.767010,0.841270,0.494681,0.710904
0.017953,0.305228,1304,1870,1326,2287,2278,2283,2356,3148,2945,1385,3355,2881,1788,2973,,0.489564,0.092445,0.210909,0.656250,0.177397,0.670695,0.541544,0.877994,0.900932,0.333333,0.765979,0.841270,0.493617,0.711621
0.018055,0.323283,1304,1870,1326,2287,2278,2283,2356,3148,2945,1385,3355,2881,1788,2973,,0.489564,0.092445,0.210909,0.656250,0.177397,0.670695,0.541544,0.877994,0.900932,0.333333,0.765979,0.841270,0.493617,0.711621
0.018010,0.341294,1305,1871,1326,2286,2278,2282,2355,3149,2946,1385,3357,2881,1789,2973,,0.490512,0.093439,0.210909,0.655134,0.177397,0.670091,0.540567,0.878743,0.902098,0.333333,0.768041,0.841270,0.494681,0.711621
0.017996,0.359289,1305,1872,1327,2286,2278,2283,2354,3149,2946,1385,3357,2881,1789,2973,,0.490512,0.094433,0.211818,0.655134,0.177397,0.670695,0.539589,0.878743,0.902098,0.333333,0.768041,0.841270,0.494681,0.711621
0.017990,0.377279,1305,1872,1327,2287,2278,2282,2354,3149,2946,1384,3356,2880,1788,2973,,0.490512,0.094433,0.211818,0.656250,0.177397,0.670091,0.539589,0.878743,0.902098,0.332413,0.767010,0.840514,0.493617,0.711621
0.017995,0.395275,1307,1873,1327,2286,2279,2283,2354,3149,2946,1384,3356,2880,1787,2974,,0.492410,0.095427,0.211818,0.655134,0.178082,0.670695,0.539589,0.878743,0.902098,0.332413,0.767010,0.840514,0.492553,0.712339
0.018005,0.413280,1307,1875,1327,2286,2279,2282,2354,3149,2945,1384,3356,2881,1787,2974,,0.492410,0.097416,0.211818,0.655134,0.178082,0.670091,0.539589,0.878743,0.900932,0.332413,0.767010,0.841270,0.492553,0.712339
0.017983,0.431263,1306,1875,1327,2286,2278,2282,2353,3149,2946,1385,3357,2881,1787,2975,,0.491461,0.097416,0.211818,0.655134,0.177397,0.670091,0.538612,0.878743,0.902098,0.333333,0.768041,0.841270,0.492553,0.713056
0.018021,0.449284,1306,1875,1328,2285,2278,2282,2353,3149,2946,1383,3356,2880,1786,2975,,0.491461,0.097416,0.212727,0.654018,0.177397,0.670091,0.538612,0.878743,0.902098,0.331492,0.767010,0.840514,0.491489,0.713056
0.018002,0.467286,1306,1875,1327,2286,2278,2282,2354,3149,2946,1385,3357,2880,1787,2976,,0.491461,0.097416,0.211818,0.655134,0.177397,0.670091,0.539589,0.878743,0.902098,0.333333,0.768041,0.840514,0.492553,0.713773
0.018008,0.485294,1306,1875,1327,2287,2278,2283,2355,3150,2946,1385,3357,2881,1786,2976,,0.491461,0.097416,0.211818,0.656250,0.177397,0.670695,0.540567,0.879491,0.902098,0.333333,0.768041,0.841270,0.491489,0.713773
0.017991,0.503285,1306,1875,1328,2286,2278,2282,2354,3150,2945,1384,3357,2881,1787,2977,,0.491461,0.097416,0.212727,0.655134,0.177397,0.670091,0.539589,0.879491,0.900932,0.332413,0.768041,0.841270,0.492553,0.714491
0.018004,0.521290,1306,1875,1327,2286,2278,2281,2354,3150,2946,1385,3357,2882,1787,2979,,0.491461,0.097416,0.211818,0.655134,0.177397,0.669486,0.539589,0.879491,0.902098,0.333333,0.768041,0.842026,0.492553,0.715925
0.018001,0.539290,1306,1875,1327,2286,2278,2281,2354,3150,2946,1385,3357,2882,1787,2979,,0.491461,0.097416,0.211818,0.655134,0.177397,0.669486,0.539589,0.879491,0.902098,0.333333,0.768041,0.842026,0.492553,0.715925
0.017983,0.557274,1307,1875,1327,2287,2278,2282,2354,3149,2946,1384,3356,2881,1787,2979,,0.492410,0.097416,0.211818,0.656250,0.177397,0.670091,0.539589,0.878743,0.902098,0.332413,0.767010,0.841270,0.492553,0.715925
0.017992,0.575266,1306,1875,1326,2286,2279,2282,2354,3150,2946,1385,3357,2881,1787,2978,,0.491461,0.097416,0.210909,0.655134,0.178082,0.670091,0.539589,0.879491,0.902098,0.333333,0.768041,0.841270,0.492553,0.715208
0.018016,0.593282,1306,1875,1327,2286,2279,2281,2354,3150,2946,1384,3357,2881,1787,2979,,0.491461,0.097416,0.211818,0.655134,0.178082,0.669486,0.539589,0.879491,0.902098,0.332413,0.768041,0.841270,0.492553,0.715925
0.018001,0.611283,1306,1875,1327,2286,2279,2282,2354,3150,2946,1384,3357,2880,1787,2980,,0.491461,0.097416,0.211818,0.655134,0.178082,0.670091,0.539589,0.879491,0.902098,0.332413,0.768041,0.840514,0.492553,0.716643
0.018021,0.629304,1306,1875,1326,2285,2279,2281,2354,3150,2946,1384,3357,2881,1786,2981,,0.491461,0.097416,0.210909,0.654018,0.178082,0.669486,0.539589,0.879491,0.902098,0.332413,0.768041,0.841270,0.491489,0.717360
0.017971,0.647274,1306,1875,1326,2285,2279,2282,2354,3150,2945,1384,3357,2881,1785,2981,,0.491461,0.097416,0.210909,0.654018,0.178082,0.670091,0.539589,0.879491,0.900932,0.332413,0.768041,0.841270,0.490426,0.717360
0.018053,0.665327,1307,1876,1326,2286,2279,2282,2354,3150,2946,1384,3357,2881,1785,2982,,0.492410,0.098410,0.210909,0.655134,0.178082,0.670091,0.539589,0.879491,0.902098,0.332413,0.768041,0.841270,0.490426,0.718077
0.017968,0.683296,1306,1875,1326,2286,2279,2282,2354,3150,2946,1384,3357,2881,1785,2983,,0.491461,0.097416,0.210909,0.655134,0.178082,0.670091,0.539589,0.879491,0.902098,0.332413,0.768041,0.841270,0.490426,0.718795
0.018002,0.701297,1307,1876,1326,2286,2279,2281,2354,3150,2946,1385,3357,2881,1784,2983,,0.492410,0.098410,0.210909,0.655134,0.178082,0.669486,0.539589,0.879491,0.902098,0.333333,0.768041,0.841270,0.489362,0.718795
0.018000,0.719297,1306,1875,1326,2286,2279,2281,2354,3150,2945,1385,3357,2881,1785,2983,,0.491461,0.097416,0.210909,0.655134,0.178082,0.669486,0.539589,0.879491,0.900932,0.333333,0.768041,0.841270,0.490426,0.718795
0.018008,0.737305,1307,1876,1327,2286,2279,2281,2353,3150,2946,1385,3358,2881,1785,2983,,0.492410,0.098410,0.211818,0.655134,0.178082,0.669486,0.538612,0.879491,0.902098,0.333333,0.769072,0.841270,0.490426,0.718795
0.017969,0.755274,1306,1875,1325,2285,2279,2281,2354,3150,2945,1384,3357,2881,1785,2984,,0.491461,0.097416,0.210000,0.654018,0.178082,0.669486,0.539589,0.879491,0.900932,0.332413,0.768041,0.841270,0.490426,0.719512
0.018059,0.773332,1306,1875,1325,2285,2279,2281,2354,3151,2946,1384,3357,2881,1784,2985,,0.491461,0.097416,0.210000,0.654018,0.178082,0.669486,0.539589,0.880240,0.902098,0.332413,0.768041,0.841270,0.489362,0.720230
0.017968,0.791300,1306,1875,1325,2285,2279,2280,2354,3150,2945,1385,3357,2880,1785,2985,,0.491461,0.097416,0.210000,0.654018,0.178082,0.668882,0.539589,0.879491,0.900932,0.333333,0.768041,0.840514,0.490426,0.720230
0.018000,0.809301,1306,1875,1326,2285,2280,2280,2355,3150,2945,1384,3357,2881,1785,2985,,0.491461,0.097416,0.210909,0.654018,0.178767,0.668882,0.540567,0.879491,0.900932,0.332413,0.768041,0.841270,0.490426,0.720230
0.018002,0.827303,1306,1875,1326,2285,2279,2281,2355,3150,2946,1385,3358,2882,1784,2986,,0.491461,0.097416,0.210909,0.654018,0.178082,0.669486,0.540567,0.879491,0.902098,0.333333,0.769072,0.842026,0.489362,0.720947
0.018007,0.845310,1306,1875,1325,2285,2279,2281,2355,3150,2945,1385,3357,2881,1785,2986,,0.491461,0.097416,0.210000,0.654018,0.178082,0.669486,0.540567,0.879491,0.900932,0.333333,0.768041,0.841270,0.490426,0.720947
0.018002,0.863312,1306,1876,1326,2286,2278,2280,2354,3150,2945,1385,3357,2881,1785,2986,,0.491461,0.098410,0.210909,0.655134,0.177397,0.668882,0.539589,0.879491,0.900932,0.333333,0.768041,0.841270,0.490426,0.720947
0.017974,0.881286,1306,1875,1325,2285,2278,2280,2355,3150,2946,1385,3358,2881,1784,2986,,0.491461,0.097416,0.210000,0.654018,0.177397,0.668882,0.540567,0.879491,0.902098,0.333333,0.769072,0.841270,0.489362,0.720947
0.017993,0.899279,1305,1875,1325,2286,2278,2281,2354,3150,2946,1385,3358,2882,1784,2986,,0.490512,0.097416,0.210000,0.655134,0.177397,0.669486,0.539589,0.879491,0.902098,0.333333,0.769072,0.842026,0.489362,0.720947
0.018033,0.917312,1306,1873,1324,2286,2279,2280,2355,3151,2946,1385,3357,2881,1785,2986,,0.491461,0.095427,0.209091,0.655134,0.178082,0.668882,0.540567,0.880240,0.902098,0.333333,0.768041,0.841270,0.490426,0.720947
0.017998,0.935310,1306,1875,1325,2286,2278,2280,2355,3150,2946,1385,3357,2881,1785,2987,,0.491461,0.097416,0.210000,0.655134,0.177397,0.668882,0.540567,0.879491,0.902098,0.333333,0.768041,0.841270,0.490426,0.721664
0.018003,0.953313,1306,1874,1325,2286,2278,2280,2355,3150,2946,1385,3357,2881,1785,2987,,0.491461,0.096421,0.210000,0.655134,0.177397,0.668882,0.540567,0.879491,0.902098,0.333333,0.768041,0.841270,0.490426,0.721664
0.017948,0.971261,1306,1874,1325,2286,2278,2281,2354,3150,2946,1384,3357,2882,1784,2986,,0.491461,0.096421,0.210000,0.655134,0.177397,0.669486,0.539589,0.879491,0.902098,0.332413,0.768041,0.842026,0.489362,0.720947
0.018027,0.989288,1306,1874,1324,2285,2277,2281,2354,3150,2945,1384,3356,2882,1783,2987,,0.491461,0.096421,0.209091,0.654018,0.176712,0.669486,0.539589,0.879491,0.900932,0.332413,0.767010,0.842026,0.488298,0.721664
