GloveManager recording started on 10/20/16 at 16:18:50

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017552,0.017552,1287,1924,1246,2457,3305,2312,2472,3207,2897,1416,3365,2885,1891,3101,,0.473435,0.146123,0.138182,0.845982,0.880822,0.688218,0.654936,0.922156,0.844988,0.361878,0.776289,0.844293,0.603191,0.803443
0.018026,0.035579,1286,1923,1246,2456,3306,2312,2471,3207,2897,1415,3366,2884,1890,3100,,0.472486,0.145129,0.138182,0.844866,0.881507,0.688218,0.653959,0.922156,0.844988,0.360958,0.777320,0.843537,0.602128,0.802726
0.018004,0.053582,1286,1923,1246,2456,3306,2312,2471,3207,2897,1415,3366,2884,1890,3100,,0.472486,0.145129,0.138182,0.844866,0.881507,0.688218,0.653959,0.922156,0.844988,0.360958,0.777320,0.843537,0.602128,0.802726
0.017976,0.071559,1286,1922,1247,2456,3305,2311,2471,3207,2897,1416,3366,2885,1890,3100,,0.472486,0.144135,0.139091,0.844866,0.880822,0.687613,0.653959,0.922156,0.844988,0.361878,0.777320,0.844293,0.602128,0.802726
0.018024,0.089582,1286,1922,1246,2456,3306,2312,2471,3207,2897,1415,3366,2885,1891,3101,,0.472486,0.144135,0.138182,0.844866,0.881507,0.688218,0.653959,0.922156,0.844988,0.360958,0.777320,0.844293,0.603191,0.803443
0.017998,0.107581,1286,1921,1246,2456,3306,2311,2470,3207,2897,1415,3365,2884,1890,3100,,0.472486,0.143141,0.138182,0.844866,0.881507,0.687613,0.652981,0.922156,0.844988,0.360958,0.776289,0.843537,0.602128,0.802726
0.018002,0.125583,1286,1921,1246,2456,3306,2312,2470,3207,2897,1415,3366,2885,1890,3101,,0.472486,0.143141,0.138182,0.844866,0.881507,0.688218,0.652981,0.922156,0.844988,0.360958,0.777320,0.844293,0.602128,0.803443
0.018013,0.143595,1285,1921,1246,2455,3306,2311,2470,3208,2897,1415,3364,2884,1890,3100,,0.471537,0.143141,0.138182,0.843750,0.881507,0.687613,0.652981,0.922904,0.844988,0.360958,0.775258,0.843537,0.602128,0.802726
0.017993,0.161589,1286,1921,1247,2455,3307,2311,2470,3208,2897,1415,3365,2884,1890,3100,,0.472486,0.143141,0.139091,0.843750,0.882192,0.687613,0.652981,0.922904,0.844988,0.360958,0.776289,0.843537,0.602128,0.802726
0.018018,0.179607,1286,1921,1246,2455,3307,2311,2469,3208,2897,1413,3365,2885,1890,3100,,0.472486,0.143141,0.138182,0.843750,0.882192,0.687613,0.652004,0.922904,0.844988,0.359116,0.776289,0.844293,0.602128,0.802726
0.017983,0.197590,1286,1921,1246,2456,3307,2311,2470,3208,2897,1415,3366,2885,1890,3101,,0.472486,0.143141,0.138182,0.844866,0.882192,0.687613,0.652981,0.922904,0.844988,0.360958,0.777320,0.844293,0.602128,0.803443
0.017996,0.215586,1286,1920,1246,2455,3308,2311,2469,3207,2897,1414,3365,2885,1889,3100,,0.472486,0.142147,0.138182,0.843750,0.882877,0.687613,0.652004,0.922156,0.844988,0.360037,0.776289,0.844293,0.601064,0.802726
0.018014,0.233600,1285,1919,1245,2455,3308,2311,2468,3208,2897,1414,3365,2885,1889,3100,,0.471537,0.141153,0.137273,0.843750,0.882877,0.687613,0.651026,0.922904,0.844988,0.360037,0.776289,0.844293,0.601064,0.802726
0.017999,0.251599,1286,1920,1245,2454,3309,2310,2468,3207,2898,1413,3365,2884,1889,3100,,0.472486,0.142147,0.137273,0.842634,0.883562,0.687009,0.651026,0.922156,0.846154,0.359116,0.776289,0.843537,0.601064,0.802726
0.017990,0.269588,1286,1918,1244,2453,3309,2311,2465,3207,2898,1412,3364,2884,1888,3099,,0.472486,0.140159,0.136364,0.841518,0.883562,0.687613,0.648094,0.922156,0.846154,0.358195,0.775258,0.843537,0.600000,0.802009
0.017991,0.287579,1286,1918,1244,2453,3309,2311,2465,3207,2898,1412,3364,2884,1888,3099,,0.472486,0.140159,0.136364,0.841518,0.883562,0.687613,0.648094,0.922156,0.846154,0.358195,0.775258,0.843537,0.600000,0.802009
0.018017,0.305596,1285,1917,1244,2452,3309,2311,2464,3208,2900,1411,3365,2884,1887,3098,,0.471537,0.139165,0.136364,0.840402,0.883562,0.687613,0.647116,0.922904,0.848485,0.357274,0.776289,0.843537,0.598936,0.801291
0.017997,0.323593,1285,1917,1244,2452,3309,2311,2464,3208,2900,1411,3365,2884,1887,3098,,0.471537,0.139165,0.136364,0.840402,0.883562,0.687613,0.647116,0.922904,0.848485,0.357274,0.776289,0.843537,0.598936,0.801291
0.017973,0.341566,1284,1915,1244,2452,3311,2310,2464,3208,2900,1410,3364,2884,1887,3098,,0.470588,0.137177,0.136364,0.840402,0.884932,0.687009,0.647116,0.922904,0.848485,0.356354,0.775258,0.843537,0.598936,0.801291
0.018006,0.359571,1285,1915,1245,2451,3310,2310,2464,3209,2901,1411,3365,2883,1887,3099,,0.471537,0.137177,0.137273,0.839286,0.884247,0.687009,0.647116,0.923653,0.849650,0.357274,0.776289,0.842782,0.598936,0.802009
0.018030,0.377601,1285,1916,1246,2452,3311,2310,2463,3208,2900,1410,3365,2884,1888,3097,,0.471537,0.138171,0.138182,0.840402,0.884932,0.687009,0.646139,0.922904,0.848485,0.356354,0.776289,0.843537,0.600000,0.800574
0.017968,0.395569,1285,1916,1246,2452,3311,2310,2463,3208,2900,1410,3365,2884,1888,3097,,0.471537,0.138171,0.138182,0.840402,0.884932,0.687009,0.646139,0.922904,0.848485,0.356354,0.776289,0.843537,0.600000,0.800574
0.018043,0.413612,1284,1916,1245,2451,3312,2310,2462,3209,2900,1410,3365,2884,1887,3098,,0.470588,0.138171,0.137273,0.839286,0.885616,0.687009,0.645161,0.923653,0.848485,0.356354,0.776289,0.843537,0.598936,0.801291
0.018007,0.431618,1285,1916,1245,2451,3312,2310,2462,3209,2900,1411,3365,2883,1887,3098,,0.471537,0.138171,0.137273,0.839286,0.885616,0.687009,0.645161,0.923653,0.848485,0.357274,0.776289,0.842782,0.598936,0.801291
0.017982,0.449601,1285,1916,1245,2451,3311,2310,2462,3209,2901,1410,3364,2884,1887,3098,,0.471537,0.138171,0.137273,0.839286,0.884932,0.687009,0.645161,0.923653,0.849650,0.356354,0.775258,0.843537,0.598936,0.801291
0.017953,0.467554,1285,1914,1245,2451,3312,2310,2462,3209,2900,1409,3365,2885,1887,3098,,0.471537,0.136183,0.137273,0.839286,0.885616,0.687009,0.645161,0.923653,0.848485,0.355433,0.776289,0.844293,0.598936,0.801291
0.018032,0.485586,1284,1914,1245,2450,3312,2310,2461,3208,2901,1409,3364,2884,1887,3098,,0.470588,0.136183,0.137273,0.838170,0.885616,0.687009,0.644184,0.922904,0.849650,0.355433,0.775258,0.843537,0.598936,0.801291
0.018029,0.503615,1285,1914,1245,2449,3312,2310,2461,3209,2901,1410,3365,2883,1886,3098,,0.471537,0.136183,0.137273,0.837054,0.885616,0.687009,0.644184,0.923653,0.849650,0.356354,0.776289,0.842782,0.597872,0.801291
0.017964,0.521579,1285,1913,1245,2449,3312,2309,2461,3209,2901,1410,3365,2884,1886,3099,,0.471537,0.135189,0.137273,0.837054,0.885616,0.686405,0.644184,0.923653,0.849650,0.356354,0.776289,0.843537,0.597872,0.802009
0.018030,0.539609,1285,1913,1245,2450,3312,2310,2461,3210,2901,1409,3364,2884,1886,3097,,0.471537,0.135189,0.137273,0.838170,0.885616,0.687009,0.644184,0.924401,0.849650,0.355433,0.775258,0.843537,0.597872,0.800574
0.018012,0.557621,1285,1913,1245,2450,3313,2310,2461,3210,2901,1409,3364,2884,1886,3098,,0.471537,0.135189,0.137273,0.838170,0.886301,0.687009,0.644184,0.924401,0.849650,0.355433,0.775258,0.843537,0.597872,0.801291
0.018016,0.575637,1284,1913,1246,2450,3313,2310,2461,3209,2901,1408,3365,2884,1885,3098,,0.470588,0.135189,0.138182,0.838170,0.886301,0.687009,0.644184,0.923653,0.849650,0.354512,0.776289,0.843537,0.596808,0.801291
0.017961,0.593598,1284,1911,1245,2449,3313,2310,2461,3210,2901,1409,3364,2884,1886,3098,,0.470588,0.133201,0.137273,0.837054,0.886301,0.687009,0.644184,0.924401,0.849650,0.355433,0.775258,0.843537,0.597872,0.801291
0.018011,0.611609,1285,1912,1245,2450,3314,2310,2460,3210,2901,1408,3364,2884,1886,3098,,0.471537,0.134195,0.137273,0.838170,0.886986,0.687009,0.643206,0.924401,0.849650,0.354512,0.775258,0.843537,0.597872,0.801291
0.018001,0.629610,1284,1911,1246,2449,3314,2310,2460,3210,2902,1409,3364,2884,1885,3098,,0.470588,0.133201,0.138182,0.837054,0.886986,0.687009,0.643206,0.924401,0.850816,0.355433,0.775258,0.843537,0.596808,0.801291
0.018005,0.647615,1284,1911,1245,2449,3314,2309,2459,3210,2902,1407,3364,2884,1886,3098,,0.470588,0.133201,0.137273,0.837054,0.886986,0.686405,0.642229,0.924401,0.850816,0.353591,0.775258,0.843537,0.597872,0.801291
0.017970,0.665585,1283,1912,1245,2448,3314,2310,2460,3209,2902,1408,3365,2884,1886,3097,,0.469639,0.134195,0.137273,0.835938,0.886986,0.687009,0.643206,0.923653,0.850816,0.354512,0.776289,0.843537,0.597872,0.800574
