GloveManager recording started on 10/20/16 at 16:19:08

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017439,0.017439,1288,2095,1471,2029,2263,2293,1983,2352,2701,1341,3383,2833,1868,3002,,0.474383,0.316103,0.342727,0.368304,0.167123,0.676737,0.176931,0.282186,0.616550,0.292818,0.794845,0.804989,0.578723,0.732425
0.017993,0.035432,1288,2096,1471,2029,2263,2293,1983,2351,2700,1341,3382,2832,1868,3002,,0.474383,0.317097,0.342727,0.368304,0.167123,0.676737,0.176931,0.281437,0.615385,0.292818,0.793814,0.804233,0.578723,0.732425
0.017998,0.053431,1289,2096,1469,2029,2263,2292,1984,2352,2700,1341,3383,2832,1867,3002,,0.475332,0.317097,0.340909,0.368304,0.167123,0.676133,0.177908,0.282186,0.615385,0.292818,0.794845,0.804233,0.577660,0.732425
0.018002,0.071432,1289,2097,1468,2028,2262,2293,1983,2352,2699,1342,3383,2833,1868,3002,,0.475332,0.318091,0.340000,0.367188,0.166438,0.676737,0.176931,0.282186,0.614219,0.293738,0.794845,0.804989,0.578723,0.732425
0.018001,0.089433,1289,2097,1468,2028,2262,2293,1983,2352,2699,1342,3383,2833,1868,3002,,0.475332,0.318091,0.340000,0.367188,0.166438,0.676737,0.176931,0.282186,0.614219,0.293738,0.794845,0.804989,0.578723,0.732425
0.018014,0.107447,1289,2096,1468,2029,2263,2293,1984,2352,2701,1342,3382,2833,1868,3002,,0.475332,0.317097,0.340000,0.368304,0.167123,0.676737,0.177908,0.282186,0.616550,0.293738,0.793814,0.804989,0.578723,0.732425
0.017994,0.125442,1289,2096,1469,2030,2263,2293,1983,2351,2701,1341,3383,2833,1866,3003,,0.475332,0.317097,0.340909,0.369420,0.167123,0.676737,0.176931,0.281437,0.616550,0.292818,0.794845,0.804989,0.576596,0.733142
0.018025,0.143467,1288,2095,1468,2030,2262,2293,1983,2351,2701,1341,3383,2834,1867,3002,,0.474383,0.316103,0.340000,0.369420,0.166438,0.676737,0.176931,0.281437,0.616550,0.292818,0.794845,0.805745,0.577660,0.732425
0.017970,0.161437,1288,2095,1469,2029,2263,2292,1984,2352,2700,1342,3383,2833,1868,3002,,0.474383,0.316103,0.340909,0.368304,0.167123,0.676133,0.177908,0.282186,0.615385,0.293738,0.794845,0.804989,0.578723,0.732425
0.018000,0.179437,1288,2094,1469,2029,2262,2292,1984,2351,2701,1341,3383,2834,1867,3003,,0.474383,0.315109,0.340909,0.368304,0.166438,0.676133,0.177908,0.281437,0.616550,0.292818,0.794845,0.805745,0.577660,0.733142
0.018058,0.197495,1287,2095,1469,2029,2262,2292,1984,2351,2701,1342,3383,2834,1868,3003,,0.473435,0.316103,0.340909,0.368304,0.166438,0.676133,0.177908,0.281437,0.616550,0.293738,0.794845,0.805745,0.578723,0.733142
0.017944,0.215439,1287,2095,1469,2029,2262,2292,1984,2351,2701,1342,3383,2834,1868,3003,,0.473435,0.316103,0.340909,0.368304,0.166438,0.676133,0.177908,0.281437,0.616550,0.293738,0.794845,0.805745,0.578723,0.733142
0.018035,0.233474,1288,2095,1469,2030,2263,2292,1984,2351,2701,1343,3383,2834,1868,3003,,0.474383,0.316103,0.340909,0.369420,0.167123,0.676133,0.177908,0.281437,0.616550,0.294659,0.794845,0.805745,0.578723,0.733142
0.017968,0.251442,1288,2095,1469,2030,2262,2292,1984,2350,2701,1342,3384,2833,1868,3002,,0.474383,0.316103,0.340909,0.369420,0.166438,0.676133,0.177908,0.280689,0.616550,0.293738,0.795876,0.804989,0.578723,0.732425
0.018001,0.269443,1288,2094,1469,2030,2262,2292,1983,2349,2701,1341,3383,2833,1868,3003,,0.474383,0.315109,0.340909,0.369420,0.166438,0.676133,0.176931,0.279940,0.616550,0.292818,0.794845,0.804989,0.578723,0.733142
0.018012,0.287455,1287,2093,1467,2030,2261,2292,1983,2350,2701,1341,3383,2833,1867,3002,,0.473435,0.314115,0.339091,0.369420,0.165753,0.676133,0.176931,0.280689,0.616550,0.292818,0.794845,0.804989,0.577660,0.732425
0.017989,0.305444,1287,2093,1469,2030,2262,2292,1983,2349,2701,1342,3383,2834,1867,3003,,0.473435,0.314115,0.340909,0.369420,0.166438,0.676133,0.176931,0.279940,0.616550,0.293738,0.794845,0.805745,0.577660,0.733142
0.018003,0.323447,1287,2093,1468,2030,2262,2291,1984,2348,2702,1341,3383,2833,1866,3002,,0.473435,0.314115,0.340000,0.369420,0.166438,0.675529,0.177908,0.279192,0.617716,0.292818,0.794845,0.804989,0.576596,0.732425
0.017999,0.341446,1287,2093,1469,2031,2262,2291,1983,2349,2702,1342,3382,2832,1867,3003,,0.473435,0.314115,0.340909,0.370536,0.166438,0.675529,0.176931,0.279940,0.617716,0.293738,0.793814,0.804233,0.577660,0.733142
0.018000,0.359446,1287,2093,1468,2032,2261,2291,1984,2349,2703,1342,3383,2834,1868,3003,,0.473435,0.314115,0.340000,0.371652,0.165753,0.675529,0.177908,0.279940,0.618881,0.293738,0.794845,0.805745,0.578723,0.733142
0.018013,0.377459,1286,2093,1469,2032,2262,2291,1984,2348,2702,1341,3382,2834,1866,3002,,0.472486,0.314115,0.340909,0.371652,0.166438,0.675529,0.177908,0.279192,0.617716,0.292818,0.793814,0.805745,0.576596,0.732425
0.017989,0.395448,1286,2092,1469,2031,2262,2291,1984,2348,2702,1342,3382,2834,1867,3002,,0.472486,0.313121,0.340909,0.370536,0.166438,0.675529,0.177908,0.279192,0.617716,0.293738,0.793814,0.805745,0.577660,0.732425
0.018001,0.413449,1286,2092,1469,2032,2261,2290,1984,2348,2703,1342,3383,2833,1867,3003,,0.472486,0.313121,0.340909,0.371652,0.165753,0.674924,0.177908,0.279192,0.618881,0.293738,0.794845,0.804989,0.577660,0.733142
0.017981,0.431430,1286,2092,1469,2031,2261,2291,1984,2349,2702,1342,3382,2834,1867,3003,,0.472486,0.313121,0.340909,0.370536,0.165753,0.675529,0.177908,0.279940,0.617716,0.293738,0.793814,0.805745,0.577660,0.733142
0.018000,0.449430,1286,2091,1469,2031,2261,2290,1984,2348,2703,1342,3383,2833,1867,3003,,0.472486,0.312127,0.340909,0.370536,0.165753,0.674924,0.177908,0.279192,0.618881,0.293738,0.794845,0.804989,0.577660,0.733142
