GloveManager recording started on 10/20/16 at 16:19:23

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017442,0.017442,1319,2159,1543,1950,2238,1970,1909,2222,2817,1123,3049,2610,1752,3242,,0.503795,0.379722,0.408182,0.280134,0.150000,0.481571,0.104594,0.184880,0.751748,0.092081,0.450515,0.636432,0.455319,0.904591
0.018017,0.035459,1319,2159,1543,1949,2237,1969,1909,2221,2817,1124,3049,2609,1752,3242,,0.503795,0.379722,0.408182,0.279018,0.149315,0.480967,0.104594,0.184132,0.751748,0.093002,0.450515,0.635677,0.455319,0.904591
0.017998,0.053457,1320,2160,1543,1950,2238,1969,1908,2221,2818,1122,3048,2610,1752,3240,,0.504744,0.380716,0.408182,0.280134,0.150000,0.480967,0.103617,0.184132,0.752914,0.091160,0.449485,0.636432,0.455319,0.903156
0.018005,0.071462,1319,2159,1543,1950,2237,1969,1908,2220,2818,1123,3047,2609,1752,3241,,0.503795,0.379722,0.408182,0.280134,0.149315,0.480967,0.103617,0.183383,0.752914,0.092081,0.448454,0.635677,0.455319,0.903874
0.017987,0.089449,1319,2159,1543,1950,2237,1969,1908,2220,2818,1123,3047,2609,1752,3241,,0.503795,0.379722,0.408182,0.280134,0.149315,0.480967,0.103617,0.183383,0.752914,0.092081,0.448454,0.635677,0.455319,0.903874
0.018039,0.107488,1319,2158,1542,1950,2237,1969,1909,2220,2819,1123,3048,2609,1753,3240,,0.503795,0.378728,0.407273,0.280134,0.149315,0.480967,0.104594,0.183383,0.754079,0.092081,0.449485,0.635677,0.456383,0.903156
0.017963,0.125452,1319,2159,1542,1949,2238,1970,1909,2220,2820,1123,3049,2609,1754,3241,,0.503795,0.379722,0.407273,0.279018,0.150000,0.481571,0.104594,0.183383,0.755245,0.092081,0.450515,0.635677,0.457447,0.903874
0.017952,0.143404,1320,2159,1544,1950,2237,1970,1909,2220,2821,1123,3048,2609,1754,3240,,0.504744,0.379722,0.409091,0.280134,0.149315,0.481571,0.104594,0.183383,0.756410,0.092081,0.449485,0.635677,0.457447,0.903156
0.018023,0.161427,1319,2159,1543,1950,2238,1970,1909,2220,2821,1123,3048,2609,1752,3240,,0.503795,0.379722,0.408182,0.280134,0.150000,0.481571,0.104594,0.183383,0.756410,0.092081,0.449485,0.635677,0.455319,0.903156
