GloveManager recording started on 10/20/16 at 16:19:32

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017508,0.017508,1285,2242,1608,2020,2884,1757,2381,3119,2783,1270,3366,2874,1737,3070,,0.471537,0.462227,0.467273,0.358259,0.592466,0.352870,0.565982,0.856287,0.712121,0.227440,0.777320,0.835979,0.439362,0.781205
0.017994,0.035502,1286,2242,1608,2020,2883,1757,2381,3119,2783,1270,3366,2874,1737,3070,,0.472486,0.462227,0.467273,0.358259,0.591781,0.352870,0.565982,0.856287,0.712121,0.227440,0.777320,0.835979,0.439362,0.781205
0.018003,0.053505,1286,2242,1608,2020,2880,1757,2381,3120,2783,1269,3367,2873,1739,3070,,0.472486,0.462227,0.467273,0.358259,0.589726,0.352870,0.565982,0.857036,0.712121,0.226519,0.778351,0.835223,0.441489,0.781205
0.018033,0.071538,1286,2242,1608,2020,2880,1757,2381,3120,2783,1269,3367,2873,1739,3070,,0.472486,0.462227,0.467273,0.358259,0.589726,0.352870,0.565982,0.857036,0.712121,0.226519,0.778351,0.835223,0.441489,0.781205
0.017999,0.089537,1286,2243,1608,2020,2878,1757,2381,3120,2784,1270,3366,2873,1739,3069,,0.472486,0.463221,0.467273,0.358259,0.588356,0.352870,0.565982,0.857036,0.713287,0.227440,0.777320,0.835223,0.441489,0.780488
0.018004,0.107541,1286,2244,1608,2020,2878,1757,2380,3120,2783,1270,3366,2873,1740,3069,,0.472486,0.464215,0.467273,0.358259,0.588356,0.352870,0.565005,0.857036,0.712121,0.227440,0.777320,0.835223,0.442553,0.780488
0.017942,0.125482,1286,2244,1607,2020,2878,1757,2381,3121,2783,1270,3366,2873,1741,3069,,0.472486,0.464215,0.466364,0.358259,0.588356,0.352870,0.565982,0.857784,0.712121,0.227440,0.777320,0.835223,0.443617,0.780488
0.018049,0.143531,1287,2244,1609,2020,2877,1757,2381,3120,2784,1270,3367,2873,1742,3068,,0.473435,0.464215,0.468182,0.358259,0.587671,0.352870,0.565982,0.857036,0.713287,0.227440,0.778351,0.835223,0.444681,0.779770
0.018002,0.161533,1287,2244,1607,2019,2877,1757,2381,3121,2783,1269,3366,2873,1741,3068,,0.473435,0.464215,0.466364,0.357143,0.587671,0.352870,0.565982,0.857784,0.712121,0.226519,0.777320,0.835223,0.443617,0.779770
0.018021,0.179554,1287,2244,1608,2019,2877,1757,2381,3121,2783,1270,3366,2872,1742,3067,,0.473435,0.464215,0.467273,0.357143,0.587671,0.352870,0.565982,0.857784,0.712121,0.227440,0.777320,0.834467,0.444681,0.779053
0.017983,0.197537,1287,2244,1608,2019,2877,1757,2381,3121,2783,1270,3366,2872,1742,3067,,0.473435,0.464215,0.467273,0.357143,0.587671,0.352870,0.565982,0.857784,0.712121,0.227440,0.777320,0.834467,0.444681,0.779053
0.018016,0.215552,1287,2244,1608,2019,2876,1757,2380,3121,2783,1269,3366,2872,1741,3067,,0.473435,0.464215,0.467273,0.357143,0.586986,0.352870,0.565005,0.857784,0.712121,0.226519,0.777320,0.834467,0.443617,0.779053
0.017959,0.233511,1286,2244,1607,2019,2876,1757,2380,3121,2783,1269,3366,2873,1742,3067,,0.472486,0.464215,0.466364,0.357143,0.586986,0.352870,0.565005,0.857784,0.712121,0.226519,0.777320,0.835223,0.444681,0.779053
0.018033,0.251545,1287,2245,1609,2019,2876,1758,2381,3121,2783,1269,3366,2873,1741,3067,,0.473435,0.465209,0.468182,0.357143,0.586986,0.353474,0.565982,0.857784,0.712121,0.226519,0.777320,0.835223,0.443617,0.779053
0.017971,0.269516,1286,2245,1607,2018,2876,1757,2380,3121,2783,1270,3367,2872,1743,3067,,0.472486,0.465209,0.466364,0.356027,0.586986,0.352870,0.565005,0.857784,0.712121,0.227440,0.778351,0.834467,0.445745,0.779053
0.018040,0.287555,1287,2245,1608,2019,2875,1757,2380,3121,2783,1270,3366,2872,1742,3066,,0.473435,0.465209,0.467273,0.357143,0.586301,0.352870,0.565005,0.857784,0.712121,0.227440,0.777320,0.834467,0.444681,0.778336
0.017994,0.305550,1287,2245,1607,2019,2876,1758,2380,3121,2783,1270,3366,2872,1742,3066,,0.473435,0.465209,0.466364,0.357143,0.586986,0.353474,0.565005,0.857784,0.712121,0.227440,0.777320,0.834467,0.444681,0.778336
0.017999,0.323549,1287,2245,1607,2019,2875,1757,2380,3121,2782,1269,3366,2872,1741,3066,,0.473435,0.465209,0.466364,0.357143,0.586301,0.352870,0.565005,0.857784,0.710956,0.226519,0.777320,0.834467,0.443617,0.778336
0.017997,0.341546,1287,2245,1607,2019,2875,1757,2380,3121,2782,1269,3366,2872,1741,3066,,0.473435,0.465209,0.466364,0.357143,0.586301,0.352870,0.565005,0.857784,0.710956,0.226519,0.777320,0.834467,0.443617,0.778336
0.017950,0.359496,1287,2245,1607,2019,2875,1758,2379,3122,2783,1269,3366,2872,1742,3066,,0.473435,0.465209,0.466364,0.357143,0.586301,0.353474,0.564027,0.858533,0.712121,0.226519,0.777320,0.834467,0.444681,0.778336
0.018024,0.377520,1287,2245,1607,2019,2875,1758,2380,3121,2783,1270,3367,2872,1742,3065,,0.473435,0.465209,0.466364,0.357143,0.586301,0.353474,0.565005,0.857784,0.712121,0.227440,0.778351,0.834467,0.444681,0.777618
0.018027,0.395547,1287,2245,1608,2019,2875,1757,2379,3121,2783,1270,3367,2872,1742,3066,,0.473435,0.465209,0.467273,0.357143,0.586301,0.352870,0.564027,0.857784,0.712121,0.227440,0.778351,0.834467,0.444681,0.778336
0.017998,0.413545,1287,2245,1608,2019,2875,1757,2379,3121,2783,1270,3367,2872,1742,3066,,0.473435,0.465209,0.467273,0.357143,0.586301,0.352870,0.564027,0.857784,0.712121,0.227440,0.778351,0.834467,0.444681,0.778336
0.018003,0.431547,1287,2245,1607,2019,2875,1757,2378,3122,2783,1270,3367,2872,1741,3065,,0.473435,0.465209,0.466364,0.357143,0.586301,0.352870,0.563050,0.858533,0.712121,0.227440,0.778351,0.834467,0.443617,0.777618
0.017976,0.449524,1287,2244,1607,2019,2874,1757,2378,3123,2783,1270,3367,2872,1741,3066,,0.473435,0.464215,0.466364,0.357143,0.585616,0.352870,0.563050,0.859281,0.712121,0.227440,0.778351,0.834467,0.443617,0.778336
0.017999,0.467523,1286,2244,1607,2020,2875,1758,2378,3122,2783,1271,3366,2873,1740,3066,,0.472486,0.464215,0.466364,0.358259,0.586301,0.353474,0.563050,0.858533,0.712121,0.228361,0.777320,0.835223,0.442553,0.778336
