GloveManager recording started on 10/20/16 at 15:39:23

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.019171,0.019171,1150,1922,1340,2171,2628,2226,2030,2740,2903,1133,3111,2876,1609,2390,,0.290976,0.127525,0.313390,0.401130,0.390077,0.745125,0.197619,0.647059,0.805112,0.125866,0.548993,0.748148,0.225888,0.291506
0.018010,0.037181,1149,1921,1340,2171,2628,2225,2031,2741,2903,1133,3112,2876,1609,2390,,0.289134,0.126263,0.313390,0.401130,0.390077,0.743733,0.198810,0.647950,0.805112,0.125866,0.550336,0.748148,0.225888,0.291506
0.018002,0.055184,1149,1921,1341,2171,2628,2225,2030,2740,2903,1133,3112,2876,1608,2390,,0.289134,0.126263,0.314815,0.401130,0.390077,0.743733,0.197619,0.647059,0.805112,0.125866,0.550336,0.748148,0.224619,0.291506
0.017997,0.073181,1150,1921,1340,2171,2628,2225,2030,2740,2903,1133,3112,2876,1609,2390,,0.290976,0.126263,0.313390,0.401130,0.390077,0.743733,0.197619,0.647059,0.805112,0.125866,0.550336,0.748148,0.225888,0.291506
0.017993,0.091175,1150,1921,1340,2171,2628,2225,2030,2740,2903,1133,3112,2876,1609,2390,,0.290976,0.126263,0.313390,0.401130,0.390077,0.743733,0.197619,0.647059,0.805112,0.125866,0.550336,0.748148,0.225888,0.291506
0.017999,0.109173,1150,1921,1340,2171,2628,2225,2029,2740,2903,1132,3112,2876,1609,2390,,0.290976,0.126263,0.313390,0.401130,0.390077,0.743733,0.196429,0.647059,0.805112,0.124711,0.550336,0.748148,0.225888,0.291506
0.018012,0.127185,1150,1921,1340,2172,2628,2226,2030,2740,2903,1133,3112,2876,1608,2388,,0.290976,0.126263,0.313390,0.402542,0.390077,0.745125,0.197619,0.647059,0.805112,0.125866,0.550336,0.748148,0.224619,0.289575
0.017980,0.145165,1149,1920,1339,2171,2628,2225,2030,2740,2904,1132,3111,2876,1613,2389,,0.289134,0.125000,0.311966,0.401130,0.390077,0.743733,0.197619,0.647059,0.808307,0.124711,0.548993,0.748148,0.230964,0.290541
0.018011,0.163176,1150,1920,1339,2171,2627,2225,2029,2741,2903,1133,3110,2875,1609,2389,,0.290976,0.125000,0.311966,0.401130,0.389222,0.743733,0.196429,0.647950,0.805112,0.125866,0.547651,0.746667,0.225888,0.290541
0.018002,0.181178,1151,1920,1338,2170,2627,2225,2029,2740,2903,1133,3110,2876,1609,2388,,0.292818,0.125000,0.310541,0.399718,0.389222,0.743733,0.196429,0.647059,0.805112,0.125866,0.547651,0.748148,0.225888,0.289575
0.018008,0.199186,1151,1920,1338,2170,2627,2225,2029,2740,2903,1133,3110,2876,1609,2388,,0.292818,0.125000,0.310541,0.399718,0.389222,0.743733,0.196429,0.647059,0.805112,0.125866,0.547651,0.748148,0.225888,0.289575
0.018003,0.217189,1150,1920,1339,2167,2625,2225,2028,2734,2904,1132,3106,2875,1609,2388,,0.290976,0.125000,0.311966,0.395480,0.387511,0.743733,0.195238,0.641711,0.808307,0.124711,0.542282,0.746667,0.225888,0.289575
0.017967,0.235157,1152,1920,1339,2166,2623,2225,2027,2730,2905,1133,3105,2874,1609,2387,,0.294659,0.125000,0.311966,0.394068,0.385800,0.743733,0.194048,0.638146,0.811502,0.125866,0.540940,0.745185,0.225888,0.288610
0.018012,0.253169,1153,1919,1338,2165,2620,2224,2027,2726,2904,1131,3103,2874,1609,2386,,0.296501,0.123737,0.310541,0.392655,0.383234,0.742340,0.194048,0.634581,0.808307,0.123557,0.538255,0.745185,0.225888,0.287645
0.018020,0.271189,1153,1919,1338,2165,2620,2224,2027,2726,2904,1131,3103,2874,1609,2386,,0.296501,0.123737,0.310541,0.392655,0.383234,0.742340,0.194048,0.634581,0.808307,0.123557,0.538255,0.745185,0.225888,0.287645
