GloveManager recording started on 10/20/16 at 15:42:26

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017549,0.017549,1159,1913,1301,2180,2525,2238,2052,2509,2909,1177,3004,2886,1699,2281,,0.307551,0.116162,0.268258,0.413842,0.296141,0.735174,0.216341,0.438441,0.864169,0.177624,0.394256,0.715278,0.340102,0.186293
0.017997,0.035546,1159,1912,1302,2182,2525,2240,2053,2511,2910,1177,3003,2886,1701,2281,,0.307551,0.114899,0.269663,0.416667,0.296141,0.737219,0.217491,0.440213,0.866511,0.177624,0.392950,0.715278,0.342640,0.186293
0.017981,0.053527,1159,1912,1304,2184,2524,2241,2053,2510,2910,1178,3004,2886,1701,2281,,0.307551,0.114899,0.272472,0.419492,0.295302,0.738241,0.217491,0.439327,0.866511,0.178777,0.394256,0.715278,0.342640,0.186293
0.018021,0.071547,1159,1912,1305,2183,2524,2242,2054,2511,2910,1178,3003,2887,1700,2280,,0.307551,0.114899,0.273876,0.418079,0.295302,0.739264,0.218642,0.440213,0.866511,0.178777,0.392950,0.716667,0.341371,0.185328
0.018006,0.089553,1160,1912,1306,2184,2525,2242,2054,2511,2911,1177,3003,2886,1702,2281,,0.309392,0.114899,0.275281,0.419492,0.296141,0.739264,0.218642,0.440213,0.868852,0.177624,0.392950,0.715278,0.343909,0.186293
0.017997,0.107550,1161,1914,1305,2184,2526,2243,2055,2512,2910,1179,3004,2887,1700,2280,,0.311234,0.117424,0.273876,0.419492,0.296980,0.740286,0.219793,0.441098,0.866511,0.179931,0.394256,0.716667,0.341371,0.185328
0.018002,0.125552,1160,1913,1303,2185,2525,2243,2054,2512,2910,1179,3004,2887,1701,2280,,0.309392,0.116162,0.271067,0.420904,0.296141,0.740286,0.218642,0.441098,0.866511,0.179931,0.394256,0.716667,0.342640,0.185328
0.018015,0.143567,1161,1913,1305,2185,2526,2244,2054,2512,2911,1178,3003,2887,1701,2280,,0.311234,0.116162,0.273876,0.420904,0.296980,0.741309,0.218642,0.441098,0.868852,0.178777,0.392950,0.716667,0.342640,0.185328
0.018010,0.161578,1161,1913,1305,2185,2525,2244,2054,2512,2910,1178,3003,2886,1700,2280,,0.311234,0.116162,0.273876,0.420904,0.296141,0.741309,0.218642,0.441098,0.866511,0.178777,0.392950,0.715278,0.341371,0.185328
0.017976,0.179553,1161,1912,1305,2185,2525,2243,2054,2511,2910,1177,3003,2886,1701,2280,,0.311234,0.114899,0.273876,0.420904,0.296141,0.740286,0.218642,0.440213,0.866511,0.177624,0.392950,0.715278,0.342640,0.185328
0.017997,0.197551,1161,1912,1305,2186,2526,2243,2054,2511,2910,1177,3005,2886,1701,2281,,0.311234,0.114899,0.273876,0.422316,0.296980,0.740286,0.218642,0.440213,0.866511,0.177624,0.395561,0.715278,0.342640,0.186293
0.018009,0.215560,1161,1912,1306,2188,2526,2244,2056,2514,2910,1179,3006,2885,1699,2280,,0.311234,0.114899,0.275281,0.425141,0.296980,0.741309,0.220944,0.442870,0.866511,0.179931,0.396867,0.713889,0.340102,0.185328
0.018003,0.233563,1160,1912,1304,2188,2526,2244,2056,2515,2910,1178,3006,2884,1699,2280,,0.309392,0.114899,0.272472,0.425141,0.296980,0.741309,0.220944,0.443756,0.866511,0.178777,0.396867,0.712500,0.340102,0.185328
0.017990,0.251553,1162,1913,1305,2189,2526,2244,2057,2514,2911,1179,3007,2885,1700,2280,,0.313076,0.116162,0.273876,0.426554,0.296980,0.741309,0.222094,0.442870,0.868852,0.179931,0.398172,0.713889,0.341371,0.185328
0.018000,0.269553,1161,1912,1305,2188,2526,2243,2057,2513,2910,1179,3007,2885,1700,2280,,0.311234,0.114899,0.273876,0.425141,0.296980,0.740286,0.222094,0.441984,0.866511,0.179931,0.398172,0.713889,0.341371,0.185328
0.018004,0.287556,1160,1912,1306,2188,2525,2243,2057,2513,2910,1178,3007,2885,1699,2280,,0.309392,0.114899,0.275281,0.425141,0.296141,0.740286,0.222094,0.441984,0.866511,0.178777,0.398172,0.713889,0.340102,0.185328
0.017999,0.305555,1161,1912,1307,2188,2525,2245,2057,2513,2910,1178,3006,2884,1699,2280,,0.311234,0.114899,0.276685,0.425141,0.296141,0.742331,0.222094,0.441984,0.866511,0.178777,0.396867,0.712500,0.340102,0.185328
0.017955,0.323510,1160,1912,1306,2188,2525,2245,2057,2515,2911,1179,3008,2885,1699,2281,,0.309392,0.114899,0.275281,0.425141,0.296141,0.742331,0.222094,0.443756,0.868852,0.179931,0.399478,0.713889,0.340102,0.186293
