GloveManager recording started on 10/20/16 at 15:43:07

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017310,0.017310,1185,1956,1272,2153,2477,2183,2025,2455,2909,1139,2991,2886,1700,2347,,0.355433,0.170455,0.227528,0.375706,0.255872,0.678937,0.185270,0.378541,0.858238,0.133795,0.377285,0.715278,0.341371,0.250000
0.017992,0.035303,1186,1956,1273,2152,2477,2183,2026,2455,2909,1139,2991,2885,1700,2347,,0.357274,0.170455,0.228933,0.374294,0.255872,0.678937,0.186421,0.378541,0.858238,0.133795,0.377285,0.713889,0.341371,0.250000
0.017989,0.053291,1186,1956,1272,2153,2477,2183,2026,2455,2909,1140,2991,2886,1701,2347,,0.357274,0.170455,0.227528,0.375706,0.255872,0.678937,0.186421,0.378541,0.858238,0.134948,0.377285,0.715278,0.342640,0.250000
0.018005,0.071296,1185,1956,1272,2154,2476,2183,2026,2454,2909,1139,2991,2886,1699,2348,,0.355433,0.170455,0.227528,0.377119,0.255034,0.678937,0.186421,0.377682,0.858238,0.133795,0.377285,0.715278,0.340102,0.250965
0.018001,0.089297,1185,1955,1272,2153,2475,2184,2026,2454,2910,1139,2990,2885,1700,2347,,0.355433,0.169192,0.227528,0.375706,0.254195,0.679959,0.186421,0.377682,0.860153,0.133795,0.375979,0.713889,0.341371,0.250000
0.017999,0.107296,1185,1953,1273,2155,2476,2185,2026,2455,2909,1138,2991,2885,1700,2347,,0.355433,0.166667,0.228933,0.378531,0.255034,0.680982,0.186421,0.378541,0.858238,0.132641,0.377285,0.713889,0.341371,0.250000
0.017994,0.125291,1186,1953,1273,2156,2477,2187,2028,2455,2909,1140,2992,2885,1700,2348,,0.357274,0.166667,0.228933,0.379943,0.255872,0.683027,0.188723,0.378541,0.858238,0.134948,0.378590,0.713889,0.341371,0.250965
0.018010,0.143300,1185,1952,1274,2157,2476,2187,2028,2455,2910,1140,2992,2885,1699,2347,,0.355433,0.165404,0.230337,0.381356,0.255034,0.683027,0.188723,0.378541,0.860153,0.134948,0.378590,0.713889,0.340102,0.250000
0.017995,0.161295,1185,1952,1274,2157,2476,2188,2029,2454,2909,1140,2991,2885,1700,2348,,0.355433,0.165404,0.230337,0.381356,0.255034,0.684049,0.189873,0.377682,0.858238,0.134948,0.377285,0.713889,0.341371,0.250965
0.018035,0.179331,1184,1950,1274,2159,2475,2188,2029,2454,2909,1142,2993,2884,1700,2349,,0.353591,0.162879,0.230337,0.384181,0.254195,0.684049,0.189873,0.377682,0.858238,0.137255,0.379896,0.712500,0.341371,0.251931
0.017969,0.197299,1182,1947,1276,2160,2476,2189,2030,2454,2908,1142,2993,2884,1700,2349,,0.349908,0.159091,0.233146,0.385593,0.255034,0.685072,0.191024,0.377682,0.856322,0.137255,0.379896,0.712500,0.341371,0.251931
0.018040,0.215339,1177,1942,1278,2161,2477,2190,2033,2453,2908,1144,2993,2884,1702,2350,,0.340700,0.152778,0.235955,0.387006,0.255872,0.686094,0.194476,0.376824,0.856322,0.139562,0.379896,0.712500,0.343909,0.252896
0.017956,0.233295,1175,1939,1280,2163,2476,2191,2035,2455,2907,1145,2993,2884,1701,2350,,0.337017,0.148990,0.238764,0.389830,0.255034,0.687117,0.196778,0.378541,0.854406,0.140715,0.379896,0.712500,0.342640,0.252896
0.018018,0.251313,1172,1936,1281,2166,2477,2193,2038,2453,2908,1148,2994,2884,1702,2351,,0.331492,0.145202,0.240169,0.394068,0.255872,0.689162,0.200230,0.376824,0.856322,0.144175,0.381201,0.712500,0.343909,0.253861
0.017994,0.269307,1172,1936,1281,2166,2477,2193,2038,2453,2908,1148,2994,2884,1702,2351,,0.331492,0.145202,0.240169,0.394068,0.255872,0.689162,0.200230,0.376824,0.856322,0.144175,0.381201,0.712500,0.343909,0.253861
0.018025,0.287332,1172,1934,1282,2168,2478,2194,2040,2454,2909,1150,2995,2884,1703,2352,,0.331492,0.142677,0.241573,0.396893,0.256711,0.690184,0.202532,0.377682,0.858238,0.146482,0.382507,0.712500,0.345178,0.254826
0.017978,0.305310,1169,1931,1284,2170,2478,2195,2042,2454,2907,1151,2995,2884,1704,2352,,0.325967,0.138889,0.244382,0.399718,0.256711,0.691207,0.204833,0.377682,0.854406,0.147636,0.382507,0.712500,0.346447,0.254826
0.017991,0.323300,1164,1928,1287,2173,2478,2196,2044,2456,2908,1154,2995,2883,1705,2353,,0.316759,0.135101,0.248596,0.403955,0.256711,0.692229,0.207135,0.379399,0.856322,0.151096,0.382507,0.711111,0.347716,0.255792
0.018009,0.341309,1161,1926,1290,2176,2478,2198,2048,2456,2908,1157,2995,2884,1707,2355,,0.311234,0.132576,0.252809,0.408192,0.256711,0.694274,0.211738,0.379399,0.856322,0.154556,0.382507,0.712500,0.350254,0.257722
0.018004,0.359313,1159,1925,1293,2179,2478,2201,2049,2457,2908,1158,2997,2886,1708,2355,,0.307551,0.131313,0.257022,0.412429,0.256711,0.697342,0.212888,0.380258,0.856322,0.155709,0.385118,0.715278,0.351523,0.257722
0.018025,0.377338,1157,1923,1294,2181,2478,2203,2052,2457,2907,1160,2997,2885,1708,2356,,0.303867,0.128788,0.258427,0.415254,0.256711,0.699386,0.216341,0.380258,0.854406,0.158016,0.385118,0.713889,0.351523,0.258687
0.017965,0.395303,1157,1924,1294,2185,2478,2205,2054,2456,2907,1161,2998,2886,1708,2357,,0.303867,0.130051,0.258427,0.420904,0.256711,0.701432,0.218642,0.379399,0.854406,0.159170,0.386423,0.715278,0.351523,0.259652
