GloveManager recording started on 10/20/16 at 15:46:12

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017980,0.017980,1044,1848,1631,2383,2922,2331,2322,3016,2896,1490,3385,2961,1696,2802,,0.146087,0.074970,0.499042,0.744270,0.608272,0.830266,0.557112,0.805401,0.892725,0.430018,0.897909,0.881711,0.359069,0.717544
0.017967,0.035947,1042,1848,1633,2382,2925,2333,2323,3023,2894,1502,3390,2963,1701,2808,,0.142609,0.074970,0.500958,0.743064,0.610706,0.832311,0.558190,0.810961,0.890259,0.441068,0.904059,0.883530,0.365196,0.722807
0.018027,0.053974,1043,1849,1635,2381,2931,2335,2323,3028,2892,1506,3394,2965,1701,2809,,0.144348,0.076179,0.502874,0.741858,0.615572,0.834356,0.558190,0.814932,0.887793,0.444751,0.908979,0.885350,0.365196,0.723684
0.017997,0.071971,1041,1848,1637,2381,2936,2335,2322,3032,2893,1507,3397,2966,1703,2809,,0.140870,0.074970,0.504789,0.741858,0.619627,0.834356,0.557112,0.818110,0.889026,0.445672,0.912669,0.886260,0.367647,0.723684
0.018001,0.089972,1039,1848,1638,2381,2939,2334,2321,3034,2892,1508,3400,2966,1703,2811,,0.137391,0.074970,0.505747,0.741858,0.622060,0.833333,0.556035,0.819698,0.887793,0.446593,0.916359,0.886260,0.367647,0.725439
0.018004,0.107976,1041,1848,1641,2382,2941,2333,2319,3036,2892,1511,3401,2968,1706,2813,,0.140870,0.074970,0.508621,0.743064,0.623682,0.832311,0.553879,0.821287,0.887793,0.449355,0.917589,0.888080,0.371324,0.727193
0.017978,0.125954,1040,1849,1644,2381,2943,2331,2317,3036,2891,1514,3403,2969,1706,2813,,0.139130,0.076179,0.511494,0.741858,0.625304,0.830266,0.551724,0.821287,0.886560,0.452118,0.920049,0.888990,0.371324,0.727193
0.018025,0.143979,1037,1847,1648,2382,2949,2329,2317,3041,2889,1526,3406,2972,1707,2816,,0.133913,0.073761,0.515326,0.743064,0.630170,0.828221,0.551724,0.825258,0.884094,0.463168,0.923739,0.891720,0.372549,0.729825
0.017998,0.161976,1035,1847,1651,2381,2952,2329,2318,3043,2888,1533,3409,2974,1708,2820,,0.130435,0.073761,0.518199,0.741858,0.632603,0.828221,0.552802,0.826847,0.882861,0.469613,0.927429,0.893540,0.373774,0.733333
0.018001,0.179978,1034,1846,1652,2380,2955,2329,2317,3045,2887,1537,3410,2975,1709,2821,,0.128696,0.072551,0.519157,0.740651,0.635036,0.828221,0.551724,0.828435,0.881628,0.473296,0.928659,0.894449,0.375000,0.734211
0.017999,0.197977,1033,1846,1652,2379,2957,2329,2317,3046,2885,1536,3410,2976,1709,2821,,0.126957,0.072551,0.519157,0.739445,0.636659,0.828221,0.551724,0.829230,0.879162,0.472376,0.928659,0.895359,0.375000,0.734211
0.018005,0.215982,1033,1846,1655,2380,2959,2328,2317,3047,2886,1537,3411,2976,1710,2821,,0.126957,0.072551,0.522031,0.740651,0.638281,0.827198,0.551724,0.830024,0.880395,0.473296,0.929889,0.895359,0.376226,0.734211
