GloveManager recording started on 10/20/16 at 15:49:43

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017227,0.017227,1009,1871,1503,2041,2272,2207,1909,2340,2877,1172,2854,2823,1632,2134,,0.121870,0.102781,0.376437,0.331725,0.087762,0.698477,0.112069,0.264476,0.869297,0.137201,0.244772,0.756142,0.280637,0.107836
0.017983,0.035210,1007,1872,1507,2043,2273,2213,1910,2341,2876,1172,2854,2821,1632,2135,,0.118531,0.103990,0.380268,0.334138,0.088567,0.704569,0.113147,0.265258,0.868064,0.137201,0.244772,0.754322,0.280637,0.108555
0.017998,0.053208,1005,1870,1518,2047,2271,2217,1912,2341,2876,1175,2855,2821,1627,2139,,0.115192,0.101572,0.390805,0.338963,0.086957,0.708629,0.115302,0.265258,0.868064,0.139963,0.246002,0.754322,0.274510,0.111431
0.018022,0.071230,1005,1870,1518,2047,2271,2217,1912,2341,2876,1175,2855,2821,1627,2139,,0.115192,0.101572,0.390805,0.338963,0.086957,0.708629,0.115302,0.265258,0.868064,0.139963,0.246002,0.754322,0.274510,0.111431
0.018039,0.089269,1005,1869,1527,2049,2271,2221,1910,2342,2878,1176,2856,2821,1621,2142,,0.115192,0.100363,0.399425,0.341375,0.086957,0.712690,0.113147,0.266041,0.870530,0.140884,0.247232,0.754322,0.267157,0.113587
0.017998,0.107267,1006,1869,1529,2049,2272,2223,1910,2342,2878,1175,2856,2820,1619,2143,,0.116861,0.100363,0.401341,0.341375,0.087762,0.714721,0.113147,0.266041,0.870530,0.139963,0.247232,0.753412,0.264706,0.114306
0.017993,0.125260,1006,1868,1531,2049,2273,2223,1908,2343,2880,1176,2856,2818,1617,2145,,0.116861,0.099154,0.403257,0.341375,0.088567,0.714721,0.110991,0.266823,0.872996,0.140884,0.247232,0.751592,0.262255,0.115744
0.018010,0.143270,1007,1868,1535,2049,2273,2225,1909,2345,2881,1177,2857,2818,1618,2147,,0.118531,0.099154,0.407088,0.341375,0.088567,0.716751,0.112069,0.268388,0.874229,0.141805,0.248462,0.751592,0.263480,0.117182
0.018008,0.161278,1008,1869,1537,2050,2272,2226,1909,2345,2880,1177,2857,2825,1621,2149,,0.120200,0.100363,0.409004,0.342581,0.087762,0.717767,0.112069,0.268388,0.872996,0.141805,0.248462,0.757962,0.267157,0.118620
