GloveManager recording started on 10/20/16 at 15:50:37

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017275,0.017275,1123,2005,1789,2091,2208,2202,1911,2211,2913,1144,2865,2898,1525,2225,,0.312187,0.264813,0.650383,0.392039,0.042400,0.693401,0.114224,0.163537,0.913687,0.111418,0.258303,0.824386,0.149510,0.173257
0.018000,0.035276,1123,2005,1789,2091,2208,2202,1911,2211,2913,1144,2865,2898,1525,2225,,0.312187,0.264813,0.650383,0.392039,0.042400,0.693401,0.114224,0.163537,0.913687,0.111418,0.258303,0.824386,0.149510,0.173257
0.018000,0.053276,1121,2004,1793,2090,2205,2200,1910,2208,2916,1143,2867,2896,1523,2225,,0.308848,0.263603,0.654215,0.390832,0.040000,0.691371,0.113147,0.161189,0.917386,0.110497,0.260763,0.822566,0.147059,0.173257
0.018002,0.071278,1122,2004,1796,2089,2204,2200,1911,2207,2916,1143,2869,2896,1523,2224,,0.310518,0.263603,0.657088,0.389626,0.039200,0.691371,0.114224,0.160407,0.917386,0.110497,0.263223,0.822566,0.147059,0.172538
0.017980,0.089258,1120,2002,1798,2089,2203,2200,1911,2206,2917,1143,2871,2895,1523,2223,,0.307179,0.261185,0.659004,0.389626,0.038400,0.691371,0.114224,0.159624,0.918619,0.110497,0.265683,0.821656,0.147059,0.171819
0.018022,0.107280,1118,1998,1798,2089,2201,2200,1911,2202,2921,1147,2875,2892,1526,2219,,0.303840,0.256348,0.659004,0.389626,0.036800,0.691371,0.114224,0.156495,0.923551,0.114180,0.270603,0.818926,0.150735,0.168943
0.018000,0.125280,1118,1998,1798,2089,2201,2200,1911,2202,2921,1147,2875,2892,1526,2219,,0.303840,0.256348,0.659004,0.389626,0.036800,0.691371,0.114224,0.156495,0.923551,0.114180,0.270603,0.818926,0.150735,0.168943
0.018001,0.143281,1119,1996,1795,2089,2199,2199,1911,2199,2924,1148,2877,2892,1526,2215,,0.305509,0.253930,0.656130,0.389626,0.035200,0.690355,0.114224,0.154147,0.927250,0.115101,0.273063,0.818926,0.150735,0.166068
0.018001,0.161282,1118,1993,1790,2087,2196,2198,1911,2193,2928,1148,2887,2890,1528,2210,,0.303840,0.250302,0.651341,0.387213,0.032800,0.689340,0.114224,0.149452,0.932182,0.115101,0.285363,0.817106,0.153186,0.162473
