GloveManager recording started on 10/20/16 at 15:52:11

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017575,0.017574,1168,1896,1295,2037,2194,2212,1914,2184,2929,1146,2971,2880,1499,2221,,0.387312,0.133011,0.177203,0.326900,0.031200,0.703553,0.117457,0.142410,0.933416,0.113260,0.382567,0.808007,0.117647,0.170381
0.018010,0.035584,1167,1898,1295,2045,2195,2211,1915,2184,2929,1146,2971,2882,1498,2223,,0.385643,0.135429,0.177203,0.336550,0.032000,0.702538,0.118534,0.142410,0.933416,0.113260,0.382567,0.809827,0.116422,0.171819
0.017995,0.053579,1168,1899,1295,2048,2195,2213,1914,2184,2929,1145,2971,2884,1502,2228,,0.387312,0.136638,0.177203,0.340169,0.032000,0.704569,0.117457,0.142410,0.933416,0.112339,0.382567,0.811647,0.121324,0.175413
0.017991,0.071571,1171,1903,1293,2051,2196,2215,1915,2183,2930,1145,2973,2888,1503,2229,,0.392321,0.141475,0.175287,0.343788,0.032800,0.706599,0.118534,0.141628,0.934649,0.112339,0.384988,0.815287,0.122549,0.176132
0.018040,0.089611,1171,1905,1292,2055,2196,2216,1916,2184,2929,1144,2974,2891,1503,2230,,0.392321,0.143894,0.174330,0.348613,0.032800,0.707614,0.119612,0.142410,0.933416,0.111418,0.386199,0.818016,0.122549,0.176851
0.017987,0.107597,1171,1914,1292,2062,2196,2217,1916,2181,2929,1142,2975,2894,1505,2237,,0.392321,0.154776,0.174330,0.357057,0.032800,0.708629,0.119612,0.140063,0.933416,0.109576,0.387409,0.820746,0.125000,0.181884
0.018029,0.125627,1171,1919,1294,2064,2196,2217,1916,2180,2929,1140,2974,2896,1506,2238,,0.392321,0.160822,0.176245,0.359469,0.032800,0.708629,0.119612,0.139280,0.933416,0.107735,0.386199,0.822566,0.126225,0.182602
0.017934,0.143561,1161,1946,1306,2066,2195,2218,1916,2178,2928,1137,2971,2898,1505,2235,,0.375626,0.193470,0.187739,0.361882,0.032000,0.709645,0.119612,0.137715,0.932182,0.104972,0.382567,0.824386,0.125000,0.180446
0.018026,0.161587,1145,1991,1326,2069,2194,2218,1917,2175,2926,1136,2970,2899,1506,2234,,0.348915,0.247884,0.206897,0.365501,0.031200,0.709645,0.120690,0.135368,0.929716,0.104052,0.381356,0.825296,0.126225,0.179727
