GloveManager recording started on 10/20/16 at 15:53:19

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017534,0.017534,1103,2031,1362,1982,2282,2193,1901,2196,2919,1136,2969,2887,1519,2282,,0.278798,0.296252,0.241379,0.260555,0.095921,0.684264,0.103448,0.151800,0.921085,0.104052,0.380145,0.814377,0.142157,0.214234
0.018000,0.035534,1103,2025,1355,1981,2282,2193,1901,2195,2918,1137,2969,2887,1518,2278,,0.278798,0.288996,0.234674,0.259349,0.095921,0.684264,0.103448,0.151017,0.919852,0.104972,0.380145,0.814377,0.140931,0.211359
0.018011,0.053545,1104,2016,1346,1980,2282,2192,1900,2194,2918,1137,2968,2886,1520,2275,,0.280467,0.278114,0.226054,0.258142,0.095921,0.683249,0.102371,0.150235,0.919852,0.104972,0.378935,0.813467,0.143382,0.209202
0.018013,0.071559,1104,2011,1342,1978,2282,2192,1901,2194,2918,1137,2969,2886,1520,2274,,0.280467,0.272068,0.222222,0.255730,0.095921,0.683249,0.103448,0.150235,0.919852,0.104972,0.380145,0.813467,0.143382,0.208483
0.018000,0.089559,1104,2012,1341,1979,2282,2193,1901,2194,2919,1137,2968,2886,1520,2271,,0.280467,0.273277,0.221264,0.256936,0.095921,0.684264,0.103448,0.150235,0.921085,0.104972,0.378935,0.813467,0.143382,0.206326
0.018013,0.107572,1104,2011,1340,1979,2282,2192,1901,2193,2918,1137,2968,2886,1521,2268,,0.280467,0.272068,0.220307,0.256936,0.095921,0.683249,0.103448,0.149452,0.919852,0.104972,0.378935,0.813467,0.144608,0.204170
0.017975,0.125547,1105,1999,1335,1978,2283,2192,1901,2193,2920,1138,2967,2883,1519,2264,,0.282137,0.257557,0.215517,0.255730,0.096677,0.683249,0.103448,0.149452,0.922318,0.105893,0.377724,0.810737,0.142157,0.201294
0.018029,0.143575,1105,1999,1335,1978,2283,2192,1901,2193,2920,1138,2967,2883,1519,2264,,0.282137,0.257557,0.215517,0.255730,0.096677,0.683249,0.103448,0.149452,0.922318,0.105893,0.377724,0.810737,0.142157,0.201294
0.017990,0.161565,1101,2007,1370,1998,2285,2193,1901,2193,2921,1142,2968,2882,1516,2264,,0.275459,0.267231,0.249042,0.279855,0.098187,0.684264,0.103448,0.149452,0.923551,0.109576,0.378935,0.809827,0.138480,0.201294
0.018016,0.179581,1099,2019,1433,2017,2286,2195,1904,2195,2922,1145,2968,2882,1515,2261,,0.272120,0.281741,0.309387,0.302774,0.098943,0.686294,0.106681,0.151017,0.924784,0.112339,0.378935,0.809827,0.137255,0.199137
0.018003,0.197583,1101,2025,1509,2027,2287,2195,1907,2197,2923,1145,2969,2881,1515,2258,,0.275459,0.288996,0.382184,0.314837,0.099698,0.686294,0.109914,0.152582,0.926017,0.112339,0.380145,0.808917,0.137255,0.196981
0.017986,0.215570,1103,2026,1565,2032,2287,2196,1910,2197,2924,1146,2968,2882,1515,2259,,0.278798,0.290206,0.435824,0.320869,0.099698,0.687310,0.113147,0.152582,0.927250,0.113260,0.378935,0.809827,0.137255,0.197700
0.017996,0.233566,1109,2031,1615,2036,2287,2196,1911,2198,2924,1146,2969,2882,1514,2261,,0.288815,0.296252,0.483716,0.325694,0.099698,0.687310,0.114224,0.153365,0.927250,0.113260,0.380145,0.809827,0.136029,0.199137
0.018005,0.251571,1118,2041,1740,2049,2288,2197,1915,2199,2926,1148,2970,2886,1511,2252,,0.303840,0.308343,0.603448,0.341375,0.100453,0.688325,0.118534,0.154147,0.929716,0.115101,0.381356,0.813467,0.132353,0.192667
0.017997,0.269568,1119,2034,1776,2057,2287,2197,1915,2196,2925,1150,2970,2887,1509,2249,,0.305509,0.299879,0.637931,0.351025,0.099698,0.688325,0.118534,0.151800,0.928483,0.116943,0.381356,0.814377,0.129902,0.190510
0.018006,0.287575,1118,2028,1797,2063,2285,2197,1917,2194,2924,1151,2968,2887,1508,2247,,0.303840,0.292624,0.658046,0.358263,0.098187,0.688325,0.120690,0.150235,0.927250,0.117864,0.378935,0.814377,0.128676,0.189073
0.017997,0.305571,1116,2022,1810,2067,2283,2196,1917,2192,2924,1149,2968,2886,1504,2246,,0.300501,0.285369,0.670498,0.363088,0.096677,0.687310,0.120690,0.148670,0.927250,0.116022,0.378935,0.813467,0.123775,0.188354
0.017976,0.323547,1113,2017,1821,2069,2280,2196,1916,2189,2923,1151,2967,2886,1505,2245,,0.295493,0.279323,0.681035,0.365501,0.094411,0.687310,0.119612,0.146322,0.926017,0.117864,0.377724,0.813467,0.125000,0.187635
0.018023,0.341570,1112,2012,1832,2072,2279,2196,1915,2186,2922,1152,2966,2885,1504,2245,,0.293823,0.273277,0.691571,0.369119,0.093656,0.687310,0.118534,0.143975,0.924784,0.118785,0.376513,0.812557,0.123775,0.187635
0.018001,0.359571,1112,2007,1843,2073,2277,2196,1915,2184,2922,1153,2965,2882,1502,2245,,0.293823,0.267231,0.702107,0.370326,0.092145,0.687310,0.118534,0.142410,0.924784,0.119705,0.375303,0.809827,0.121324,0.187635
0.018025,0.377596,1109,2004,1853,2073,2276,2195,1916,2182,2922,1154,2963,2881,1500,2245,,0.288815,0.263603,0.711686,0.370326,0.091390,0.686294,0.119612,0.140845,0.924784,0.120626,0.372881,0.808917,0.118873,0.187635
0.017989,0.395584,1108,2005,1872,2073,2271,2196,1916,2178,2922,1155,2962,2881,1500,2250,,0.287145,0.264813,0.729885,0.370326,0.087613,0.687310,0.119612,0.137715,0.924784,0.121547,0.371671,0.808917,0.118873,0.191229
0.018005,0.413590,1106,2005,1882,2072,2269,2196,1916,2176,2921,1155,2960,2879,1498,2253,,0.283806,0.264813,0.739464,0.369119,0.086103,0.687310,0.119612,0.136150,0.923551,0.121547,0.369249,0.807097,0.116422,0.193386
0.017991,0.431580,1105,2006,1889,2071,2268,2195,1917,2173,2920,1155,2961,2879,1497,2256,,0.282137,0.266022,0.746169,0.367913,0.085347,0.686294,0.120690,0.133803,0.922318,0.121547,0.370460,0.807097,0.115196,0.195543
0.017997,0.449578,1105,2006,1893,2071,2266,2195,1916,2171,2921,1153,2960,2877,1496,2257,,0.282137,0.266022,0.750000,0.367913,0.083837,0.686294,0.119612,0.132238,0.923551,0.119705,0.369249,0.805278,0.113971,0.196262
0.018002,0.467580,1104,2007,1899,2070,2265,2195,1918,2169,2921,1152,2961,2877,1496,2262,,0.280467,0.267231,0.755747,0.366707,0.083082,0.686294,0.121767,0.130673,0.923551,0.118785,0.370460,0.805278,0.113971,0.199856
0.018008,0.485588,1104,2007,1899,2070,2265,2195,1918,2169,2921,1152,2961,2877,1496,2262,,0.280467,0.267231,0.755747,0.366707,0.083082,0.686294,0.121767,0.130673,0.923551,0.118785,0.370460,0.805278,0.113971,0.199856
0.017993,0.503582,1103,2008,1903,2068,2263,2194,1919,2165,2921,1150,2960,2875,1495,2266,,0.278798,0.268440,0.759579,0.364294,0.081571,0.685279,0.122845,0.127543,0.923551,0.116943,0.369249,0.803458,0.112745,0.202732
0.018010,0.521592,1103,2009,1904,2068,2261,2193,1919,2163,2921,1150,2960,2876,1493,2267,,0.278798,0.269649,0.760536,0.364294,0.080060,0.684264,0.122845,0.125978,0.923551,0.116943,0.369249,0.804368,0.110294,0.203451
0.018008,0.539600,1103,2008,1906,2067,2261,2193,1919,2161,2921,1149,2960,2876,1493,2267,,0.278798,0.268440,0.762452,0.363088,0.080060,0.684264,0.122845,0.124413,0.923551,0.116022,0.369249,0.804368,0.110294,0.203451
0.017990,0.557589,1102,2008,1906,2068,2260,2193,1919,2160,2921,1149,2960,2876,1494,2268,,0.277129,0.268440,0.762452,0.364294,0.079305,0.684264,0.122845,0.123631,0.923551,0.116022,0.369249,0.804368,0.111520,0.204170
0.017993,0.575582,1101,2007,1905,2069,2261,2194,1920,2160,2920,1149,2961,2876,1495,2268,,0.275459,0.267231,0.761494,0.365501,0.080060,0.685279,0.123922,0.123631,0.922318,0.116022,0.370460,0.804368,0.112745,0.204170
0.017985,0.593567,1101,2007,1905,2070,2260,2193,1920,2159,2921,1148,2960,2876,1493,2268,,0.275459,0.267231,0.761494,0.366707,0.079305,0.684264,0.123922,0.122848,0.923551,0.115101,0.369249,0.804368,0.110294,0.204170
0.017995,0.611562,1100,2008,1903,2069,2258,2192,1920,2157,2921,1145,2960,2875,1490,2267,,0.273790,0.268440,0.759579,0.365501,0.077795,0.683249,0.123922,0.121283,0.923551,0.112339,0.369249,0.803458,0.106618,0.203451
0.018029,0.629590,1100,2009,1904,2070,2257,2192,1920,2156,2922,1145,2961,2875,1492,2267,,0.273790,0.269649,0.760536,0.366707,0.077039,0.683249,0.123922,0.120501,0.924784,0.112339,0.370460,0.803458,0.109069,0.203451
0.017990,0.647580,1100,2009,1904,2070,2257,2192,1920,2156,2922,1145,2961,2875,1492,2267,,0.273790,0.269649,0.760536,0.366707,0.077039,0.683249,0.123922,0.120501,0.924784,0.112339,0.370460,0.803458,0.109069,0.203451
0.018007,0.665586,1100,2011,1905,2069,2258,2193,1921,2154,2922,1144,2961,2875,1492,2267,,0.273790,0.272068,0.761494,0.365501,0.077795,0.684264,0.125000,0.118936,0.924784,0.111418,0.370460,0.803458,0.109069,0.203451
0.017983,0.683569,1100,2010,1905,2069,2258,2193,1921,2153,2922,1143,2961,2876,1492,2267,,0.273790,0.270859,0.761494,0.365501,0.077795,0.684264,0.125000,0.118153,0.924784,0.110497,0.370460,0.804368,0.109069,0.203451
0.018016,0.701585,1098,2009,1903,2068,2259,2193,1921,2153,2921,1143,2962,2876,1492,2265,,0.270451,0.269649,0.759579,0.364294,0.078550,0.684264,0.125000,0.118153,0.923551,0.110497,0.371671,0.804368,0.109069,0.202013
0.017981,0.719567,1097,2009,1898,2068,2259,2193,1921,2153,2922,1143,2961,2876,1492,2261,,0.268781,0.269649,0.754789,0.364294,0.078550,0.684264,0.125000,0.118153,0.924784,0.110497,0.370460,0.804368,0.109069,0.199137
0.017999,0.737566,1093,2001,1867,2069,2260,2193,1920,2153,2923,1143,2962,2877,1495,2253,,0.262103,0.259976,0.725096,0.365501,0.079305,0.684264,0.123922,0.118153,0.926017,0.110497,0.371671,0.805278,0.112745,0.193386
0.018037,0.755603,1090,1991,1844,2069,2260,2193,1920,2152,2922,1144,2962,2877,1496,2248,,0.257095,0.247884,0.703065,0.365501,0.079305,0.684264,0.123922,0.117371,0.924784,0.111418,0.371671,0.805278,0.113971,0.189792
0.017996,0.773599,1092,1988,1820,2070,2261,2193,1919,2150,2924,1144,2961,2878,1497,2243,,0.260434,0.244256,0.680077,0.366707,0.080060,0.684264,0.122845,0.115806,0.927250,0.111418,0.370460,0.806187,0.115196,0.186197
0.017970,0.791569,1091,1979,1791,2070,2261,2194,1919,2149,2923,1144,2961,2878,1498,2236,,0.258765,0.233374,0.652299,0.366707,0.080060,0.685279,0.122845,0.115023,0.926017,0.111418,0.370460,0.806187,0.116422,0.181165
0.018046,0.809615,1088,1965,1750,2070,2262,2193,1918,2147,2923,1146,2960,2878,1499,2224,,0.253756,0.216445,0.613027,0.366707,0.080816,0.684264,0.121767,0.113459,0.926017,0.113260,0.369249,0.806187,0.117647,0.172538
0.017987,0.827602,1083,1944,1691,2073,2264,2194,1918,2147,2919,1146,2958,2877,1502,2214,,0.245409,0.191052,0.556513,0.370326,0.082326,0.685279,0.121767,0.113459,0.921085,0.113260,0.366828,0.805278,0.121324,0.165349
0.018003,0.845605,1073,1898,1546,2087,2266,2196,1916,2146,2911,1150,2947,2875,1505,2202,,0.228715,0.135429,0.417625,0.387213,0.083837,0.687310,0.119612,0.112676,0.911221,0.116943,0.353511,0.803458,0.125000,0.156722
0.018023,0.863628,1073,1898,1546,2087,2266,2196,1916,2146,2911,1150,2947,2875,1505,2202,,0.228715,0.135429,0.417625,0.387213,0.083837,0.687310,0.119612,0.112676,0.911221,0.116943,0.353511,0.803458,0.125000,0.156722
0.017978,0.881607,1078,1879,1385,2106,2265,2197,1925,2151,2901,1153,2937,2874,1510,2189,,0.237062,0.112455,0.263410,0.410133,0.083082,0.688325,0.129310,0.116588,0.898890,0.119705,0.341404,0.802548,0.131127,0.147376
0.018001,0.899608,1079,1881,1357,2117,2264,2197,1933,2153,2899,1156,2932,2872,1513,2183,,0.238731,0.114873,0.236590,0.423402,0.082326,0.688325,0.137931,0.118153,0.896424,0.122468,0.335351,0.800728,0.134804,0.143063
0.017998,0.917606,1078,1879,1341,2126,2262,2197,1939,2154,2896,1159,2926,2869,1518,2177,,0.237062,0.112455,0.221264,0.434258,0.080816,0.688325,0.144397,0.118936,0.892725,0.125230,0.328087,0.797998,0.140931,0.138749
0.017992,0.935599,1080,1879,1321,2137,2262,2197,1947,2157,2889,1161,2917,2867,1526,2171,,0.240401,0.112455,0.202107,0.447527,0.080816,0.688325,0.153017,0.121283,0.884094,0.127072,0.317191,0.796178,0.150735,0.134436
0.018041,0.953639,1086,1878,1306,2165,2263,2200,1983,2167,2876,1174,2888,2865,1552,2161,,0.250417,0.111245,0.187739,0.481303,0.081571,0.691371,0.191810,0.129108,0.868064,0.139042,0.282082,0.794358,0.182598,0.127247
0.017979,0.971618,1086,1878,1306,2165,2263,2200,1983,2167,2876,1174,2888,2865,1552,2161,,0.250417,0.111245,0.187739,0.481303,0.081571,0.691371,0.191810,0.129108,0.868064,0.139042,0.282082,0.794358,0.182598,0.127247
0.017964,0.989582,1095,1877,1295,2199,2266,2206,2028,2184,2865,1193,2862,2866,1589,2156,,0.265442,0.110036,0.177203,0.522316,0.083837,0.697462,0.240302,0.142410,0.854501,0.156538,0.250605,0.795268,0.227941,0.123652
0.018027,1.007609,1095,1878,1292,2212,2266,2207,2046,2190,2858,1204,2856,2867,1602,2158,,0.265442,0.111245,0.174330,0.537998,0.083837,0.698477,0.259698,0.147105,0.845869,0.166667,0.243341,0.796178,0.243873,0.125090
0.017998,1.025607,1096,1881,1289,2221,2267,2210,2059,2197,2851,1218,2854,2869,1614,2162,,0.267112,0.114873,0.171456,0.548854,0.084592,0.701523,0.273707,0.152582,0.837238,0.179558,0.240920,0.797998,0.258578,0.127965
0.018009,1.043616,1096,1881,1289,2221,2267,2210,2059,2197,2851,1218,2854,2869,1614,2162,,0.267112,0.114873,0.171456,0.548854,0.084592,0.701523,0.273707,0.152582,0.837238,0.179558,0.240920,0.797998,0.258578,0.127965
0.018028,1.061644,1099,1890,1295,2257,2283,2236,2112,2252,2855,1273,2855,2871,1692,2210,,0.272120,0.125756,0.177203,0.592280,0.096677,0.727919,0.330819,0.195618,0.842170,0.230203,0.242131,0.799818,0.354167,0.162473
0.017965,1.079609,1099,1890,1295,2257,2283,2236,2112,2252,2855,1273,2855,2871,1692,2210,,0.272120,0.125756,0.177203,0.592280,0.096677,0.727919,0.330819,0.195618,0.842170,0.230203,0.242131,0.799818,0.354167,0.162473
0.018002,1.097611,1101,1893,1292,2287,2303,2250,2139,2315,2863,1291,2877,2873,1706,2280,,0.275459,0.129383,0.174330,0.628468,0.111782,0.742132,0.359914,0.244914,0.852035,0.246777,0.268765,0.801638,0.371324,0.212797
0.017977,1.115588,1103,1893,1288,2298,2334,2254,2143,2343,2873,1288,2914,2870,1698,2365,,0.278798,0.129383,0.170498,0.641737,0.135196,0.746193,0.364224,0.266823,0.864365,0.244015,0.313559,0.798908,0.361520,0.273904
0.018022,1.133609,1105,1895,1286,2310,2389,2253,2145,2435,2883,1285,2999,2862,1688,2447,,0.282137,0.131802,0.168582,0.656212,0.176737,0.745178,0.366379,0.338811,0.876695,0.241252,0.416465,0.791629,0.349265,0.332854
0.017978,1.151587,1105,1896,1285,2323,2457,2249,2143,2608,2888,1284,3094,2860,1692,2503,,0.282137,0.133011,0.167625,0.671894,0.228097,0.741117,0.364224,0.474178,0.882861,0.240331,0.531477,0.789809,0.354167,0.373113
0.018032,1.169619,1105,1897,1284,2336,2562,2251,2148,2769,2890,1295,3147,2866,1703,2544,,0.282137,0.134220,0.166667,0.687575,0.307402,0.743147,0.369612,0.600156,0.885327,0.250460,0.595642,0.795268,0.367647,0.402588
0.018004,1.187622,1105,1896,1285,2356,2687,2255,2175,2862,2893,1323,3184,2872,1712,2586,,0.282137,0.133011,0.167625,0.711701,0.401813,0.747208,0.398707,0.672926,0.889026,0.276243,0.640436,0.800728,0.378676,0.432782
0.018001,1.205623,1104,1895,1287,2381,2797,2258,2217,2926,2895,1360,3216,2877,1712,2633,,0.280467,0.131802,0.169540,0.741858,0.484894,0.750254,0.443966,0.723005,0.891492,0.310313,0.679177,0.805278,0.378676,0.466571
0.017989,1.223613,1102,1889,1293,2422,2969,2265,2294,3013,2896,1441,3281,2891,1703,2718,,0.277129,0.124547,0.175287,0.791315,0.614804,0.757360,0.526940,0.791080,0.892725,0.384899,0.757869,0.818016,0.367647,0.527678
0.017979,1.241592,1099,1886,1294,2439,3028,2268,2333,3039,2894,1496,3311,2899,1704,2748,,0.272120,0.120919,0.176245,0.811821,0.659366,0.760406,0.568965,0.811424,0.890259,0.435543,0.794189,0.825296,0.368873,0.549245
0.018030,1.259621,1092,1885,1298,2453,3062,2270,2373,3058,2891,1553,3328,2904,1710,2767,,0.260434,0.119710,0.180077,0.828709,0.685045,0.762437,0.612069,0.826291,0.886560,0.488029,0.814770,0.829845,0.376226,0.562904
0.018008,1.277629,1087,1888,1302,2458,3073,2273,2395,3065,2890,1583,3339,2907,1715,2781,,0.252087,0.123337,0.183908,0.834741,0.693353,0.765482,0.635776,0.831768,0.885327,0.515654,0.828087,0.832575,0.382353,0.572969
0.017994,1.295623,1079,1892,1322,2461,3092,2275,2428,3078,2884,1647,3363,2915,1736,2815,,0.238731,0.128174,0.203065,0.838359,0.707704,0.767513,0.671336,0.841941,0.877928,0.574586,0.857143,0.839854,0.408088,0.597412
0.018019,1.313642,1079,1892,1322,2461,3092,2275,2428,3078,2884,1647,3363,2915,1736,2815,,0.238731,0.128174,0.203065,0.838359,0.707704,0.767513,0.671336,0.841941,0.877928,0.574586,0.857143,0.839854,0.408088,0.597412
0.017998,1.331641,1074,1884,1371,2465,3108,2271,2472,3084,2874,1739,3377,2916,1766,2841,,0.230384,0.118501,0.250000,0.843185,0.719788,0.763452,0.718750,0.846635,0.865598,0.659300,0.874092,0.840764,0.444853,0.616104
0.017959,1.349599,1068,1892,1403,2466,3114,2272,2487,3088,2872,1774,3381,2917,1780,2851,,0.220367,0.128174,0.280651,0.844391,0.724320,0.764467,0.734914,0.849765,0.863132,0.691529,0.878935,0.841674,0.462010,0.623293
0.018036,1.367635,1065,1900,1424,2468,3118,2274,2503,3093,2870,1807,3383,2918,1799,2857,,0.215359,0.137848,0.300766,0.846803,0.727341,0.766497,0.752155,0.853678,0.860666,0.721915,0.881356,0.842584,0.485294,0.627606
0.017945,1.385580,1064,1906,1432,2469,3122,2274,2516,3098,2870,1835,3386,2918,1817,2863,,0.213689,0.145103,0.308429,0.848010,0.730363,0.766497,0.766164,0.857590,0.860666,0.747698,0.884988,0.842584,0.507353,0.631920
0.018092,1.403672,1064,1911,1437,2471,3126,2277,2528,3103,2870,1862,3389,2920,1837,2870,,0.213689,0.151149,0.313218,0.850422,0.733384,0.769543,0.779095,0.861502,0.860666,0.772560,0.888620,0.844404,0.531863,0.636952
0.017958,1.421630,1064,1917,1442,2472,3129,2278,2539,3107,2871,1885,3391,2920,1850,2874,,0.213689,0.158404,0.318008,0.851628,0.735650,0.770558,0.790948,0.864632,0.861899,0.793738,0.891041,0.844404,0.547794,0.639827
0.017997,1.439627,1057,1930,1453,2472,3134,2278,2553,3113,2873,1909,3392,2920,1863,2875,,0.202003,0.174123,0.328544,0.851628,0.739426,0.770558,0.806035,0.869327,0.864365,0.815838,0.892252,0.844404,0.563725,0.640546
0.018001,1.457628,1056,1936,1459,2471,3136,2277,2554,3113,2872,1912,3393,2919,1865,2873,,0.200334,0.181378,0.334291,0.850422,0.740937,0.769543,0.807112,0.869327,0.863132,0.818600,0.893462,0.843494,0.566176,0.639109
0.018018,1.475646,1053,1940,1463,2469,3137,2276,2557,3115,2872,1916,3393,2920,1868,2871,,0.195326,0.186215,0.338123,0.848010,0.741692,0.768528,0.810345,0.870892,0.863132,0.822284,0.893462,0.844404,0.569853,0.637671
0.017984,1.493630,1052,1943,1464,2469,3138,2276,2560,3116,2873,1921,3394,2919,1872,2869,,0.193656,0.189843,0.339080,0.848010,0.742447,0.768528,0.813578,0.871674,0.864365,0.826888,0.894673,0.843494,0.574755,0.636233
0.018011,1.511641,1050,1947,1467,2469,3139,2276,2563,3117,2872,1926,3392,2919,1874,2868,,0.190317,0.194680,0.341954,0.848010,0.743202,0.768528,0.816810,0.872457,0.863132,0.831492,0.892252,0.843494,0.577206,0.635514
0.017993,1.529635,1049,1951,1469,2468,3140,2276,2565,3118,2872,1927,3392,2919,1875,2866,,0.188648,0.199516,0.343870,0.846803,0.743958,0.768528,0.818965,0.873239,0.863132,0.832413,0.892252,0.843494,0.578431,0.634076
0.018004,1.547638,1048,1954,1474,2466,3142,2277,2564,3118,2872,1926,3392,2919,1876,2864,,0.186978,0.203144,0.348659,0.844391,0.745468,0.769543,0.817888,0.873239,0.863132,0.831492,0.892252,0.843494,0.579657,0.632638
0.017997,1.565636,1049,1951,1476,2465,3144,2276,2564,3119,2872,1925,3391,2919,1876,2861,,0.188648,0.199516,0.350575,0.843185,0.746979,0.768528,0.817888,0.874022,0.863132,0.830571,0.891041,0.843494,0.579657,0.630482
0.017998,1.583634,1050,1949,1477,2463,3144,2276,2564,3119,2871,1926,3391,2919,1876,2862,,0.190317,0.197098,0.351533,0.840772,0.746979,0.768528,0.817888,0.874022,0.861899,0.831492,0.891041,0.843494,0.579657,0.631201
0.017977,1.601611,1050,1949,1477,2463,3145,2277,2565,3121,2871,1927,3392,2919,1877,2862,,0.190317,0.197098,0.351533,0.840772,0.747734,0.769543,0.818965,0.875587,0.861899,0.832413,0.892252,0.843494,0.580882,0.631201
0.018001,1.619612,1050,1947,1477,2463,3146,2277,2565,3120,2871,1927,3393,2919,1877,2860,,0.190317,0.194680,0.351533,0.840772,0.748489,0.769543,0.818965,0.874804,0.861899,0.832413,0.893462,0.843494,0.580882,0.629763
0.018007,1.637619,1051,1947,1476,2463,3147,2278,2564,3120,2871,1925,3391,2919,1876,2860,,0.191987,0.194680,0.350575,0.840772,0.749245,0.770558,0.817888,0.874804,0.861899,0.830571,0.891041,0.843494,0.579657,0.629763
0.018018,1.655637,1052,1945,1475,2462,3147,2277,2562,3120,2871,1923,3392,2919,1875,2859,,0.193656,0.192261,0.349617,0.839566,0.749245,0.769543,0.815733,0.874804,0.861899,0.828729,0.892252,0.843494,0.578431,0.629044
0.017997,1.673634,1053,1943,1476,2461,3147,2277,2562,3120,2871,1923,3392,2919,1875,2860,,0.195326,0.189843,0.350575,0.838359,0.749245,0.769543,0.815733,0.874804,0.861899,0.828729,0.892252,0.843494,0.578431,0.629763
0.018001,1.691636,1053,1943,1476,2461,3147,2277,2562,3120,2871,1923,3392,2919,1875,2860,,0.195326,0.189843,0.350575,0.838359,0.749245,0.769543,0.815733,0.874804,0.861899,0.828729,0.892252,0.843494,0.578431,0.629763
0.018022,1.709658,1050,1945,1479,2460,3147,2277,2561,3120,2871,1920,3392,2919,1873,2860,,0.190317,0.192261,0.353448,0.837153,0.749245,0.769543,0.814655,0.874804,0.861899,0.825967,0.892252,0.843494,0.575980,0.629763
0.018005,1.727663,1050,1945,1479,2460,3147,2277,2561,3120,2871,1920,3392,2919,1873,2860,,0.190317,0.192261,0.353448,0.837153,0.749245,0.769543,0.814655,0.874804,0.861899,0.825967,0.892252,0.843494,0.575980,0.629763
0.017979,1.745642,1049,1946,1481,2460,3147,2277,2560,3120,2870,1918,3392,2919,1873,2859,,0.188648,0.193470,0.355364,0.837153,0.749245,0.769543,0.813578,0.874804,0.860666,0.824125,0.892252,0.843494,0.575980,0.629044
0.017985,1.763627,1049,1945,1481,2459,3147,2277,2559,3121,2870,1918,3392,2919,1873,2858,,0.188648,0.192261,0.355364,0.835947,0.749245,0.769543,0.812500,0.875587,0.860666,0.824125,0.892252,0.843494,0.575980,0.628325
0.018011,1.781638,1046,1944,1481,2460,3147,2278,2558,3120,2871,1916,3392,2921,1870,2858,,0.183639,0.191052,0.355364,0.837153,0.749245,0.770558,0.811422,0.874804,0.861899,0.822284,0.892252,0.845314,0.572304,0.628325
0.017960,1.799598,1046,1943,1480,2459,3148,2278,2556,3120,2871,1913,3392,2921,1869,2858,,0.183639,0.189843,0.354406,0.835947,0.750000,0.770558,0.809267,0.874804,0.861899,0.819521,0.892252,0.845314,0.571078,0.628325
0.018049,1.817648,1046,1943,1481,2460,3147,2278,2555,3120,2872,1912,3393,2921,1868,2857,,0.183639,0.189843,0.355364,0.837153,0.749245,0.770558,0.808190,0.874804,0.863132,0.818600,0.893462,0.845314,0.569853,0.627606
0.018020,1.835667,1045,1942,1480,2460,3148,2278,2555,3119,2871,1911,3393,2921,1869,2857,,0.181970,0.188634,0.354406,0.837153,0.750000,0.770558,0.808190,0.874022,0.861899,0.817680,0.893462,0.845314,0.571078,0.627606
0.017951,1.853619,1044,1943,1482,2459,3148,2279,2554,3119,2871,1909,3393,2922,1867,2858,,0.180301,0.189843,0.356322,0.835947,0.750000,0.771574,0.807112,0.874022,0.861899,0.815838,0.893462,0.846224,0.568627,0.628325
