GloveManager recording started on 10/20/16 at 15:56:26

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017519,0.017519,1125,2086,1734,2040,2257,2204,1926,2171,2938,1179,2936,2909,1647,2205,,0.315526,0.362757,0.597701,0.330519,0.077039,0.695431,0.130388,0.129106,0.911905,0.143646,0.340194,0.834395,0.299020,0.158879
0.017994,0.035514,1124,2086,1733,2040,2257,2205,1927,2172,2939,1180,2935,2908,1647,2205,,0.313856,0.362757,0.596743,0.330519,0.077039,0.696447,0.131466,0.129870,0.913095,0.144567,0.338983,0.833485,0.299020,0.158879
0.018003,0.053516,1125,2087,1733,2040,2258,2205,1927,2173,2939,1180,2935,2909,1647,2205,,0.315526,0.363966,0.596743,0.330519,0.077795,0.696447,0.131466,0.130634,0.913095,0.144567,0.338983,0.834395,0.299020,0.158879
0.017991,0.071508,1125,2087,1733,2040,2258,2205,1927,2173,2939,1180,2935,2909,1647,2205,,0.315526,0.363966,0.596743,0.330519,0.077795,0.696447,0.131466,0.130634,0.913095,0.144567,0.338983,0.834395,0.299020,0.158879
0.017997,0.089505,1125,2086,1734,2040,2258,2204,1927,2173,2939,1179,2935,2909,1647,2205,,0.315526,0.362757,0.597701,0.330519,0.077795,0.695431,0.131466,0.130634,0.913095,0.143646,0.338983,0.834395,0.299020,0.158879
0.017981,0.107486,1124,2085,1734,2039,2258,2205,1927,2173,2938,1178,2934,2909,1646,2204,,0.313856,0.361548,0.597701,0.329312,0.077795,0.696447,0.131466,0.130634,0.911905,0.142726,0.337772,0.834395,0.297794,0.158160
0.018023,0.125508,1123,2086,1734,2039,2258,2205,1927,2173,2939,1180,2934,2909,1646,2204,,0.312187,0.362757,0.597701,0.329312,0.077795,0.696447,0.131466,0.130634,0.913095,0.144567,0.337772,0.834395,0.297794,0.158160
0.018008,0.143516,1124,2086,1733,2041,2259,2205,1928,2174,2939,1179,2934,2909,1647,2205,,0.313856,0.362757,0.596743,0.331725,0.078550,0.696447,0.132543,0.131398,0.913095,0.143646,0.337772,0.834395,0.299020,0.158879
0.017998,0.161514,1125,2085,1734,2041,2259,2205,1927,2173,2939,1179,2933,2910,1646,2205,,0.315526,0.361548,0.597701,0.331725,0.078550,0.696447,0.131466,0.130634,0.913095,0.143646,0.336562,0.835305,0.297794,0.158879
0.017997,0.179511,1125,2085,1734,2040,2259,2205,1928,2173,2938,1179,2933,2909,1645,2205,,0.315526,0.361548,0.597701,0.330519,0.078550,0.696447,0.132543,0.130634,0.911905,0.143646,0.336562,0.834395,0.296569,0.158879
0.018001,0.197512,1125,2085,1734,2040,2259,2205,1927,2174,2939,1178,2933,2909,1646,2205,,0.315526,0.361548,0.597701,0.330519,0.078550,0.696447,0.131466,0.131398,0.913095,0.142726,0.336562,0.834395,0.297794,0.158879
0.018003,0.215516,1125,2085,1735,2040,2258,2205,1927,2174,2938,1178,2932,2909,1645,2205,,0.315526,0.361548,0.598659,0.330519,0.077795,0.696447,0.131466,0.131398,0.911905,0.142726,0.335351,0.834395,0.296569,0.158879
0.017998,0.233514,1125,2085,1735,2040,2258,2205,1927,2174,2938,1178,2932,2909,1645,2205,,0.315526,0.361548,0.598659,0.330519,0.077795,0.696447,0.131466,0.131398,0.911905,0.142726,0.335351,0.834395,0.296569,0.158879
0.018002,0.251515,1124,2084,1736,2041,2259,2205,1927,2173,2938,1178,2932,2910,1646,2205,,0.313856,0.360339,0.599617,0.331725,0.078550,0.696447,0.131466,0.130634,0.911905,0.142726,0.335351,0.835305,0.297794,0.158879
0.018000,0.269516,1124,2084,1736,2041,2259,2205,1927,2173,2938,1178,2932,2910,1646,2205,,0.313856,0.360339,0.599617,0.331725,0.078550,0.696447,0.131466,0.130634,0.911905,0.142726,0.335351,0.835305,0.297794,0.158879
0.018032,0.287547,1125,2084,1735,2040,2260,2206,1927,2174,2939,1178,2932,2909,1644,2204,,0.315526,0.360339,0.598659,0.330519,0.079305,0.697462,0.131466,0.131398,0.913095,0.142726,0.335351,0.834395,0.295343,0.158160
0.017948,0.305495,1124,2084,1735,2041,2259,2205,1927,2173,2939,1178,2932,2909,1644,2204,,0.313856,0.360339,0.598659,0.331725,0.078550,0.696447,0.131466,0.130634,0.913095,0.142726,0.335351,0.834395,0.295343,0.158160
0.018022,0.323517,1125,2083,1735,2041,2260,2206,1927,2173,2939,1177,2932,2910,1644,2204,,0.315526,0.359129,0.598659,0.331725,0.079305,0.697462,0.131466,0.130634,0.913095,0.141805,0.335351,0.835305,0.295343,0.158160
0.017999,0.341516,1125,2083,1735,2041,2260,2206,1927,2173,2939,1177,2932,2910,1644,2204,,0.315526,0.359129,0.598659,0.331725,0.079305,0.697462,0.131466,0.130634,0.913095,0.141805,0.335351,0.835305,0.295343,0.158160
