GloveManager recording started on 10/20/16 at 16:26:12

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017748,0.017748,1103,1816,1213,2259,2846,2219,2049,2831,2963,1123,3198,2858,1552,2606,,0.298861,0.066602,0.108182,0.625000,0.566438,0.632024,0.245870,0.626647,0.860718,0.095195,0.607362,0.847213,0.241015,0.448350
0.017999,0.035747,1104,1819,1208,2264,2851,2222,2011,2830,2965,1099,3190,2856,1514,2596,,0.299810,0.069498,0.103636,0.630580,0.569863,0.633837,0.208941,0.625915,0.862894,0.073436,0.599182,0.845902,0.200846,0.441176
0.018003,0.053750,1107,1822,1204,2266,2855,2231,1982,2832,2969,1086,3186,2853,1485,2585,,0.302657,0.072394,0.100000,0.632813,0.572603,0.639275,0.180758,0.627379,0.867247,0.061650,0.595092,0.843934,0.170190,0.433286
0.017996,0.071746,1110,1826,1208,2261,2848,2235,1964,2834,2973,1076,3180,2848,1464,2570,,0.305503,0.076255,0.103636,0.627232,0.567808,0.641692,0.163265,0.628843,0.871600,0.052584,0.588957,0.840656,0.147992,0.422525
0.017980,0.089726,1113,1830,1214,2242,2830,2238,1951,2836,2978,1068,3176,2846,1449,2553,,0.308349,0.080116,0.109091,0.606027,0.555479,0.643505,0.150632,0.630307,0.877040,0.045331,0.584867,0.839344,0.132135,0.410330
0.018036,0.107762,1116,1833,1221,2219,2814,2245,1942,2838,2982,1061,3170,2843,1437,2538,,0.311195,0.083012,0.115455,0.580357,0.544521,0.647734,0.141885,0.631772,0.881393,0.038985,0.578732,0.837377,0.119450,0.399570
0.017993,0.125755,1126,1840,1231,2175,2798,2257,1941,2840,2984,1050,3162,2856,1425,2519,,0.320683,0.089768,0.124545,0.531250,0.533562,0.654985,0.140914,0.633236,0.883569,0.029012,0.570552,0.845902,0.106765,0.385940
0.018005,0.143760,1131,1842,1236,2162,2788,2262,1942,2840,2986,1043,3158,2864,1420,2509,,0.325427,0.091699,0.129091,0.516741,0.526712,0.658006,0.141885,0.633236,0.885745,0.022665,0.566462,0.851148,0.101480,0.378766
0.017992,0.161753,1137,1846,1242,2150,2778,2269,1945,2840,2987,1037,3155,2871,1420,2498,,0.331120,0.095560,0.134545,0.503348,0.519863,0.662236,0.144801,0.633236,0.886833,0.017226,0.563395,0.855738,0.101480,0.370875
0.018013,0.179765,1143,1847,1248,2142,2764,2274,1948,2843,2988,1031,3148,2880,1419,2490,,0.336812,0.096525,0.140000,0.494420,0.510274,0.665257,0.147716,0.635432,0.887922,0.011786,0.556237,0.861639,0.100423,0.365136
0.017990,0.197756,1147,1848,1254,2138,2750,2276,1950,2843,2989,1026,3142,2891,1418,2484,,0.340607,0.097490,0.145455,0.489955,0.500685,0.666465,0.149660,0.635432,0.889010,0.007253,0.550102,0.868852,0.099366,0.360832
0.018008,0.215763,1151,1850,1251,2135,2744,2281,1953,2843,2989,1022,3135,2901,1417,2479,,0.344402,0.099421,0.142727,0.486607,0.496575,0.669486,0.152575,0.635432,0.889010,0.003626,0.542945,0.875410,0.098309,0.357245
0.017995,0.233758,1156,1851,1253,2137,2736,2285,1954,2844,2988,1020,3129,2904,1416,2474,,0.349146,0.100386,0.144545,0.488839,0.491096,0.671903,0.153547,0.636164,0.887922,0.001813,0.536810,0.877377,0.097252,0.353659
0.017979,0.251737,1161,1852,1254,2146,2712,2286,1957,2841,2988,1017,3118,2902,1414,2467,,0.353890,0.101351,0.145455,0.498884,0.474658,0.672508,0.156463,0.633968,0.887922,0.000000,0.525562,0.876066,0.095137,0.348637
0.018022,0.269759,1161,1851,1254,2151,2705,2287,1959,2841,2986,1016,3113,2901,1415,2464,,0.353890,0.100386,0.145455,0.504464,0.469863,0.673112,0.158406,0.633968,0.885745,0.000000,0.520450,0.875410,0.096195,0.346485
0.018000,0.287760,1161,1849,1250,2156,2701,2286,1959,2840,2986,1016,3109,2902,1412,2461,,0.353890,0.098456,0.141818,0.510045,0.467123,0.672508,0.158406,0.633236,0.885745,0.000000,0.516360,0.876066,0.093023,0.344333
0.018024,0.305783,1161,1848,1248,2161,2697,2286,1960,2839,2985,1016,3104,2903,1411,2459,,0.353890,0.097490,0.140000,0.515625,0.464384,0.672508,0.159378,0.632504,0.884657,0.000000,0.511247,0.876721,0.091966,0.342898
0.017959,0.323742,1161,1847,1246,2166,2694,2285,1960,2838,2985,1016,3101,2904,1411,2458,,0.353890,0.096525,0.138182,0.521205,0.462329,0.671903,0.159378,0.631772,0.884657,0.000000,0.508180,0.877377,0.091966,0.342181
0.018027,0.341769,1161,1845,1243,2170,2693,2285,1960,2837,2984,1018,3098,2904,1409,2456,,0.353890,0.094595,0.135455,0.525670,0.461644,0.671903,0.159378,0.631040,0.883569,0.001810,0.505112,0.877377,0.089852,0.340746
0.017979,0.359748,1159,1842,1233,2182,2692,2285,1957,2835,2980,1021,3094,2908,1407,2453,,0.351992,0.091699,0.126364,0.539063,0.460959,0.671903,0.156463,0.629575,0.879217,0.004525,0.501023,0.880000,0.087738,0.338594
0.018018,0.377766,1159,1842,1233,2182,2692,2285,1957,2835,2980,1021,3094,2908,1407,2453,,0.351992,0.091699,0.126364,0.539063,0.460959,0.671903,0.156463,0.629575,0.879217,0.004525,0.501023,0.880000,0.087738,0.338594
0.017953,0.395719,1159,1840,1228,2190,2694,2285,1956,2834,2980,1023,3093,2908,1407,2452,,0.351992,0.089768,0.121818,0.547991,0.462329,0.671903,0.155491,0.628843,0.879217,0.006335,0.500000,0.880000,0.087738,0.337877
0.018045,0.413764,1158,1840,1228,2191,2695,2286,1955,2834,2979,1024,3093,2909,1407,2452,,0.351044,0.089768,0.121818,0.549107,0.463014,0.672508,0.154519,0.628843,0.878128,0.007240,0.500000,0.880656,0.087738,0.337877
0.018002,0.431767,1158,1841,1227,2193,2696,2287,1955,2835,2980,1024,3094,2909,1407,2453,,0.351044,0.090734,0.120909,0.551339,0.463699,0.673112,0.154519,0.629575,0.879217,0.007240,0.501023,0.880656,0.087738,0.338594
0.018000,0.449767,1158,1840,1227,2194,2696,2287,1954,2835,2979,1025,3095,2910,1407,2451,,0.351044,0.089768,0.120909,0.552455,0.463699,0.673112,0.153547,0.629575,0.878128,0.008145,0.502045,0.881311,0.087738,0.337159
