GloveManager recording started on 10/20/16 at 16:26:48

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017359,0.017358,1141,1837,1269,2362,2901,2233,2215,2858,2956,1309,3234,2894,1654,2776,,0.334915,0.095602,0.159091,0.739955,0.604110,0.640483,0.407191,0.646413,0.853101,0.270440,0.644172,0.870820,0.348837,0.570301
0.018000,0.035359,1142,1837,1268,2362,2902,2234,2215,2859,2956,1308,3234,2892,1662,2775,,0.335863,0.095602,0.158182,0.739955,0.604795,0.641088,0.407191,0.647145,0.853101,0.269542,0.644172,0.869508,0.357294,0.569584
0.017984,0.053343,1141,1836,1267,2362,2901,2233,2215,2857,2956,1308,3234,2893,1653,2773,,0.334915,0.094646,0.157273,0.739955,0.604110,0.640483,0.407191,0.645681,0.853101,0.269542,0.644172,0.870164,0.347780,0.568149
0.017994,0.071337,1142,1837,1266,2361,2902,2233,2217,2858,2956,1307,3234,2895,1654,2769,,0.335863,0.095602,0.156364,0.738839,0.604795,0.640483,0.409135,0.646413,0.853101,0.268643,0.644172,0.871475,0.348837,0.565280
0.018015,0.089352,1144,1838,1265,2361,2902,2234,2218,2857,2955,1307,3236,2897,1654,2763,,0.337761,0.096558,0.155455,0.738839,0.604795,0.641088,0.410107,0.645681,0.852013,0.268643,0.646217,0.872787,0.348837,0.560976
0.018044,0.107397,1145,1837,1264,2360,2902,2234,2218,2857,2955,1304,3235,2899,1653,2753,,0.338710,0.095602,0.154545,0.737723,0.604795,0.641088,0.410107,0.645681,0.852013,0.265948,0.645194,0.874098,0.347780,0.553802
0.017968,0.125365,1147,1836,1257,2350,2903,2233,2204,2855,2956,1288,3232,2899,1651,2713,,0.340607,0.094646,0.148182,0.726563,0.605479,0.640483,0.396501,0.644217,0.853101,0.251572,0.642127,0.874098,0.345666,0.525108
0.018003,0.143368,1147,1836,1257,2350,2903,2233,2204,2855,2956,1288,3232,2899,1651,2713,,0.340607,0.094646,0.148182,0.726563,0.605479,0.640483,0.396501,0.644217,0.853101,0.251572,0.642127,0.874098,0.345666,0.525108
0.017997,0.161366,1148,1831,1245,2322,2909,2231,2167,2850,2961,1251,3224,2898,1657,2666,,0.341556,0.089866,0.137273,0.695313,0.609589,0.639275,0.360544,0.640556,0.858542,0.218329,0.633947,0.873443,0.352008,0.491392
0.017977,0.179343,1149,1826,1240,2308,2910,2229,2149,2847,2963,1237,3217,2898,1663,2645,,0.342505,0.085086,0.132727,0.679688,0.610274,0.638066,0.343051,0.638360,0.860718,0.205750,0.626789,0.873443,0.358351,0.476327
0.018032,0.197374,1149,1822,1232,2288,2882,2226,2115,2843,2966,1201,3192,2901,1656,2612,,0.342505,0.081262,0.125455,0.657366,0.591096,0.636254,0.310010,0.635432,0.863983,0.173405,0.601227,0.875410,0.350951,0.452654
0.018001,0.215376,1149,1822,1232,2288,2882,2226,2115,2843,2966,1201,3192,2901,1656,2612,,0.342505,0.081262,0.125455,0.657366,0.591096,0.636254,0.310010,0.635432,0.863983,0.173405,0.601227,0.875410,0.350951,0.452654
