GloveManager recording started on 10/20/16 at 16:27:50

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017527,0.017527,1138,1832,1289,2259,2672,2213,2101,2688,2965,1161,3072,2882,1600,2506,,0.332068,0.092557,0.177273,0.625000,0.447260,0.628399,0.296404,0.521962,0.862894,0.137466,0.478528,0.862951,0.291755,0.376614
0.018001,0.035527,1141,1824,1271,2256,2690,2214,2089,2694,2966,1146,3068,2887,1587,2500,,0.334915,0.084924,0.160909,0.621652,0.459589,0.629003,0.284742,0.526354,0.863983,0.123989,0.474438,0.866230,0.278013,0.372310
0.018011,0.053538,1143,1814,1250,2253,2705,2215,2079,2697,2965,1131,3064,2893,1573,2495,,0.336812,0.075382,0.141818,0.618304,0.469863,0.629607,0.275024,0.528551,0.862894,0.110512,0.470348,0.870164,0.263214,0.368723
0.017991,0.071529,1150,1802,1218,2249,2725,2219,2058,2699,2967,1103,3055,2902,1531,2487,,0.343453,0.063931,0.112727,0.613839,0.483562,0.632024,0.254616,0.530015,0.865071,0.085355,0.461145,0.876066,0.218816,0.362984
0.018000,0.089529,1150,1802,1218,2249,2725,2219,2058,2699,2967,1103,3055,2902,1531,2487,,0.343453,0.063931,0.112727,0.613839,0.483562,0.632024,0.254616,0.530015,0.865071,0.085355,0.461145,0.876066,0.218816,0.362984
0.018001,0.107530,1157,1797,1209,2250,2759,2225,2045,2715,2968,1077,3052,2909,1498,2485,,0.350095,0.059160,0.104545,0.614955,0.506849,0.635650,0.241983,0.541728,0.866159,0.061995,0.458078,0.880656,0.183932,0.361549
0.018001,0.125531,1157,1797,1209,2250,2759,2225,2045,2715,2968,1077,3052,2909,1498,2485,,0.350095,0.059160,0.104545,0.614955,0.506849,0.635650,0.241983,0.541728,0.866159,0.061995,0.458078,0.880656,0.183932,0.361549
0.018014,0.143545,1164,1798,1211,2263,2782,2231,2037,2733,2967,1055,3049,2913,1478,2483,,0.356736,0.060115,0.106364,0.629464,0.522603,0.639275,0.234208,0.554905,0.865071,0.042228,0.455010,0.883279,0.162791,0.360115
0.018013,0.161559,1168,1801,1217,2275,2797,2234,2035,2745,2968,1047,3050,2914,1469,2484,,0.360531,0.062977,0.111818,0.642857,0.532877,0.641088,0.232264,0.563690,0.866159,0.035040,0.456033,0.883934,0.153277,0.360832
0.018098,0.179657,1175,1805,1224,2298,2826,2241,2031,2768,2969,1030,3053,2914,1459,2483,,0.367173,0.066794,0.118182,0.668527,0.552740,0.645317,0.228377,0.580527,0.867247,0.019766,0.459100,0.883934,0.142706,0.360115
0.017905,0.197561,1175,1805,1224,2298,2826,2241,2031,2768,2969,1030,3053,2914,1459,2483,,0.367173,0.066794,0.118182,0.668527,0.552740,0.645317,0.228377,0.580527,0.867247,0.019766,0.459100,0.883934,0.142706,0.360115
0.017972,0.215533,1179,1806,1228,2305,2839,2245,2031,2778,2969,1024,3054,2914,1458,2483,,0.370968,0.067748,0.121818,0.676339,0.561644,0.647734,0.228377,0.587848,0.867247,0.014376,0.460123,0.883934,0.141649,0.360115
0.018026,0.233559,1182,1807,1235,2311,2850,2249,2030,2783,2970,1019,3056,2914,1458,2482,,0.373814,0.068702,0.128182,0.683036,0.569178,0.650151,0.227405,0.591508,0.868335,0.009883,0.462168,0.883934,0.141649,0.359397
0.018002,0.251561,1188,1811,1240,2323,2870,2258,2032,2794,2969,1009,3061,2911,1460,2479,,0.379507,0.072519,0.132727,0.696429,0.582877,0.655589,0.229349,0.599561,0.867247,0.000898,0.467280,0.881967,0.143763,0.357245
0.018002,0.269563,1191,1811,1243,2325,2875,2261,2033,2798,2970,1008,3062,2910,1461,2478,,0.382353,0.072519,0.135455,0.698661,0.586301,0.657402,0.230321,0.602489,0.868335,0.000000,0.468303,0.881311,0.144820,0.356528
0.017998,0.287561,1193,1812,1245,2326,2876,2263,2033,2799,2970,1007,3064,2909,1463,2475,,0.384250,0.073473,0.137273,0.699777,0.586986,0.658610,0.230321,0.603221,0.868335,0.000000,0.470348,0.880656,0.146934,0.354376
0.018011,0.305573,1195,1814,1248,2328,2876,2263,2033,2800,2970,1006,3065,2909,1465,2474,,0.386148,0.075382,0.140000,0.702009,0.586986,0.658610,0.230321,0.603953,0.868335,0.000000,0.471370,0.880656,0.149049,0.353659
0.017993,0.323566,1196,1813,1249,2329,2876,2265,2033,2801,2970,1006,3065,2908,1465,2472,,0.387097,0.074427,0.140909,0.703125,0.586986,0.659819,0.230321,0.604685,0.868335,0.000000,0.471370,0.880000,0.149049,0.352224
0.018000,0.341566,1198,1814,1250,2330,2875,2266,2033,2804,2970,1004,3065,2908,1464,2471,,0.388994,0.075382,0.141818,0.704241,0.586301,0.660423,0.230321,0.606881,0.868335,0.000000,0.471370,0.880000,0.147992,0.351506
0.018009,0.359575,1199,1814,1250,2330,2873,2266,2033,2803,2969,1005,3066,2908,1464,2470,,0.389943,0.075382,0.141818,0.704241,0.584931,0.660423,0.230321,0.606149,0.867247,0.000895,0.472393,0.880000,0.147992,0.350789
0.017991,0.377566,1198,1813,1248,2331,2871,2267,2032,2803,2969,1005,3065,2908,1465,2470,,0.388994,0.074427,0.140000,0.705357,0.583562,0.661027,0.229349,0.606149,0.867247,0.000895,0.471370,0.880000,0.149049,0.350789
0.018006,0.395572,1197,1812,1246,2330,2869,2267,2031,2802,2969,1005,3065,2908,1464,2469,,0.388046,0.073473,0.138182,0.704241,0.582192,0.661027,0.228377,0.605417,0.867247,0.000895,0.471370,0.880000,0.147992,0.350072
0.017996,0.413569,1196,1811,1244,2330,2868,2266,2031,2802,2969,1006,3066,2908,1466,2470,,0.387097,0.072519,0.136364,0.704241,0.581507,0.660423,0.228377,0.605417,0.867247,0.001791,0.472393,0.880000,0.150106,0.350789
0.018004,0.431573,1195,1811,1242,2329,2869,2264,2030,2802,2969,1006,3066,2907,1465,2469,,0.386148,0.072519,0.134545,0.703125,0.582192,0.659214,0.227405,0.605417,0.867247,0.001791,0.472393,0.879344,0.149049,0.350072
0.018003,0.449577,1194,1809,1239,2327,2872,2263,2030,2801,2969,1009,3067,2908,1462,2469,,0.385199,0.070611,0.131818,0.700893,0.584247,0.658610,0.227405,0.604685,0.867247,0.004476,0.473415,0.880000,0.145877,0.350072
0.018002,0.467578,1194,1809,1239,2327,2872,2263,2030,2801,2969,1009,3067,2908,1462,2469,,0.385199,0.070611,0.131818,0.700893,0.584247,0.658610,0.227405,0.604685,0.867247,0.004476,0.473415,0.880000,0.145877,0.350072
0.018010,0.485588,1192,1808,1233,2325,2875,2262,2030,2801,2969,1011,3066,2908,1459,2467,,0.383302,0.069656,0.126364,0.698661,0.586301,0.658006,0.227405,0.604685,0.867247,0.006267,0.472393,0.880000,0.142706,0.348637
0.017999,0.503587,1190,1807,1231,2323,2875,2261,2030,2800,2969,1012,3068,2908,1460,2467,,0.381404,0.068702,0.124545,0.696429,0.586301,0.657402,0.227405,0.603953,0.867247,0.007162,0.474438,0.880000,0.143763,0.348637
0.017990,0.521577,1191,1808,1232,2323,2875,2261,2029,2800,2969,1012,3066,2907,1460,2468,,0.382353,0.069656,0.125455,0.696429,0.586301,0.657402,0.226433,0.603953,0.867247,0.007162,0.472393,0.879344,0.143763,0.349354
0.017999,0.539576,1191,1807,1232,2323,2875,2260,2029,2801,2968,1013,3067,2909,1461,2467,,0.382353,0.068702,0.125455,0.696429,0.586301,0.656798,0.226433,0.604685,0.866159,0.008057,0.473415,0.880656,0.144820,0.348637
0.018014,0.557590,1191,1807,1231,2322,2875,2260,2029,2801,2968,1013,3068,2908,1461,2468,,0.382353,0.068702,0.124545,0.695313,0.586301,0.656798,0.226433,0.604685,0.866159,0.008057,0.474438,0.880000,0.144820,0.349354
0.017959,0.575549,1191,1807,1231,2322,2875,2260,2029,2801,2968,1013,3068,2908,1461,2468,,0.382353,0.068702,0.124545,0.695313,0.586301,0.656798,0.226433,0.604685,0.866159,0.008057,0.474438,0.880000,0.144820,0.349354
0.018037,0.593586,1191,1807,1231,2323,2872,2260,2028,2801,2968,1014,3067,2908,1462,2467,,0.382353,0.068702,0.124545,0.696429,0.584247,0.656798,0.225462,0.604685,0.866159,0.008953,0.473415,0.880000,0.145877,0.348637
0.017985,0.611571,1191,1806,1231,2322,2873,2259,2028,2802,2968,1014,3068,2909,1462,2468,,0.382353,0.067748,0.124545,0.695313,0.584931,0.656193,0.225462,0.605417,0.866159,0.008953,0.474438,0.880656,0.145877,0.349354
0.018010,0.629581,1190,1806,1230,2321,2873,2259,2027,2802,2967,1014,3068,2909,1461,2469,,0.381404,0.067748,0.123636,0.694196,0.584931,0.656193,0.224490,0.605417,0.865071,0.008953,0.474438,0.880656,0.144820,0.350072
0.018000,0.647581,1190,1806,1229,2321,2874,2258,2026,2801,2968,1015,3069,2908,1460,2468,,0.381404,0.067748,0.122727,0.694196,0.585616,0.655589,0.223518,0.604685,0.866159,0.009848,0.475460,0.880000,0.143763,0.349354
0.017991,0.665572,1190,1807,1230,2319,2875,2259,2026,2801,2967,1015,3069,2908,1460,2468,,0.381404,0.068702,0.123636,0.691964,0.586301,0.656193,0.223518,0.604685,0.865071,0.009848,0.475460,0.880000,0.143763,0.349354
0.018010,0.683581,1190,1807,1229,2320,2874,2258,2026,2802,2968,1015,3068,2910,1460,2468,,0.381404,0.068702,0.122727,0.693080,0.585616,0.655589,0.223518,0.605417,0.866159,0.009848,0.474438,0.881311,0.143763,0.349354
0.018008,0.701590,1190,1806,1229,2319,2877,2257,2025,2802,2968,1017,3070,2910,1460,2469,,0.381404,0.067748,0.122727,0.691964,0.587671,0.654985,0.222546,0.605417,0.866159,0.011638,0.476483,0.881311,0.143763,0.350072
0.017963,0.719553,1190,1806,1229,2319,2881,2256,2024,2803,2968,1017,3069,2910,1459,2471,,0.381404,0.067748,0.122727,0.691964,0.590411,0.654381,0.221574,0.606149,0.866159,0.011638,0.475460,0.881311,0.142706,0.351506
0.018030,0.737583,1190,1806,1229,2318,2884,2255,2024,2803,2967,1017,3070,2910,1459,2471,,0.381404,0.067748,0.122727,0.690848,0.592466,0.653776,0.221574,0.606149,0.865071,0.011638,0.476483,0.881311,0.142706,0.351506
0.018005,0.755588,1188,1804,1228,2317,2886,2255,2024,2803,2967,1019,3071,2911,1459,2471,,0.379507,0.065840,0.121818,0.689732,0.593836,0.653776,0.221574,0.606149,0.865071,0.013429,0.477505,0.881967,0.142706,0.351506
0.018006,0.773594,1189,1804,1227,2317,2889,2255,2024,2804,2967,1019,3072,2911,1459,2473,,0.380455,0.065840,0.120909,0.689732,0.595890,0.653776,0.221574,0.606881,0.865071,0.013429,0.478528,0.881967,0.142706,0.352941
0.017972,0.791565,1188,1804,1226,2317,2890,2252,2022,2804,2967,1020,3071,2910,1458,2473,,0.379507,0.065840,0.120000,0.689732,0.596575,0.651964,0.219631,0.606881,0.865071,0.014324,0.477505,0.881311,0.141649,0.352941
0.018023,0.809588,1188,1804,1226,2317,2890,2252,2022,2804,2967,1020,3071,2910,1458,2473,,0.379507,0.065840,0.120000,0.689732,0.596575,0.651964,0.219631,0.606881,0.865071,0.014324,0.477505,0.881311,0.141649,0.352941
0.017980,0.827568,1188,1804,1227,2317,2891,2253,2021,2805,2968,1021,3072,2910,1459,2472,,0.379507,0.065840,0.120909,0.689732,0.597260,0.652568,0.218659,0.607613,0.866159,0.015219,0.478528,0.881311,0.142706,0.352224
0.018024,0.845592,1188,1804,1227,2317,2891,2253,2021,2805,2968,1021,3072,2910,1459,2472,,0.379507,0.065840,0.120909,0.689732,0.597260,0.652568,0.218659,0.607613,0.866159,0.015219,0.478528,0.881311,0.142706,0.352224
0.018007,0.863599,1187,1803,1225,2314,2892,2252,2020,2806,2967,1021,3072,2910,1458,2471,,0.378558,0.064885,0.119091,0.686384,0.597945,0.651964,0.217687,0.608346,0.865071,0.015219,0.478528,0.881311,0.141649,0.351506
0.018015,0.881614,1188,1803,1226,2314,2892,2251,2019,2806,2967,1021,3072,2910,1458,2471,,0.379507,0.064885,0.120000,0.686384,0.597945,0.651359,0.216715,0.608346,0.865071,0.015219,0.478528,0.881311,0.141649,0.351506
0.017985,0.899599,1188,1803,1225,2315,2891,2251,2019,2806,2968,1021,3072,2910,1456,2472,,0.379507,0.064885,0.119091,0.687500,0.597260,0.651359,0.216715,0.608346,0.866159,0.015219,0.478528,0.881311,0.139535,0.352224
0.017965,0.917564,1188,1803,1225,2315,2891,2251,2019,2806,2968,1021,3072,2910,1456,2472,,0.379507,0.064885,0.119091,0.687500,0.597260,0.651359,0.216715,0.608346,0.866159,0.015219,0.478528,0.881311,0.139535,0.352224
0.018038,0.935602,1188,1803,1224,2313,2891,2250,2019,2806,2967,1022,3072,2910,1456,2472,,0.379507,0.064885,0.118182,0.685268,0.597260,0.650755,0.216715,0.608346,0.865071,0.016115,0.478528,0.881311,0.139535,0.352224
0.018001,0.953603,1187,1803,1223,2313,2892,2250,2018,2806,2967,1021,3072,2910,1457,2472,,0.378558,0.064885,0.117273,0.685268,0.597945,0.650755,0.215743,0.608346,0.865071,0.015219,0.478528,0.881311,0.140592,0.352224
0.018011,0.971614,1188,1803,1224,2312,2892,2250,2017,2807,2967,1022,3073,2910,1458,2472,,0.379507,0.064885,0.118182,0.684152,0.597945,0.650755,0.214772,0.609078,0.865071,0.016115,0.479550,0.881311,0.141649,0.352224
0.017984,0.989599,1188,1803,1224,2312,2892,2250,2017,2807,2967,1022,3073,2910,1458,2472,,0.379507,0.064885,0.118182,0.684152,0.597945,0.650755,0.214772,0.609078,0.865071,0.016115,0.479550,0.881311,0.141649,0.352224
0.018016,1.007615,1189,1804,1223,2312,2890,2249,2016,2806,2967,1022,3073,2911,1459,2472,,0.380455,0.065840,0.117273,0.684152,0.596575,0.650151,0.213800,0.608346,0.865071,0.016115,0.479550,0.881967,0.142706,0.352224
0.017980,1.025595,1188,1803,1224,2313,2890,2248,2015,2805,2968,1022,3072,2910,1458,2472,,0.379507,0.064885,0.118182,0.685268,0.596575,0.649547,0.212828,0.607613,0.866159,0.016115,0.478528,0.881311,0.141649,0.352224
0.017981,1.043576,1189,1803,1224,2312,2888,2249,2015,2806,2967,1023,3072,2909,1457,2472,,0.380455,0.064885,0.118182,0.684152,0.595205,0.650151,0.212828,0.608346,0.865071,0.017010,0.478528,0.880656,0.140592,0.352224
0.018023,1.061598,1189,1804,1223,2311,2888,2249,2014,2806,2967,1023,3072,2910,1457,2472,,0.380455,0.065840,0.117273,0.683036,0.595205,0.650151,0.211856,0.608346,0.865071,0.017010,0.478528,0.881311,0.140592,0.352224
0.018016,1.079614,1189,1803,1223,2311,2888,2249,2015,2805,2967,1023,3073,2910,1457,2473,,0.380455,0.064885,0.117273,0.683036,0.595205,0.650151,0.212828,0.607613,0.865071,0.017010,0.479550,0.881311,0.140592,0.352941
0.017992,1.097607,1189,1802,1221,2310,2888,2249,2014,2806,2966,1023,3072,2910,1457,2474,,0.380455,0.063931,0.115455,0.681920,0.595205,0.650151,0.211856,0.608346,0.863983,0.017010,0.478528,0.881311,0.140592,0.353659
0.018007,1.115614,1189,1803,1221,2309,2888,2248,2014,2806,2967,1024,3073,2910,1457,2473,,0.380455,0.064885,0.115455,0.680804,0.595205,0.649547,0.211856,0.608346,0.865071,0.017905,0.479550,0.881311,0.140592,0.352941
0.018007,1.133621,1189,1804,1221,2309,2888,2248,2014,2807,2967,1025,3073,2911,1458,2473,,0.380455,0.065840,0.115455,0.680804,0.595205,0.649547,0.211856,0.609078,0.865071,0.018800,0.479550,0.881967,0.141649,0.352941
0.018002,1.151622,1189,1803,1220,2309,2888,2248,2013,2806,2967,1025,3073,2911,1457,2474,,0.380455,0.064885,0.114545,0.680804,0.595205,0.649547,0.210884,0.608346,0.865071,0.018800,0.479550,0.881967,0.140592,0.353659
0.018000,1.169623,1188,1802,1217,2305,2887,2247,2012,2805,2967,1026,3074,2911,1455,2476,,0.379507,0.063931,0.111818,0.676339,0.594521,0.648943,0.209913,0.607613,0.865071,0.019696,0.480573,0.881967,0.138478,0.355093
0.018006,1.187628,1188,1803,1217,2305,2887,2247,2012,2806,2967,1027,3073,2911,1457,2475,,0.379507,0.064885,0.111818,0.676339,0.594521,0.648943,0.209913,0.608346,0.865071,0.020591,0.479550,0.881967,0.140592,0.354376
0.017982,1.205610,1187,1802,1216,2303,2886,2246,2011,2805,2967,1029,3073,2911,1455,2475,,0.378558,0.063931,0.110909,0.674107,0.593836,0.648338,0.208941,0.607613,0.865071,0.022381,0.479550,0.881967,0.138478,0.354376
0.018008,1.223618,1186,1801,1213,2301,2881,2245,2011,2804,2967,1032,3073,2911,1454,2476,,0.377609,0.062977,0.108182,0.671875,0.590411,0.647734,0.208941,0.606881,0.865071,0.025067,0.479550,0.881967,0.137421,0.355093
0.018002,1.241620,1185,1801,1211,2298,2875,2243,2009,2802,2966,1033,3072,2911,1454,2476,,0.376660,0.062977,0.106364,0.668527,0.586301,0.646526,0.206997,0.605417,0.863983,0.025962,0.478528,0.881967,0.137421,0.355093
0.017998,1.259618,1184,1800,1208,2294,2873,2242,2008,2801,2966,1035,3072,2909,1455,2475,,0.375712,0.062023,0.103636,0.664063,0.584931,0.645921,0.206025,0.604685,0.863983,0.027753,0.478528,0.880656,0.138478,0.354376
