GloveManager recording started on 10/20/16 at 16:28:26

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017509,0.017508,1075,1843,1383,2320,2546,2199,2099,2758,2950,1202,3209,2838,1623,2658,,0.272296,0.103053,0.262727,0.693080,0.360959,0.619940,0.294461,0.573206,0.846572,0.179464,0.618609,0.834098,0.316068,0.485653
0.018003,0.035512,1075,1844,1383,2320,2546,2199,2099,2758,2950,1202,3211,2837,1623,2659,,0.272296,0.104008,0.262727,0.693080,0.360959,0.619940,0.294461,0.573206,0.846572,0.179464,0.620654,0.833443,0.316068,0.486370
0.017990,0.053502,1075,1844,1383,2320,2546,2199,2099,2758,2950,1202,3210,2838,1623,2658,,0.272296,0.104008,0.262727,0.693080,0.360959,0.619940,0.294461,0.573206,0.846572,0.179464,0.619632,0.834098,0.316068,0.485653
0.017997,0.071499,1076,1844,1382,2320,2547,2199,2100,2759,2950,1202,3210,2839,1623,2658,,0.273245,0.104008,0.261818,0.693080,0.361644,0.619940,0.295432,0.573938,0.846572,0.179464,0.619632,0.834754,0.316068,0.485653
0.018006,0.089505,1075,1844,1382,2320,2546,2199,2099,2758,2950,1202,3210,2839,1624,2659,,0.272296,0.104008,0.261818,0.693080,0.360959,0.619940,0.294461,0.573206,0.846572,0.179464,0.619632,0.834754,0.317125,0.486370
0.018001,0.107506,1075,1844,1382,2320,2546,2199,2099,2758,2950,1202,3210,2839,1624,2659,,0.272296,0.104008,0.261818,0.693080,0.360959,0.619940,0.294461,0.573206,0.846572,0.179464,0.619632,0.834754,0.317125,0.486370
0.017985,0.125492,1075,1845,1383,2321,2547,2199,2099,2759,2950,1202,3210,2838,1623,2659,,0.272296,0.104962,0.262727,0.694196,0.361644,0.619940,0.294461,0.573938,0.846572,0.179464,0.619632,0.834098,0.316068,0.486370
0.017986,0.143477,1076,1844,1384,2322,2547,2200,2102,2759,2949,1203,3210,2837,1623,2658,,0.273245,0.104008,0.263636,0.695313,0.361644,0.620544,0.297376,0.573938,0.845484,0.180357,0.619632,0.833443,0.316068,0.485653
0.018028,0.161505,1075,1844,1383,2323,2547,2199,2105,2758,2947,1203,3211,2837,1623,2658,,0.272296,0.104008,0.262727,0.696429,0.361644,0.619940,0.300292,0.573206,0.843308,0.180357,0.620654,0.833443,0.316068,0.485653
