GloveManager recording started on 10/20/16 at 16:28:49

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017515,0.017515,1161,1820,1233,2238,2701,2206,1976,2804,2963,1055,3164,2918,1442,2583,,0.353890,0.081107,0.126364,0.601563,0.467123,0.624169,0.174927,0.606881,0.860718,0.048214,0.572597,0.886557,0.124736,0.431851
0.018003,0.035518,1172,1828,1246,2263,2724,2216,1969,2812,2967,1041,3166,2916,1433,2577,,0.364326,0.088740,0.138182,0.629464,0.482877,0.630211,0.168124,0.612738,0.865071,0.035714,0.574642,0.885246,0.115222,0.427547
0.018000,0.053518,1172,1828,1246,2263,2724,2216,1969,2812,2967,1041,3166,2916,1433,2577,,0.364326,0.088740,0.138182,0.629464,0.482877,0.630211,0.168124,0.612738,0.865071,0.035714,0.574642,0.885246,0.115222,0.427547
0.018000,0.071518,1180,1834,1247,2276,2752,2225,1962,2819,2971,1031,3166,2914,1431,2572,,0.371917,0.094466,0.139091,0.643973,0.502055,0.635650,0.161322,0.617862,0.869423,0.026786,0.574642,0.883934,0.113108,0.423960
0.018000,0.089518,1180,1834,1247,2276,2752,2225,1962,2819,2971,1031,3166,2914,1431,2572,,0.371917,0.094466,0.139091,0.643973,0.502055,0.635650,0.161322,0.617862,0.869423,0.026786,0.574642,0.883934,0.113108,0.423960
0.018024,0.107543,1187,1838,1257,2282,2771,2231,1959,2825,2973,1026,3169,2911,1431,2568,,0.378558,0.098282,0.148182,0.650670,0.515068,0.639275,0.158406,0.622255,0.871600,0.022321,0.577710,0.881967,0.113108,0.421090
0.018006,0.125549,1190,1840,1262,2278,2781,2234,1957,2827,2975,1025,3172,2910,1431,2565,,0.381404,0.100191,0.152727,0.646205,0.521918,0.641088,0.156463,0.623719,0.873776,0.021429,0.580777,0.881311,0.113108,0.418938
0.017996,0.143545,1191,1840,1263,2276,2788,2235,1955,2828,2977,1023,3172,2908,1428,2563,,0.382353,0.100191,0.153636,0.643973,0.526712,0.641692,0.154519,0.624451,0.875952,0.019643,0.580777,0.880000,0.109937,0.417504
0.018004,0.161549,1192,1840,1264,2273,2790,2235,1953,2828,2978,1022,3169,2908,1426,2561,,0.383302,0.100191,0.154545,0.640625,0.528082,0.641692,0.152575,0.624451,0.877040,0.018750,0.577710,0.880000,0.107822,0.416069
0.017986,0.179535,1193,1838,1267,2266,2788,2232,1951,2827,2981,1020,3165,2909,1423,2556,,0.384250,0.098282,0.157273,0.632813,0.526712,0.639879,0.150632,0.623719,0.880305,0.016964,0.573620,0.880656,0.104651,0.412482
0.017987,0.197522,1193,1838,1267,2262,2787,2232,1950,2826,2980,1020,3162,2908,1421,2555,,0.384250,0.098282,0.157273,0.628348,0.526027,0.639879,0.149660,0.622987,0.879217,0.016964,0.570552,0.880000,0.102537,0.411765
0.018026,0.215548,1193,1838,1269,2259,2789,2231,1950,2827,2981,1020,3160,2910,1420,2555,,0.384250,0.098282,0.159091,0.625000,0.527397,0.639275,0.149660,0.623719,0.880305,0.016964,0.568507,0.881311,0.101480,0.411765
0.018009,0.233557,1194,1839,1268,2258,2791,2231,1949,2827,2981,1020,3158,2910,1419,2553,,0.385199,0.099237,0.158182,0.623884,0.528767,0.639275,0.148688,0.623719,0.880305,0.016964,0.566462,0.881311,0.100423,0.410330
0.017972,0.251529,1193,1837,1267,2258,2793,2231,1948,2827,2981,1021,3158,2912,1418,2553,,0.384250,0.097328,0.157273,0.623884,0.530137,0.639275,0.147716,0.623719,0.880305,0.017857,0.566462,0.882623,0.099366,0.410330
0.017999,0.269528,1193,1836,1268,2257,2795,2232,1949,2827,2981,1022,3156,2911,1418,2552,,0.384250,0.096374,0.158182,0.622768,0.531507,0.639879,0.148688,0.623719,0.880305,0.018750,0.564417,0.881967,0.099366,0.409613
0.018031,0.287559,1194,1835,1269,2258,2795,2232,1947,2827,2981,1023,3157,2913,1418,2554,,0.385199,0.095420,0.159091,0.623884,0.531507,0.639879,0.146744,0.623719,0.880305,0.019643,0.565440,0.883279,0.099366,0.411047
0.017993,0.305552,1194,1835,1269,2258,2795,2232,1947,2827,2981,1023,3157,2913,1418,2554,,0.385199,0.095420,0.159091,0.623884,0.531507,0.639879,0.146744,0.623719,0.880305,0.019643,0.565440,0.883279,0.099366,0.411047
0.018001,0.323553,1192,1833,1267,2258,2793,2231,1947,2828,2980,1024,3158,2913,1418,2555,,0.383302,0.093511,0.157273,0.623884,0.530137,0.639275,0.146744,0.624451,0.879217,0.020536,0.566462,0.883279,0.099366,0.411765
0.017978,0.341530,1192,1830,1267,2258,2792,2231,1946,2828,2981,1026,3160,2913,1420,2556,,0.383302,0.090649,0.157273,0.623884,0.529452,0.639275,0.145773,0.624451,0.880305,0.022321,0.568507,0.883279,0.101480,0.412482
0.018033,0.359563,1192,1830,1267,2258,2792,2231,1946,2828,2981,1026,3160,2913,1420,2556,,0.383302,0.090649,0.157273,0.623884,0.529452,0.639275,0.145773,0.624451,0.880305,0.022321,0.568507,0.883279,0.101480,0.412482
0.017991,0.377555,1191,1829,1266,2258,2793,2230,1945,2827,2981,1028,3160,2912,1420,2556,,0.382353,0.089695,0.156364,0.623884,0.530137,0.638671,0.144801,0.623719,0.880305,0.024107,0.568507,0.882623,0.101480,0.412482
0.018001,0.395556,1190,1829,1267,2257,2791,2229,1943,2827,2983,1028,3161,2911,1421,2556,,0.381404,0.089695,0.157273,0.622768,0.528767,0.638066,0.142857,0.623719,0.882481,0.024107,0.569530,0.881967,0.102537,0.412482
0.018011,0.413566,1189,1828,1267,2255,2792,2228,1943,2825,2983,1032,3161,2908,1422,2556,,0.380455,0.088740,0.157273,0.620536,0.529452,0.637462,0.142857,0.622255,0.882481,0.027679,0.569530,0.880000,0.103594,0.412482
0.017992,0.431559,1188,1826,1266,2253,2790,2227,1942,2825,2984,1033,3160,2909,1422,2556,,0.379507,0.086832,0.156364,0.618304,0.528082,0.636858,0.141885,0.622255,0.883569,0.028571,0.568507,0.880656,0.103594,0.412482
