GloveManager recording started on 10/20/16 at 16:30:01

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017543,0.017543,1144,1827,1197,2221,3112,2218,2331,3183,2944,1515,3511,2948,1697,3070,,0.337761,0.087786,0.093636,0.582589,0.748630,0.631420,0.519922,0.884334,0.840044,0.458929,0.927403,0.906229,0.394292,0.781205
0.017989,0.035532,1141,1829,1200,2218,3030,2196,2333,3192,2943,1525,3514,2948,1701,3071,,0.334915,0.089695,0.096364,0.579241,0.692466,0.618127,0.521866,0.890922,0.838955,0.467857,0.930470,0.906229,0.398520,0.781923
0.017973,0.053505,1136,1832,1203,2218,2683,2140,2333,3205,2942,1535,3517,2948,1706,3077,,0.330171,0.092557,0.099091,0.579241,0.454795,0.584290,0.521866,0.900439,0.837867,0.476786,0.933538,0.906229,0.403805,0.786227
0.018033,0.071538,1136,1832,1203,2218,2683,2140,2333,3205,2942,1535,3517,2948,1706,3077,,0.330171,0.092557,0.099091,0.579241,0.454795,0.584290,0.521866,0.900439,0.837867,0.476786,0.933538,0.906229,0.403805,0.786227
0.017983,0.089521,1134,1838,1209,2212,2509,2096,2339,3218,2939,1545,3520,2947,1710,3081,,0.328273,0.098282,0.104545,0.572545,0.335616,0.557704,0.527697,0.909956,0.834603,0.485714,0.936605,0.905574,0.408034,0.789096
0.018010,0.107532,1130,1837,1213,2207,2464,2071,2344,3224,2939,1550,3520,2947,1710,3083,,0.324478,0.097328,0.108182,0.566964,0.304795,0.542598,0.532556,0.914348,0.834603,0.490179,0.936605,0.905574,0.408034,0.790531
0.017980,0.125512,1131,1839,1217,2204,2445,2041,2352,3229,2937,1558,3521,2948,1710,3085,,0.325427,0.099237,0.111818,0.563616,0.291781,0.524471,0.540330,0.918009,0.832427,0.497321,0.937628,0.906229,0.408034,0.791966
0.018024,0.143536,1133,1840,1220,2206,2438,2011,2362,3235,2934,1565,3522,2949,1712,3088,,0.327324,0.100191,0.114545,0.565848,0.286986,0.506344,0.550049,0.922401,0.829162,0.503571,0.938650,0.906885,0.410148,0.794118
0.017998,0.161534,1133,1842,1224,2220,2432,1954,2379,3243,2931,1577,3527,2948,1712,3092,,0.327324,0.102099,0.118182,0.581473,0.282877,0.471903,0.566570,0.928258,0.825898,0.514286,0.943763,0.906229,0.410148,0.796987
