GloveManager recording started on 10/20/16 at 16:30:25

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017547,0.017547,1121,1845,1248,2148,2424,1947,2245,3185,2878,1354,3476,2948,1660,2924,,0.315939,0.104962,0.140000,0.501116,0.277397,0.467674,0.436346,0.885798,0.768226,0.315179,0.891616,0.906229,0.355180,0.676471
0.018000,0.035547,1122,1847,1245,2151,2426,1913,2266,3184,2872,1366,3478,2949,1664,2925,,0.316888,0.106870,0.137273,0.504464,0.278767,0.447130,0.456754,0.885066,0.761697,0.325893,0.893661,0.906885,0.359408,0.677188
0.017998,0.053545,1122,1847,1240,2152,2432,1883,2282,3182,2867,1376,3481,2950,1665,2927,,0.316888,0.106870,0.132727,0.505580,0.282877,0.429003,0.472303,0.883602,0.756257,0.334821,0.896728,0.907541,0.360465,0.678623
0.018006,0.071551,1123,1850,1237,2156,2441,1851,2307,3176,2858,1388,3482,2950,1668,2928,,0.317837,0.109733,0.130000,0.510045,0.289041,0.409668,0.496599,0.879209,0.746464,0.345536,0.897750,0.907541,0.363636,0.679340
0.017996,0.089547,1123,1850,1237,2156,2441,1851,2307,3176,2858,1388,3482,2950,1668,2928,,0.317837,0.109733,0.130000,0.510045,0.289041,0.409668,0.496599,0.879209,0.746464,0.345536,0.897750,0.907541,0.363636,0.679340
0.018004,0.107551,1122,1851,1235,2161,2446,1843,2322,3169,2853,1395,3484,2951,1668,2929,,0.316888,0.110687,0.128182,0.515625,0.292466,0.404834,0.511176,0.874085,0.741023,0.351786,0.899795,0.908197,0.363636,0.680057
0.018001,0.125552,1122,1851,1235,2161,2446,1843,2322,3169,2853,1395,3484,2951,1668,2929,,0.316888,0.110687,0.128182,0.515625,0.292466,0.404834,0.511176,0.874085,0.741023,0.351786,0.899795,0.908197,0.363636,0.680057
0.018007,0.143559,1122,1851,1236,2167,2450,1841,2333,3165,2847,1393,3483,2951,1666,2929,,0.316888,0.110687,0.129091,0.522321,0.295205,0.403625,0.521866,0.871157,0.734494,0.350000,0.898773,0.908197,0.361522,0.680057
0.017993,0.161552,1121,1852,1239,2169,2451,1841,2337,3164,2846,1393,3484,2951,1664,2930,,0.315939,0.111641,0.131818,0.524554,0.295890,0.403625,0.525753,0.870425,0.733406,0.350000,0.899795,0.908197,0.359408,0.680775
